ShortSampleName,GroupID,IsoID,Norm_GFP,Norm_tdTom
Co_P1_Ep_Neg_6,NSC (i),3c,0.529564174,0.445511293
Co_P1_Ep_Neg_36,NSC (i),5c,0.54147801,0.474697556
Co_P1_Ep_Neg_35,NSC (i),5c,0.551333144,1.220695562
Co_P1_Ep_Neg_0,NSC (i),3c,0.555909707,0.532631299
Co_P1_Ep_Neg_45,NSC (i),5c,0.601594327,1.074562563
Co_P1_Ep_Neg_5,NSC (i),3c,0.685299761,0.482975869
Co_P1_Ep_Neg_44,NSC (i),5c,0.687949937,1.559273516
Co_P1_Ep_Neg_16,NSC (i),3c,0.694271142,0.643835675
Co_P1_Ep_Neg_47,NSC (i),5c,0.756874279,1.37840655
Co_P1_Ep_Neg_49,NSC (i),5c,0.979477115,1.137459207
Co_P1_Ep_Neg_42,NSC (i),5c,0.985328601,1.486363476
Co_P1_Ep_Neg_52,NSC (i),5c,1.127735285,0.767589391
Co_P1_Ep_Neg_37,NSC (i),5c,1.238174378,1.443806542
Co_P1_Ep_Neg_28,NSC (i),3c,2.091279376,0.750579982
Co_P1_Ep_Neg_24,NSC (i),3c,2.586600674,0.391098456
Co_P1_Ep_Neg_23,NSC (i),3c,2.747074667,0.227760834
Co_P1_Ep_Neg_31,NSC (i),3c,4.279222219,0.552949389
Co_P1_Ep_GFP_3,NSC (i),3c,5.052972212,0.670100523
Co_P1_Ep_GFP_6,NSC (i),3c,5.523716982,0.629167005
Co_P1_Ep_GFP_16,NSC (i),3c,9.898844524,0.580403589
Co_P1_Ep_GFP_14,NSC (i),3c,15.60262091,0.43599648
Co_P1_Ep_GFP_15,NSC (i),3c,51.21312652,0.485057234
Co_P1_Ep_GFP_30,NSC (i),5c,56.16360705,1.358379757
Co_P1_Ep_GFP_21,NSC (i),3c,72.50214966,0.720251516
Co_P1_Ep_GFP_5,NSC (i),3c,92.7381096,0.538478944
Co_P1_Ep_GFP_33,NSC (i),5c,237.2648111,1.139962556
Co_P1_Ep_GFP_29,NSC (i),5c,320.2981326,2.255517459
Co_P1_Ep_GFP_19,NSC (i),3c,355.8631447,0.569104748
Co_P1_Ep_GFP_7,NSC (i),3c,484.035049,0.870605383
Co_P1_Ep_GFP_32,NSC (i),5c,592.9426894,0.745372168
Co_P1_Ep_GFP_1,NSC (i),3c,902.7947746,1.073488946
Co_P1_Ep_GFP_27,NSC (i),5c,999.9276264,1.372461096
Co_P1_Ep_Neg_4,NSC (ii),3c,0.18410284,0.304672239
Co_P1_Ep_Neg_29,NSC (ii),3c,0.260928184,0.398829242
Co_P1_Ep_Neg_34,NSC (ii),5c,0.286907584,2.172594023
Co_P1_Ep_Neg_25,NSC (ii),3c,0.30464787,0.345407532
Co_P1_Ep_Neg_40,NSC (ii),5c,0.318751985,1.689134746
Co_P1_Ep_Neg_22,NSC (ii),3c,0.392150421,0.320827598
Co_P1_Ep_Neg_8,NSC (ii),3c,0.429109982,0.764951314
Co_P1_Ep_Neg_19,NSC (ii),3c,0.455834588,0.827491387
Co_P1_Ep_Neg_15,NSC (ii),3c,0.466701331,0.607362225
Co_P1_Ep_Neg_46,NSC (ii),5c,0.490724071,1.067052516
Co_P1_Ep_Neg_26,NSC (ii),3c,0.58781497,0.510529181
Co_P1_Ep_Neg_18,NSC (ii),3c,0.592553375,0.540659422
Co_P1_Ep_Neg_43,NSC (ii),5c,0.63091335,0.518193245
Co_P1_Ep_Neg_30,NSC (ii),3c,0.649540596,0.33143265
Co_P1_Ep_Neg_38,NSC (ii),5c,0.749790902,0.874294642
Co_P1_Ep_Neg_53,NSC (ii),5c,0.80590357,1.60151753
Co_P1_Ep_Neg_32,NSC (ii),3c,1.124644699,0.765347765
Co_P1_Ep_Neg_39,NSC (ii),5c,1.184648683,1.080195099
Co_P1_Ep_Neg_27,NSC (ii),3c,1.379318188,0.407650266
Co_P1_Ep_Neg_41,NSC (ii),5c,1.91128002,0.901518563
Co_P1_Ep_Neg_20,NSC (ii),3c,2.025004881,0.370582141
