Short_Name,GroupID,IsoID,GFP_I,tdTom_I
Ute_P1_Neg_9,TEC,Isolation 1,0.052643048,0.76195684
Ute_P1_Neg_1,TEC,Isolation 1,0.193059465,0.101220737
Ute_P1_Neg_5,TEC,Isolation 1,0.242241914,0.684267123
Ute_P1_Neg_35,TEC,Isolation 4,0.259280325,0.454911786
Ute_P1_Neg_0,TEC,Isolation 1,0.26290064,0.233442659
Ute_P1_Neg_2,TEC,Isolation 1,0.307468958,0
Ute_P1_Neg_12,TEC,Isolation 1,0.320996753,0.266311386
Ute_P1_Neg_24,TEC,Isolation 3,0.326847485,0.202435185
Ute_P1_Neg_14,TEC,Isolation 2,0.327300581,1.641793921
Ute_P1_Neg_18,TEC,Isolation 2,0.359541821,1.397949983
Ute_P1_Neg_30,TEC,Isolation 4,0.363109023,0.635716526
Ute_P1_Neg_6,TEC,Isolation 1,0.367033204,0
Ute_P1_Neg_36,TEC,Isolation 1,0.376995533,0.336530938
Ute_P1_Neg_13,TEC,Isolation 1,0.410133388,0.615168096
Ute_P1_Neg_10,TEC,Isolation 1,0.431211581,0.513947358
Ute_P1_Neg_28,TEC,Isolation 3,0.439874378,0.325973774
Ute_P1_Neg_23,TEC,Isolation 3,0.450480817,0.188003848
Ute_P1_Neg_33,TEC,Isolation 4,0.504905552,0.574187438
Ute_P1_Neg_25,TEC,Isolation 3,0.521147026,0.194743758
Ute_P1_Neg_32,TEC,Isolation 4,0.559359416,1.090123976
Ute_P1_Neg_11,TEC,Isolation 1,0.581590328,0.368652647
Ute_P1_Neg_16,TEC,Isolation 2,0.643472735,1.684981539
Ute_P1_Neg_27,TEC,Isolation 3,0.655321725,0.37870366
Ute_P1_Neg_7,TEC,Isolation 1,0.935934669,0.990170383
Ute_P1_Neg_31,TEC,Isolation 4,1.212306207,0.688924058
Ute_P1_Neg_22,TEC,Isolation 3,1.372915607,0.122428486
Ute_P1_GFP_50,TEC,Isolation 4,6.608401032,1.123662373
Ute_P1_Neg_20,SC (i),Isolation 2,0.071762759,1.74212208
Ute_P1_Neg_15,SC (i),Isolation 2,0.243473359,1.120884801
Ute_P1_Neg_19,SC (i),Isolation 2,0.408319696,1.653753569
Ute_P1_Neg_3,SC (i),Isolation 1,1.256511956,0.93526467
Ute_P1_Neg_34,SC (i),Isolation 4,1.715213452,1.885715266
