Gene1	Gene2	Strength
g0	g0	0.9164080170000001
g0	g6	0.910353215
g1	g0	0.8455394070000001
g1	g6	0.809299274
g2	g1	0.824717977
g2	g6	0.836508523
g3	g2	0.820670021
g3	g6	0.848192528
g4	g3	0.883780563
g4	g6	0.841274847
g5	g4	0.808432388
g5	g6	1.0
g6	g5	1.8842397219999998
g6	g7	1.89644473
g7	g6	0.9482488459999999
g8	g7	0.81497204
g8	g8	0.922151169
g9	g8	0.8446203790000001
g10	g9	0.845151792
g10	g10	0.913920689
g11	g10	0.8085691079999999
g11	g11	0.912278244
g12	g11	0.8437754190000001
g13	g12	0.85249115
g13	g13	0.920073265
g14	g13	0.810798557
g14	g14	0.903268235
g15	g8	0.8326762590000001
g16	g11	0.861784853
g17	g11	0.84962429
g18	g12	0.843682953
g19	g6	0.912838233
g20	g11	0.861532895
g21	g8	0.8343045090000001
g22	g11	0.87744268
g23	g4	0.809963271
g24	g0	0.8383819140000001
g25	g12	0.851922066
g26	g8	0.823150915
g27	g5	0.8651210890000001
g28	g0	0.8080235379999999
g29	g12	0.814829591
g30	g1	0.870525813
g31	g10	0.8580822229999999
g32	g4	0.8125535
g33	g2	0.803897557
g34	g0	0.887283347
g35	g3	0.810912938
g36	g14	0.8446605220000001
g37	g12	0.858918935
g38	g14	0.819101757
g39	g2	0.811877018
g40	g9	0.843927031
g41	g13	0.830862048
g42	g4	0.918337182
g43	g6	0.85785764
g44	g10	0.837875185
g45	g2	0.809596614
g46	g14	0.840438783
g47	g12	0.8231384620000001
g48	g7	0.8568250559999999
g49	g3	0.8127368770000001
g50	g6	0.8925042679999999
g51	g13	0.831028468
g52	g14	0.92485991
g53	g10	0.831621323
g54	g5	0.8143134870000001
g55	g8	0.8360453240000001
g56	g1	0.8244355990000001
g57	g10	0.93858428
g58	g3	0.800722067
g59	g10	0.84398467
g60	g0	0.859756932
g61	g7	0.844572779
g62	g11	0.837203384
g63	g6	0.9360444929999999
g64	g2	0.858035352
