,Cell_001,Cell_002,Cell_003,Cell_004,Cell_005,Cell_006,Cell_007,Cell_008,Cell_009,Cell_010,Cell_011,Cell_012,Cell_013,Cell_014,Cell_015,Cell_016,Cell_017,Cell_018,Cell_019,Cell_020,Cell_021,Cell_022,Cell_023,Cell_024,Cell_025,Cell_026,Cell_027,Cell_028,Cell_029,Cell_030,Cell_031,Cell_032,Cell_033,Cell_034,Cell_035,Cell_036,Cell_037,Cell_038,Cell_039,Cell_040,Cell_041,Cell_042,Cell_043,Cell_044,Cell_045,Cell_046,Cell_047,Cell_048,Cell_049,Cell_050,Cell_051,Cell_052,Cell_055,Cell_058,Cell_059,Cell_060,Cell_061,Cell_062,Cell_063,Cell_064,Cell_065,Cell_066,Cell_067,Cell_070,Cell_071,Cell_074,Cell_076,Cell_077,Cell_079,Cell_082,Cell_083,Cell_084,Cell_085,Cell_086,Cell_090,Cell_091,Cell_093,Cell_094,Cell_095,Cell_098,Cell_099,Cell_102,Cell_103,Cell_105,Cell_106,Cell_107,Cell_108,Cell_109,Cell_110,Cell_111,Cell_114,Cell_115,Cell_117,Cell_120,Cell_122,Cell_123,Cell_124,Cell_125,Cell_126,Cell_129,Cell_130,Cell_131,Cell_134,Cell_137,Cell_138,Cell_139,Cell_141,Cell_144,Cell_145,Cell_146,Cell_147,Cell_148,Cell_150,Cell_151,Cell_152,Cell_153,Cell_154,Cell_157,Cell_158,Cell_159,Cell_160,Cell_161,Cell_164,Cell_165,Cell_166,Cell_168,Cell_169,Cell_171,Cell_173,Cell_174,Cell_175,Cell_177,Cell_179,Cell_180,Cell_181,Cell_182,Cell_183,Cell_184,Cell_185,Cell_186,Cell_191,Cell_192,Cell_196,Cell_198,Cell_199,Cell_200,Cell_201,Cell_202,Cell_203,Cell_204,Cell_205,Cell_206,Cell_207,Cell_208,Cell_209,Cell_210,Cell_212,Cell_213,Cell_214,Cell_215,Cell_216,Cell_217,Cell_218,Cell_219,Cell_220,Cell_221,Cell_222,Cell_223,Cell_224,Cell_226,Cell_227,Cell_228,Cell_229,Cell_230,Cell_231,Cell_233,Cell_234,Cell_235,Cell_236,Cell_237,Cell_245,Cell_246,Cell_247,Cell_248,Cell_249,Cell_250,Cell_251,Cell_252,Cell_253,Cell_254,Cell_255,Cell_256,Cell_257,Cell_258,Cell_259,Cell_260,Cell_261,Cell_262,Cell_263,Cell_265,Cell_266,Cell_267,Cell_268,Cell_269,Cell_270,Cell_271,Cell_272,Cell_273,Cell_274,Cell_275,Cell_276
Sec63,926,0,11,0,0,0,114,0,141,27,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,666,0,0,0,0,0,68,0,2,1,2365,25,1,1,1,2297,31,0,0,0,0,22,38,0,40,0,43,20,0,85,130,346,0,203,0,0,193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,8,0,0,0,1,1,1,0,488,0,16,0,0,2,66,319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2d3,593,0,1850,575,818,103,563,0,973,58,2477,143,0,2,0,692,1036,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,541,5,1899,1,6,64,86,1,101,2243,0,0,0,150,904,0,0,0,320,253,13,1229,2201,0,645,1,908,99,11,307,360,112,1,800,1069,44,1346,150,0,482,624,3040,16,2345,267,18,1,36,35,61,640,3343,681,501,280,3282,0,199,2919,1292,2728,244,3004,1280,172,147,1,32,1,13,1,0,1,0,0,0,2,11797,344,366,1,944,3,1,28,1,1727,1,2,23,1326,25,2922,1,2,2,2,4,108,10367,4,8,2,31,270,45,9458,33,637,5,2,10868,96,44,0,9,1254,230,8,1061,8,163,10,801,6,2,40,147,22,8,18,73,2,9545,93,28,7443,6,33,16,34,10,43,10015,1,1740,1,4894,1,1,4,143,1,25,1,0,0,228,0,0,0,0,3,1022,0,2,0,0,0,0,0,0,1622,187,0,0,0
Sf3a1,0,0,0,0,0,0,162,0,28,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1766,103,0,0,0,0,780,88,0,1,0,4,0,0,0,0,78,0,0,1,20,0,0,0,0,0,95,0,0,72,814,239,2,8,4,0,0,0,200,22,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,547,0,0,0,0,0,0,0,3,0,0,0,1,0,35,0,0,0,0,0,0,0,1,0,88,0,0,0,4,0,0,1762,0,0,0,0,0,0,8,3,0,0,1,2,0,8,1,0,0,173,959,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sphkap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phtf1,0,0,0,328,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,0,1,1,0,2,0,182,573,0,0,1,0,2515,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1884,0,2,0,1,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tex9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cog6,0,0,4,0,69,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,1,0,0,0,0,0,0,0,348,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2043,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,6468,0,7,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,1,0
Kcnk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnfrsf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsp90aa1,430,0,1530,1074,730,58,2093,0,944,306,1902,0,0,0,0,0,115,309,213,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1860,0,73,1,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,207,1640,0,0,62,0,3311,769,48,1,790,377,1,0,0,4,834,153,1,4,834,618,251,319,64,0,73,173,2,261,1294,1410,471,3510,190,1650,2,83,8591,2940,120,485,1083,1101,537,0,0,894,3,1,0,267,0,0,0,0,0,1,851,1180,1,1,0,0,1075,0,196,1,955,0,0,0,1,0,0,0,0,0,0,0,0,2,0,71,1,0,0,0,2697,0,0,0,123,0,0,200,619,0,1,3450,0,0,234,145,0,3,162,1846,2,863,1,2959,1,41,2833,10,2,1,47,1,0,0,259,1,0,0,0,9,0,0,1,0,0,0,1700,23,1157,193,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
