"",integrated@meta.data$Phase
"1",G2M
"2",G1
"3",G1
"4",G2M
"5",G1
"6",S
"7",G1
"8",G2M
"9",S
"10",G2M
"11",G1
"12",G2M
"13",G2M
"14",G1
"15",G1
"16",G2M
"17",S
"18",G1
"19",G2M
"20",G1
"21",G2M
"22",G2M
"23",G1
"24",G1
"25",G2M
"26",G1
"27",S
"28",G1
"29",G1
"30",G1
"31",G2M
"32",G1
"33",S
"34",G2M
"35",S
"36",S
"37",G2M
"38",S
"39",G1
"40",G1
"41",G2M
"42",G1
"43",G1
"44",S
"45",G1
"46",S
"47",S
"48",G1
"49",G1
"50",G1
"51",S
"52",S
"53",G1
"54",G1
"55",G2M
"56",G1
"57",G1
"58",G1
"59",G2M
"60",S
"61",G2M
"62",G1
"63",G2M
"64",G1
"65",G1
"66",G2M
"67",S
"68",G1
"69",G1
"70",S
"71",S
"72",G1
"73",G2M
"74",S
"75",G1
"76",G2M
"77",G2M
"78",G2M
"79",S
"80",S
"81",G2M
"82",G2M
"83",G2M
"84",S
"85",S
"86",G1
"87",G2M
"88",G2M
"89",G1
"90",G1
"91",G2M
"92",G1
"93",G1
"94",G1
"95",G1
"96",G2M
"97",G2M
"98",G2M
"99",G1
"100",G1
"101",G2M
"102",G1
"103",G1
"104",G1
"105",S
"106",S
"107",S
"108",S
"109",G1
"110",G1
"111",G2M
"112",G1
"113",S
"114",G2M
"115",G1
"116",G1
"117",S
"118",S
"119",G1
"120",G1
"121",G1
"122",G2M
"123",G1
"124",G1
"125",G2M
"126",G1
"127",S
"128",G1
"129",G2M
"130",G1
"131",S
"132",G2M
"133",S
"134",G1
"135",G2M
"136",G1
"137",S
"138",G2M
"139",G2M
"140",G1
"141",G1
"142",G2M
"143",G1
"144",G1
"145",G1
"146",G2M
"147",G2M
"148",S
"149",G1
"150",G1
"151",G2M
"152",G1
"153",G2M
"154",G1
"155",G1
"156",G2M
"157",G2M
"158",G1
"159",G1
"160",G2M
"161",G2M
"162",G2M
"163",S
"164",G1
"165",G2M
"166",G1
"167",G1
"168",G1
"169",G1
"170",G1
"171",G1
"172",G2M
"173",G2M
"174",G2M
"175",G1
"176",G2M
"177",G2M
"178",G2M
"179",G1
"180",G2M
"181",S
"182",S
"183",G1
"184",G2M
"185",G1
"186",S
"187",G2M
"188",G2M
"189",G1
"190",G1
"191",G1
"192",G1
"193",G1
"194",G2M
"195",G1
"196",G2M
"197",G1
"198",G2M
"199",G2M
"200",G1
"201",S
"202",G1
"203",G1
"204",G1
"205",G2M
"206",G2M
"207",G2M
"208",G1
"209",G1
"210",G1
"211",G1
"212",G2M
"213",G1
"214",G2M
"215",G1
"216",G2M
"217",G2M
"218",G1
"219",G1
"220",G2M
"221",G2M
"222",G2M
"223",G1
"224",G2M
"225",G2M
"226",G2M
"227",G2M
"228",G1
"229",G2M
"230",G2M
"231",G2M
"232",S
"233",G1
"234",G2M
"235",G2M
"236",G2M
"237",G1
"238",G1
"239",G1
"240",G2M
"241",G1
"242",G2M
"243",G2M
"244",G2M
"245",G1
"246",G2M
"247",G1
"248",S
"249",S
"250",G1
"251",G2M
"252",G1
"253",G2M
"254",G1
"255",G1
"256",G2M
"257",G2M
"258",G1
"259",S
"260",G1
"261",G2M
"262",G1
"263",G1
"264",G2M
"265",G2M
"266",G1
"267",G1
"268",G2M
"269",G1
"270",S
"271",S
"272",S
"273",G1
"274",G1
"275",S
"276",G1
"277",G1
"278",G1
"279",S
"280",G2M
"281",G1
"282",G1
"283",G2M
"284",S
"285",G2M
"286",G1
"287",G2M
"288",G2M
"289",G2M
"290",G2M
"291",G2M
"292",G2M
"293",G1
"294",G1
"295",S
"296",G2M
"297",G2M
"298",G1
"299",G1
"300",S
"301",G1
"302",G2M
"303",G1
"304",G1
"305",S
"306",S
"307",G1
"308",G2M
"309",G2M
"310",G1
"311",G2M
"312",G1
"313",G1
"314",G1
"315",G2M
"316",G2M
"317",G1
"318",S
"319",G1
"320",G2M
"321",S
"322",S
"323",G1
"324",G1
"325",S
"326",G1
"327",G2M
"328",G2M
"329",G1
"330",G1
"331",G2M
"332",G1
"333",G1
"334",G2M
"335",G2M
"336",G1
"337",G1
"338",G1
"339",G2M
"340",G2M
"341",G1
"342",G2M
"343",S
"344",S
"345",G2M
"346",G1
"347",G2M
"348",G2M
"349",S
"350",G1
"351",G1
"352",S
"353",G1
"354",G1
"355",G2M
"356",G2M
"357",S
"358",G2M
"359",G1
"360",G2M
"361",G2M
"362",S
"363",G1
"364",G2M
"365",G1
"366",S
"367",G2M
