Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_IDG_Coexp	QRFPR IDG GPCR ARCHS4 coexpression	52/299	7.426389717478293e-39	2.6140891805523597e-36	0	0	10.97243176518996	963.3331920697352	RPL32;RPL34;BCCIP;PSMD8;GCSH;TRMT112;HINT1;PSMD7;C1QBP;RUVBL1;CCT3;NUDC;HSP90AA1;RFC3;PARP1;GLRX3;RPS6;ILF2;TUFM;EBNA1BP2;PSMA4;NHP2;TFAM;SNRPE;SNRPF;PFDN4;SNRPB;PCNA;NDUFB6;POMP;UQCR10;MRPL20;BRIX1;LYAR;CCT4;BTF3;SF3A3;RANBP1;GINS2;SSB;NAA10;LSM5;HSPE1;LSM3;POLE4;UQCRQ;RPA3;NDUFAB1;UBA2;RPL22L1;TOMM5;MAD2L1
ARCHS4_IDG_Coexp	UCK2 IDG kinase ARCHS4 coexpression	50/299	1.7034345928250808e-36	2.9980448833721423e-34	0	0	10.550415158836499	868.9365897488217	HSP90AB1;MCM7;YBX1;PRPF19;LMNB2;PTBP1;C1QBP;PSMD3;RUVBL1;RCC1;CCT3;PARP1;SMC1A;ILF2;SND1;TUFM;EBNA1BP2;DKC1;PSME3;MCM3;CCDC86;MCM5;MCM6;FKBP4;THOP1;KPNB1;SNRPB;MCM2;AHCY;PCNA;NOP2;SRSF1;AK2;MRPL12;PES1;POLD1;G3BP1;CCT8;RBBP7;CCT7;CCT4;RANBP1;NPM1;CBX3;RCC2;ALYREF;NONO;NPM3;HNRNPAB;MYBBP1A
ARCHS4_IDG_Coexp	PKMYT1 IDG kinase ARCHS4 coexpression	43/299	1.2817666441661247e-28	1.5039395291549198e-26	0	0	9.07335703659939	582.7285824102621	SF3B4;AHCY;PCNA;MCM7;AK2;MRPL12;PRPF19;TYMS;LMNB2;PTBP1;C1QBP;PES1;ARHGDIA;POLD1;BSG;PSMD3;RCC1;RPS2;CCT7;CCT3;RANBP1;NUDC;RRM2;PARP1;LIG1;RCC2;ALYREF;KIF22;NPM3;HNRNPAB;SMARCA4;TUFM;MYBBP1A;HNRNPUL1;MCM3;CCDC86;MCM5;MCM6;FKBP4;THOP1;KPNB1;SNRPB;MCM2
ARCHS4_IDG_Coexp	PKN3 IDG kinase ARCHS4 coexpression	43/299	1.2817666441661247e-28	1.1279546468661894e-26	0	0	9.07335703659939	582.7285824102621	AHCY;MCM7;RPL12;SRSF1;AK2;YBX1;MRPL12;PRPF19;TYMS;LMNB2;PTBP1;C1QBP;PES1;ARHGDIA;POLD1;BSG;PSMD3;EIF4H;RCC1;RPS2;CCT7;MBD3;RANBP1;PARP1;RCC2;ALYREF;NONO;NPM3;SMC1A;HNRNPAB;SND1;TUFM;EEF1G;MYBBP1A;HNRNPUL1;MCM3;UBA1;MCM5;FKBP4;THOP1;KPNB1;SNRPB;MCM2
ARCHS4_IDG_Coexp	RIOK1 IDG kinase ARCHS4 coexpression	39/299	2.0974324716335235e-24	1.4765924600300002e-22	0	0	8.22932382389247	448.67366562371245	RPL5;PCNA;HSP90AB1;PSMD14;MAK16;BCCIP;HNRNPR;G3BP1;BRIX1;CCT8;LYAR;CCT4;CCT3;SF3A3;DDX18;GINS2;NOP58;SSB;NOP16;ACTL6A;MAGOHB;LSM5;HSPE1;ILF2;LSM3;PSMA3;EIF3M;PSMA4;MSH2;DKC1;HAT1;MCM3;SNRPE;SNRPF;MCM6;SLC25A5;TOMM5;PPID;MAD2L1
ARCHS4_IDG_Coexp	VRK2 IDG kinase ARCHS4 coexpression	35/299	2.035030999723966e-20	1.1938848531713936e-18	0	0	7.3852906111855505	334.85787077298625	RPL5;SET;POMP;MAK16;PSMB6;G3BP1;DENR;BRIX1;CCT8;HELLS;NPM1;NOP58;SSB;NOP16;ACTL6A;RPA2;MAGOHB;LSM5;LSM3;PSMA5;PSMA3;EIF3M;PSMA4;PSMA1;DKC1;ARPC3;DAD1;RPA3;OSTC;HAT1;ANP32E;SLC25A5;TOMM5;NOP10;MAD2L1
ARCHS4_IDG_Coexp	CSNK2A2 IDG kinase ARCHS4 coexpression	29/299	6.624711436021637e-15	3.331283464970881e-13	0	0	6.11924079212517	199.78078723897843	YWHAE;SET;PSMD11;HSP90AB1;PSMD14;MAK16;BCCIP;BZW1;RBBP4;G3BP1;CCT8;CCT4;HELLS;NPM1;CBX5;SSB;API5;NONO;ILF2;PSMA3;MSH2;NASP;DKC1;EIF3I;HAT1;ANP32E;SRSF6;SLC25A5;MAD2L1
ARCHS4_IDG_Coexp	PIP5K1A IDG kinase ARCHS4 coexpression	29/299	6.624711436021637e-15	2.9148730318495203e-13	0	0	6.11924079212517	199.78078723897843	VCP;HDAC1;SRSF1;YBX1;PRPF19;LMNB2;PTBP1;PES1;ARHGDIA;PSMD3;EIF4H;RCC1;CCT3;TAF15;RCC2;ALYREF;NONO;SMC1A;RAD23B;HNRNPAB;SND1;MYBBP1A;HNRNPUL1;PSME3;CANX;UBA1;FKBP4;KPNB1;MCM2
ARCHS4_IDG_Coexp	PRKRA IDG kinase ARCHS4 coexpression	24/299	8.538772475400166e-11	3.3396087903787317e-09	0	0	5.0641992762415216	117.4074782036892	RPL5;HELLS;CBX5;SSB;PSMD14;NDUFB6;NDUFA5;API5;POMP;BCCIP;NDUFC1;LSM5;BZW1;ADH5;PSMA3;EIF3M;PSMA1;RBBP4;OSTC;ANP32E;SNRPE;CCT8;SRSF6;PFDN4
ARCHS4_IDG_Coexp	UCK1 IDG kinase ARCHS4 coexpression	23/299	4.94874687860459e-10	1.7419589012688154e-08	0	0	4.85319097306479	103.98794730039631	MBD3;NUDC;VCP;AHCY;RAB5C;SSNA1;MRPL12;PRPF19;NPM3;TUFM;PTBP1;MYBBP1A;PES1;ARHGDIA;BSG;PSMD3;RRS1;EIF4H;CCDC86;RPS2;THOP1;SNRPB;MCM2
ARCHS4_IDG_Coexp	CHRNA9 IDG ionchannel ARCHS4 coexpression	23/299	4.94874687860459e-10	1.5835990011534687e-08	0	0	4.85319097306479	103.98794730039631	CCT3;GINS2;NPM1;RRM1;AHCY;KDM1A;MCM7;RCC2;RPL12;NONO;SRSF1;NUCKS1;YBX1;UCK2;MYBBP1A;MSH2;CANX;G3BP1;RPL27;BRIX1;THOP1;KPNB1;MCM2
ARCHS4_IDG_Coexp	BCKDK IDG kinase ARCHS4 coexpression	21/299	1.4337517188461637e-08	4.205671708615413e-07	0	0	4.43117436671133	80.02872018580294	SF3B4;SLBP;NUDC;DUT;RAB5C;GPX4;SSNA1;IDH2;TBCB;MRPL12;OAZ1;TUFM;DRAP1;C1QBP;PES1;ARHGDIA;POLD1;BSG;PSMD3;THOP1;SNRPB
ARCHS4_IDG_Coexp	GPR19 IDG GPCR ARCHS4 coexpression	20/299	7.141412848072841e-08	1.9336748634781846e-06	0	0	4.2201660635346006	69.44186239850929	RAB2A;SMARCE1;HELLS;CBX5;PSMD14;NDUFB6;NDUFA5;NDUFC2;LSM5;HSPE1;COX7C;ADH5;LSM3;GCSH;PSMB6;SNRPE;SNRPB2;SNRPF;PFDN4;TOMM5
