Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_Kinases_Coexp	CDK4 human kinase ARCHS4 coexpression	61/299	4.855372977835051e-50	2.4179757429618555e-47	0	0	12.871506493780535	1461.5488626389185	MCM7;RPLP0;PRPF19;LMNB2;PTBP1;C1QBP;BSG;PSMD3;RUVBL1;RCC1;CCT3;NUDC;PARP1;KIF22;SND1;DDOST;TUFM;EEF1G;EBNA1BP2;PSME3;NHP2;MCM3;CCDC86;MCM5;MCM6;FKBP4;THOP1;KPNB1;SNRPB;SRSF9;MCM2;SF3B4;VCP;AHCY;PCNA;RPN1;SRSF1;AK2;MRPL12;TYMS;ATP5B;PES1;POLD1;EIF4H;RPS2;RBBP7;CCT7;ABCF2;CCT4;BTF3;RANBP1;RRM2;RCC2;ALYREF;NONO;RPA1;NPM3;HNRNPAB;MYBBP1A;EIF3I;UBA1
ARCHS4_Kinases_Coexp	VRK1 human kinase ARCHS4 coexpression	55/299	1.7492736481381243e-42	4.35569138386393e-40	0	0	11.605456674720152	1115.8573856957466	MCM7;BCCIP;HMGB3;HNRNPR;HMGB1;SNRPD2;RFC5;DDX18;HELLS;RFC3;PARP1;ACTL6A;ILF2;PSMA3;PSMA4;MSH2;DKC1;HAT1;MCM3;SNRPE;SNRPF;MCM6;PFDN4;SLC25A5;SET;PCNA;PSMD14;POMP;CDCA7;PSMB6;G3BP1;USP1;BRIX1;CCT8;LYAR;SF3A3;GINS2;NPM1;NOP58;RRM1;SSB;RRM2;RPA2;MAGOHB;LSM5;HSPE1;LSM3;EIF3M;LSM6;RAD51;NASP;RPA3;ANP32E;RPL22L1;TOMM5
ARCHS4_Kinases_Coexp	CDK2 human kinase ARCHS4 coexpression	54/299	2.907993431497915e-41	4.8272690962865376e-39	0	0	11.394448371543419	1063.5410100208403	MCM7;RPLP0;YBX1;PRPF19;LMNB2;PTBP1;RPS17;C1QBP;ARHGDIA;BSG;PSMD3;RCC1;CCT3;PARP1;LIG1;KIF22;SMC1A;RAD23B;SND1;TUFM;EEF1G;HNRNPUL1;MCM3;MCM5;MCM6;FKBP4;THOP1;KPNB1;SNRPB;MCM2;AHCY;PCNA;HDAC1;RPL12;SRSF1;AK2;MRPL12;TYMS;PES1;POLD1;EIF4H;CCT7;CCT4;RANBP1;RRM1;RRM2;CBX3;RCC2;ALYREF;NONO;RPA1;HNRNPAB;MYBBP1A;UBA2
ARCHS4_Kinases_Coexp	AURKB human kinase ARCHS4 coexpression	52/299	7.426389717478293e-39	9.245855198260477e-37	0	0	10.97243176518996	963.3331920697352	MCM7;HMGB3;HNRNPR;HMGB1;LMNB2;PTBP1;SNRPD2;C1QBP;RUVBL1;NUP62;RCC1;CCT3;RFC5;HELLS;RFC3;PARP1;ACTL6A;KIF22;ILF2;PSMA4;MSH2;DKC1;NHP2;MCM3;CCDC86;SNRPF;MCM6;SNRPB;MCM2;AHCY;PCNA;PSMD11;PSMD14;MRPL12;TYMS;G3BP1;BRIX1;CCT8;CCT7;CCT4;SF3A3;RANBP1;GINS2;NPM1;RRM1;RRM2;RCC2;NONO;HNRNPAB;NASP;EIF3I;MAD2L1
ARCHS4_Kinases_Coexp	SRPK1 human kinase ARCHS4 coexpression	51/299	1.1401267430537186e-37	1.1355662360815039e-35	0	0	10.76142346201323	915.415203006494	HSP90AB1;KDM1A;MCM7;CDCA7L;OLA1;YBX1;LMNB2;PTBP1;RPS17;C1QBP;RCC1;CCT3;RFC3;PARP1;BAZ1B;SMC1A;ILF2;MSH2;DKC1;MCM3;TFAM;MCM6;KPNB1;SNRPB;MCM2;AHCY;PCNA;RPL12;SRSF1;AK2;G3BP1;USP1;BRIX1;CCT8;RBBP7;CCT7;CCT4;BTF3;RANBP1;NPM1;RRM1;SSB;RRM2;CBX3;RCC2;NONO;NPM3;HNRNPAB;MYBBP1A;UBA2;MAD2L1
ARCHS4_Kinases_Coexp	CSNK2A1 human kinase ARCHS4 coexpression	47/299	4.809203895696169e-33	3.991639233427821e-31	0	0	9.917390249306314	738.0003789510397	YWHAE;PRIM2;SET;AHCY;HSP90AB1;KDM1A;PSMD14;MCM7;SRSF1;MAK16;OLA1;HMGB3;HNRNPR;NUCKS1;YBX1;BZW1;ADH5;LMNB2;ATP5B;G3BP1;RCC1;CCT8;CCT7;CCT4;CCT3;SF3A3;HELLS;NPM1;CBX5;SSB;PARP1;API5;RCC2;NONO;ILF2;NUDT21;MSH2;NASP;DKC1;NCL;CANX;MCM3;UBA2;TARDBP;LSM14A;KPNB1;MAD2L1
ARCHS4_Kinases_Coexp	PLK1 human kinase ARCHS4 coexpression	47/299	4.809203895696169e-33	3.421405057223847e-31	0	0	9.917390249306314	738.0003789510397	SF3B4;AHCY;PCNA;HSP90AB1;MCM7;SRSF1;YBX1;MRPL12;PRPF19;TYMS;LMNB2;PTBP1;C1QBP;PES1;POLD1;PSMD3;RUVBL1;NUP62;RCC1;CCT7;CCT4;CCT3;RANBP1;RFC3;RRM2;PARP1;RCC2;ALYREF;NONO;KIF22;NPM3;SMC1A;ILF2;HNRNPAB;TUFM;MYBBP1A;HNRNPUL1;DKC1;PSME3;MCM3;CCDC86;FKBP4;THOP1;KPNB1;MAD2L1;SNRPB;MCM2
ARCHS4_Kinases_Coexp	MELK human kinase ARCHS4 coexpression	46/299	6.421661773573479e-32	3.9974844540494905e-30	0	0	9.70638194612958	697.1419174798932	PRIM2;AHCY;PCNA;PSMD11;HSP90AB1;PSMD14;MCM7;CDCA7L;HMGB3;HNRNPR;HMGB1;TYMS;BZW1;LMNB2;RUVBL1;G3BP1;USP1;CCT8;RBBP7;CCT7;CCT4;CCT3;RFC5;HELLS;GINS2;NPM1;RFC3;RRM1;RRM2;NONO;ACTL6A;KIF22;ILF2;PSMA4;MSH2;NASP;DKC1;HAT1;MCM3;MCM6;SLC25A5;TOMM5;KPNB1;MAD2L1;SNRPB;MCM2
ARCHS4_Kinases_Coexp	MASTL human kinase ARCHS4 coexpression	45/299	8.328930074292083e-31	4.6086746411082865e-29	0	0	9.495373642952849	657.6534039818664	PCNA;HSP90AB1;MCM7;CDCA7L;SRSF1;CDCA7;TYMS;BZW1;G3BP1;USP1;BRIX1;CCT8;CCT7;CCT4;CCT3;RFC5;HELLS;RANBP1;GINS2;NPM1;RFC3;NOP58;RRM1;SSB;RRM2;PARP1;RCC2;ACTL6A;KIF22;SMC1A;ILF2;HNRNPAB;EIF3M;PSMA4;MSH2;NASP;DKC1;HAT1;MCM3;UBA2;MCM6;KPNB1;MAD2L1;SNRPB;MCM2
ARCHS4_Kinases_Coexp	CHEK1 human kinase ARCHS4 coexpression	45/299	8.328930074292083e-31	4.1478071769974577e-29	0	0	9.495373642952849	657.6534039818664	PRIM2;SET;PCNA;HSP90AB1;MCM7;CDCA7L;SRSF1;CDCA7;BCCIP;HMGB3;TYMS;G3BP1;USP1;RCC1;BRIX1;CCT8;CCT4;CCT3;SF3A3;DDX18;HELLS;GINS2;NPM1;RFC3;NOP58;RRM1;SSB;RRM2;PARP1;RCC2;HSPE1;ILF2;LSM3;PSMA4;RAD51;MSH2;NASP;DKC1;RPA3;MCM3;SNRPF;MCM6;TOMM5;MAD2L1;MCM2
