Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_TFs_Coexp	SF3A3 human tf ARCHS4 coexpression	69/299	1.0492283389137683e-60	1.808869656287336e-57	0	0	14.559572919194373	2010.7796738797795	HSP90AB1;MCM7;CDCA7L;BCCIP;HNRNPR;C1QBP;RUVBL1;RCC1;CCT3;RFC5;DDX18;HELLS;NUDC;RFC3;PARP1;GLRX3;ACTL6A;ILF2;TUFM;PSMA5;PSMA3;EBNA1BP2;PSMA4;MSH2;DKC1;NHP2;MCM3;MCM6;KPNB1;SNRPB;MCM2;SET;AHCY;PCNA;PSMD14;SRSF1;MAK16;AK2;ADH5;PSMB6;ATP5B;PSMB7;G3BP1;BRIX1;CCT8;RBBP7;CCT7;LYAR;CCT4;BTF3;RANBP1;GINS2;NPM1;NOP58;RRM1;SSB;RRM2;NOP16;API5;RCC2;NONO;LSM3;NUDT21;EIF3M;NASP;EIF3I;RSL24D1;TOMM5;MAD2L1
ARCHS4_TFs_Coexp	POLE3 human tf ARCHS4 coexpression	66/299	1.2496811305911893e-56	1.0772251345696051e-53	0	0	13.926548009664181	1792.6513969323273	HSP90AB1;MCM7;CDCA7L;RPLP0;C1QBP;RCC1;CCT3;RFC5;NUDC;RFC3;PARP1;LIG1;ACTL6A;KIF22;SMC1A;ILF2;TUFM;EEF1G;EBNA1BP2;PSMA1;DKC1;PSME3;HAT1;NHP2;MCM3;CCDC86;MCM5;MCM6;SLC25A5;SNRPB;MCM2;SF3B4;SLBP;AHCY;PCNA;SRSF1;CDCA7;AK2;MRPL12;TYMS;ATP5B;PSMB7;RRS1;USP1;BRIX1;CCT8;RBBP7;CCT7;ABCF2;CCT4;BTF3;SF3A3;RANBP1;GINS2;RRM1;RRM2;NOP16;CBX3;NONO;RPA1;NPM3;HNRNPAB;EIF3M;RAD51;EIF3I;MAD2L1
ARCHS4_TFs_Coexp	EIF3K human tf ARCHS4 coexpression	62/299	2.44976873789662e-51	1.407800434711258e-48	0	0	13.082514796957259	1524.5819311792184	RPL30;RPL32;RPL31;RPL34;COX4I1;RPLP0;RPL9;COX7C;PSMD8;RPS15;TRMT112;RPS17;HINT1;RPS16;SNRPD2;RPS19;RPLP2;RPS11;RPS13;RPL21;RPS8;RPL22;ATPIF1;RPL37A;NHP2;RPL27;SNRPF;SLC25A5;RPL28;SNRPB;SF3B5;RPL10;NDUFB10;UQCRB;NDUFB11;SSNA1;RPL12;RPL11;ATP5J;ATP5H;UQCR10;MRPL12;PSMB6;MRPL20;PSMB7;RPS3;RPL18;RPS27A;RPL19;POLR2L;BTF3;DUT;NDUFA3;RPL23A;LSM3;LSM2;PSMC4;UQCRQ;NDUFAB1;TOMM5;NOP10;TOMM6
ARCHS4_TFs_Coexp	RAD51 human tf ARCHS4 coexpression	61/299	4.855372977835051e-50	2.0926657534469077e-47	0	0	12.871506493780535	1461.5488626389185	MCM7;CDCA7L;HMGB1;SNRPD2;C1QBP;RUVBL1;RCC1;CCT3;RFC5;HELLS;NUDC;RFC3;PARP1;LIG1;ACTL6A;KIF22;ILF2;PSMA6;EBNA1BP2;PSMA4;MSH2;DKC1;HAT1;NHP2;MCM3;MCM5;SNRPF;MCM6;SLC25A5;SNRPB;MCM2;SLBP;PCNA;PSMD14;CDCA7;TYMS;PSMB6;POLD1;USP1;BRIX1;CCT8;CCT7;LYAR;CCT4;RANBP1;GINS2;NPM1;DUT;NOP58;RRM1;SSB;RRM2;NOP16;RPA1;RPA2;HNRNPAB;LSM3;NASP;RPA3;TOMM5;MAD2L1
ARCHS4_TFs_Coexp	RPA2 human tf ARCHS4 coexpression	59/299	1.7724146559475163e-47	6.111285733707038e-45	0	0	12.44948988742707	1340.1770857525487	HSP90AB1;MCM7;BCCIP;TRMT112;SNRPD2;RFC5;HELLS;RFC3;BUD31;NDUFC1;ILF2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;MSH2;DAD1;HAT1;NHP2;MCM3;SNRPE;MCM6;SLC25A5;SNRPB;NDUFB8;PCNA;PSMD11;PSMD14;PSMD13;POMP;CDCA7;ATP5J;TYMS;PMF1;PSMB6;PSMB7;PSMB3;BRIX1;CCT8;CCT7;SF3A3;GINS2;NPM1;NOP58;RRM1;RPA1;LSM5;LSM3;PSMC5;EIF3M;LSM6;RAD51;RPA3;OSTC;EIF3I;TOMM5;NOP10;MAD2L1
ARCHS4_TFs_Coexp	PRMT3 human tf ARCHS4 coexpression	59/299	1.7724146559475163e-47	5.092738111422532e-45	0	0	12.44948988742707	1340.1770857525487	HSP90AB1;MCM7;CDCA7L;BCCIP;HNRNPR;BZW1;RUVBL1;RCC1;CCT3;RFC5;DDX18;HELLS;RFC3;PARP1;GLRX3;ACTL6A;ILF2;UCHL5;EBNA1BP2;PSMA4;MSH2;DKC1;HAT1;MCM3;TFAM;MCM6;SLC25A5;KPNB1;SNRPB;MCM2;PCNA;PSMD11;PSMD14;SRSF1;CDCA7;G3BP1;USP1;BRIX1;CCT8;RBBP7;CCT7;CCT4;SF3A3;RANBP1;NPM1;NOP58;RRM1;SSB;RRM2;NOP16;API5;CBX3;RPA2;NUDT21;EIF3M;EIF3I;POLE3;TCEA1;MAD2L1
ARCHS4_TFs_Coexp	TP53 human tf ARCHS4 coexpression	58/299	3.2628992894530764e-46	8.036054821453005e-44	0	0	12.23848158425034	1281.813255805295	YWHAE;MCM7;CDCA7L;RPLP0;PRPF19;LMNB2;RPS15;PTBP1;SNRPD2;C1QBP;RCC1;RPS11;HELLS;RFC3;PARP1;LIG1;RPS6;KIF22;ILF2;EEF1G;HNRNPUL1;MSH2;DKC1;PSME3;NHP2;MCM3;RPL27;MCM5;MCM6;SNRPB;SRSF9;MCM2;SF3B4;SF3B5;AHCY;PCNA;HDAC1;RPL12;CDCA7;MRPL12;TYMS;PES1;POLD1;G3BP1;RPS3;RPS2;RPL18;CCT7;GINS2;NPM1;RRM2;RCC2;ALYREF;NONO;NPM3;HNRNPAB;MYBBP1A;NASP
ARCHS4_TFs_Coexp	BOLA3 human tf ARCHS4 coexpression	58/299	3.2628992894530764e-46	7.031547968771381e-44	0	0	12.23848158425034	1281.813255805295	COX4I1;BCCIP;COX7C;GCSH;RPS15;TRMT112;HINT1;PSMD7;SNRPD2;RPS19;RPL21;GLRX3;BUD31;ATPIF1;NDUFC1;PSMA5;PSMA3;EBNA1BP2;PSMA4;DAD1;NHP2;SNRPE;SNRPF;PFDN4;SF3B5;NDUFB8;NDUFB10;NDUFB6;MRPS36;NDUFB11;POMP;ATP5J;ATP5H;UQCR10;PSMB6;MRPL20;PSMB7;BRIX1;SNRPB2;RPS27A;LYAR;POLR2L;GINS2;SSB;NDUFA3;RPL23A;LSM5;HSPE1;LSM3;LSM6;UQCRQ;RPA3;OSTC;NDUFAB1;RPL22L1;TOMM5;NOP10;TOMM6
ARCHS4_TFs_Coexp	FARSB human tf ARCHS4 coexpression	58/299	3.2628992894530764e-46	6.250264861130116e-44	0	0	12.23848158425034	1281.813255805295	HSP90AB1;BCCIP;BZW1;SNRPD2;CCT3;RFC3;GLRX3;ACTL6A;UCHL5;PSMA5;PSMA6;PSMA3;EBNA1BP2;PSMA4;PSMA1;MSH2;DKC1;HAT1;NHP2;SNRPE;PFDN4;SLC25A5;SET;PCNA;PSMD11;PSMD14;NDUFB6;POMP;MAK16;ATP5J;PSMB6;ATP5B;PSMB7;G3BP1;USP1;BRIX1;CCT8;CCT7;CCT4;SF3A3;GINS2;NPM1;NOP58;RRM1;SSB;NOP16;NDUFA5;MAGOHB;LSM5;LSM3;EIF3M;RPA3;OSTC;EIF3I;SRPRB;RSL24D1;TOMM5;MAD2L1
ARCHS4_TFs_Coexp	COPS3 human tf ARCHS4 coexpression	58/299	3.2628992894530764e-46	5.6252383750171035e-44	0	0	12.23848158425034	1281.813255805295	HSP90AB1;MCM7;BCCIP;HNRNPR;BZW1;C1QBP;RUVBL1;RCC1;CCT3;RFC5;HELLS;RFC3;GLRX3;ACTL6A;ILF2;PSMA5;PSMA3;EBNA1BP2;PSMA4;PSMA1;MSH2;DKC1;HAT1;NHP2;MCM3;MCM6;SLC25A5;SNRPB;PCNA;PSMD11;PSMD14;PSMD13;PSMB6;ATP5B;PSMB7;G3BP1;USP1;BRIX1;CCT8;CCT7;CCT4;SF3A3;GINS2;NPM1;NOP58;RRM1;RRM2;NOP16;API5;RPA1;LSM5;NUDT21;EIF3M;RPA3;EIF3I;POLE3;TOMM5;MAD2L1
