Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Achilles_fitness_decrease	RKO-large intestine	30/246	3.800843875243718e-18	8.209822770526431e-16	0	0	7.694083249980764	308.61974732155386	EIF4A1;VCP;AHCY;PSMD11;DDX27;NDUFB10;COX4I1;ATP5A1;SRSF1;ATP5H;HSD17B10;RPS17;RBBP4;PCBP1;RUVBL1;UBE2I;SARS;EIF2S2;SMC1A;LSM2;PSMC5;EBNA1BP2;PSMA4;LSM6;MYBBP1A;PSMC4;UQCRQ;UQCRC2;SNRPF;MCM2
Achilles_fitness_decrease	KURAMOCHI-ovary	25/158	4.685193031435017e-18	5.060008473949819e-16	0	0	9.982829533202892	398.33610746553273	PSMD11;SRSF1;ATP5A1;RPS17;PSMD7;PSMB3;POLD1;RUVBL1;PSMD3;TMED2;SNRPB2;SMARCE1;RRM2;GPX4;NAA10;SMC1A;SMARCA4;PSMC5;LSM6;PSMA4;RPA3;UBA1;SNRPF;SNRPB;MAD2L1
Achilles_fitness_decrease	SF172-central nervous system	35/354	4.8536072884694215e-18	3.4945972476979837e-16	0	0	6.237858454080452	248.68351451825737	EIF4A1;VCP;RPL34;RPN1;SRSF1;NUCKS1;PMF1;PSMD8;RPS15;PSMB7;PSMD7;SNRPD2;PSMB3;PCBP1;RUVBL1;DDX18;SSB;NOP16;NAA10;RPS6;RPA2;EIF2S2;SMC1A;LSM3;LSM2;PSMC5;EBNA1BP2;PSMA4;MYBBP1A;PSMC4;EIF3I;UBA1;SNRPF;MAD2L1;SNRPB
Achilles_fitness_decrease	HCC70-breast	27/212	6.315501096830021e-17	3.4103705922882107e-15	0	0	8.035235997857269	299.72185164747424	NDUFB8;PSMD13;RPL34;ATP5A1;ATP5H;MRPL12;OAZ1;COX7C;HSD17B10;RPS15;PSMB3;PSMD3;TMED2;SNRPB2;NPM1;RRM1;SMC1A;LSM3;PSMC5;PSMA4;LSM6;PSMC4;NDUFAB1;UBA1;SNRPF;MAD2L1;SNRPB
Achilles_fitness_decrease	NCIH1299-lung	23/157	6.029227013265062e-16	2.604626069730507e-14	0	0	9.242701279913199	323.90808798157474	DDX18;UBE2I;RRM2;PSMD13;RPS6;ATP5H;PMF1;LSM3;LSM2;RPS15;PSMB6;LSM6;PSMA4;RPS15A;KARS;PSMB3;C1QBP;PSMD3;NDUFAB1;SNRPE;UQCRC2;EIF3F;MAD2L1
Achilles_fitness_decrease	HT29-large intestine	27/280	6.79682728789146e-14	2.446857823640926e-12	0	0	6.083821541234792	184.4598591924221	SF3B4;YWHAE;EIF4A1;VCP;RPL34;SRSF1;RPS15;PSMB6;PSMD7;TMED2;SNRPB2;SF3A3;UBE2I;EIF2S2;SMC1A;ILF2;LSM3;LSM2;PSMC5;EBNA1BP2;MYBBP1A;PSMC4;RPA3;SNRPF;EIF3F;MAD2L1;SNRPB
Achilles_fitness_decrease	MCF7-breast	24/217	8.633823441129318e-14	2.664151233262761e-12	0	0	6.977859832240621	209.89753957811484	RPL5;DDX18;NDUFB8;SET;PSMD11;KDM1A;PSMD14;NDUFB6;RPL34;COX4I1;ATP5A1;RPS6;ATP5H;SMARCA4;RPS15;PSMB7;RBBP4;PSMB3;UQCRQ;PSMD3;CANX;UQCRC1;UQCRC2;SNRPB
Achilles_fitness_decrease	ZR7530-breast	25/253	3.4216444893223163e-13	9.238440121170253e-12	0	0	6.234336230221568	178.94717602390136	PSMD11;KDM1A;COX4I1;ATP5A1;ATP5H;HSD17B10;PSMD8;PSMB6;PSMD7;RBBP4;PCBP1;PSMD3;RUVBL1;SMARCE1;DDX18;SSB;RPS6;RPA2;EIF2S2;LSM2;PSMC5;UQCRQ;UBA1;EIF3F;MCM2
Achilles_fitness_decrease	SKCO1-large intestine	25/273	1.8918904347757103e-12	4.540537043461705e-11	0	0	5.777608301267607	155.95754935067592	KDM1A;PSMD14;COX4I1;HSD17B10;RPS15;PSMB7;RPS15A;POLD1;TMED2;SSB;LIG1;ALYREF;RPA2;SMC1A;LSM3;SMARCA4;PSMC4;DKC1;UQCRQ;UQCRC2;SNRPF;EIF3F;TARDBP;SNRPB;MCM2
Achilles_fitness_decrease	EFO21-ovary	23/237	4.523965831000988e-12	9.771766194962136e-11	0	0	6.122802113697772	159.93758429960297	SF3A3;VCP;SET;UBE2I;RRM2;LIG1;GPX4;DYNLT3;ATP5A1;RPS6;ATP5H;HMGB1;RPS15;PSMC5;SNRPD2;C1QBP;POLD1;RUVBL1;UBA1;SNRPF;EIF3F;SNRPB;MCM2
Achilles_fitness_decrease	PANC0813-pancreas	23/240	5.871799560411678e-12	1.1530079136808386e-10	0	0	6.0462670872765525	156.36166642485358	PSMD11;NAA10;RPN1;EIF2S2;SMC1A;LSM2;PSMD8;PSMB6;PSMC5;EBNA1BP2;PSMA4;LSM6;PSMC4;POLD1;PSMD3;RUVBL1;TMED2;SNRPB2;SNRPF;BCAS2;MAD2L1;SNRPB;MCM2
Achilles_fitness_decrease	LAMA84-haematopoietic and lymphoid tissue	23/251	1.4779055260959467e-11	2.660229946972704e-10	0	0	5.7812912388301685	144.17274317710246	SF3B4;AHCY;DDX27;RRM2;KDM1A;NAA10;ACTL6A;RPS6;EIF2S2;HSD17B10;SMARCA4;PSMB6;PSMB7;PSMC5;EBNA1BP2;PSMA4;RBBP4;PSMC4;RUVBL1;SNRPF;EIF3F;TARDBP;SNRPB
