Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aging_Perturbations_from_GEO_down	Mouse primary myoblast progenitor (MP) cells 8 months vs 23 months GDS1079 aging:91	60/286	5.642799619460518e-50	1.6138406911657085e-47	0	0	13.235975381085794	1500.9447087545673	HSP90AB1;MCM7;RPLP0;HMGB3;YBX1;PRPF19;COX7C;RPL6;FBL;HINT1;PSMD7;SNRPD2;RCC1;HSP90AA1;LIG1;RPS6;PSMA5;PSMA3;PSMA4;NCL;HAT1;NHP2;MCM3;MCM5;SRSF6;FKBP4;SLC25A5;SNRPB;MCM2;AHCY;PCNA;PSMD14;CDCA7;AK2;UQCR10;TYMS;PSMB7;RBBP4;MAT2A;USP1;RPS3;RPS2;RBBP7;CCT4;SF3A3;NOP56;RANBP1;NPM1;RRM1;RRM2;RCC2;ALYREF;NONO;IDH2;RPA1;RPL23A;HNRNPAB;UBA2;TOMM5;NOP10
Aging_Perturbations_from_GEO_down	Rat myocardium 18 weeks vs 22 weeks GDS4025 aging:142	61/356	3.004182222938349e-45	4.295980578801839e-43	0	0	10.810619218090949	1108.2649401599983	RPL5;RPL32;RPL31;RPL34;OLA1;YBX1;ATP5G3;RPL9;COX7C;RPL6;RPS15;GCSH;EEF1B2;RPS17;UQCRFS1;BCAS2;HSP90AA1;RPS8;RPL23;DYNLT3;RPS6;NDUFC2;PSMA5;PSMA6;PSMA3;PSMA4;SUCLG1;RPL26;UQCRC2;SNRPF;SLC25A5;RPL10;RPL11;ATP5A1;ATP5H;OAZ1;HSD17B10;PSMB7;ATP5B;PSMB4;PSMB3;RPS3;RBBP7;RPL18;RPS27A;RPL19;CCT4;MCTS1;IVNS1ABP;NPM1;NDUFA5;RPL23A;HSPE1;EIF2S2;POLE4;EIF3M;UQCRQ;OSTC;RPL22L1;RPS21;TOMM5
Aging_Perturbations_from_GEO_down	Mouse retina 2 days vs 10 days GDS2936 aging:252	56/302	1.828290689766652e-43	1.7429704575775414e-41	0	0	11.699082875467438	1151.2807447700682	RPL5;HSP90AB1;MCM7;RPL34;RPLP0;HMGB3;RPL6;RPL7;FBL;HINT1;SNRPD2;RPS19;ARHGDIA;NUP62;RPS11;RPS5;RPS6;KIF22;NCL;MCM3;SNRPE;MCM5;RPL28;SNRPB;SRSF9;MCM2;SF3B5;PCNA;RPL10;SSNA1;TMEM165;RPS15A;PSMB3;POLD1;USP1;RPS3;RPL13;RPS2;RBBP7;RPL18;RPS27A;RPL19;BTF3;SF3A3;MBD3;RANBP1;NPM1;RCC2;ALYREF;IDH2;RPL23A;LSM2;EIF3K;NOP10;GSTM5;MAD2L1
Aging_Perturbations_from_GEO_down	Human dendriticcells(DCs) 20 years vs 77 years GSE58015 aging:187	56/310	8.27300571864677e-43	5.91519908883244e-41	0	0	11.397171059326347	1104.3649174739924	RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;RPL34;RPLP0;HMGB1;YBX1;RPL6;RPS15;EEF1B2;TRMT112;FBL;HINT1;SNRPD2;RPS19;RPL21;SSR4;RPS8;RPS5;RPL22;RPS6;PSMA5;EEF1G;PSMA6;PSMA3;NCL;MCM6;RPL28;SNRPB;MCM2;SET;PCNA;HDAC1;RPL12;RPL11;ATP5A1;UQCR10;TYMS;ATP5B;PSMB4;PCBP1;RRS1;RPS3;RPL13;RPS2;RPS27A;RPL19;BTF3;NPM1;DUT;RRM2;RPL23A;EIF3I;NOP10
Aging_Perturbations_from_GEO_down	Mouse retina 2 days vs 60 days GDS2936 aging:253	53/303	9.679508982006113e-40	5.536679137707495e-38	0	0	11.035803895846998	991.3837034226068	RPL5;HSP90AB1;MCM7;RPL34;RPLP0;HMGB3;RPL6;RPL7;FBL;HINT1;SNRPD2;RPS19;ARHGDIA;RPS11;RPS5;BUD31;ATPIF1;RPS6;KIF22;PSMA6;PSMA4;NCL;MCM3;SNRPE;MCM5;RPL28;SRSF9;MCM2;PCNA;RPL10;SSNA1;ADH5;RPS15A;PSMB3;USP1;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;BTF3;MBD3;RANBP1;NPM1;RCC2;ALYREF;NONO;IDH2;RPL23A;EIF3K;NOP10;GSTM5
Aging_Perturbations_from_GEO_down	Mouse cochlea 49 days vs 252 days GDS3028 aging:88	55/429	7.135187660060944e-34	3.4011061179623834e-32	0	0	8.08865162177465	617.3489817186332	RPL5;RPL34;COX4I1;CLTA;ATP5G3;RPL9;COX7C;RPL6;RPS17;RPLP2;RPL38;RPS11;SKP1A;RPL21;GPX4;RPS8;RPL23;RPS5;DYNLT3;NDUFC2;NDUFC1;PSMA3;RPL37A;RPL27;RPL26;UQCRC2;SLC25A5;RPL28;NDUFB8;RPL10;NDUFB10;UQCRB;NDUFB11;NDUFB5;RPL11;ATP5A1;ATP5J;ATP5H;OAZ1;PSMB7;ATP5B;RPS15A;PCBP1;RPS3;EIF4H;RPL13;RBBP7;RPS27A;RPL19;NDUFA3;RPL23A;HNRNPAB;EIF3F;RPS21;NOP10
Aging_Perturbations_from_GEO_down	Mouse brain 4 months vs 22 months GDS1311 aging:67	40/205	5.120412966125621e-32	2.0920544404456115e-30	0	0	12.310533199969225	886.967612619088	RPL5;UQCRB;NDUFB6;NDUFB11;RPL11;ATP5J;ATP5H;ATP5G3;PRPF19;RPL9;RPS15;EEF1B2;RPS17;HINT1;RPS19;RPLP2;RPL13;RPL38;RPS27A;MCTS1;NPM1;RPL21;NDUFA5;RPS8;RPL23;BUD31;NDUFA3;ATPIF1;NDUFC2;NDUFC1;RPL23A;DYNLL2;ARPC3;RPL37A;SUCLG1;RPL27;SNRPE;RPL26;RPL28;RPS21
Aging_Perturbations_from_GEO_down	Mouse liver 4 months vs 10 months GSE3150 aging:327	42/265	1.0081216318542853e-29	3.6040348338790694e-28	0	0	9.999404797333492	667.62904885502	VCP;AHCY;RPL32;NDUFB10;RPL34;COX4I1;RPLP0;ATP5A1;ATP5J;ATP5G3;RPL9;RPL6;RPS15;RPS17;HINT1;PSMB4;RPS19;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPL19;RPL21;NDUFA5;RPS8;RPL23;RPS5;IDH2;NDUFC1;RPL23A;HSPE1;RPL37A;UQCRC1;SUCLG1;RPL22L1;RPL26;EIF3F;RPL28;RPS21
Aging_Perturbations_from_GEO_down	Rat femur 6 weeks vs 26 weeks GDS509 aging:256	49/413	1.3292374546399069e-28	4.224021244744594e-27	0	0	7.485430144896541	480.4731221502375	YWHAE;RPL5;MCM7;RPL31;RPLP0;RPL9;RPL6;RPS15;RPS16;CCND2;RPS19;TMED2;RPS11;HSP90AA1;RPS8;RPL23;RPS5;RPS6;NDUFC2;SMC1A;EEF1G;DAD1;CANX;RPL27;SUCLG1;RPL26;MCM6;SLC25A5;RPL28;SNRPB;SET;PCNA;RPL10;RPL12;RPL11;ATP5A1;ATP5J;ATP5B;RPS3;EIF4H;RPS2;RBBP7;RPL18;RPS27A;RPL19;DUT;HNRNPAB;RPS21;TOMM6
Aging_Perturbations_from_GEO_down	Mouse Lung 18 months vs 26 months GDS2929 aging:503	39/257	6.537039602207965e-27	1.8695933262314784e-25	0	0	9.574193865151159	577.2502942750043	RPL32;RPL10;RPL34;RPL12;RPLP0;RPL11;ATP5J;RPL9;RPL6;RPL7;RPS15;EEF1B2;HINT1;RPS15A;RPS19;RPLP2;RPL13;RPS11;RPL18;RPS27A;SKP1A;RPL19;POLR2L;NPM1;RPL21;HSBP1;RPS8;DYNLT3;RPL22;EEF1G;RPL27;RPL22L1;SNRPE;RPL26;RPL28;RPS21;PPID;NOP10;TOMM6
