Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_up	Dorsal peduncular area, layer 6a	16/301	2.7032819605310942e-05	0.059255940574841584	0	0	3.353700074410221	35.27575635937165	RRM1;PCNA;CBX5;TAF15;RRM2;HSPA4;RPLP0;NDUFC2;HNRNPAB;PSMD8;CCND2;NASP;ARHGDIA;NHP2;PFDN4;PPID
Allen_Brain_Atlas_up	superficial dorsofrontal area	16/301	2.7032819605310942e-05	0.029627970287420792	0	0	3.353700074410221	35.27575635937165	SF3A3;NOP58;CBX5;TAF15;KDM1A;RCC2;SRSF1;UBE2D1;BAZ1B;OAZ1;HNRNPAB;PSMB7;RPS15A;PSMA1;TARDBP;RPL28
Allen_Brain_Atlas_up	superficial stratum of PCPD	16/301	2.7032819605310942e-05	0.019751980191613863	0	0	3.353700074410221	35.27575635937165	SF3A3;NOP58;CBX5;TAF15;KDM1A;RCC2;SRSF1;UBE2D1;BAZ1B;OAZ1;HNRNPAB;PSMB7;RPS15A;PSMA1;TARDBP;RPL28
Allen_Brain_Atlas_up	Taenia tecta, dorsal part, layer 4	15/301	9.94118474169578e-05	0.05447769238449288	0	0	3.1440938197595822	28.976720905390486	IVNS1ABP;RRM1;PCNA;TAF15;RRM2;HSPA4;NDUFC2;HNRNPAB;PSMB6;CCND2;NASP;POLD1;NHP2;PFDN4;LYAR
Allen_Brain_Atlas_up	Paraventricular hypothalamic nucleus, descending division	14/301	0.0003415808269629583	0.14974903454056093	0	0	2.9344875651089435	23.422863252241694	RFC5;RPL30;SSR4;ATPIF1;SARS;MAGOHB;HSPE1;LSM2;CANX;RPL13;RPS11;RPS27A;RPS21;CCT4
Allen_Brain_Atlas_up	Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	14/301	0.0003415808269629583	0.1247908621171341	0	0	2.9344875651089435	23.422863252241694	RFC5;RPL30;SSR4;ATPIF1;SARS;MAGOHB;HSPE1;LSM2;CANX;RPL13;RPS11;RPS27A;RPS21;CCT4
Allen_Brain_Atlas_up	dorsal peduncular cortex, periventricular part	14/301	0.0003415808269629583	0.10696359610040064	0	0	2.9344875651089435	23.422863252241694	IVNS1ABP;RRM1;PCNA;RRM2;MCM7;CCND2;NASP;POLD1;MCM3;RPS2;MCM6;PFDN4;PPID;MCM2
Allen_Brain_Atlas_up	hilus of the DG	14/301	0.0003415808269629583	0.09359314658785058	0	0	2.9344875651089435	23.422863252241694	NOP58;CBX5;RPL31;HDAC1;RPL22;RPLP0;SRSF1;BAZ1B;HNRNPAB;RPS15A;PSMA1;PSME3;TARDBP;SRSF6
Allen_Brain_Atlas_up	periventricular stratum of TTe	14/301	0.0003415808269629583	0.0831939080780894	0	0	2.9344875651089435	23.422863252241694	IVNS1ABP;RRM1;PCNA;RRM2;MCM7;CCND2;NASP;POLD1;MCM3;RPS2;MCM6;PFDN4;PPID;MCM2
Allen_Brain_Atlas_up	Dentate gyrus, granule cell layer	13/301	0.0010926782801119537	0.2395150790005402	0	0	2.7248813104583043	18.581302066729954	NOP58;CBX5;MEAF6;HDAC1;RPL22;RPLP0;SRSF1;HNRNPAB;RPS17;RPS15A;PSMA1;PSME3;MCM6
