Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioCarta_2016	CDK Regulation of DNA Replication Homo sapiens h mcmPathway	6/18	2.391092704773583e-07	5.6668897103133926e-05	0	0	21.030494216614088	320.6381743606377	ORC4;MCM7;MCM3;MCM5;MCM6;MCM2
BioCarta_2016	Mechanism of Protein Import into the Nucleus Homo sapiens h npcPathway	4/12	2.772501968427149e-05	0.003285414832586172	0	0	21.030494216614088	220.6766627706699	RANBP1;NUP62;RCC1;KPNB1
BioCarta_2016	Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	5/27	5.8750115054555115e-05	0.004641259089309854	0	0	11.68360789811894	113.8242487038967	SMARCE1;HDAC1;ACTL6A;BAZ1B;SMARCA4
BioCarta_2016	Cycling of Ran in nucleocytoplasmic transport Homo sapiens h ranPathway	3/9	0.00030866439376415794	0.01828836533052636	0	0	21.030494216614088	169.99486804686342	RANBP1;NUP62;RCC1
BioCarta_2016	Role of Ran in mitotic spindle regulation Homo sapiens h ranMSpathway	3/11	0.0005921810742381012	0.028069382918886002	0	0	17.20676799541153	127.87550503934219	RANBP1;RCC1;KPNB1
BioCarta_2016	Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway Homo sapiens h igf1mtorpathway	4/25	0.00060217238552948	0.02378580922841446	0	0	10.094637223974763	74.85139986318741	EIF4A1;PSMC4;RPS6;EIF2S2
BioCarta_2016	Eukaryotic protein translation Homo sapiens h eifPathway	3/14	0.0012610897120060695	0.04269689453506265	0	0	13.5196034249662	90.25388572764645	EIF5B;EIF4A1;EIF2S2
BioCarta_2016	The PRC2 Complex Sets Long-term Gene Silencing Through Modification of Histone Tails Homo sapiens h prc2Pathway	3/14	0.0012610897120060695	0.037359782718179815	0	0	13.5196034249662	90.25388572764645	RBBP4;HDAC1;RBBP7
BioCarta_2016	Basic Mechanisms of SUMOylation Homo sapiens h sumoPathway	2/6	0.0036015505938098366	0.09484083230365906	0	0	21.030494216614088	118.32577930075266	UBE2I;UBA2
BioCarta_2016	The information-processing pathway at the IFN-beta enhancer Homo sapiens h pcafpathway	3/29	0.010624941858346896	0.2518111220428214	0	0	6.5267051017078215	29.6609444338663	SMARCE1;HMGB1;SMARCA4
