Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioPlex_2017	RRS1	29/108	9.480738142059022e-28	3.7117089826161075e-24	0	0	16.941231452272465	1054.1362848450888	SF3B4;RPL32;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPS15;RPS17;RPS16;RPS19;C1QBP;RPS3;RPLP2;RPL13;BRIX1;RPS2;RPL18;RPS13;NOP56;NPM1;RPS8;RPS5;RPL23A;DKC1;NCL;RPL37A;RPL27
BioPlex_2017	CNBP	27/88	1.1606290876875071e-27	2.2719314391482953e-24	0	0	19.35761399483797	1200.5753900668492	RBM28;RPL5;RPL30;DDX27;RPL32;RPL12;RPLP0;RPL11;NOP2;MAK16;RPL6;RPL7;RRS1;RPLP2;RPL13;SURF6;BRIX1;RPL18;RPS13;NOP56;RPS8;RPS6;EBNA1BP2;DKC1;RPL37A;RPL27;RSL24D1
BioPlex_2017	ZC3HAV1	25/86	4.982078562784592e-25	6.501612524433895e-22	0	0	18.34054728193089	1026.314652975002	RBM28;RPL30;DDX27;RPL32;RPL12;HP1BP3;RPLP0;NOP2;MAK16;YBX1;RPL7;RPS15;RRS1;RPL13;BRIX1;RPL18;RPS13;NOP16;RPS8;RPS6;BAZ1B;EBNA1BP2;DKC1;RPL37A;RPL26
BioPlex_2017	RPL37A	26/101	1.831933595510117e-24	1.7930050066055274e-21	0	0	16.241371771246527	887.6993007118808	RPL5;RBM28;RPL30;DDX27;RPL32;NOP2;RPLP0;RPL6;RRS1;SURF6;RPLP2;RPL13;BRIX1;RPL18;LYAR;NOP56;NPM1;RPS8;RPL23A;EBNA1BP2;MYBBP1A;DKC1;NCL;RPL27;RPL26;RSL24D1
BioPlex_2017	KIAA0020	23/77	2.01034482944143e-23	1.5741000014526398e-20	0	0	18.84550780449834	984.8879266787787	RBM28;RPL5;RPL30;NPM1;RPL32;RPS8;RPL12;RPS6;NOP2;MAK16;RPL23A;ILF2;EBNA1BP2;MYBBP1A;DKC1;RPL37A;RRS1;RPL13;SURF6;RPL27;BRIX1;RPL18;RPL28
BioPlex_2017	RPL30	24/90	4.517188982541203e-23	2.9474658111081346e-20	0	0	16.824395373291274	865.6415099053701	RBM28;RPL5;DDX27;RPL32;RPS8;RPL12;HP1BP3;RPLP0;NOP2;MAK16;EBNA1BP2;MYBBP1A;DKC1;RPL37A;RPL13;SURF6;RPL27;BRIX1;RPL26;RPL18;RPL28;LYAR;RSL24D1;RPS13
BioPlex_2017	PSMB9	18/47	7.40929218191669e-21	4.143911270314835e-18	0	0	24.16269548291832	1119.9784371064964	PSMD11;PSMD14;PSMD13;POMP;PSMD8;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
BioPlex_2017	SART3	21/76	1.0805582849644632e-20	5.287982107044843e-18	0	0	17.433172837456418	801.4765934397133	RBM28;RPS8;HP1BP3;NOP2;YBX1;LSM5;RPL6;LSM3;LSM2;RPS15;LSM6;SNRPD2;RPL37A;RPS3;RPLP2;RPL13;RPL27;SNRPE;BRIX1;SNRPF;RPL19
BioPlex_2017	PSMB3	17/49	6.7273692366631885e-19	2.9264056179484873e-16	0	0	21.888881735659567	915.8950031675653	PSMD11;PSMD14;PSMD13;POMP;PSMD8;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMA1;PSMC4;PSME3;PSMD3
BioPlex_2017	RBM34	22/107	1.3930833255760423e-18	5.453921219630206e-16	0	0	12.972080544827385	533.3472493868527	RPL5;RBM28;RPL30;NPM1;DDX27;RPL32;RPS8;NOP2;RPLP0;MAK16;RPL6;MYBBP1A;DKC1;RPL37A;RRS1;RPLP2;RPL13;BRIX1;RPL18;RPL28;RPS13;NOP10
BioPlex_2017	PSMB1	13/27	5.120506180675053e-17	1.8224346997584398e-14	0	0	30.37738053510925	1139.476604003206	PSMD11;POMP;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4
BioPlex_2017	H2AFX	18/88	2.185016782588529e-15	7.128617253195074e-13	0	0	12.905075996558649	435.63862341578255	GINS2;NPM1;PARP1;RPS5;RPS6;RPL23A;YBX1;ILF2;RPS15;RPS16;DKC1;RPS3;CCDC86;MCM6;RPS2;RPS27A;MCM2;RPL19
BioPlex_2017	HIST1H1E	17/82	1.047332965394275e-14	3.15408350732199e-12	0	0	13.079941524967301	421.0425904709162	RBM28;DDX18;DDX27;SSB;NOP2;SRSF1;MAK16;RPS15;RPS17;EBNA1BP2;RPS16;RPS19;DKC1;RPL37A;RPS3;BRIX1;RPS2
BioPlex_2017	MAGEB10	14/49	1.9436194236727585e-14	5.4351928883420356e-12	0	0	18.026137899954936	569.1147252773221	RPL5;RPL32;RPLP0;NOP2;RPL6;RPL7;MYBBP1A;C1QBP;RPLP2;RPL13;BRIX1;LYAR;RSL24D1;RPS13
BioPlex_2017	PSMB2	11/24	2.770926522843014e-14	7.2321182246202646e-12	0	0	28.916929547844376	902.7000659345557	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMD11;PSMA4;PSMA1;PSMB3;POMP
BioPlex_2017	C16orf88	14/51	3.616474779392069e-14	8.849061725824971e-12	0	0	17.319230531329254	536.0421623771035	RBM28;RPL5;RPS8;NOP2;MAK16;ILF2;EBNA1BP2;MYBBP1A;DKC1;RPL37A;RRS1;RPL13;RPL27;RPS2
BioPlex_2017	MAK16	14/52	4.8789269558946446e-14	1.1235881783722081e-11	0	0	16.986168405726765	520.6475659942263	RBM28;RPL5;RPL30;NPM1;DDX27;RPL32;NOP2;RPS15;EBNA1BP2;DKC1;SURF6;BRIX1;RPS27A;RSL24D1
BioPlex_2017	RPL28	15/65	7.301974092162311e-14	1.5881793650453028e-11	0	0	14.559572919194373	440.3986396515838	RBM28;RPL5;RPL30;RPL32;RPS8;RPLP0;RPL6;DKC1;C1QBP;NCL;RPLP2;RPL27;BRIX1;RPL18;RPL19
BioPlex_2017	PSMB7	11/27	1.3873457979361812e-13	2.858662525747447e-11	0	0	25.703937375861674	760.996265068142	PSMB6;PSMA5;PSMA6;PSMB4;PSMA3;PSMD11;PSMA4;PSMA1;PSMB3;POMP;PSMD3
BioPlex_2017	RRP8	17/108	1.228344417850306e-12	2.4044841979419744e-10	0	0	9.9310667134011	272.3630187722991	RBM28;RPL30;NPM1;DDX27;RPL32;RPS8;RPLP0;MAK16;ILF2;EBNA1BP2;MYBBP1A;DKC1;RPL37A;BRIX1;RPL18;RPL28;RSL24D1
