Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CCLE_Proteomics_2020	SUDHL6 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx40	61/890	1.5298822544536774e-22	5.782954921834902e-20	0	0	4.32424768723638	217.21423156341183	HSP90AB1;MCM7;RPLP0;OLA1;HNRNPR;NUCKS1;HMGB1;RPL9;HINT1;ARHGDIA;FAM53B;DENR;CCT3;EIF5B;NUDC;PARP1;LIG1;PSMA4;PSMA1;PSME3;MCM3;MCM6;THOP1;ASF1B;SNRPB;MCM2;VCP;SET;PCNA;HDAC1;RPL11;POMP;TYMS;PMF1;PSMB7;MAT2A;PCBP1;POLD1;CCT7;CCT4;ABCF1;MCTS1;GINS2;RRM1;RRM2;HSPA4;RCC2;LSM1;RPA2;TBCB;LSM3;LSM2;PSMC5;LSM6;RAD51;NASP;ARPC3;POLE3;ANP32E;TCEA1;EIF3F
CCLE_Proteomics_2020	MOLM13 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx27	78/1578	4.735927766276311e-20	8.950903478262229e-18	0	0	3.1185903971404927	138.7664331213714	RPL5;RPL30;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;HP1BP3;COX7C;BZW1;RPL6;RPL7;PSMD8;RPS15;FBL;PSMD7;RPS16;CCND2;RPS19;TMED2;RPL38;RPS11;RPS13;RAB2A;RFC5;EIF5B;RPL21;RPS8;RPL22;RPS6;NDUFC2;SMC1A;EEF1G;PSMA3;PSMA4;KARS;DKC1;DAD1;HAT1;RPL37A;MCM3;MCM5;RPL26;RPL28;MCM2;PRIM2;PSMD11;PSMD13;NDUFB5;RPL11;UQCR10;ORC4;RPS15A;PES1;POLD1;RRS1;RPS3;RPL13;CCT8;RPL18;CCT7;ABCF2;RPL19;CCT4;ABCF1;NOP56;NOP58;SSB;RPA1;EIF2S2;SMARCA4;BYSL;EIF3M;MYBBP1A;UQCRQ;ARPC3;UBA2
CCLE_Proteomics_2020	RCHACV HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx42	69/1280	1.1245834399102775e-19	1.4169751342869494e-17	0	0	3.40102523659306	148.39252667611382	RPL31;OLA1;HMGB3;HMGB1;YBX1;COX7C;RPS15;EEF1B2;HINT1;SNRPD2;RPS19;RCC1;DENR;RPL38;PARP1;RPL23;RPS5;BUD31;ATPIF1;CD3EAP;KIF22;RAD23B;TFAM;SRSF6;PPID;SF1;SNRPB;SRSF9;SF3B4;SF3B5;SLBP;KHDRBS1;MEAF6;UQCRB;RPL12;RPL11;SRSF1;AK2;ATP5H;PMF1;PSMB7;PCBP1;EIF4H;SNRPB2;RPS27A;MCTS1;BTF3;MBD3;RANBP1;GINS2;DUT;UBE2I;TAF15;NAA10;CBX3;RCC2;ALYREF;NONO;LSM1;RPL23A;HNRNPAB;NUDT21;LSM6;EIF3I;TCEA1;RPS21;LSM14A;NOP10;TOMM6
CCLE_Proteomics_2020	KARPAS422 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx28	64/1206	6.851086301700276e-18	6.474276555106761e-16	0	0	3.3481383827445317	132.32554183865787	CLTA;HMGB1;YBX1;GCSH;TRMT112;CCND2;SNRPD2;C1QBP;NUP62;FAM53B;RPLP2;UQCRFS1;DENR;BCAS2;ATPIF1;CD3EAP;NDUFC1;UCHL5;PSMA5;PSMA1;NHP2;PFDN4;PPID;SF1;SF3B4;SF3B5;SLBP;NDUFB8;UQCRB;MRPS36;RPL12;SRSF1;AK2;ATP5J;ATP5H;HSD17B10;PCBP1;EIF4H;RPS27A;MCTS1;BTF3;DUT;UBE2I;TAF15;NDUFA5;NAA10;CBX3;NDUFA3;RPA2;LSM5;HNRNPAB;LSM3;LSM2;POLE4;LSM6;PSMC4;RPA3;EIF3I;NDUFAB1;POLE3;TCEA1;EIF3F;RPS21;LSM14A
CCLE_Proteomics_2020	NCIH929 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx42	61/1116	1.1609626032717924e-17	8.77687728073475e-16	0	0	3.4485487828318817	134.47511518486786	EIF4A1;HSP90AB1;RPL32;MCM7;PITPNB;RPL34;RPL9;PSMD8;PSMD7;ARHGDIA;RPS11;RPS13;HSP90AA1;SSR4;DYNLT3;SND1;DDOST;EEF1G;KARS;MSH2;DAD1;PSME3;RPL37A;MCM3;MCM5;MCM6;PFDN4;RPL28;THOP1;KPNB1;ASF1B;MCM2;AHCY;PSMD11;RPL10;PSMD14;PSMD13;RPN1;TYMS;MAT2A;PCBP1;RPS3;RPL13;CCT8;RPS2;ABCF2;CCT4;RRM1;RRM2;HSPA4;RPA1;LSM1;EIF2S2;EIF3M;EIF3K;ARPC3;OSTC;ANP32E;SRPRB;UBA1;MAD2L1
CCLE_Proteomics_2020	MONOMAC1 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx23	75/1661	4.855544303151575e-17	3.0589929109854927e-15	0	0	2.848802648246942	107.0119252024973	RPL5;EIF4A1;HSP90AB1;KDM1A;MCM7;RPL34;RPLP0;HP1BP3;HMGB1;BZW1;RPL6;RPL7;PSMD8;RPS16;PSMD3;TMED2;RPS11;RPS13;RAB2A;RFC5;EIF5B;DDX18;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPL22;SARS;SMC1A;SND1;DDOST;EEF1G;PSMA3;PSMA4;MSH2;DKC1;DAD1;HAT1;RPL37A;MCM3;MCM5;RPL26;MCM6;RPL28;THOP1;KPNB1;MCM2;PSMD11;PSMD13;NDUFB5;HDAC1;RPL11;CDCA7;ORC4;PSMB4;RPS15A;MAT2A;POLD1;RPS3;RPL13;CCT8;RPS2;RPL18;RRM1;RRM2;API5;RPA1;MAGOHB;EIF3M;UQCRQ;ARPC3;UBA2;UBA1;MAD2L1
CCLE_Proteomics_2020	WM793 SKIN TenPx18	44/625	8.77470908414855e-17	4.738342905440217e-15	0	0	4.441640378548897	164.21665215955588	RPL5;EIF4A1;RPL30;HSP90AB1;RPL10;RPL32;RPL31;RPL34;RPL11;RPL9;RPL6;RPL7;PSMD8;RPS15;ORC4;PSMD7;RPS16;RPS15A;RPS19;RPS3;RPL13;RPS2;RPS11;ABCF2;RPS13;RPL19;NOP56;HSP90AA1;RPL21;RPS8;RPL23;RPS5;BUD31;RPL22;RPS6;RPL23A;BAZ1B;SND1;UQCRQ;ARPC3;RPL37A;RPL27;RPL26;RPL28
CCLE_Proteomics_2020	LU65 LUNG TenPx22	41/569	4.875121425028266e-16	2.3034948733258558e-14	0	0	4.54613495367932	160.28406419128663	RPL5;EIF4A1;RPL30;VCP;PSMD11;RPL32;RPL31;PSMD13;PITPNB;BCCIP;BZW1;RPL7;PSMD8;RPS15;PSMD7;RPS16;PSMD3;RPL38;CCT8;RPS2;RPS11;CCT7;ABCF2;LYAR;RPS13;CCT4;CCT3;HELLS;RPL23;RPL22;SARS;RPL23A;MAGOHB;KARS;HAT1;RPL37A;UBA2;RPL26;SLC25A5;THOP1;RSL24D1
CCLE_Proteomics_2020	RL HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx40	52/907	6.063670526766497e-16	2.5467416212419292e-14	0	0	3.617152257763835	126.7415649770829	CLTA;HMGB1;YBX1;PSMD8;RPS15;EEF1B2;TRMT112;HINT1;PSMD7;ARHGDIA;FAM53B;RPLP2;DENR;EIF5B;GLRX3;ATPIF1;SARS;RAD23B;PSMA5;LUC7L3;PFDN4;PPID;SET;SSNA1;POMP;PSMB7;PCBP1;EIF4H;CCT8;CCT7;MCTS1;BTF3;RANBP1;DUT;NPM1;UBE2I;NDUFA5;NAA10;RPA2;LSM3;NASP;PSMC4;ARPC3;RPA3;EIF3I;NDUFAB1;ANP32E;TCEA1;UBA2;EIF3F;LSM14A;TOMM6
CCLE_Proteomics_2020	A375 SKIN TenPx03	26/224	2.3823296038118483e-15	9.005205902408783e-14	0	0	7.323118521856692	246.57450895157268	RPL32;RPL31;RPL34;RPL11;RPL6;RPL7;RPS15;RPS16;RPS15A;RPS19;RPL13;RPL38;RPS2;RPS11;RPL18;RPL21;RPS8;RPL23;RPS6;RPL23A;UCHL5;BYSL;RPL37A;RPL27;RPL26;RPL28
