Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CORUM	Nop56p-associated pre-rRNA complex (human)	28/104	7.29527850196207e-27	1.2095571756253113e-23	0	0	16.986168405726765	1022.2712716996741	RBM28;RPL30;RPLP0;RPL11;YBX1;RPS15;FBL;RPS17;RPS16;RPS15A;RPLP2;BRIX1;RPL18;LYAR;RPL19;NOP56;NOP58;RPS8;RPS6;RPL23A;ILF2;TUFM;EBNA1BP2;MYBBP1A;NCL;RPL37A;RPL27;RPL28
CORUM	PA700-20S-PA28 complex (human)	16/36	5.960745613436412e-20	4.941458113538786e-17	0	0	28.040658955485448	1241.262005852164	PSMD11;PSMD14;PSMD13;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMD3
CORUM	Ribosome, cytoplasmic (human)	19/81	2.2954111483024188e-17	1.2685972279618037e-14	0	0	14.799236670950654	567.0036666846172	RPL30;RPS8;RPL34;RPS5;RPLP0;RPS6;RPL11;RPL23A;RPS15;RPS17;RPS16;RPS15A;RPL37A;RPLP2;RPL38;RPL27;RPL18;RPL28;RPL19
CORUM	PA28gamma-20S proteasome (human)	10/15	2.4310175218721127e-15	1.007656762815991e-12	0	0	42.060988433228175	1415.3718818894572	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1;PSMB3;PSME3
CORUM	26S proteasome (human)	11/22	8.054926763810743e-15	2.6710137148796424e-12	0	0	31.54574132492113	1023.7379328182687	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMA4;PSMA1;PSMD13;PSMB3
CORUM	20S proteasome (human)	9/14	1.052547062164292e-13	2.9085383817806608e-11	0	0	40.55881027489861	1211.9943167116814	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1;PSMB3
CORUM	PA28-20S proteasome (human)	9/16	5.849276323844729e-13	1.3854428778477943e-10	0	0	35.488958990536275	999.6277379570578	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1;PSMB3
CORUM	60S ribosomal subunit, cytoplasmic (human)	12/47	6.4973147284513095e-12	1.346568477471534e-09	0	0	16.108463655278882	414.94809815021887	RPL30;RPL34;RPL11;RPLP0;RPL37A;RPLP2;RPL38;RPL23A;RPL27;RPL18;RPL28;RPL19
CORUM	Parvulin-associated pre-rRNP complex (mouse)	12/62	2.1722493817371415e-10	4.0017660832446456e-08	0	0	12.211254706421087	271.70148836253554	EEF1G;NOP56;RBM28;FBL;EBNA1BP2;NOP58;DDX27;MYBBP1A;NCL;PES1;NOP2;RPS3
CORUM	Spliceosome (human)	16/142	9.76589238583598e-10	1.6191849575716053e-07	0	0	7.108899453503356	147.4880169449786	SF3B4;SF3A3;BUD31;PRPF19;LSM3;LSM2;NUDT21;LSM6;SNRPD2;LUC7L3;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
CORUM	Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial (mouse)	6/10	3.010661449901738e-09	4.5378878944882576e-07	0	0	37.854889589905355	742.7548024553706	UQCRB;UQCRQ;UQCRC1;UQCRFS1;UQCRC2;UQCR10
CORUM	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle) (human)	8/25	3.119770507874659e-09	4.3104829183801526e-07	0	0	20.189274447949533	395.41716377032105	RPL30;RPL34;RPL11;RPL37A;RPLP2;RPL27;RPL28;RPL19
CORUM	MCM complex (human)	5/6	5.741036561945111e-09	7.322029707465379e-07	0	0	52.576235541535226	997.6669851321687	MCM7;MCM3;MCM5;MCM6;MCM2
CORUM	PA700 complex (human)	7/20	1.5275553457875247e-08	1.8090619737969403e-06	0	0	22.082018927444796	397.4103618213433	PSMD8;PSMC5;PSMD11;PSMD7;PSMD14;PSMD13;PSMD3
CORUM	LSm1-7 complex (human)	5/7	1.983285804984728e-08	2.1921919097764532e-06	0	0	45.065344749887345	799.2756096089827	LSM6;LSM1;LSM5;LSM3;LSM2
CORUM	RC complex during S-phase of cell cycle (human)	6/13	2.363246563048839e-08	2.44891425095936e-06	0	0	29.119145838388746	511.3509655315463	LIG1;PARP1;RPA3;POLD1;RPA1;RPA2
CORUM	17S U2 snRNP (human)	8/33	3.5865073102020934e-08	3.4978994825382768e-06	0	0	15.294904884810247	262.208231092476	SF3B4;SF3A3;SF3B5;SNRPD2;SNRPB2;SNRPE;SNRPF;SNRPB
CORUM	18S U11/U12 snRNP (human)	7/24	6.458497823565544e-08	5.948994106373152e-06	0	0	18.40168243953733	304.6450786481354	SF3B4;SF3B5;SNRPD2;SNRPE;YBX1;SNRPF;SNRPB
CORUM	HDAC1-associated protein complex (human)	5/9	1.1592836996103857e-07	1.0116275652389577e-05	0	0	35.050823694356815	559.7719360991159	MBD3;KDM1A;RBBP4;HDAC1;RBBP7
CORUM	DNA synthesome complex (17 subunits) (human)	6/18	2.391092704773583e-07	1.9822158522573006e-05	0	0	21.030494216614088	320.6381743606377	POLE4;PRIM2;PCNA;POLD1;POLE3;RPA1
CORUM	LARC complex (LCR-associated remodeling complex) (human)	6/19	3.448234170445749e-07	2.722462978380501e-05	0	0	19.92362609995019	296.4682062547008	SMARCE1;MBD3;RBBP4;HDAC1;ACTL6A;SMARCA4
CORUM	HCF-1 complex (human)	6/19	3.448234170445749e-07	2.5987146611813876e-05	0	0	19.92362609995019	296.4682062547008	HSP90AA1;HSP90AB1;RBBP4;HDAC1;HSPA4;RBBP7
CORUM	40S ribosomal subunit, cytoplasmic (human)	7/31	4.4611331102282935e-07	3.215895085547178e-05	0	0	14.246463824157932	208.3216647933953	RPS15;RPS17;RPS16;RPS15A;RPS8;RPS5;RPS6
CORUM	C complex spliceosome (human)	10/80	5.360941722873161e-07	3.703517240218208e-05	0	0	7.886435331230284	113.8718927187871	SF3A3;SNRPD2;HNRNPR;SNRPE;SNRPB2;SNRPF;PRPF19;LSM3;SNRPB;LSM2
CORUM	MTA1 complex (human)	4/6	9.059513253385536e-07	6.008269189645288e-05	0	0	42.060988433228175	585.2483809521997	MBD3;RBBP4;HDAC1;RBBP7
CORUM	RC complex during G2/M-phase of cell cycle (human)	5/13	1.1238715390803431e-06	7.166842353058497e-05	0	0	24.26595486532395	332.41279063573637	PARP1;RPA3;POLD1;RPA1;RPA2
CORUM	immunoproteasome (mouse)	5/14	1.7255824613777634e-06	0.00010596354522090118	0	0	22.532672374943672	299.0073435264788	PSMA5;PSMA6;PSMB4;PSMA1;PSMB3
CORUM	Mi2/NuRD complex (human)	4/7	2.08746313102095e-06	0.000123607638258312	0	0	36.05227579990987	471.5479420338439	MBD3;RBBP4;HDAC1;RBBP7
CORUM	LSm2-8 complex (human)	4/7	2.08746313102095e-06	0.00011934530590457712	0	0	36.05227579990987	471.5479420338439	LSM6;LSM5;LSM3;LSM2
CORUM	12S U11 snRNP (human)	5/15	2.55483106144092e-06	0.0001411969966623015	0	0	21.030494216614088	270.8207036227433	SNRPD2;SNRPE;YBX1;SNRPF;SNRPB
CORUM	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial (human)	5/15	2.55483106144092e-06	0.00013664225483448533	0	0	21.030494216614088	270.8207036227433	ATP5B;ATPIF1;ATP5A1;ATP5J;ATP5H
CORUM	Respiratory chain complex I, mitochondrial (mouse)	7/40	2.798850434041558e-06	0.0001450154381137782	0	0	11.041009463722396	141.17367900709093	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFC2
CORUM	Emerin complex 25 (human)	5/16	3.667975618304055e-06	0.00018428798712570067	0	0	19.716088328075713	246.76401125253247	YWHAE;SSB;G3BP1;BCCIP;LSM2
CORUM	SNF2h-cohesin-NuRD complex (human)	5/16	3.667975618304055e-06	0.0001788677522102389	0	0	19.716088328075713	246.76401125253247	MBD3;RBBP4;HDAC1;RBBP7;SMC1A
