Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ChEA_2013	MYC-19030024-MESC-mouse	199/3868	1.7893462160622082e-65	6.316392142699595e-63	0	0	3.24591650654566	483.9212949420185	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;RPL9;RPL6;RPL7;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;CD3EAP;SND1;KARS;PSME3;CCDC86;RPL27;SUCLG1;RPL26;RPL28;SLBP;SET;RPN1;CDCA7;MRPL12;ADH5;MRPL20;ATP5B;PCBP1;RRS1;SURF6;LYAR;BTF3;RCC2;H13;UCK2;ANP32E;CALM3;RPS21;CLTA;PRPF19;COX7C;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;ACTL6A;ATPIF1;BAZ1B;UCHL5;PSMA6;PSMA3;PSMA1;CANX;SF3B4;PRIM2;AHCY;PCNA;RPL10;RPL12;RPL11;ATP5A1;TMEM165;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;MBD3;RANBP1;NPM1;RPA1;RPA2;BYSL;NUDT21;PSMC5;MYBBP1A;NDUFAB1;TCEA1;RPL22L1;TARDBP;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;DKC1;NCL;HAT1;SNRPE;FKBP4;PPID;KPNB1;SNRPB;UQCRB;PSMD14;AK2;PMF1;MYG1;G3BP1;IVNS1ABP;UBE2I;CBX5;CBX3;HSPA4;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;UQCRQ;SRPRB;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;CDCA7L;HMGB1;YBX1;ATP5G3;PTBP1;BCAS2;EIF5B;HSP90AA1;BUD31;NDUFC1;SMC1A;RAD23B;DAD1;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;NDUFB5;POMP;RBBP4;MAT2A;POLD1;RBBP7;ABCF2;SMARCE1;DUT;RRM1;SSB;TAF15;RRM2;NDUFA3;RPL23A;HSPE1;POLE4;RAD51
ChEA_2013	EKLF-21900194-ERYTHROCYTE-MOUSE	110/1239	2.5434011063332406e-53	4.489102952678171e-51	0	0	5.601342285296731	678.3421987183508	RPL32;PITPNB;BZW1;RPL6;RPL7;GCSH;FBL;RPS16;CCND2;SNRPD2;RUVBL1;RCC1;RPS11;LIG1;RPS8;CD3EAP;SARS;ILF2;EBNA1BP2;KARS;MSH2;NCL;UQCRC1;CCDC86;RPL27;SUCLG1;SNRPE;SNRPF;FKBP4;SF1;SNRPB;KHDRBS1;SET;NDUFB10;UQCRB;PSMD13;RPN1;CDCA7;ATP5J;RRS1;SURF6;LYAR;UBE2I;HSPA4;RCC2;IDH2;TBCB;H13;LSM5;SMARCA4;LSM2;DRAP1;LSM6;NASP;CALM3;RBM28;MCM7;CDCA7L;HMGB3;YBX1;PTBP1;HINT1;TMED2;RPLP2;CCT3;RFC5;HELLS;PARP1;HSBP1;ACTL6A;DYNLL2;RAD23B;UCHL5;PSMA5;EEF1G;PSMA3;PSMA4;PSMA1;RPL37A;MCM3;MCM5;SLC25A5;THOP1;MCM2;PRIM2;DDX27;HDAC1;PSMB7;PSMB4;PSMB3;POLD1;USP1;RPS3;EIF4H;SNRPB2;RPS27A;RPL19;CCT4;ABCF1;MBD3;RRM1;SSB;NDUFA5;TAF12;BYSL;NUDT21;PSMC5;RAD51;PSMC4;NDUFAB1
ChEA_2013	MYC-18555785-MESC-mouse	100/1200	1.7954354558891215e-45	2.1126290530962e-43	0	0	5.257623554153524	541.6986414216764	RPL5;RPL30;RPL32;RPL31;UBE2D1;NUCKS1;RPL6;RPL7;RPS15;GCSH;EEF1B2;RPS17;PSMD7;RPS19;RCC1;DENR;RPL38;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;EBNA1BP2;KARS;CCDC86;TFAM;RPL27;SNRPE;RPL26;FKBP4;RPL28;KPNB1;SF1;SLBP;SET;RPN1;CDCA7;PMF1;MRPL20;ATP5B;LYAR;BTF3;IVNS1ABP;EIF2S2;SMARCA4;DRAP1;UCK2;LSM6;RPS21;YWHAE;HSP90AB1;MCM7;CDCA7L;PRPF19;COX7C;HINT1;C1QBP;NUP62;RPLP2;EIF5B;NUDC;PARP1;ATPIF1;EEF1G;MCM5;MCM6;MCM2;SF3B4;AHCY;PCNA;RPL10;NDUFB5;RPL12;RPL11;ATP5A1;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;CCT7;ABCF2;CCT4;SMARCE1;RANBP1;NPM1;SSB;TAF15;RRM2;RPA2;RPL23A;HSPE1;NPM3;POLE4;TARDBP
ChEA_2013	MYC-18358816-MESC-mouse	162/3413	1.7039756899008289e-44	1.5037585463374813e-42	0	0	2.9946733633971427	301.8055171985291	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;BCCIP;NUCKS1;RPL9;RPL6;RPL7;RPS15;GCSH;EEF1B2;FBL;RPS17;PSMD7;SNRPD2;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPL38;RPS11;GOLGA7;RPS13;DDX18;RPL21;LIG1;RPS8;RPL23;RPS5;RPL22;RPS6;CD3EAP;TUFM;EBNA1BP2;KARS;PSME3;NCL;UQCRC1;CCDC86;RPL27;RPL26;RPL28;PPID;KPNB1;ASF1B;SLBP;KHDRBS1;SET;NDUFB11;PSMD13;CDCA7;AK2;ATP5J;MRPL12;PMF1;ADH5;MRPL20;ATP5B;MYG1;PCBP1;RRS1;SURF6;UBE2I;CBX5;CBX3;HSPA4;RCC2;NONO;EIF2S2;LSM2;UCK2;NASP;UQCRQ;ARPC3;CALM3;RPS21;LSM14A;YWHAE;HSP90AB1;MCM7;YBX1;PRPF19;COX7C;PTBP1;HINT1;C1QBP;RPLP2;BCAS2;CCT3;EIF5B;HSP90AA1;SSR4;PARP1;ATPIF1;KIF22;SMC1A;RAD23B;UCHL5;DDOST;PSMA5;EEF1G;PSMA6;PSMA3;CANX;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;SF3B5;AHCY;PCNA;RPL10;NDUFB6;NDUFB5;SSNA1;RPL12;RPL11;PSMB4;RPS15A;RBBP4;MAT2A;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;ABCF2;RPL19;CCT4;RANBP1;DUT;NPM1;RRM1;TAF15;RRM2;NDUFA5;TAF12;RPA1;RPA2;RPL23A;HSPE1;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;POLE3;TCEA1;RPL22L1;TARDBP
ChEA_2013	CREM-20920259-GC1-SPG-MOUSE	205/5776	2.211106645360778e-40	1.5610412916247097e-38	0	0	2.2392233281194023	204.46328187055352	RPL5;EIF4A1;RPL30;RPL31;PITPNB;RPL34;HNRNPR;RPL6;RPL7;PSMD8;PSMD7;RPS16;SNRPD2;RPS19;BSG;PSMD3;RCC1;FAM53B;DENR;RPL38;RPS11;GOLGA7;RPS13;RPL21;RPL23;RPL22;CD3EAP;SND1;PSME3;CCDC86;TFAM;RPL27;SUCLG1;RPL26;ASF1B;SF1;SLBP;SET;MEAF6;RPN1;ATP5J;MRPL12;OAZ1;ADH5;ATP5B;PCBP1;RRS1;LYAR;BTF3;RCC2;H13;MAGOHB;SMARCA4;UCK2;ANP32E;CALM3;GSTM5;ARF2;RPLP0;OLA1;CLTA;TRMT112;HINT1;TMED2;RPLP2;CCT3;NUDC;SSR4;ACTL6A;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA3;PSMA1;CANX;SF3B4;SF3B5;PRIM2;PCNA;MRPS36;ATP5A1;TMEM165;PSMB4;PSMB3;USP1;RPS3;RPL13;CCT8;RPL18;CCT7;CCT4;MBD3;GINS2;NPM1;GCA;RPA2;NPM3;BYSL;NUDT21;PSMC5;RPA3;RPL22L1;TARDBP;TOMM6;NUCKS1;BZW1;EEF1B2;FBL;ARHGDIA;RAB2A;RPS5;RPS6;ILF2;EBNA1BP2;HNRNPUL1;MSH2;NCL;HAT1;NHP2;SNRPF;FKBP4;PPID;KPNB1;SNRPB;KHDRBS1;VCP;RAB5C;PSMD11;NDUFB10;PSMD13;NOP2;AK2;PMF1;G3BP1;IVNS1ABP;API5;HSPA4;EIF2S2;LSM2;DRAP1;LSM6;NASP;UQCRQ;ARPC3;OSTC;UBA2;LSM14A;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;HP1BP3;HMGB1;YBX1;PTBP1;NUP62;UQCRFS1;SKP1A;BCAS2;EIF5B;HSP90AA1;RFC3;GPX4;BUD31;NDUFC1;RAD23B;DDOST;EEF1G;DAD1;RPL37A;MCM5;MCM6;MCM2;DDX27;NDUFB6;HDAC1;POMP;MAK16;RBBP4;MAT2A;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;NOP58;RRM1;SSB;TAF15;RRM2;TXNRD3;NDUFA5;TAF12;HSPE1;HNRNPAB;POLE4;RAD51;EIF3K;EIF3I;POLE3
ChEA_2013	E2F1-18555785-MESC-mouse	165/4172	4.670213337758704e-35	2.7476421803813708e-33	0	0	2.495228820044097	197.24602544461726	EIF4A1;RPL30;RPL32;RPL31;UBE2D1;NUCKS1;RPL6;RPL7;RPS15;GCSH;EEF1B2;RPS17;PSMD7;RPS16;SNRPD2;ARHGDIA;BSG;RCC1;DENR;RPS11;DDX18;RPL21;RPS8;RPS5;RPS6;SARS;SND1;EBNA1BP2;MSH2;NCL;UQCRC1;TFAM;RPL27;SUCLG1;SNRPE;RPL26;UQCRC2;FKBP4;RPL28;PPID;KPNB1;ASF1B;SNRPB;SLBP;VCP;SET;PSMD11;NDUFB10;UQCRB;PSMD13;RPN1;AK2;OAZ1;PMF1;ATP5B;MYG1;PCBP1;LYAR;MCTS1;IVNS1ABP;API5;HSPA4;RCC2;NONO;IDH2;H13;EIF2S2;LSM5;UCK2;LSM6;NASP;UQCRQ;ANP32E;SRPRB;RPS21;YWHAE;HSP90AB1;MCM7;CDCA7L;HP1BP3;YBX1;ATP5G3;PRPF19;COX7C;LMNB2;PTBP1;C1QBP;NUP62;RPLP2;SKP1A;BCAS2;CCT3;RFC5;EIF5B;NUDC;HSP90AA1;RFC3;PARP1;HSBP1;BUD31;ACTL6A;ATPIF1;NDUFC1;KIF22;DYNLL2;RAD23B;DDOST;PSMA5;EEF1G;PSMA3;PSMA1;RPL37A;MCM6;SLC25A5;THOP1;MCM2;SF3B5;NDUFB8;AHCY;PCNA;RPL10;MRPS36;HDAC1;SSNA1;RPL12;RPL11;ATP5A1;TYMS;HSD17B10;TMEM165;PSMB7;RPS15A;MAT2A;PSMB3;PES1;POLD1;RPS3;EIF4H;RPS2;RBBP7;RPL18;RPS27A;RPL19;CCT4;ABCF1;SF3A3;SMARCE1;RANBP1;DUT;RRM1;SSB;TAF15;RRM2;GCA;NDUFA3;RPA1;RPA2;RPL23A;HSPE1;POLE4;NUDT21;RPA3;RPL22L1;TARDBP;MAD2L1
ChEA_2013	MYC-19079543-MESC-mouse	93/1458	1.446519327557443e-32	7.294590323253962e-31	0	0	4.0243538315743015	295.0397172352351	RPL5;EIF4A1;RPL30;RPL32;MCM7;RPL31;YBX1;ATP5G3;RPL9;RPL6;LMNB2;RPL7;RPS15;EEF1B2;FBL;PTBP1;RPS17;PSMD7;RPS16;RPS19;ARHGDIA;RCC1;TMED2;RPLP2;RPL38;RPS11;GOLGA7;RPS13;BCAS2;HELLS;HSP90AA1;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;ATPIF1;RPS6;UCHL5;EEF1G;EBNA1BP2;PSME3;NCL;CANX;RPL37A;RPL27;RPL26;RPL28;SLBP;VCP;SET;PCNA;RPL10;NDUFB10;PSMD14;RPL12;RPL11;ATP5A1;CDCA7;TYMS;PSMB6;ATP5B;RPS15A;MAT2A;PCBP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;MBD3;IVNS1ABP;RANBP1;NPM1;RRM1;NDUFA5;TAF12;HSPA4;RCC2;RPA2;RPL23A;BYSL;NUDT21;LSM6;MYBBP1A;NASP;ANP32E;SRPRB;RPS21
ChEA_2013	ZFX-18555785-MESC-mouse	140/3249	3.1459392465782345e-32	1.3881456925526458e-30	0	0	2.718623444437648	197.1997298382629	RPL30;RPL32;PITPNB;UBE2D1;NUCKS1;RPL6;RPL7;GCSH;FBL;PSMD7;RPS16;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPS11;RPL23;RPS5;RPL22;RPS6;CD3EAP;ILF2;EBNA1BP2;PSME3;NCL;HAT1;UQCRC1;CCDC86;TFAM;RPL27;SNRPE;RPL26;UQCRC2;RPL28;PPID;KPNB1;ASF1B;SF1;SNRPB;KHDRBS1;VCP;SET;PSMD11;NDUFB10;PSMD14;RPN1;CDCA7;AK2;MRPL12;OAZ1;PMF1;ADH5;ATP5B;PCBP1;BTF3;UBE2I;CBX5;API5;CBX3;HSPA4;NONO;EIF2S2;LSM3;LSM6;UQCRQ;ANP32E;SRPRB;RPS21;ARF2;HSP90AB1;CDCA7L;HP1BP3;PRPF19;COX7C;HINT1;C1QBP;TMED2;RPLP2;UQCRFS1;SKP1A;BCAS2;EIF5B;NUDC;HSP90AA1;PARP1;NDUFC2;BAZ1B;DYNLL2;RAD23B;DDOST;PSMA6;PSMA3;PSMA1;CANX;MCM5;MCM6;SLC25A5;SF3B4;NDUFB8;AHCY;DDX27;SSNA1;RPL12;RPL11;ATP5A1;TMEM165;PSMB7;RPS15A;RBBP4;PES1;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;ABCF2;CCT4;SF3A3;MBD3;SMARCE1;RANBP1;SSB;TAF15;GCA;TAF12;RPA2;RPL23A;RAD51;MYBBP1A;PSMC4;NDUFAB1;TCEA1;RPL22L1;TARDBP;MAD2L1
ChEA_2013	XRN2-22483619-HELA-HUMAN	93/1529	5.920764095381951e-31	2.322255250744253e-29	0	0	3.837480632070197	267.09506968756193	YWHAE;RPL5;EIF4A1;HSP90AB1;RPL32;KDM1A;MCM7;RPL31;RPLP0;HNRNPR;YBX1;PRPF19;RPL9;RPL6;FBL;PTBP1;RPS17;CCND2;SNRPD2;RPS19;ARHGDIA;BSG;NUP62;RCC1;RPLP2;RPL38;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;NDUFC2;ILF2;PSMA6;KARS;HNRNPUL1;NCL;HAT1;RPL37A;RPL27;RPL26;RPL28;KPNB1;SF1;SNRPB;SF3B5;KHDRBS1;SET;DDX27;RPL10;NDUFB6;NDUFB11;SSNA1;RPL12;RPL11;ATP5J;OAZ1;PMF1;MRPL20;ATP5B;PSMB4;RPS15A;MAT2A;PCBP1;PES1;G3BP1;RPL13;SURF6;RPS2;RBBP7;RPL18;CCT7;RPL19;CCT4;POLR2L;SF3A3;NOP56;NPM1;NOP58;API5;POLR3GL;HSPA4;NONO;RPL23A;HNRNPAB;MYBBP1A;NASP;UQCRQ;RPL22L1;CALM3;RPS21;TOMM6
ChEA_2013	ETS1-20019798-JURKAT-HUMAN	93/1607	2.72378500836177e-29	9.614961079517045e-28	0	0	3.6512183487463172	240.15138449907784	RPL5;RBM28;RPL32;RPL34;COX4I1;RPLP0;PRPF19;RPL9;COX7C;RPL6;LMNB2;RPL7;PSMD8;RPS15;PTBP1;PSMD7;RPS16;RPS19;PSMD3;RUVBL1;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;BCAS2;CCT3;DDX18;RPL21;LIG1;RPL23;RPS5;RPL22;RPS6;UCHL5;TUFM;PSMA1;PSME3;MCM3;CCDC86;RPL27;SUCLG1;SNRPE;RPL26;UQCRC2;SNRPB;SF3B4;SF3B5;RAB5C;AHCY;PSMD11;NDUFB10;SSNA1;RPL12;RPL11;MRPL12;PSMB6;MRPL20;PSMB7;PSMB4;RPS15A;PSMB3;PCBP1;PES1;RPS3;RPL13;SURF6;SNRPB2;CCT8;CCT7;ABCF2;CCT4;MCTS1;SF3A3;RRM1;API5;NDUFA3;RPA2;RPL23A;HSPE1;MAGOHB;EIF2S2;LSM5;PSMC5;EIF3K;PSMC4;NDUFAB1;POLE3;SRPRB;EIF3F;RPS21;TOMM5;TOMM6
