Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chromosome_Location	chr1p35	7/121	0.003185992551188085	1.0	0	0	3.6499204838751735	20.983361492481613	EBNA1BP2;NUDC;RBBP4;TAF12;ATPIF1;AK2;RPA2
Chromosome_Location	chr16q23	3/52	0.04933175061086125	1.0	0	0	3.6398932297985933	10.953120759329224	GCSH;KARS;HSBP1
Chromosome_Location	chr19q12	2/25	0.059143514638614614	1.0	0	0	5.047318611987381	14.272748705089743	UQCRFS1;UBA2
Chromosome_Location	chr2p12	2/36	0.11106621966724832	1.0	0	0	3.505082369435682	7.702869547740151	POLE4;PCBP1
Chromosome_Location	chr11p	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	RPS13
Chromosome_Location	chr2q31	4/128	0.14609867457737286	1.0	0	0	1.971608832807571	3.7923364201303067	SSB;HAT1;CDCA7;ATP5G3
Chromosome_Location	chr19p	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	RPS15
Chromosome_Location	chr15q	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	RPS17
Chromosome_Location	chr2q33	4/146	0.20186764035419832	1.0	0	0	1.7285337712285551	2.765901287100057	EEF1B2;RPL37A;HSPE1;BZW1
Chromosome_Location	chr17q12	4/150	0.21504038966509184	1.0	0	0	1.6824395373291274	2.5857908047787093	PSMD11;PSMB3;RPL23;PSME3
Chromosome_Location	chr13q12	4/152	0.2217142428217051	1.0	0	0	1.660302174995849	2.5010226145660126	RFC3;RPL21;POMP;HMGB1
Chromosome_Location	chr1p	1/16	0.2256469557111145	1.0	0	0	3.943217665615142	5.8705979652933165	SF3A3
Chromosome_Location	chr21q21	2/57	0.2284281151278476	1.0	0	0	2.213736233327799	3.268656179688163	ATP5J;CCT8
Chromosome_Location	chr1p13	4/154	0.2284422258837129	1.0	0	0	1.6387398090868124	2.419553347353831	PSMA5;SARS;BCAS2;GSTM5
Chromosome_Location	chr12q23	3/106	0.23661378183515105	1.0	0	0	1.785607999523838	2.573643377691272	CLTA;SNRPF;RPL6
Chromosome_Location	chr8p11	2/59	0.2401570937617512	1.0	0	0	2.138694327113297	3.050766213823958	LSM1;GOLGA7
Chromosome_Location	chr3p13	1/19	0.26191720835230675	1.0	0	0	3.320604349991698	4.448702718958836	TXNRD3
Chromosome_Location	chr17p13	7/328	0.2654103752576278	1.0	0	0	1.3464645687466341	1.7860557156622805	PSMB6;YWHAE;EIF4A1;MYBBP1A;C1QBP;RPA1;RPL26
Chromosome_Location	chr1p32	3/113	0.26635541053910194	1.0	0	0	1.6749951145975823	2.2158907883889847	KHDRBS1;UCK2;TACSTD2
Chromosome_Location	chr11p12	1/20	0.2736269274435734	1.0	0	0	3.1545741324921135	4.088295517532074	API5
Chromosome_Location	chr4q27	1/21	0.2851514477875881	1.0	0	0	3.0043563166591563	3.769670554629064	MAD2L1
Chromosome_Location	chr4p13	1/23	0.3076565262162307	1.0	0	0	2.74310794129749	3.23349689453046	RPL9
Chromosome_Location	chr16p12	3/131	0.3441918450519091	1.0	0	0	1.4448431141185254	1.5410062195031586	RPS15A;NDUFAB1;UQCRC2
Chromosome_Location	chr2q14	2/79	0.3570195111243976	1.0	0	0	1.5972527253124629	1.6451141567486365	PSMD14;MCM6
Chromosome_Location	chr4q23	1/29	0.3710213899619185	1.0	0	0	2.1755683672359405	2.157066383450023	ADH5
Chromosome_Location	chr2p15	1/29	0.3710213899619185	1.0	0	0	2.1755683672359405	2.157066383450023	CCT4
Chromosome_Location	chrxq28	4/195	0.3733291875371395	1.0	0	0	1.294184259483944	1.2751529023492667	SSR4;RPL10;DKC1;HMGB3
Chromosome_Location	chr3q21	3/142	0.39160227252715857	1.0	0	0	1.332918647531879	1.2496226487197453	RUVBL1;RPN1;MCM2
Chromosome_Location	chr9q33	2/87	0.4022042441906066	1.0	0	0	1.450378911490627	1.3209982222142282	POLE3;SURF6
Chromosome_Location	chr1q22	2/87	0.4022042441906066	1.0	0	0	1.450378911490627	1.3209982222142282	ANP32E;PMF1
Chromosome_Location	chr1p34	4/207	0.4162496852243089	1.0	0	0	1.2191590850211067	1.0685563558184623	NASP;RPS8;HDAC1;YBX1
Chromosome_Location	chr1q12	1/34	0.4193851587034612	1.0	0	0	1.85563184264242	1.6124801412388206	SF3B4
