Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ClinVar_2019	diamond-blackfan anemia	8/19	2.3683511166126577e-10	4.310399032235037e-08	0	0	26.564834799933593	588.7738853943582	RPL5;RPS17;RPS15A;RPS19;RPL11;RPL27;RPL26;RPL18
ClinVar_2019	dyskeratosis congenita	3/8	0.00020821847630148984	0.01894788134343557	0	0	23.659305993690854	200.55810716115468	DKC1;NHP2;NOP10
ClinVar_2019	congenital disorder of glycosylation	3/37	0.020595942121096673	1.0	0	0	5.115525620257482	19.861852879205536	SSR4;DDOST;TMEM165
ClinVar_2019	amyotrophic lateral sclerosis	2/17	0.029114143729149805	1.0	0	0	7.422527370569679	26.24999951071361	VCP;TARDBP
ClinVar_2019	familial colorectal cancer	2/17	0.029114143729149805	1.0	0	0	7.422527370569679	26.24999951071361	MSH2;POLD1
ClinVar_2019	de lange syndrome	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	SMC1A
ClinVar_2019	familial adenomatous polyposis 1	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	MSH2
ClinVar_2019	carcinoma of colon	2/30	0.08149201388085803	1.0	0	0	4.206098843322819	10.545742387922193	MSH2;POLD1
ClinVar_2019	meningioma, familial	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	SMARCE1
ClinVar_2019	combined oxidative phosphorylation deficiency	2/37	0.1162359537087768	1.0	0	0	3.4103504135049887	7.339527905624001	C1QBP;TUFM
ClinVar_2019	lynch syndrome	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	MSH2
ClinVar_2019	autism spectrum disorder	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	RPL10
ClinVar_2019	mitochondrial dna deletion syndromes	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	SUCLG1
ClinVar_2019	myocardial infarction 1	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	PSMA6
ClinVar_2019	acute myeloid leukemia	1/20	0.2736269274435734	1.0	0	0	3.1545741324921135	4.088295517532074	NPM1
ClinVar_2019	neoplasm of the breast	1/27	0.35056974048286826	1.0	0	0	2.336721579623788	2.4493413203101504	RAD51
ClinVar_2019	familial cancer of breast	1/27	0.35056974048286826	1.0	0	0	2.336721579623788	2.4493413203101504	RAD51
ClinVar_2019	mitochondrial diseases	1/60	0.6171237001002169	1.0	0	0	1.0515247108307046	0.5075560344746267	SUCLG1
ClinVar_2019	hereditary hearing loss and deafness	1/170	0.9346299634964208	1.0	0	0	0.371126368528484	0.02508984560916109	SUCLG1
