Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DSigDB	clindamycin HL60 DOWN	109/1626	7.233948203106937e-41	2.912387546570853e-37	0	0	4.229379833230508	390.9097519604657	EIF4A1;KDM1A;NUCKS1;SNRPD2;BSG;RUVBL1;GOLGA7;RAB2A;DDX18;SARS;ILF2;TUFM;EBNA1BP2;KARS;MSH2;DKC1;PSME3;HAT1;UQCRC1;UQCRC2;SRSF6;FKBP4;SRSF9;VCP;SET;PSMD11;PSMD14;PSMD13;NOP2;AK2;MRPL12;ATP5B;ORC4;PCBP1;BTF3;UBE2I;NOP16;API5;HSPA4;IDH2;TBCB;EIF2S2;LSM3;SMARCA4;LSM2;DRAP1;UCK2;NASP;UQCRQ;SRPRB;CALM3;LSM14A;RBM28;MCM7;CLTA;PRPF19;COX7C;LMNB2;TRMT112;PTBP1;NUP62;BCAS2;RFC5;HELLS;EIF5B;NUDC;RFC3;GPX4;GLRX3;BUD31;DYNLT3;KIF22;RAD23B;UCHL5;PSMA5;PSMA6;PSMA3;DAD1;CANX;RPL37A;MCM3;MCM5;MCM2;SF3B5;NDUFB8;RPL10;SRSF1;UQCR10;PSMB7;PSMB4;RBBP4;PSMB3;EIF4H;CCT7;POLR2L;SF3A3;SMARCE1;NOP56;RANBP1;RRM1;NAA10;NDUFA3;RPA1;RPA2;NUDT21;PSMC5;EIF3K;PSMC4;TCEA1
DSigDB	ambroxol PC3 DOWN	59/622	4.176441012961849e-29	8.407175759092202e-26	0	0	5.98456185906864	391.0642363061029	YWHAE;EIF4A1;HSP90AB1;MCM7;CLTA;YBX1;PSMD8;PTBP1;BSG;PSMD3;NUP62;TMED2;RPLP2;UQCRFS1;RFC5;NUDC;GPX4;GLRX3;RPS6;ILF2;DDOST;PSMA1;PSME3;UQCRC1;MCM3;UQCRC2;FKBP4;ASF1B;SF3B5;NDUFB8;RPL10;NDUFB11;PSMD13;RPL11;SRSF1;AK2;UQCR10;OAZ1;PSMB6;RBBP4;MAT2A;PSMB3;RPL13;RPL18;ABCF2;POLR2L;RRM1;NOP16;TAF12;NONO;RPA1;TBCB;SMARCA4;LSM2;DRAP1;NUDT21;NASP;UBA1;NOP10
DSigDB	7646-79-9 CTD 00000928	123/3094	2.734517879292531e-24	3.669722994010577e-21	0	0	2.5081617213738197	136.08304078980947	EIF4A1;KDM1A;UBE2D1;HNRNPR;NUCKS1;PSMD8;GCSH;CCND2;RPS19;BSG;PSMD3;RUVBL1;RCC1;DENR;RPS11;GOLGA7;WLS;RPL21;CD3EAP;ILF2;EBNA1BP2;HNRNPUL1;DKC1;PSME3;NCL;HAT1;UQCRC1;NHP2;TFAM;RPL27;UQCRC2;SNRPF;ASF1B;SNRPB;KHDRBS1;SET;PSMD14;PSMD13;AK2;MRPL12;OAZ1;PMF1;MRPL20;ORC4;RRS1;MCTS1;IVNS1ABP;CBX5;NOP16;CBX3;HSPA4;RCC2;IDH2;LSM5;LSM3;SMARCA4;DRAP1;UCK2;NASP;UQCRQ;CALM3;UBA1;LSM14A;YWHAE;HSP90AB1;MCM7;COX4I1;CDCA7L;CLTA;HMGB3;HMGB1;PRPF19;LMNB2;PTBP1;C1QBP;BCAS2;RFC5;EIF5B;SSR4;PARP1;HSBP1;KIF22;SMC1A;DDOST;EEF1G;DAD1;CANX;RPL37A;MCM3;LUC7L3;MCM5;MCM6;THOP1;MCM2;SF3B5;NDUFB8;PCNA;HDAC1;SRSF1;UQCR10;TYMS;PSMB6;PSMB4;RBBP4;MAT2A;RBBP7;ABCF2;POLR2L;RANBP1;GINS2;DUT;RRM1;TAF15;RRM2;NAA10;NDUFA3;HSPE1;HNRNPAB;POLE4;MYBBP1A;PSMC4;RPA3;EIF3F
DSigDB	glibenclamide HL60 DOWN	76/1333	3.2444551817623727e-23	3.265544140443828e-20	0	0	3.5971137894883816	186.2675796871327	EIF4A1;KDM1A;MCM7;HNRNPR;HMGB1;COX7C;PTBP1;BSG;RAB2A;RFC5;EIF5B;DDX18;NUDC;RFC3;GPX4;HSBP1;SARS;RAD23B;DDOST;TUFM;PSMA5;PSMA6;DKC1;DAD1;PSME3;CANX;RPL37A;MCM3;TFAM;LUC7L3;SNRPE;MCM5;UQCRC2;SRSF6;PPID;KPNB1;SF1;SRSF9;MCM2;VCP;SET;AHCY;PSMD11;RPL10;PSMD14;PSMD13;SRSF1;AK2;PSMB7;ORC4;PSMB4;RBBP4;PCBP1;EIF4H;CCT7;MCTS1;BTF3;SF3A3;DUT;RRM1;UBE2I;RRM2;GCA;NOP16;API5;NDUFA3;IDH2;RPA1;TBCB;LSM5;LSM3;SMARCA4;LSM2;EIF3K;POLE3;LSM14A
DSigDB	Disodium selenite CTD 00007229	76/1370	1.7201882323232028e-22	1.3850955646666428e-19	0	0	3.499965460867162	175.39880322347759	RPL5;RPL30;HSP90AB1;RPL32;COX4I1;RPLP0;CLTA;RPL9;RPL6;RPL7;RPS15;TRMT112;FBL;HINT1;PSMD7;RPS16;CCND2;RUVBL1;RPLP2;GOLGA7;RPS13;CCT3;EIF5B;DDX18;PARP1;GPX4;RPS5;DYNLT3;RPL22;SND1;UCHL5;TUFM;PSMA1;DKC1;NCL;RPL37A;UQCRC1;CCDC86;SUCLG1;SNRPF;SLC25A5;RPL28;SF3B5;KHDRBS1;RAB5C;PCNA;RPL10;MEAF6;NDUFB10;UQCRB;MRPS36;RPL12;SRSF1;ATP5H;MRPL12;MRPL20;PSMB7;ORC4;RBBP4;RRS1;RPS3;EIF4H;ABCF1;POLR2L;MCTS1;NOP58;SSB;NDUFA3;LSM6;RAD51;PSMC4;NDUFAB1;POLE3;TCEA1;RPL22L1;TARDBP
DSigDB	paclitaxel PC3 DOWN	42/417	8.527878540593802e-22	5.72220650073844e-19	0	0	6.354537820847424	308.28107023744036	YWHAE;SF3B5;EIF4A1;NDUFB8;HSP90AB1;MCM7;RPL11;SRSF1;AK2;UQCR10;OAZ1;LMNB2;PSMD8;PSMB6;MAT2A;PSMB3;POLD1;BSG;NUP62;TMED2;UQCRFS1;RPL18;ABCF2;RAB2A;RFC5;RRM1;NOP16;GPX4;TAF12;RPS6;TBCB;ILF2;DDOST;SMARCA4;LSM2;DRAP1;NASP;UQCRC1;MCM3;UBA1;FKBP4;MAD2L1
DSigDB	chlorzoxazone HL60 DOWN	66/1286	1.0316552257205864e-17	5.933491341072973e-15	0	0	3.2379765590121226	126.64627144621193	EIF4A1;KDM1A;BCCIP;HNRNPR;COX7C;PTBP1;CCND2;BSG;PSMD3;NUP62;RUVBL1;TMED2;RPL38;GOLGA7;RAB2A;RFC5;RFC3;BUD31;DYNLT3;UCHL5;HNRNPUL1;PSMA1;MSH2;DAD1;PSME3;CANX;MCM3;TFAM;SNRPE;MCM5;SNRPF;SRSF6;PPID;KPNB1;SF1;PRIM2;SET;RAB5C;PSMD11;MEAF6;AK2;RBBP4;MAT2A;PCBP1;USP1;BRIX1;BTF3;SF3A3;DUT;RRM1;RRM2;GCA;NOP16;TAF12;API5;HSPA4;LSM1;TBCB;SMARCA4;LSM2;NUDT21;UCK2;LSM6;PSMC4;CALM3;LSM14A
DSigDB	puromycin PC3 DOWN	46/722	7.293469880288069e-16	3.6704387172549693e-13	0	0	4.019678949989952	140.10342594996126	YWHAE;SF3B5;EIF4A1;RPL10;MCM7;SSNA1;RPL11;SRSF1;AK2;TACSTD2;HMGB3;HNRNPR;UQCR10;HMGB1;ATP5G3;OAZ1;PTBP1;RBBP4;MAT2A;BSG;NUP62;RRS1;TMED2;RFC5;RRM1;NOP16;GLRX3;NONO;RPS6;RPA1;TBCB;ILF2;HNRNPAB;DDOST;SMARCA4;LSM2;NUDT21;UCK2;NASP;DAD1;POLE3;MCM3;CALM3;UQCRC2;SRSF6;ASF1B
DSigDB	Enterolactone CTD 00001393	53/971	2.3582379941286998e-15	1.0549184627069048e-12	0	0	3.443716354728775	115.98733416532959	YWHAE;MCM7;CDCA7L;HMGB1;LMNB2;PTBP1;ARHGDIA;BSG;RAB2A;RFC5;HELLS;RFC3;PARP1;LIG1;SMC1A;ILF2;UCHL5;DKC1;MCM3;MCM5;MCM6;FKBP4;ASF1B;SF1;SNRPB;MCM2;SLBP;PRIM2;PCNA;MEAF6;SRSF1;TACSTD2;TYMS;RBBP4;POLD1;USP1;ABCF1;RANBP1;GINS2;DUT;RRM1;RRM2;RPA1;LSM2;UCK2;RAD51;NASP;RPA3;POLE3;ANP32E;SRPRB;CALM3;MAD2L1
DSigDB	amikacin PC3 DOWN	31/335	2.7385201191027344e-15	1.1025281999507609e-12	0	0	5.838316304910778	195.7666783579287	SF3B5;NDUFB8;HSP90AB1;RPL11;SRSF1;AK2;UQCR10;YBX1;ATP5G3;MRPL12;OAZ1;PTBP1;MAT2A;BSG;NUP62;TMED2;RPL18;RFC5;RRM1;NOP16;TAF12;GLRX3;NONO;RPS6;TBCB;ILF2;DDOST;SMARCA4;LSM2;FKBP4;NOP10
