Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HCC-56	23/341	6.229580804501606e-09	3.4761060889118963e-06	0	0	4.255437246177045	80.40204746462494	SLBP;SET;MEAF6;TAF12;NDUFB5;COX4I1;ATP5A1;BCCIP;CD3EAP;NDUFC2;ATP5J;NDUFC1;UQCR10;TYMS;UCHL5;GCSH;CCND2;PSME3;G3BP1;RPL22L1;SNRPB2;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	23132/87	25/468	1.3484848598031112e-07	3.762272758850681e-05	0	0	3.3702715090727717	53.31470926305403	SLBP;SET;NDUFB5;HDAC1;COX4I1;ATP5A1;BCCIP;ATP5J;UQCR10;TYMS;SNRPB2;NDUFA5;TAF12;HSBP1;CD3EAP;NDUFC2;NDUFC1;NPM3;UCHL5;SMARCA4;TUFM;ANP32E;RPL22L1;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	CHLA-266	24/453	2.8132751955803705e-07	5.2326918637794896e-05	0	0	3.3425951072764124	50.418856569445026	YWHAE;SLBP;KHDRBS1;SSB;MEAF6;NDUFA5;TAF12;GLRX3;PITPNB;COX4I1;POMP;ATP5A1;CD3EAP;ATP5J;KIF22;NPM3;UCHL5;SMARCA4;POLE4;POLE3;SNRPB2;PFDN4;LSM14A;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SW1573	21/362	3.6699299143118146e-07	5.1195522304649814e-05	0	0	3.6600031371455466	54.233644980711965	SLBP;KHDRBS1;SET;HSP90AB1;MEAF6;NDUFA5;TAF12;GLRX3;NDUFB5;COX4I1;NDUFA3;ATP5A1;BCCIP;CD3EAP;NDUFC2;ATP5J;NDUFC1;UQCR10;TUFM;GCSH;RPL22L1
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SLR 23	20/347	7.742675412888315e-07	8.640825760783359e-05	0	0	3.6363966945154047	51.16900467278304	KHDRBS1;SSB;SET;MEAF6;NDUFA5;TAF12;GLRX3;NDUFB5;COX4I1;NDUFA3;ATP5A1;CD3EAP;NDUFC2;UCHL5;POLE4;POLE3;USP1;RPL22L1;SNRPB2;LSM14A
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Mel Ho	23/451	9.688473751045992e-07	9.010280588472772e-05	0	0	3.2175257227192287	44.553589448914096	RANBP1;SET;NDUFA5;TAF12;NDUFB5;COX4I1;ATP5A1;ATPIF1;BCCIP;NDUFC2;NDUFC1;UQCR10;KIF22;UCHL5;SMARCA4;TUFM;GCSH;PSME3;ARHGDIA;POLE3;USP1;SNRPB2;SRSF9
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	IST-Mes1	21/395	1.5042942561110986e-06	0.000119913742129999	0	0	3.3542307231561717	44.9707975488289	SLBP;KHDRBS1;KDM1A;NDUFA5;GLRX3;NDUFB5;NDUFA3;POMP;ATP5A1;BCCIP;NDUFC2;UQCR10;UCHL5;SMARCA4;TMEM165;BSG;POLE3;SUCLG1;RPL22L1;ASF1B;SRSF9
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H1048	17/287	3.6584568391513724e-06	0.0002551773645308083	0	0	3.737126149990657	46.78309833650508	RANBP1;HSP90AB1;SSB;LIG1;GLRX3;MRPS36;API5;NDUFB5;COX4I1;ATP5A1;ATP5J;NDUFC2;UQCR10;TYMS;SMARCA4;GCSH;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HuP-T3	24/528	4.161751529014156e-06	0.0002580285947988777	0	0	2.8677946659019216	35.5307557547331	SLBP;RANBP1;HSP90AB1;MEAF6;LIG1;NDUFA5;TAF12;NDUFB5;COX4I1;NDUFA3;ATP5A1;BCCIP;CD3EAP;NDUFC2;ATP5J;NDUFC1;UQCR10;ATP5H;NPM3;SMARCA4;GCSH;SNRPB2;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HARA	20/389	4.439612578640395e-06	0.00024773038188813406	0	0	3.2437780282695257	39.979380738090015	SLBP;SSB;MEAF6;TAF12;GLRX3;COX4I1;NDUFA3;ATP5A1;CD3EAP;NDUFC2;ATP5J;TYMS;UCHL5;SMARCA4;GCSH;BSG;HAT1;POLE3;SNRPB2;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	TUHR10TKB	22/459	4.573614640384507e-06	0.00023200699721223227	0	0	3.0239926324543136	37.18061452349981	YWHAE;SSB;MEAF6;TAF12;GLRX3;API5;NDUFB5;COX4I1;ATP5A1;NDUFC2;ATP5J;NDUFC1;UQCR10;NPM3;TYMS;UCHL5;SMARCA4;GCSH;POLE4;POLE3;SUCLG1;SNRPB2
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	CCF-STTG1	16/266	5.826122608178413e-06	0.0002709147012802962	0	0	3.794976399990512	45.74145339872215	RANBP1;SET;NDUFA5;NDUFB5;COX4I1;NDUFA3;ATP5A1;BCCIP;CD3EAP;NDUFC2;NDUFC1;UQCR10;SMARCA4;TUFM;SNRPB2;PFDN4
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H1437	20/403	7.503000811641524e-06	0.0003220518809919977	0	0	3.131090950364381	36.947522944556496	BTF3;SLBP;NDUFA5;TAF12;NDUFB5;COX4I1;NDUFA3;ATP5A1;BCCIP;NDUFC2;ATP5J;NDUFC1;UQCR10;TYMS;SMARCA4;PSME3;POLE3;SNRPB2;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	143B	18/336	7.670766976908512e-06	0.0003057348552224964	0	0	3.3799008562415502	39.808789828509795	SLBP;MEAF6;NDUFA5;TAF12;NDUFB5;COX4I1;NDUFA3;ATP5A1;CD3EAP;NDUFC2;ATP5J;NDUFC1;ATP5H;TYMS;GCSH;HAT1;USP1;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KPL-1	23/512	8.028118653159265e-06	0.00029864601389752464	0	0	2.8341876971608837	33.252278192300444	SLBP;KHDRBS1;SET;LIG1;NDUFA5;GLRX3;API5;NDUFB5;NDUFA3;NDUFC2;ATP5J;NDUFC1;UQCR10;KIF22;TYMS;TUFM;POLE4;BSG;POLE3;SNRPB2;PFDN4;ASF1B;GSTM5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SK-MM-2	20/414	1.1131096138533026e-05	0.00038819697783133933	0	0	3.047897712552767	34.76361393036394	BTF3;SET;MEAF6;NDUFA5;TAF12;API5;HDAC1;COX4I1;POMP;ATP5A1;BCCIP;NDUFC2;ATP5J;NDUFC1;UQCR10;OAZ1;UCHL5;SMARCA4;GCSH;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Kelly	19/380	1.1438921164692167e-05	0.0003754657652881312	0	0	3.1545741324921135	35.89428668847052	BTF3;MBD3;SLBP;SET;MEAF6;LIG1;GLRX3;ATP5A1;NDUFC2;ATP5J;KIF22;BAZ1B;TYMS;SMARCA4;POLE3;USP1;SUCLG1;RPL22L1;PFDN4
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SLR 20	19/381	1.1868734266774189e-05	0.0003679307622699998	0	0	3.146294410359588	35.684022085623006	SSB;LIG1;KDM1A;NDUFA5;TAF12;MRPS36;COX4I1;ATP5A1;NDUFC2;ATP5J;NDUFC1;TYMS;SMARCA4;GCSH;POLE4;POLE3;RPL22L1;SNRPB2;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KS-1 [Human Krukenberg tumour]	19/382	1.2313008261560505e-05	0.00036161361105004	0	0	3.1380580375576	35.47528881226736	SLBP;SSB;SET;PARP1;NDUFA5;GLRX3;SSNA1;ATP5A1;CD3EAP;KIF22;NPM3;TYMS;UCHL5;TMEM165;TUFM;EIF3K;RPL22L1;SNRPB2;FKBP4
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H1703	22/494	1.4489898941114856e-05	0.0004042681804571045	0	0	2.809742142300668	31.306312095042426	BTF3;SET;HSP90AB1;MEAF6;NDUFA5;TAF12;API5;COX4I1;ATP5A1;CD3EAP;NDUFC2;ATP5J;NDUFC1;UQCR10;KIF22;ATP5H;NPM3;TYMS;SMARCA4;GCSH;CCND2;ANP32E
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	WM115	18/353	1.4972051139840399e-05	0.00039782878743004486	0	0	3.2171294269041386	35.740137503708944	SET;MEAF6;NDUFA5;TAF12;GLRX3;API5;NDUFB5;COX4I1;ATP5A1;BCCIP;NDUFC2;NDUFC1;UQCR10;NPM3;POLE3;USP1;THOP1;SRSF9
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	GB-1	18/354	1.5550879035303e-05	0.00039442684098632156	0	0	3.208041490669946	35.51748935893266	BTF3;RANBP1;SSB;NDUFA5;NDUFB5;COX4I1;NDUFA3;POMP;ATP5A1;BCCIP;CD3EAP;NDUFC2;ATP5J;NDUFC1;UQCR10;NPM3;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HEC-59	20/424	1.572846051702947e-05	0.0003815861290653237	0	0	2.97601333253973	32.91482267398515	SLBP;KHDRBS1;SET;NDUFA5;NDUFB5;COX4I1;ATP5A1;NDUFC2;ATP5J;NDUFC1;UQCR10;NPM3;TYMS;SMARCA4;TUFM;GCSH;RPL22L1;SNRPB2;LSM14A;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KMBC-2	18/357	1.7409445765990586e-05	0.00040476961405928094	0	0	3.1810831588155764	34.85989228510343	BTF3;SLBP;SSB;SET;TAF12;GLRX3;COX4I1;NDUFA3;ATP5A1;BCCIP;NDUFC2;ATP5J;NDUFC1;UQCR10;ATP5H;SNRPB2;PFDN4;ASF1B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NUGC-3	17/324	1.7952003530471803e-05	0.00040068871880013065	0	0	3.3103555711336994	36.17493284717029	BTF3;SLBP;RANBP1;SSB;MEAF6;NDUFA5;TAF12;NDUFB5;COX4I1;ATP5A1;NDUFC2;ATP5J;UCHL5;SMARCA4;RPL22L1;SNRPB2;ASF1B
