Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	EW-7	46/639	6.822764075258027e-18	2.217398324458859e-15	0	0	4.541796873071587	179.52027583989377	YWHAE;RBM28;NDUFB8;HSP90AB1;KDM1A;NDUFB10;NDUFB5;COX4I1;OLA1;ATP5J;ATP5H;TYMS;COX7C;PTBP1;ATP5B;USP1;SURF6;MCTS1;BTF3;RANBP1;LIG1;GPX4;NDUFA5;GLRX3;NDUFA3;CD3EAP;NDUFC2;NDUFC1;BAZ1B;MAGOHB;UCHL5;SMARCA4;DRAP1;EEF1G;NASP;UQCRQ;ARPC3;UQCRC1;CCDC86;TFAM;SRPRB;RPL22L1;UQCRC2;SRSF6;SLC25A5;LSM14A
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	OCI-AML2	39/492	1.1198722976841167e-16	1.8197924837366888e-14	0	0	5.001154112487497	183.683122558015	YWHAE;NDUFB8;AHCY;KDM1A;NDUFB6;COX4I1;OLA1;ATP5J;UQCR10;ATP5H;TYMS;COX7C;HSD17B10;GCSH;MRPL20;PTBP1;ATP5B;USP1;LIG1;GPX4;NDUFA5;API5;NDUFA3;NDUFC2;NDUFC1;BAZ1B;TUFM;EEF1G;PSMC5;NASP;UQCRQ;NDUFAB1;UQCRC1;CCDC86;TFAM;RPL22L1;UQCRC2;SRSF6;SLC25A5
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	NCI-H23	43/679	8.76721247821059e-15	9.49781351806147e-13	0	0	3.9954841737013513	129.32486277535918	NDUFB8;AHCY;HSP90AB1;NDUFB10;NDUFB6;COX4I1;RPN1;OLA1;HMGB3;ATP5J;TYMS;OAZ1;ADH5;PSMD8;PTBP1;ATP5B;MCTS1;BTF3;RANBP1;HSP90AA1;GPX4;HSBP1;CBX3;NDUFA3;NDUFC2;UCHL5;TUFM;EEF1G;PSMC5;NASP;UQCRQ;ARPC3;OSTC;UQCRC1;ANP32E;CCDC86;TFAM;SRPRB;UQCRC2;SRSF6;SLC25A5;LSM14A;ASF1B
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	CAL-51	40/592	9.851981818680616e-15	8.004735227678e-13	0	0	4.262938016881234	137.48445630530574	RBM28;NDUFB8;AHCY;UQCRB;NDUFB6;NDUFB5;COX4I1;RPN1;OLA1;UQCR10;ATP5H;TYMS;COX7C;HSD17B10;ADH5;PTBP1;ATP5B;SURF6;MCTS1;RANBP1;GPX4;NDUFA5;GLRX3;CBX3;NDUFA3;CD3EAP;NDUFC2;NDUFC1;MAGOHB;TUFM;EEF1G;UQCRQ;NDUFAB1;UQCRC1;TFAM;TCEA1;SRPRB;RPL22L1;PFDN4;LSM14A
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	HGC-27	46/776	1.0612722858385521e-14	6.898269857950589e-13	0	0	3.739959023057661	120.33962493239979	YWHAE;NDUFB8;AHCY;RPL10;KDM1A;NDUFB6;NDUFB5;PITPNB;COX4I1;RPN1;NOP2;HMGB3;UQCR10;ATP5H;MRPL12;COX7C;PSMD8;MRPL20;ATP5B;CCND2;C1QBP;SURF6;MCTS1;BTF3;RANBP1;NDUFA5;HSBP1;NDUFA3;NDUFC2;NDUFC1;BAZ1B;TUFM;EEF1G;NASP;EIF3K;UQCRQ;ARPC3;NDUFAB1;UQCRC1;CCDC86;TFAM;SRPRB;UQCRC2;SRSF6;SLC25A5;LSM14A
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	U-251MG	31/374	5.594322793045438e-14	3.0302581795662787e-12	0	0	5.229507920174092	159.57550045820602	NDUFB8;AHCY;RPL10;MEAF6;NDUFB6;COX4I1;RPN1;HMGB3;ATP5J;ATP5H;COX7C;HSD17B10;MRPL20;ATP5B;SURF6;GPX4;NDUFA3;NDUFC2;NDUFC1;BAZ1B;TUFM;DRAP1;EEF1G;PSMC5;UQCRQ;ARPC3;NDUFAB1;CCDC86;TFAM;SRPRB;SLC25A5
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	NCI-H1155	33/431	7.873524451883638e-14	3.655564924088832e-12	0	0	4.830670365301148	145.75429771514655	YWHAE;RPL10;MEAF6;NDUFB10;UQCRB;NDUFB6;COX4I1;RPN1;OLA1;ATP5H;MRPL12;COX7C;ADH5;PSMD8;GCSH;ATP5B;SURF6;MCTS1;NDUFA5;HSBP1;CBX3;NDUFA3;NDUFC2;MAGOHB;EEF1G;PSMC5;ARPC3;NDUFAB1;UQCRC1;CCDC86;TFAM;UQCRC2;SRSF6
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	RKO	45/794	1.056998854122636e-13	4.294057844873208e-12	0	0	3.5757137521950915	106.83579260664631	YWHAE;RBM28;NDUFB8;AHCY;RPL10;UQCRB;NDUFB5;HDAC1;COX4I1;RPN1;OLA1;AK2;ATP5J;UQCR10;HMGB1;ATP5H;HSD17B10;PSMD8;GCSH;MRPL20;PTBP1;ATP5B;EIF4H;SURF6;MCTS1;NDUFA5;NDUFA3;CD3EAP;NDUFC2;NDUFC1;TUFM;EEF1G;NASP;UQCRQ;NDUFAB1;UQCRC1;CCDC86;TFAM;TCEA1;SRPRB;RPL22L1;UQCRC2;SRSF6;PFDN4;SLC25A5
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	TOV-112D	40/638	1.1431012808076827e-13	4.127865736249964e-12	0	0	3.9555788495198914	117.87570075415087	NDUFB8;UQCRB;NDUFB11;RPN1;NOP2;OLA1;AK2;HMGB3;ATP5J;ATP5H;HSD17B10;PSMD8;GCSH;MRPL20;PTBP1;ATP5B;MCTS1;BTF3;RANBP1;NDUFA5;GLRX3;NDUFA3;CD3EAP;NDUFC2;NDUFC1;TUFM;EEF1G;PSMC5;NASP;EIF3K;UQCRQ;ARPC3;OSTC;NDUFAB1;UQCRC1;CCDC86;TFAM;SRPRB;UQCRC2;SLC25A5
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	KON	38/584	1.5757548447266968e-13	5.121203245361765e-12	0	0	4.105267706667819	121.01866036781121	RBM28;NDUFB8;HSP90AB1;RPL10;UQCRB;NDUFB6;NDUFB5;COX4I1;RPN1;NOP2;HMGB1;ATP5H;MRPL12;COX7C;HSD17B10;GCSH;MRPL20;USP1;RBBP7;MCTS1;BTF3;NDUFA5;HSBP1;NDUFA3;CD3EAP;NDUFC2;NDUFC1;TUFM;EEF1G;NASP;EIF3K;UQCRQ;UQCRC1;TFAM;UQCRC2;SRSF6;SLC25A5;LSM14A
