Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DisGeNET	HIV Coinfection	22/103	5.786167408029685e-19	5.686645328611574e-15	0	0	13.475850663073109	565.9001107495027	CCT3;SF3A3;EIF4A1;RANBP1;HSP90AA1;HSP90AB1;PSMD13;ALYREF;SRSF1;ILF2;PSMD8;PSMA5;PSMA6;PSMB4;PSMC5;PSMA4;ARHGDIA;PSME3;PSMD3;CCT7;KPNB1;SRSF9
DisGeNET	HIV Infections	39/806	5.851800343066773e-10	2.875574688583012e-06	0	0	3.052813676605272	64.90007601024946	YWHAE;KHDRBS1;EIF4A1;HSP90AB1;MCM7;PSMD13;SRSF1;HMGB1;PSMD8;PSMB6;FBL;PTBP1;PSMB4;PSMD7;ARHGDIA;PSMD3;TMED2;CCT7;CCT3;SF3A3;RANBP1;HSP90AA1;PARP1;HSPA4;ALYREF;SARS;HSPE1;ILF2;PSMA5;PSMA6;PSMC5;EBNA1BP2;PSMA4;PSME3;NCL;POLE3;FKBP4;KPNB1;SRSF9
DisGeNET	Disease Exacerbation	16/144	1.2022927646239767e-09	3.938711096908149e-06	0	0	7.010164738871364	143.9820221935606	NOP56;RRM1;TAF15;KDM1A;RPS6;PRPF19;RPS15;RPS19;RPL13;SUCLG1;RPL18;ABCF2;CCT7;RPS21;SNRPB;ABCF1
DisGeNET	Cytopenia	18/206	5.43571406137186e-09	1.335554944879066e-05	0	0	5.512847998529908	104.91101313080374	RPL5;NPM1;RPL31;POLR3GL;RPL11;IDH2;SMC1A;RPL9;RPS17;RPS19;DKC1;NHP2;RPL13;RPL27;RPL26;RPL18;NOP10;RPL19
DisGeNET	Congenital anemia	18/208	6.33390784562876e-09	1.2449929261367893e-05	0	0	5.459839844697889	103.06729916455386	RPL5;NPM1;RPL31;POLR3GL;RPL11;IDH2;SMC1A;RPL9;RPS17;RPS19;DKC1;NHP2;RPL13;RPL27;RPL26;RPL18;NOP10;RPL19
DisGeNET	Mitochondrial Diseases	24/384	1.2749513793048084e-08	2.0883703593012767e-05	0	0	3.943217665615142	71.67891443197033	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;NDUFC2;NDUFC1;MRPL12;COX7C;HSD17B10;TUFM;KARS;EIF3K;UQCRQ;C1QBP;NDUFAB1;UQCRC1;UQCRFS1;SUCLG1;UQCRC2
DisGeNET	Aase Smith syndrome 2	7/20	1.5275553457875247e-08	2.144687705485685e-05	0	0	22.082018927444796	397.4103618213433	RPL5;RPS17;RPS19;RPL11;RPL27;RPL26;RPL18
DisGeNET	Malignant neoplasm of breast	125/5054	1.643433372588598e-08	2.018957898225093e-05	0	0	1.5604343749960992	27.96905903716857	EIF4A1;KDM1A;RPL31;BCCIP;HNRNPR;PSMD8;EEF1B2;FBL;CCND2;ARHGDIA;BSG;RUVBL1;RCC1;DENR;WLS;RAB2A;DDX18;RPS8;RPS6;SARS;SND1;MSH2;PSME3;NCL;HAT1;TFAM;FKBP4;PPID;ASF1B;KHDRBS1;VCP;SET;PSMD14;NOP2;TACSTD2;ADH5;G3BP1;RRS1;MCTS1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;NONO;IDH2;LSM1;MAGOHB;EIF2S2;SMARCA4;OSTC;ANP32E;UBA2;CALM3;GSTM5;YWHAE;HSP90AB1;MCM7;COX4I1;RPLP0;OLA1;HMGB3;HMGB1;YBX1;PRPF19;PTBP1;C1QBP;NUP62;UQCRFS1;BCAS2;HELLS;HSP90AA1;RFC3;PARP1;GPX4;GLRX3;BUD31;KIF22;SMC1A;RAD23B;PSMA1;CANX;MCM3;MCM5;PFDN4;SLC25A5;THOP1;MCM2;AHCY;PCNA;HDAC1;SSNA1;POMP;SRSF1;MAK16;TYMS;PSMB7;RBBP4;PES1;POLD1;RPS3;RPL13;RBBP7;RPS27A;RPL19;CCT4;SMARCE1;RANBP1;GINS2;NPM1;RRM1;RRM2;NAA10;NDUFA3;RPA2;RPL23A;BYSL;EIF3M;RAD51;MYBBP1A;PSMC4;TCEA1;TARDBP;MAD2L1
DisGeNET	Adenocarcinoma of lung (disorder)	46/1187	1.7442807773610173e-08	1.9047546088782317e-05	0	0	2.4449942728666763	43.67820516269142	YWHAE;VCP;AHCY;PCNA;HDAC1;SRSF1;OLA1;TACSTD2;HMGB1;MRPL12;TYMS;HSD17B10;FBL;RPS15A;ARHGDIA;BSG;RRS1;EIF4H;WLS;RPL19;ABCF1;MCTS1;NOP56;HELLS;GINS2;NPM1;HSP90AA1;NOP58;RRM1;UBE2I;RRM2;PARP1;GPX4;NAA10;CBX3;HSPA4;RCC2;RPS6;NPM3;SND1;SMARCA4;NUDT21;UCK2;MSH2;NCL;CANX
DisGeNET	Abnormality of the genital system	7/24	6.458497823565544e-08	6.347411661000217e-05	0	0	18.40168243953733	304.6450786481354	RPL5;RPS17;RPS19;RPL11;RPL27;RPL26;RPL18
DisGeNET	Abnormality of the reproductive system	7/24	6.458497823565544e-08	5.7703742372729235e-05	0	0	18.40168243953733	304.6450786481354	RPL5;RPS17;RPS19;RPL11;RPL27;RPL26;RPL18
