Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease_Perturbations_from_GEO_down	diffuse large B-cell lymphoma DOID-0050745 mouse GSE6136 sample 686	101/397	3.573546131441631e-95	2.998205204279528e-92	0	0	16.050981732075744	3490.6395072141827	EIF4A1;BZW1;RPL7;PSMD8;FBL;CCND2;SNRPD2;RPS8;RPL22;NCL;NHP2;SNRPE;UQCRC2;RPL28;PPID;KPNB1;SRSF9;SLBP;VCP;SET;UQCRB;PSMD14;RPN1;ATP5J;MRPL12;ADH5;PCBP1;RRS1;LYAR;MCTS1;HSPA4;ALYREF;NONO;LSM5;LSM3;ARPC3;OSTC;ANP32E;UBA2;YWHAE;HSP90AB1;MCM7;COX4I1;CLTA;HMGB1;YBX1;ATP5G3;C1QBP;CCT3;HELLS;NUDC;HSP90AA1;NDUFC1;RAD23B;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;MCM3;MCM5;MCM6;SLC25A5;NDUFB8;AHCY;PCNA;RPL10;NDUFB6;NDUFB5;RPL11;POMP;ATP5A1;SRSF1;PSMB6;PSMB7;PSMB4;RBBP4;PSMB3;USP1;EIF4H;CCT8;RPS2;RBBP7;CCT7;POLR2L;NOP56;RANBP1;NPM1;NOP58;RRM1;RRM2;RPA1;HSPE1;HNRNPAB;NUDT21;PSMC4;EIF3I;NDUFAB1;TOMM5;TOMM6;MAD2L1
Disease_Perturbations_from_GEO_down	diffuse large B-cell lymphoma DOID-0050745 mouse GSE6136 sample 687	95/366	4.294611913963941e-90	1.801589697907873e-87	0	0	16.376204512937203	3369.818350260412	YWHAE;EIF4A1;HSP90AB1;MCM7;CLTA;HMGB1;YBX1;ATP5G3;BZW1;PSMD8;FBL;HINT1;CCND2;SNRPD2;C1QBP;RPS11;RPS13;CCT3;HELLS;NUDC;HSP90AA1;RPS8;RPL22;RAD23B;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;NCL;NHP2;RPL27;SNRPE;MCM5;UQCRC2;MCM6;SRSF6;SLC25A5;RPL28;KPNB1;SRSF9;SLBP;VCP;NDUFB8;SET;AHCY;PCNA;RPL10;UQCRB;PSMD14;NDUFB6;NDUFB5;RPL11;POMP;ATP5A1;SRSF1;ATP5J;MRPL12;ADH5;PSMB6;PSMB7;ATP5B;PSMB4;RBBP4;PCBP1;RRS1;USP1;EIF4H;RPS2;RBBP7;CCT7;LYAR;POLR2L;MCTS1;NOP56;RANBP1;NPM1;NOP58;RRM2;HSPA4;ALYREF;NONO;RPA1;HSPE1;HNRNPAB;NUDT21;PSMC5;MYBBP1A;PSMC4;EIF3I;ANP32E;TOMM5;NOP10;TOMM6;MAD2L1
Disease_Perturbations_from_GEO_down	diffuse large B-cell lymphoma DOID-0050745 mouse GSE6136 sample 688	72/337	7.733821335109019e-61	2.1628920333854887e-58	0	0	13.479485907384698	1865.7237839590546	YWHAE;EIF4A1;HSP90AB1;MCM7;HMGB1;YBX1;ATP5G3;RPL7;EEF1B2;FBL;CCND2;C1QBP;RPLP2;CCT3;HELLS;HSP90AA1;RPS8;RPL23;PSMA5;EEF1G;PSMA6;PSMA4;NCL;HAT1;MCM3;RPL27;MCM5;RPL26;UQCRC2;MCM6;SLC25A5;RPL28;PPID;KPNB1;SLBP;VCP;SET;AHCY;PCNA;RPL10;UQCRB;PSMD14;SRSF1;ATP5J;RBBP4;PCBP1;RRS1;USP1;CCT8;RPS2;RBBP7;CCT7;LYAR;POLR2L;NOP56;RANBP1;NPM1;NOP58;RRM1;RRM2;API5;HSPA4;NONO;RPA1;HSPE1;HNRNPAB;PSMC4;EIF3I;NDUFAB1;ANP32E;UBA2;RPL22L1
Disease_Perturbations_from_GEO_down	actinic keratosis DOID-8866 human GSE2503 sample 628	76/430	8.817051272209616e-58	1.849376504345967e-55	0	0	11.151052747413983	1464.9500169589014	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;COX4I1;RPLP0;OLA1;ATP5G3;RPL9;COX7C;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;SNRPD2;RPS19;UQCRFS1;RPS11;GOLGA7;RPS13;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;NDUFC2;NDUFC1;TUFM;EEF1G;KARS;PSMA1;UQCRC1;NHP2;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;RPL10;NDUFB11;NDUFB5;RPL12;RPL11;POMP;ATP5A1;ATP5J;UQCR10;ATP5H;OAZ1;HSD17B10;PSMB7;ATP5B;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;CCT4;BTF3;RPL23A;EIF3K;UQCRQ;NDUFAB1;EIF3F;RPS21;TOMM6
Disease_Perturbations_from_GEO_down	Hypoxia C0242184 mouse GSE3195 sample 70	69/328	9.818316918977734e-58	1.6475135790044638e-55	0	0	13.272293606216818	1742.1967207551452	EIF4A1;RPL34;RPLP0;BCCIP;HMGB1;ATP5G3;RPL9;RPL6;RPL7;RPS15;EEF1B2;HINT1;SNRPD2;C1QBP;TMED2;RPLP2;RPS11;CCT3;GPX4;RPS8;RPS5;BUD31;PSMA5;EEF1G;PSMA4;DAD1;RPL37A;NHP2;RPL27;SLC25A5;RPL28;VCP;NDUFB8;SET;PCNA;RPL10;UQCRB;PSMD14;RPL12;RPN1;MAK16;ATP5J;ATP5H;OAZ1;PSMB7;RPS15A;RBBP4;MAT2A;RRS1;RPS2;RBBP7;RPL18;RPS27A;POLR2L;BTF3;RANBP1;RRM1;RRM2;ALYREF;RPA1;HNRNPAB;PSMC5;MYBBP1A;OSTC;EIF3I;UBA1;EIF3F;TOMM5;NOP10
Disease_Perturbations_from_GEO_down	Actinic keratosis C0022602 human GSE2503 sample 350	75/429	1.2620218144343907e-56	1.764727170517423e-54	0	0	11.02997948423816	1419.6912726179794	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;COX4I1;RPLP0;OLA1;ATP5G3;RPL9;COX7C;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;SNRPD2;RPS19;UQCRFS1;RPS11;GOLGA7;RPS13;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;NDUFC2;NDUFC1;TUFM;EEF1G;KARS;PSMA1;UQCRC1;NHP2;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;RPL10;NDUFB5;RPL12;RPL11;POMP;ATP5A1;ATP5J;UQCR10;ATP5H;OAZ1;HSD17B10;ATP5B;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;CCT4;BTF3;RPL23A;EIF3K;UQCRQ;NDUFAB1;TCEA1;EIF3F;RPS21;TOMM6
Disease_Perturbations_from_GEO_down	Overexertion C0161750 human GSE3606 sample 286	62/314	5.967227836399416e-50	7.152148792484442e-48	0	0	12.457553899013446	1411.9761849961794	RPL5;RPL30;RPL32;RPL31;COX4I1;RPLP0;HNRNPR;YBX1;ATP5G3;RPL9;COX7C;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;RPS19;C1QBP;RPLP2;UQCRFS1;RPL38;RPS13;RPL21;RPS8;RPL23;RPL22;RPS6;NDUFC2;EEF1G;PSMA3;PSMA4;KARS;NCL;RPL27;RPL26;SLC25A5;SF3B5;NDUFB8;SET;UQCRB;RPL12;RPL11;ATP5A1;ATP5H;UQCR10;ATP5B;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;NPM1;CBX3;RPL23A;EIF3K;RPS21;TOMM6
Disease_Perturbations_from_GEO_down	Familial combined hyperlipidaemia C0020474 human GSE1010 sample 137	65/374	1.0930380219311772e-48	1.1463236255003223e-46	0	0	10.965097251977935	1210.931868864786	RPL5;RPL32;HMGB1;YBX1;RPL7;PSMD8;RPS15;RPS17;HINT1;RPS16;RPL38;RPS11;RPL21;SSR4;RPS6;NDUFC1;DDOST;EEF1G;PSMA3;PSMA4;KARS;PSMA1;NCL;HAT1;NHP2;RPL26;UQCRC2;SNRPF;SLC25A5;NDUFB8;PCNA;PSMD14;RPL12;RPL11;POMP;ATP5A1;UQCR10;ATP5H;OAZ1;HSD17B10;PSMB6;PSMB7;ATP5B;PSMB4;PCBP1;SNRPB2;CCT8;RPL18;RPL19;CCT4;MCTS1;NPM1;RRM2;NDUFA3;LSM1;HNRNPAB;NASP;EIF3K;UQCRQ;ARPC3;NDUFAB1;EIF3F;RPS21;RSL24D1;MAD2L1
Disease_Perturbations_from_GEO_down	swine influenza DOID-0050211 human GSE48466 sample 498	61/315	1.3611801030143402e-48	1.2689223404767015e-46	0	0	12.217715687747233	1346.5844829928074	RPL5;RPL30;HSP90AB1;RPL32;RPL34;COX4I1;HMGB1;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;TRMT112;RPS17;HINT1;RPS16;SNRPD2;UQCRFS1;RPS13;CCT3;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;RPL27;RPL26;SLC25A5;SF3B5;SET;RPL12;RPL11;ATP5A1;OAZ1;PSMB6;ATP5B;PSMB4;RPS15A;RPS3;RPL13;RPS2;RPL18;CCT7;RPL19;POLR2L;BTF3;NPM1;RPL23A;EIF3K;UQCRQ;EIF3I;NDUFAB1;RPL22L1;EIF3F;RPS21;TOMM6
Disease_Perturbations_from_GEO_down	Alpha-1 anti-trypsin deficiency C0221757 human GSE1122 sample 281	63/356	1.1541224739378144e-47	9.683087556338264e-46	0	0	11.165065749831635	1206.6997522303939	RPL32;RPL31;RPL34;COX4I1;RPLP0;CLTA;HMGB1;YBX1;RPL9;COX7C;RPL6;RPL7;PSMD8;EEF1B2;FBL;RPS17;RPS16;RPS19;UQCRFS1;RPL38;RPS11;SSR4;RPL23;RPS5;BUD31;RPS6;SARS;SND1;PSMA1;CANX;UQCRC1;RPL27;FKBP4;SLC25A5;KHDRBS1;SET;PSMD11;UQCRB;RPL12;RPL11;ATP5A1;OAZ1;HSD17B10;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;RPS3;EIF4H;CCT8;RPS2;RPL18;RPL19;CCT4;NPM1;TAF15;TBCB;HSPE1;EIF2S2;PSMC5;UBA1;RPS21
