Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease_Perturbations_from_GEO_up	Down syndrome DOID-14250 human GSE16677 sample 1064	73/381	4.548756811960294e-58	3.816406965234688e-55	0	0	12.088394313486841	1596.0921274928367	YWHAE;EIF4A1;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;NUCKS1;HMGB1;YBX1;PRPF19;RPL9;EEF1B2;TRMT112;FBL;HINT1;SNRPD2;C1QBP;BSG;RPLP2;RPS11;CCT3;GPX4;RPS8;RPL23;RPS5;RPS6;ILF2;SND1;EEF1G;EBNA1BP2;PSMA4;KARS;PSMA1;DAD1;NCL;CANX;RPL37A;UQCRC1;NHP2;MCM3;SNRPF;MCM2;AHCY;NDUFB11;RPL12;RPL11;ATP5J;ATP5H;TYMS;OAZ1;ATP5B;PSMB3;PCBP1;RPS3;RPL13;CCT8;RPS2;CCT7;LYAR;CCT4;BTF3;DUT;NPM1;NOP58;RPL23A;UQCRQ;ARPC3;OSTC;RPL22L1;RPS21;TOMM6
Disease_Perturbations_from_GEO_up	testis seminoma DOID-5842 human GSE8607 sample 622	61/257	2.5089441083835598e-54	1.0525020534669031e-51	0	0	14.975021173697971	1848.2131153912812	RPL5;EIF4A1;RPL30;HSP90AB1;RPL31;RPL34;RPLP0;ATP5G3;RPL9;RPL6;RPL7;RPS15;EEF1B2;FBL;PTBP1;RPS17;RPS16;CCND2;RPS19;C1QBP;RPLP2;RPL38;RPS13;CCT3;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;RPS6;DDOST;EEF1G;MSH2;NCL;RPL27;SNRPF;MCM6;FKBP4;RPL28;SNRPB;SET;RPL10;RPL12;RPL11;PSMB4;RPS15A;RPS3;CCT8;RPS2;RPL18;RPS27A;RPL19;CBX3;NONO;RPL23A;HSPE1;EIF3K;NDUFAB1;TCEA1;RPS21
Disease_Perturbations_from_GEO_up	testis seminoma DOID-5842 human GSE8607 sample 623	57/255	4.082127501565866e-49	1.1416349912712539e-46	0	0	14.102802004082394	1571.3349221725607	RPL5;EIF4A1;RPL30;HSP90AB1;MCM7;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;RPS15;EEF1B2;FBL;PTBP1;RPS17;RPS16;CCND2;SNRPD2;RPS19;RPLP2;RPL38;RPS13;CCT3;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;MSH2;NCL;RPL27;SNRPF;RPL28;SNRPB;SET;RPL10;RPL12;RPL11;PSMB4;RPS15A;RPS3;CCT8;RPS2;RPL18;RPS27A;RPL19;CBX3;NONO;HSPE1;EIF3K;NDUFAB1;TCEA1;RPS21
Disease_Perturbations_from_GEO_up	cervical cancer DOID-4362 human GSE9750 sample 619	62/335	3.8935211045052065e-48	8.16666051669967e-46	0	0	11.676632609821556	1274.6769196156872	EIF4A1;HSP90AB1;MCM7;HMGB3;YBX1;PSMD8;TRMT112;PTBP1;HINT1;SNRPD2;UQCRFS1;CCT3;HSP90AA1;RPS5;DDOST;TUFM;PSMA5;PSMA6;PSMA3;KARS;PSMA1;NCL;CANX;UQCRC1;NHP2;MCM3;SNRPF;MCM6;RPL28;KPNB1;SNRPB;MCM2;SET;AHCY;PCNA;PSMD14;RPL11;POMP;TYMS;PSMB7;ATP5B;PSMB4;PSMB3;EIF4H;RPS2;RBBP7;CCT7;CCT4;DUT;NPM1;RRM2;NONO;EIF2S2;HNRNPAB;UQCRQ;RPA3;NDUFAB1;TCEA1;UBA1;RPS21;NOP10;TOMM6
Disease_Perturbations_from_GEO_up	Simian Acquired Immune Deficiency Syndrome C0080151 human GSE4785 sample 92	62/353	1.1007131707973452e-46	1.846996700597945e-44	0	0	11.0812235815587	1172.6478351751289	EIF4A1;HSP90AB1;HNRNPR;HMGB1;YBX1;PRPF19;BZW1;PTBP1;C1QBP;TMED2;CCT3;NUDC;HSP90AA1;PSMA6;EBNA1BP2;PSMA4;PSMA1;DKC1;NCL;NHP2;MCM3;SNRPF;SRSF6;SNRPB;SRSF9;SLBP;VCP;NDUFB8;SET;PCNA;HDAC1;POMP;SRSF1;ATP5J;OAZ1;HSD17B10;PSMB6;PSMB4;MAT2A;PSMB3;SNRPB2;CCT7;CCT4;POLR2L;NOP56;RANBP1;NOP58;RRM2;CBX3;HSPA4;RCC2;ALYREF;TBCB;HSPE1;HNRNPAB;PSMC5;UQCRQ;NDUFAB1;POLE3;TOMM5;NOP10;TOMM6
Disease_Perturbations_from_GEO_up	esophagus squamous cell carcinoma DOID-3748 human GSE63941 sample 658	49/192	3.0142732983427957e-45	4.214958828849343e-43	0	0	16.101472134595166	1650.609736528984	YWHAE;RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPS15;FBL;TRMT112;RPS17;RPS16;SNRPD2;RPL38;RPS11;RPS13;HSP90AA1;RPL23;RPS5;RPL22;EEF1G;KARS;RPL27;RPL26;SLC25A5;RPL28;SNRPB;PCNA;NDUFB5;RPL12;RPL11;TACSTD2;RPS3;RPL13;RPS2;RPL18;RPS27A;NPM1;RCC2;RPL23A;HSPE1;ARPC3;RPA3;RPS21;RSL24D1
Disease_Perturbations_from_GEO_up	autism spectrum disorder DOID-0060041 human GSE25507 sample 1022	54/266	4.1052620074023884e-44	4.920449748872291e-42	0	0	12.80804534996798	1279.5426162379933	RPL5;RPL30;RPL32;RPL31;RPL34;COX4I1;HMGB1;RPL9;COX7C;RPL6;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;SNRPD2;RPL38;RPS11;HSP90AA1;SSR4;RPS8;RPL23;RPS5;RPL22;RPS6;NDUFC1;EEF1G;DAD1;RPL27;RPL26;SLC25A5;RPL28;SET;UQCRB;RPL12;RPL11;ATP5J;ATP5H;UQCR10;RPS3;RPL13;RPS2;RPS27A;RPL19;BTF3;NPM1;NDUFA3;TBCB;RPL23A;EIF3K;UQCRQ;ARPC3;TOMM6
Disease_Perturbations_from_GEO_up	HIV - Human immunodeficiency virus infection C0019693 human GSE2504 sample 157	62/396	1.5183776054790528e-43	1.5923985137461567e-41	0	0	9.877959404773286	973.9027545362117	RPL30;RPL32;MCM7;PITPNB;RPL34;HP1BP3;OLA1;HNRNPR;PSMD8;FBL;HINT1;RPS16;SNRPD2;RPLP2;RPS11;RPL21;RPL23;RPS5;SARS;DDOST;TUFM;PSMA5;NCL;UQCRC1;NHP2;MCM3;SNRPF;KPNB1;SNRPB;VCP;PCNA;PSMD14;NDUFB11;RPL12;RPL11;POMP;SRSF1;ATP5H;OAZ1;PSMB6;PSMB7;PSMB4;PCBP1;RPS3;EIF4H;CCT8;RPL18;CCT7;RPL19;MCTS1;UBE2I;NONO;IDH2;TBCB;LSM3;PSMC5;UQCRQ;ARPC3;RPA3;EIF3I;UBA1;RPS21
Disease_Perturbations_from_GEO_up	testis seminoma DOID-5842 human GSE8607 sample 624	46/186	8.507178039251716e-42	7.930580416591323e-40	0	0	15.603269902649163	1475.5647795790994	RPL30;HSP90AB1;RPL32;MCM7;RPL10;RPL31;RPL12;RPLP0;RPL11;RPL6;RPL7;EEF1B2;RPS15;FBL;PTBP1;RPS17;CCND2;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;CCT3;RPS8;CBX3;RPL23;RPS5;NONO;RPL22;RPL23A;EEF1G;MSH2;EIF3K;NDUFAB1;TCEA1;RPL27;FKBP4;RPL28;RPS21;SNRPB
Disease_Perturbations_from_GEO_up	Tachycardia C0039231 rat GSE7999 sample 244	60/392	1.586581633385044e-41	1.3311419904100519e-39	0	0	9.656859589261572	907.2079478563817	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPS15;EEF1B2;FBL;RPS17;RPS16;RPS19;RPL38;CCT3;HSP90AA1;RPL21;SSR4;GLRX3;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA6;NCL;RPL27;RPL26;SLC25A5;RPL28;VCP;RPL10;RPL12;RPL11;RPN1;PSMB4;RPS15A;RPS3;RPS2;RBBP7;RPL18;RPS27A;RPL19;CCT4;BTF3;IVNS1ABP;NPM1;NDUFA5;RPL23A;HSPE1;HNRNPAB;EIF3M;ARPC3;OSTC;ANP32E;RPL22L1;EIF3F;RPS21
