Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease_Signatures_from_GEO_down_2014	LGLL - Large granular lymphocytic leukemia GSE10631	42/300	1.7427620869894238e-27	2.474722163524982e-25	0	0	8.83280757097792	544.2274873807734	EIF4A1;AHCY;HSP90AB1;RPL32;RPL31;NDUFB11;RPL12;RPLP0;RPL11;CLTA;YBX1;COX7C;RPS15;EEF1B2;FBL;HINT1;PSMB4;RPS16;SNRPD2;RPS19;RPL13;CCT8;RPS13;RPL19;CCT4;SF3A3;IVNS1ABP;NPM1;SSR4;RPS8;RPS5;NONO;RPL22;RPL23A;NPM3;SND1;KARS;RPL27;SNRPE;SLC25A5;RPL28;RPS21
Disease_Signatures_from_GEO_down_2014	Schizophrenia GSE4036	30/300	9.631800014477984e-16	6.838578010279368e-14	0	0	6.309148264984227	218.14694865722592	EIF4A1;PCNA;PSMD11;PSMD14;MRPS36;NDUFB5;RPLP0;HNRNPR;ATP5G3;OAZ1;PSMD8;EEF1B2;ATP5B;RBBP4;UQCRFS1;RPS11;RPL19;SSR4;HSBP1;RPL22;ATPIF1;RPL23A;LSM6;EIF3K;PSME3;NHP2;SLC25A5;RPL28;LSM14A;TOMM5
Disease_Signatures_from_GEO_down_2014	Viral cardiomyopathy GSE4172	26/300	2.38586808058008e-12	1.1293108914745713e-10	0	0	5.467928496319663	146.3297392535969	RPL30;RPL32;NDUFB10;RPL31;NDUFB11;YBX1;MRPL12;COX7C;PMF1;PSMB6;PSMB3;RPS11;DUT;TAF15;SSR4;GPX4;NDUFA3;NDUFC2;RPL23A;DRAP1;EIF3K;NDUFAB1;CCDC86;RPL27;CALM3;RPL28
Disease_Signatures_from_GEO_down_2014	Bipolar Disorder GSE12649	24/300	9.149839995554756e-11	3.248193198421938e-09	0	0	5.047318611987381	116.66725365614936	IVNS1ABP;SF3B5;AHCY;RAB5C;DDX27;PARP1;GPX4;HSBP1;SSNA1;NDUFA3;RPL22;RPS6;LSM1;NUCKS1;LSM2;DRAP1;TRMT112;PSMB4;EIF3K;PSME3;EIF3I;NHP2;SNRPF;SLC25A5
Disease_Signatures_from_GEO_down_2014	Eczema GSE6012	24/300	9.149839995554756e-11	2.5985545587375507e-09	0	0	5.047318611987381	116.66725365614936	RPL5;RPL30;RPL32;UQCRB;GPX4;RPL31;RPS8;RPL34;RPL12;RPS5;RPL22;RPS6;NUCKS1;RPL23A;RPL9;RPL6;RPS15;RPS17;RPS3;RPL13;RPL27;LSM14A;WLS;RPL19
Disease_Signatures_from_GEO_down_2014	Streptococcal tonsillitis GSE11494	23/300	5.283684564774865e-10	1.2504720136633848e-08	0	0	4.837013669821242	103.32454817060517	YWHAE;EIF4A1;AHCY;UQCRB;HSBP1;NDUFB11;NDUFB5;DYNLT3;SRSF1;BCCIP;MRPL12;OAZ1;RPL7;ATP5B;FBL;PSMA4;CANX;RRS1;USP1;CCT7;SLC25A5;GOLGA7;LYAR
Disease_Signatures_from_GEO_down_2014	Ulcerative Colitis GSE3365	23/300	5.283684564774865e-10	1.0718331545686155e-08	0	0	4.837013669821242	103.32454817060517	SF3A3;RAB2A;EIF4A1;DDX18;KHDRBS1;VCP;NDUFB8;PITPNB;NONO;BUD31;ACTL6A;RPS6;HMGB1;DRAP1;MRPL20;NUDT21;CCND2;MAT2A;DKC1;PSME3;SNRPB;ABCF1;POLR2L
Disease_Signatures_from_GEO_down_2014	Dehydration GSE3110	21/300	1.5197954897623032e-08	2.6976369943280877e-07	0	0	4.41640378548896	79.50456451134853	PRIM2;RPL21;NDUFB10;HSBP1;RPL12;RPS5;NONO;RPL11;HNRNPR;ADH5;GCSH;EIF3M;RPS16;RPS19;HAT1;USP1;RPS3;RPL26;RPS2;RPL18;ABCF2
Disease_Signatures_from_GEO_down_2014	Obesity GSE474	21/300	1.5197954897623032e-08	2.3978995505138557e-07	0	0	4.41640378548896	79.50456451134853	DDX18;NDUFB8;AHCY;HSP90AB1;NAA10;RPL31;MAK16;COX7C;ILF2;RPL6;DDOST;TUFM;LSM2;FBL;EIF3K;DKC1;ARPC3;C1QBP;RPS3;SLC25A5;ABCF1
Disease_Signatures_from_GEO_down_2014	In situ melanoma of skin GSE4587	20/300	7.542960622436683e-08	1.071100408386009e-06	0	0	4.206098843322819	68.98029856364214	GINS2;RPL30;RPL32;RPL12;RPS5;COX4I1;RPLP0;RPL11;RPS6;RPL23A;ATP5H;RPL9;FBL;RPS16;RPL13;RPL27;RPS11;RPL18;RPS13;RPL19
Disease_Signatures_from_GEO_down_2014	Dermatomyositis GSE1551	19/300	3.545625768406102e-07	4.5770805373969686e-06	0	0	3.9957939011566777	59.34705335807839	PARP1;UQCRB;RPL31;HSBP1;RPS5;RPL22;RPS6;NDUFC1;EEF1B2;PSMB7;C1QBP;G3BP1;NHP2;TMED2;RPL13;SUCLG1;RPL27;UQCRC2;RPL26
Disease_Signatures_from_GEO_down_2014	Ewing's sarcoma GSE1822	19/300	3.545625768406102e-07	4.195657159280553e-06	0	0	3.9957939011566777	59.34705335807839	IVNS1ABP;NPM1;RFC3;GCA;RPL31;ACTL6A;POMP;LSM1;ATP5J;HMGB3;EIF2S2;PSMA3;NASP;RPL37A;RPL26;RBBP7;RPL18;GOLGA7;THOP1
Disease_Signatures_from_GEO_down_2014	Huntington's Disease GSE5786	19/300	3.545625768406102e-07	3.872914300874359e-06	0	0	3.9957939011566777	59.34705335807839	UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;DYNLT3;MAK16;ATP5J;NDUFC1;ATP5H;RPS17;POLD1;BSG;G3BP1;NUP62;DENR;UQCRC2;RPS2;SLC25A5
Disease_Signatures_from_GEO_down_2014	HIV - Human immunodeficiency virus infection GSE6740	18/300	1.574955589306934e-06	1.5974549548684618e-05	0	0	3.785488958990536	50.57899110416278	RAB2A;NONO;ATP5A1;AK2;ATP5G3;SMC1A;COX7C;SMARCA4;FBL;PTBP1;RPS17;EIF3M;TCEA1;UQCRFS1;RPL28;LSM14A;RSL24D1;SNRPB
Disease_Signatures_from_GEO_down_2014	Inclusion Body Myositides GSE3112	18/300	1.574955589306934e-06	1.4909579578772308e-05	0	0	3.785488958990536	50.57899110416278	RPL30;HSP90AA1;PARP1;RPL10;NDUFB11;SSNA1;RPS5;RPL22;RPS6;YBX1;RPL9;PMF1;EEF1B2;EIF3I;NHP2;RCC1;RPL13;RPS11
Disease_Signatures_from_GEO_down_2014	Parkinson's Disease GSE7621	18/300	1.574955589306934e-06	1.3977730855099039e-05	0	0	3.785488958990536	50.57899110416278	RRM1;NAA10;RPS5;RPL22;ATPIF1;RPL11;POMP;NDUFC2;KIF22;HSD17B10;RPL6;RPS15;PSMB7;RPS17;EBNA1BP2;RPL27;RPL26;THOP1
Disease_Signatures_from_GEO_down_2014	Cancer of prostate GSE1413	17/300	6.594868749503076e-06	5.5086550731143335e-05	0	0	3.575184016824396	42.649151934732025	RPL5;NDUFB8;SET;RPL10;RPS5;BCCIP;SMC1A;RPL6;TMEM165;EEF1G;HINT1;CCND2;RPS3;UQCRFS1;RPL26;RPS2;RPS13
Disease_Signatures_from_GEO_down_2014	Huntington's Disease GSE1751	17/300	6.594868749503076e-06	5.2026186801635385e-05	0	0	3.575184016824396	42.649151934732025	SF3A3;RFC5;SMARCE1;NUDC;NDUFB8;AHCY;RAB5C;COX4I1;NDUFA3;SARS;MCM3;EIF4H;RCC1;RPL38;CALM3;RPL28;POLR2L
Disease_Signatures_from_GEO_down_2014	Synovial sarcoma GSE6461	17/300	6.594868749503076e-06	4.9287966443654574e-05	0	0	3.575184016824396	42.649151934732025	NDUFB8;NDUFB10;NDUFB6;NDUFB11;COX4I1;NDUFA3;ATP5A1;NDUFC2;NDUFC1;UQCR10;ATP5G3;DRAP1;MRPL20;ATP5B;NDUFAB1;UQCRC1;SUCLG1
Disease_Signatures_from_GEO_down_2014	Diabetic Neuropathy GSE11343	16/300	2.596214137553505e-05	0.00018433120376629882	0	0	3.364879074658255	35.52932469242125	GLRX3;RPS8;RPL23;RPN1;RPLP0;SRSF1;MAGOHB;EIF2S2;RPL7;EEF1B2;ORC4;RPS3;RPL38;SNRPB2;RBBP7;SRSF6
Disease_Signatures_from_GEO_down_2014	Familial combined hyperlipidaemia GSE1010	16/300	2.596214137553505e-05	0.0001755535273964751	0	0	3.364879074658255	35.52932469242125	KHDRBS1;CBX5;GCA;DYNLT3;POMP;HMGB3;TBCB;OAZ1;NUDT21;PTBP1;NASP;PSME3;NCL;ANP32E;RCC1;CCT8
Disease_Signatures_from_GEO_down_2014	Leber congenital amaurosis GSE3249	16/300	2.596214137553505e-05	0.00016757382160572623	0	0	3.364879074658255	35.52932469242125	RPL30;RPL21;UQCRB;NDUFB6;RPL31;RPS8;RPL22;ATP5A1;RPL9;OAZ1;ATP5B;PSMA3;RPS19;ARPC3;SUCLG1;RPS21
Disease_Signatures_from_GEO_down_2014	Lung transplant rejection GSE2018	16/300	2.596214137553505e-05	0.00016028800327504248	0	0	3.364879074658255	35.52932469242125	YWHAE;RRM1;NDUFB11;PITPNB;ATPIF1;ATP5A1;NDUFC2;ATP5G3;PSMA6;RPA3;EIF4H;FAM53B;CCDC86;SRPRB;BCAS2;SRSF9
Disease_Signatures_from_GEO_down_2014	Obesity GSE5109	16/300	2.596214137553505e-05	0.0001536093364719157	0	0	3.364879074658255	35.52932469242125	RRM1;SET;KDM1A;RPS8;RPL12;DYNLT3;RPS6;OLA1;PMF1;RPL6;FBL;POLE3;USP1;RPS3;RPS11;RPL28
Disease_Signatures_from_GEO_down_2014	B-cell chronic lymphocytic leukaemia-small lymphocytic lymphoma GSE8835	15/300	9.580490456979875e-05	0.0005441718579564568	0	0	3.1545741324921135	29.189894884451128	IVNS1ABP;HSP90AA1;SSR4;RPL34;DYNLT3;RPLP0;SARS;RPL23A;HMGB1;DKC1;RPS3;RBBP7;TARDBP;KPNB1;RPL19
Disease_Signatures_from_GEO_down_2014	Carcinoma, Hepatocellular GSE4612	15/300	9.580490456979875e-05	0.0005232421711119778	0	0	3.1545741324921135	29.189894884451128	RPL5;SET;NDUFB10;RPS8;NDUFB5;BCCIP;SARS;OAZ1;HSD17B10;PSMA5;EEF1B2;PSMA3;PSMB4;RPL26;CCT4
Disease_Signatures_from_GEO_down_2014	Overexertion GSE3606	15/300	9.580490456979875e-05	0.0005038628314411636	0	0	3.1545741324921135	29.189894884451128	NDUFB8;SSB;MAK16;TBCB;ATP5H;LSM3;SMARCA4;PSMA3;PSMD7;UQCRQ;SNRPE;CCT7;SNRPB;SRSF9;MCM2
Disease_Signatures_from_GEO_down_2014	Polycystic Ovary Syndrome GSE5090	15/300	9.580490456979875e-05	0.00048586773031826513	0	0	3.1545741324921135	29.189894884451128	SF3A3;DDX18;SF3B5;RBM28;HSP90AB1;API5;NONO;BUD31;SRSF1;CLTA;PSMD8;PSME3;POLE3;RPS2;ABCF2
Disease_Signatures_from_GEO_down_2014	Carcinoma, Hepatocellular GSE2127	14/300	0.0003303171161079594	0.0016174148443906982	0	0	2.944269190325973	23.599664289874717	UQCRB;NDUFB6;NDUFB11;NDUFB5;NDUFC1;ATP5H;ATP5G3;PSMB6;FBL;SNRPD2;PSMB3;EIF4H;TMED2;UBA1
Disease_Signatures_from_GEO_down_2014	Escherichia coli infection of the central nervous system GSE3253	14/300	0.0003303171161079594	0.0015635010162443415	0	0	2.944269190325973	23.599664289874717	SET;HSP90AB1;DYNLT3;RPN1;RPA1;TMEM165;FBL;PSMA4;CCND2;DKC1;PCBP1;OSTC;LUC7L3;RPS21
Disease_Signatures_from_GEO_down_2014	Huntington's Disease GSE3583	14/300	0.0003303171161079594	0.0015130654995912985	0	0	2.944269190325973	23.599664289874717	SF3B4;RANBP1;PSMD11;NDUFA3;RPN1;NOP2;KIF22;TUFM;PSMA3;PSMB3;POLD1;RPL26;SNRPF;RBBP7
