Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DrugMatrix	Beta-Estradiol-150 mg/kg in Corn Oil-Rat-Liver-1d-up	47/310	2.6138146260476507e-32	2.0586403994751296e-28	0	0	9.565482853363184	695.6202049679979	EIF4A1;NDUFB8;PCNA;RPL32;RPL10;PSMD13;SSNA1;BZW1;RPL6;RPS15;EEF1B2;PSMB7;FBL;RPS17;RPS19;PSMB3;C1QBP;BSG;PSMD3;TMED2;RBBP7;RPS11;ABCF2;LYAR;BCAS2;BTF3;MBD3;NPM1;RRM1;RPL21;LIG1;NDUFA5;RPS8;RPL23;RPS5;RPS6;EIF2S2;HSPE1;RAD23B;EEF1G;POLE4;PSMA6;PSMA4;PSMA1;PSMC4;CALM3;TARDBP
DrugMatrix	Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-up	48/349	5.44751332720527e-31	2.1452307482534354e-27	0	0	8.677338587943924	604.6801542266841	EIF4A1;NDUFB8;PCNA;RPL10;RPL32;MRPS36;NDUFB5;HDAC1;SSNA1;ATP5A1;HP1BP3;YBX1;ATP5G3;TYMS;BZW1;RPL6;EEF1B2;PSMB7;FBL;RPS19;C1QBP;TMED2;LYAR;BCAS2;BTF3;NPM1;RRM1;RPL21;LIG1;NDUFA5;RPL23;ACTL6A;RPS6;HSPE1;BAZ1B;EIF2S2;RAD23B;PSMA5;POLE4;EEF1G;PSMA6;PSMA4;PSMA1;MSH2;PSME3;CANX;MCM5;UQCRC2
DrugMatrix	Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-1d-dn	44/287	1.7578853224501305e-30	4.615034933205744e-27	0	0	9.67256179997582	662.7004943731026	NDUFB8;PCNA;RPL32;MRPS36;PSMD13;HDAC1;ATP5A1;CLTA;HMGB1;YBX1;ATP5G3;EEF1B2;FBL;RPS17;PSMB4;RPS19;PSMB3;RBBP7;RPS11;BCAS2;BTF3;NPM1;DUT;RRM1;CBX5;LIG1;NDUFA5;RPS8;RPL23;RPS5;ACTL6A;RPS6;BAZ1B;EIF2S2;LSM5;EEF1G;PSMA4;PSMC4;ANP32E;CALM3;MCM5;TARDBP;LSM14A;SNRPB
DrugMatrix	Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn	43/310	5.870623899763807e-28	1.1559258458634938e-24	0	0	8.751399206268443	548.7339234044285	EIF4A1;AHCY;PCNA;RPL32;RPL10;MRPS36;HDAC1;ATP5A1;HP1BP3;ATP5G3;BZW1;RPS15;RPS17;C1QBP;PSMD3;USP1;TMED2;RBBP7;BTF3;NPM1;RFC3;DUT;RRM1;LIG1;NDUFA5;RPS8;RPL23;RPS5;ACTL6A;RPS6;EIF2S2;HSPE1;PSMA5;POLE4;PSMA6;PSMA4;MSH2;ANP32E;TFAM;CALM3;MCM5;TARDBP;SNRPB
DrugMatrix	Pirinixic Acid-364 mg/kg in CMC-Rat-Liver-1d-up	43/316	1.3108168453282722e-27	2.064798694761095e-24	0	0	8.585233398554486	531.4186243544342	EIF4A1;RPL32;PSMD13;NDUFB5;PITPNB;ATP5A1;YBX1;RPS15;EEF1B2;PSMB7;RPS17;PSMB4;RPS19;PSMB3;C1QBP;PSMD3;RBBP7;RPS11;BCAS2;ABCF1;BTF3;MBD3;RRM1;RPL21;NDUFA5;RPS8;RPL23;RPS5;RPS6;LSM5;HSPE1;DYNLL2;RAD23B;PSMA5;EEF1G;PSMA6;PSMC5;PSMA4;PSMC4;TFAM;SUCLG1;CALM3;UQCRC2
DrugMatrix	Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-1d-dn	42/304	3.0000894599444387e-27	3.9381174310870665e-24	0	0	8.716586418728209	532.3320037586417	NDUFB8;PCNA;RPL32;RPL10;MRPS36;PSMD13;ATP5A1;HMGB1;ATP5G3;RPS15;EEF1B2;RPS17;PSMB3;RBBP7;RPS11;BTF3;NPM1;RFC3;DUT;RRM1;CBX5;SSB;RPL21;LIG1;NDUFA5;RPS8;RPL23;RPS5;ACTL6A;RPS6;BAZ1B;LSM5;HSPE1;PSMA4;PSMA1;PSMC4;ANP32E;CALM3;MCM5;TARDBP;LSM14A;SNRPB
DrugMatrix	Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-1d-dn	41/290	5.1381099581728035e-27	5.781107718652714e-24	0	0	8.919830305667356	539.9450887997216	NDUFB8;RPL32;RPL10;MRPS36;ATP5A1;CLTA;HMGB1;YBX1;ATP5G3;RPS15;EEF1B2;FBL;RPS17;PSMB4;RPS19;PSMB3;RBBP7;RPS11;BCAS2;BTF3;NPM1;DUT;RRM1;LIG1;NDUFA5;RPS8;RPL23;RPS5;RPS6;BAZ1B;LSM5;HSPE1;PSMA5;EEF1G;PSMA6;PSMA4;PSMC4;ANP32E;CALM3;TARDBP;SNRPB
DrugMatrix	Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-5d-dn	43/329	7.032816006338579e-27	6.923807358240333e-24	0	0	8.245999252107044	496.5675632227018	EIF4A1;NDUFB8;PCNA;RPL10;RPL32;PSMD13;NDUFB5;HDAC1;CLTA;HMGB1;YBX1;RPL6;RPS15;EEF1B2;PSMB7;FBL;RPS17;PSMB4;PSMB3;RBBP7;RPS11;BCAS2;BTF3;DUT;RFC3;RRM1;LIG1;RPS8;RPS5;EIF2S2;LSM3;PSMA5;EEF1G;KARS;MSH2;PSMC4;CANX;ANP32E;TFAM;CALM3;TARDBP;LSM14A;SNRPB
DrugMatrix	Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-1d-dn	41/293	7.76342555106134e-27	6.793859960017679e-24	0	0	8.828500985131512	530.7727796469263	PCNA;RPL32;RPL10;MRPS36;HDAC1;ATP5A1;HMGB1;ATP5G3;BZW1;RPL6;RPS15;EEF1B2;FBL;RPS17;RPS19;PSMB3;RBBP7;RPS11;LYAR;BCAS2;NPM1;RFC3;DUT;RRM1;CBX5;RPL21;LIG1;NDUFA5;RPS8;RPL23;ACTL6A;RPS6;BAZ1B;EIF2S2;LSM5;PSMC4;ANP32E;CALM3;MCM5;TARDBP;LSM14A
DrugMatrix	Cisplatin-1.17 mg/kg in Saline-Rat-Bone marrow-3d-dn	41/297	1.3356538929791498e-26	1.0519610061103786e-23	0	0	8.709598614961394	518.8986497946477	EIF4A1;RPL32;RPL10;PSMD13;PITPNB;ATP5A1;CLTA;HMGB1;YBX1;BZW1;RPL6;RPS15;EEF1B2;PSMB7;FBL;RPS17;PSMB4;PSMB3;RBBP7;RPS11;LYAR;NUDC;NPM1;SSB;RPL21;NDUFA5;RPS8;RPL23;RPS5;RPS6;EIF2S2;HSPE1;PSMA5;EEF1G;PSMA6;PSMA4;PSMA1;CANX;UQCRC2;TARDBP;SNRPB
