Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Drug_Perturbations_from_GEO_2014	deferasirox homo sapiens gpl570 gds3558 chdir up	176/1681	2.155002164031928e-105	1.5041915104942856e-102	0	0	6.605651960959097	1591.9861872231907	EIF4A1;KDM1A;BCCIP;HNRNPR;PSMD8;FBL;SNRPD2;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;DDX18;CD3EAP;ILF2;TUFM;EBNA1BP2;KARS;MSH2;DKC1;PSME3;NCL;UQCRC1;NHP2;CCDC86;TFAM;SNRPE;SNRPF;SRSF6;FKBP4;PPID;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;SET;RAB5C;PSMD11;NDUFB10;NDUFB11;PSMD13;NOP2;CDCA7;AK2;ATP5J;ATP5H;MRPL12;ADH5;MRPL20;ATP5B;G3BP1;RRS1;SURF6;BRIX1;LYAR;IVNS1ABP;NOP16;API5;CBX3;HSPA4;RCC2;ALYREF;LSM1;LSM5;LSM3;SMARCA4;LSM2;UCK2;LSM6;NASP;UQCRQ;ANP32E;UBA2;CALM3;LSM14A;NOP10;YWHAE;RBM28;HSP90AB1;COX4I1;HMGB1;YBX1;ATP5G3;PRPF19;COX7C;TRMT112;PTBP1;HINT1;C1QBP;NUP62;UQCRFS1;BCAS2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;SSR4;PARP1;HSBP1;ACTL6A;ATPIF1;NDUFC2;NDUFC1;UCHL5;PSMA5;PSMA3;PSMA4;PSMA1;MCM3;MCM5;MCM6;MCM2;SF3B4;SF3B5;NDUFB8;AHCY;PCNA;DDX27;RPL10;NDUFB6;MRPS36;ATP5A1;SRSF1;MAK16;UQCR10;TYMS;HSD17B10;TMEM165;PSMB6;PSMB7;PSMB4;RBBP4;MAT2A;PSMB3;PES1;SNRPB2;RBBP7;CCT7;ABCF2;ABCF1;POLR2L;SF3A3;SMARCE1;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;SSB;NDUFA5;NAA10;NDUFA3;RPA1;HSPE1;NPM3;HNRNPAB;BYSL;POLE4;NUDT21;PSMC5;EIF3M;PSMC4;EIF3I;NDUFAB1;POLE3;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_2014	estradiol homo sapiens gpl570 gse5102 chdir up	194/2315	4.739418157166321e-101	1.6540569368510457e-98	0	0	5.287148006077494	1221.3585769145268	RPL5;EIF4A1;RPL30;HNRNPR;RPL9;RPL7;PSMD8;RPS15;GCSH;RPS16;SNRPD2;RPS19;BSG;PSMD3;DENR;RPL38;GOLGA7;RPS13;DDX18;RPL23;RPL22;CD3EAP;KARS;PSME3;CCDC86;TFAM;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;ASF1B;SLBP;SET;RPN1;CDCA7;MRPL12;OAZ1;ATP5B;RRS1;LYAR;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;COX7C;HINT1;C1QBP;HELLS;NUDC;PARP1;ACTL6A;KIF22;BAZ1B;PSMA5;PSMA6;PSMA3;CANX;SF3B5;AHCY;PCNA;RPL12;RPL11;TYMS;PSMB6;PSMB7;RPS15A;PSMB3;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;BYSL;NUDT21;PSMC5;PSMC4;RPA3;NDUFAB1;TCEA1;TARDBP;TOMM5;TOMM6;MAD2L1;BCCIP;NUCKS1;FBL;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;NHP2;FKBP4;PPID;KPNB1;SNRPB;KHDRBS1;VCP;PSMD11;PSMD14;AK2;G3BP1;BRIX1;UBE2I;CBX5;NOP16;CBX3;HSPA4;ALYREF;NONO;EIF2S2;LSM5;LSM2;NASP;SRPRB;UBA2;LSM14A;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;CDCA7L;HP1BP3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;UQCRFS1;EIF5B;HSP90AA1;RFC3;GLRX3;SMC1A;RAD23B;DDOST;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;DDX27;SRSF1;MAK16;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;NOP56;DUT;NOP58;RRM1;TAF15;RRM2;RPL23A;HSPE1;HNRNPAB;RAD51;EIF3K;EIF3I;POLE3
Drug_Perturbations_from_GEO_2014	estradiol homo sapiens gpl96 gds2324 chdir up	132/937	2.1958980570084583e-91	5.109122812639681e-89	0	0	8.888021034983115	1855.3624132179734	EIF4A1;RPL30;KDM1A;HNRNPR;NUCKS1;RPL9;RPL7;FBL;ARHGDIA;RUVBL1;RCC1;RAB2A;DDX18;RPS8;ILF2;KARS;HNRNPUL1;DKC1;HAT1;UQCRC1;NHP2;RPL27;SNRPF;FKBP4;ASF1B;SF1;SNRPB;SRSF9;SLBP;SET;RAB5C;PSMD11;PSMD14;RPN1;AK2;OAZ1;ATP5B;PCBP1;UBE2I;CBX5;NOP16;CBX3;EIF2S2;LSM5;LSM3;SMARCA4;DRAP1;UCK2;NASP;UQCRQ;ANP32E;UBA2;CALM3;UBA1;RPS21;NOP10;YWHAE;MCM7;RPLP0;HMGB3;HMGB1;YBX1;ATP5G3;PRPF19;LMNB2;TRMT112;PTBP1;HINT1;C1QBP;UQCRFS1;CCT3;RFC5;NUDC;HSP90AA1;RFC3;PARP1;GPX4;GLRX3;BUD31;DYNLT3;NDUFC2;KIF22;SMC1A;RAD23B;UCHL5;DDOST;EEF1G;PSMA4;PSMA1;DAD1;CANX;MCM3;MCM5;MCM6;SLC25A5;MCM2;SF3B4;PCNA;NDUFB6;ATP5A1;SRSF1;TYMS;PSMB6;MAT2A;PSMB3;USP1;RPS3;EIF4H;RPL13;CCT8;RPS2;RBBP7;CCT7;CCT4;NOP56;RANBP1;GINS2;DUT;NPM1;RRM1;SSB;RRM2;HSPE1;HNRNPAB;NUDT21;RPA3;NDUFAB1;POLE3;TCEA1;TARDBP;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_2014	estradiol homo sapiens gpl570 gse23610 chdir up	205/3327	5.340182307949774e-83	9.318618127372354e-81	0	0	3.887512456632903	736.4476499008771	EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;GCSH;RPS16;RCC1;DENR;RPL38;GOLGA7;DDX18;RPL23;RPL22;CD3EAP;KARS;PSME3;CCDC86;TFAM;RPL27;SUCLG1;UQCRC2;ASF1B;SLBP;SET;CDCA7;MRPL12;OAZ1;MRPL20;ATP5B;RRS1;SURF6;LYAR;MCTS1;BTF3;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;NUDC;PARP1;ACTL6A;BAZ1B;UCHL5;PSMA5;PSMA4;CANX;SF3B5;AHCY;PCNA;RPL10;RPL12;ATP5A1;TYMS;PSMB4;RPS15A;PES1;USP1;RPS3;RPL13;CCT8;RPS2;CCT7;RPL19;CCT4;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;RPA3;NDUFAB1;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;RUVBL1;RAB2A;LIG1;RPS8;RPS6;SARS;ILF2;EBNA1BP2;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;PPID;KPNB1;SNRPB;KHDRBS1;PSMD11;PSMD14;PSMD13;AK2;G3BP1;BRIX1;IVNS1ABP;UBE2I;CBX5;NOP16;CBX3;HSPA4;ALYREF;LSM1;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;OSTC;SRPRB;UBA2;RSL24D1;YWHAE;RBM28;HSP90AB1;MCM7;CDCA7L;HP1BP3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;UQCRFS1;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;DYNLT3;SMC1A;RAD23B;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;DDX27;SRSF1;MAK16;RBBP4;MAT2A;POLD1;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K;POLE3
Drug_Perturbations_from_GEO_2014	sirolimus mus musculus gpl1261 gse5332 chdir up	224/4467	3.2846472135300846e-76	4.585367510087998e-74	0	0	3.1637546705987614	549.8833655069155	RPL5;EIF4A1;PITPNB;HNRNPR;RPL6;GCSH;PSMD7;SNRPD2;PSMD3;RCC1;DENR;RPS13;DDX18;RPL22;CD3EAP;KARS;PSME3;UQCRC1;CCDC86;TFAM;RPL27;SUCLG1;UQCRC2;ASF1B;SF1;SLBP;SET;RPN1;CDCA7;MRPL12;OAZ1;ADH5;MRPL20;ATP5B;PCBP1;RRS1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;OLA1;CLTA;PRPF19;HINT1;C1QBP;TMED2;CCT3;HELLS;NUDC;PARP1;ACTL6A;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;SF3B4;PRIM2;AHCY;PCNA;MRPS36;SSNA1;ATP5A1;TYMS;PSMB6;PSMB7;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;TARDBP;TOMM5;MAD2L1;BCCIP;NUCKS1;BZW1;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;SARS;ILF2;TUFM;EBNA1BP2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;RAB5C;PSMD11;NDUFB10;UQCRB;PSMD14;PSMD13;NOP2;AK2;PMF1;ORC4;MYG1;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;HSPA4;ALYREF;NONO;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;UQCRQ;OSTC;SRPRB;UBA2;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;RBM28;MCM7;CDCA7L;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;UQCRFS1;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GPX4;GLRX3;BUD31;SMC1A;RAD23B;EEF1G;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;NDUFB8;DDX27;NDUFB6;HDAC1;SRSF1;MAK16;RBBP4;MAT2A;POLD1;EIF4H;RBBP7;ABCF2;ABCF1;NOP56;DUT;NOP58;RRM1;SSB;RRM2;NDUFA5;NAA10;TAF12;RPL23A;HSPE1;HNRNPAB;POLE4;RAD51;EIF3I;POLE3
Drug_Perturbations_from_GEO_2014	vitamin c homo sapiens gpl570 gds3635 chdir up	202/3773	4.732361609781483e-70	5.505314006045791e-68	0	0	3.3778106268932255	539.1881966250727	RPL5;EIF4A1;RPL30;PITPNB;HNRNPR;RPL7;PSMD8;RPS15;RPS17;PSMD7;RPS16;SNRPD2;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;WLS;RPL21;CD3EAP;KARS;PSME3;UQCRC1;RPL27;RPL26;UQCRC2;ASF1B;SLBP;SET;CDCA7;ATP5J;ATP5H;ADH5;MRPL20;ATP5B;PCBP1;RRS1;MCTS1;RCC2;MAGOHB;UCK2;ANP32E;CALM3;GSTM5;CLTA;PRPF19;COX7C;TRMT112;C1QBP;TMED2;CCT3;HELLS;PARP1;HSBP1;ACTL6A;ATPIF1;KIF22;PSMA5;PSMA3;PSMA4;PSMA1;SF3B4;SF3B5;PRIM2;PCNA;RPL10;MRPS36;RPL12;ATP5A1;UQCR10;TYMS;TMEM165;PSMB6;PSMB7;PSMB3;PES1;USP1;RPL13;CCT8;RPS27A;RANBP1;GINS2;NPM1;RPA1;RPA2;NUDT21;PSMC5;RPA3;NDUFAB1;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1;BCCIP;UBE2D1;NUCKS1;BZW1;FBL;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS8;SARS;ILF2;TUFM;HNRNPUL1;DKC1;HAT1;NHP2;SNRPE;SNRPF;SRSF6;KPNB1;SNRPB;KHDRBS1;RAB5C;NDUFB10;PSMD14;NDUFB11;PSMD13;NOP2;PMF1;G3BP1;CBX5;NOP16;POLR3GL;CBX3;HSPA4;ALYREF;NONO;LSM1;TBCB;LSM5;LSM3;LSM2;LSM6;NASP;UQCRQ;ARPC3;OSTC;SRPRB;UBA1;NOP10;YWHAE;RBM28;MCM7;CDCA7L;HP1BP3;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;UQCRFS1;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;NDUFC2;NDUFC1;SMC1A;DDOST;DAD1;MCM3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;NDUFB8;NDUFB6;POMP;MAK16;HSD17B10;RBBP4;MAT2A;EIF4H;SNRPB2;RBBP7;ABCF2;POLR2L;NOP56;DUT;NOP58;RRM1;SSB;RRM2;NDUFA5;TAF12;NDUFA3;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K
Drug_Perturbations_from_GEO_2014	imatinib homo sapiens gpl571 gds3518 chdir down	85/432	4.3413416502623325e-69	4.328937816975868e-67	0	0	12.413833391751375	1954.0638477510188	YWHAE;HSP90AB1;MCM7;PITPNB;RPL34;HMGB1;YBX1;ATP5G3;PRPF19;PTBP1;RPS17;RPS16;C1QBP;UQCRFS1;CCT3;NUDC;HSP90AA1;PARP1;RPL23;NDUFC2;ILF2;RAD23B;DDOST;TUFM;PSMA5;PSMA6;KARS;PSMA1;DKC1;DAD1;NCL;UQCRC1;NHP2;MCM3;MCM5;UQCRC2;SNRPF;MCM6;KPNB1;SNRPB;MCM2;NDUFB8;AHCY;RPL10;PSMD14;NDUFB11;HDAC1;ATP5A1;SRSF1;UQCR10;MRPL12;TYMS;OAZ1;ADH5;PSMB6;MRPL20;ATP5B;PSMB4;MAT2A;G3BP1;USP1;CCT8;RBBP7;CCT7;POLR2L;NOP56;RANBP1;DUT;NPM1;RRM1;RRM2;IDH2;RPA1;HSPE1;LSM5;HNRNPAB;PSMC5;NASP;UQCRQ;RPA3;NDUFAB1;UBA1;TARDBP;NOP10;TOMM6
Drug_Perturbations_from_GEO_2014	hydrocortisone homo sapiens keloid scar gds3071 chdir down	94/640	1.4249871160246035e-64	1.2433012587314665e-62	0	0	9.266561514195583	1362.289098862046	YWHAE;RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;COX4I1;RPLP0;CLTA;HMGB1;YBX1;ATP5G3;COX7C;RPL7;RPS15;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;C1QBP;TMED2;RPL38;RPS11;RPL21;SSR4;RPL23;RPS5;RPL22;ATPIF1;RPS6;NDUFC2;EEF1G;PSMA6;KARS;PSMA1;DAD1;NCL;RPL37A;UQCRC1;NHP2;RPL26;UQCRC2;SLC25A5;SF3B5;NDUFB8;SET;RPL10;NDUFB10;UQCRB;PSMD14;RPL12;POMP;ATP5A1;SRSF1;ATP5J;UQCR10;ATP5H;TYMS;MRPL20;ATP5B;PSMB4;RPS15A;RPS3;RPL13;CCT8;RPS2;RPL18;CCT7;RPL19;POLR2L;RANBP1;DUT;NPM1;SSB;CBX5;RRM2;RPL23A;LSM5;HNRNPAB;EIF3M;EIF3K;UQCRQ;ARPC3;OSTC;NDUFAB1;SRPRB;RPL22L1;EIF3F;RPS21;TOMM5;NOP10
Drug_Perturbations_from_GEO_2014	gemcitabine homo sapiens gpl96 gse6914 chdir up	139/1897	4.547370604864275e-59	3.5267385357725155e-57	0	0	4.622939424527188	621.0363037789327	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;NUCKS1;RPL9;BZW1;RPL6;PSMD8;RPS15;GCSH;EEF1B2;FBL;RPS17;RPS16;SNRPD2;RPS19;ARHGDIA;RUVBL1;DENR;RPL38;RPS11;RPS13;WLS;RAB2A;DDX18;RPL23;RPS5;RPL22;RPS6;CD3EAP;ILF2;TUFM;EBNA1BP2;KARS;PSME3;UQCRC1;SNRPE;RPL26;UQCRC2;SNRPF;RPL28;KPNB1;SF1;SNRPB;KHDRBS1;SET;RAB5C;PSMD11;UQCRB;PSMD14;AK2;ATP5J;OAZ1;ADH5;BTF3;NOP16;HSPA4;NONO;SMARCA4;UCK2;NASP;UQCRQ;ANP32E;SRPRB;RPS21;LSM14A;RSL24D1;HSP90AB1;MCM7;COX4I1;RPLP0;CLTA;HMGB1;ATP5G3;COX7C;PTBP1;HINT1;RPLP2;UQCRFS1;CCT3;RFC5;EIF5B;GLRX3;SMC1A;RAD23B;PSMA5;EEF1G;PSMA6;PSMA1;MCM5;SF3B4;SF3B5;NDUFB8;PCNA;DDX27;RPL10;NDUFB6;RPL12;RPL11;POMP;SRSF1;TYMS;HSD17B10;TMEM165;PSMB6;PSMB7;RPS15A;PSMB3;PES1;RPS3;EIF4H;RPL13;SNRPB2;RPL18;CCT7;RPL19;SF3A3;SMARCE1;NOP56;NPM1;RRM1;RRM2;NDUFA5;RPL23A;HSPE1;NPM3;HNRNPAB;PSMC5;EIF3M;MYBBP1A;EIF3K;NDUFAB1;RPL22L1;EIF3F;TOMM6
Drug_Perturbations_from_GEO_2014	dexamethasone mus musculus gpl339 gds2314 chdir up	83/533	1.0731070316255556e-58	7.49028708074638e-57	0	0	9.824752457667747	1311.4018390472393	YWHAE;EIF4A1;HSP90AB1;COX4I1;RPLP0;HMGB1;ATP5G3;COX7C;RPL6;RPS15;TRMT112;PTBP1;RPS17;HINT1;SNRPD2;RPS19;C1QBP;BSG;TMED2;RPLP2;RPS11;RPS13;CCT3;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;BUD31;ATPIF1;KIF22;DYNLL2;DDOST;PSMA5;EEF1G;PSMA4;PSMA1;NHP2;RPL27;SUCLG1;SNRPE;UQCRC2;SRSF6;RPL28;SLBP;VCP;SET;PCNA;UQCRB;NDUFB11;NDUFB5;HDAC1;RPL11;ATP5A1;RPN1;SRSF1;ATP5H;PSMB7;ATP5B;RPS3;CCT8;RPS2;RPL18;CCT7;RPL19;RANBP1;NPM1;RRM2;CBX3;NONO;IDH2;RPL23A;HSPE1;EIF2S2;HNRNPAB;NUDT21;OSTC;EIF3I;NDUFAB1;RPL22L1;CALM3;RPS21
