Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Drug_Perturbations_from_GEO_down	imatinib (glivec) 123596 human GSE12211 sample 2518	103/442	7.2042407583098815e-93	6.505429404753823e-90	0	0	14.702313830166865	3119.327349381956	EIF4A1;PITPNB;HNRNPR;NUCKS1;PSMD8;FBL;RPS17;SNRPD2;RPL23;ILF2;TUFM;KARS;NCL;HAT1;UQCRC1;NHP2;SNRPE;UQCRC2;SNRPF;SNRPB;SRSF9;SLBP;SET;PSMD14;NDUFB11;ATP5J;ATP5H;OAZ1;ATP5B;PCBP1;CBX3;NONO;IDH2;LSM3;NASP;UQCRQ;SRPRB;UBA2;UBA1;NOP10;YWHAE;HSP90AB1;MCM7;HMGB1;YBX1;ATP5G3;PRPF19;TRMT112;PTBP1;C1QBP;UQCRFS1;CCT3;HSP90AA1;PARP1;NDUFC2;NDUFC1;DDOST;PSMA5;PSMA6;PSMA3;PSMA1;DAD1;MCM3;MCM5;MCM6;SLC25A5;MCM2;SF3B5;NDUFB8;AHCY;PCNA;RPL10;NDUFB6;HDAC1;ATP5A1;SRSF1;UQCR10;TYMS;HSD17B10;PSMB6;PSMB4;PSMB3;USP1;CCT8;RBBP7;CCT7;CCT4;POLR2L;NOP56;RANBP1;GINS2;DUT;NPM1;RRM1;RRM2;RPA1;HSPE1;HNRNPAB;PSMC5;RPA3;NDUFAB1;TCEA1;TOMM6
Drug_Perturbations_from_GEO_down	Promyelocytic leukemia DB00755 human GSE5007 sample 2461	79/291	5.781456290372597e-76	2.6103275151032277e-73	0	0	17.127928279510446	2967.273321754956	RPL5;RPL30;HSP90AB1;RPL32;MCM7;RPL34;OLA1;HNRNPR;HMGB1;YBX1;PRPF19;RPL9;RPL7;RPS15;EEF1B2;FBL;PTBP1;RPS17;RPS16;SNRPD2;C1QBP;RPLP2;RPL38;RPS13;CCT3;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPS6;SARS;ILF2;TUFM;EEF1G;KARS;DKC1;NCL;CANX;NHP2;MCM3;RPL27;SNRPE;RPL26;SNRPF;MCM6;SNRPB;MCM2;SET;AHCY;PCNA;RPL12;RPN1;RPL11;AK2;TYMS;ATP5B;RPS15A;RPS3;RPL13;RPL18;CCT7;CCT4;BTF3;NOP56;RANBP1;NPM1;DUT;RRM2;HSPE1;HNRNPAB;EIF3M;NDUFAB1;TCEA1;SRPRB;UBA2;RPS21;RSL24D1;MAD2L1
Drug_Perturbations_from_GEO_down	doxorubicin, 2xEC50, 5 d 31703 human GSE6930 sample 3265	91/493	1.33675265073241e-71	4.023625478704554e-69	0	0	11.645689495204152	1900.498479988428	YWHAE;EIF4A1;HSP90AB1;KDM1A;HNRNPR;ATP5G3;COX7C;PSMD8;GCSH;EEF1B2;TRMT112;HINT1;PSMD7;RPS16;SNRPD2;C1QBP;UQCRFS1;CCT3;GPX4;RPS5;DYNLT3;SARS;NDUFC1;ILF2;TUFM;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;HAT1;UQCRC1;NHP2;MCM3;UQCRC2;SNRPF;MCM6;SLC25A5;SNRPB;SRSF9;VCP;SET;AHCY;PCNA;PSMD14;NDUFB6;NDUFB11;NDUFB5;RPL11;ATP5A1;ATP5H;TYMS;OAZ1;ADH5;PSMB7;ATP5B;PSMB4;PSMB3;PCBP1;USP1;EIF4H;RBBP7;CCT7;CCT4;MCTS1;SF3A3;GINS2;DUT;RRM1;SSB;RRM2;HSPA4;RPA1;TBCB;HSPE1;EIF2S2;HNRNPAB;LSM3;NASP;PSMC4;UQCRQ;ARPC3;RPA3;NDUFAB1;ANP32E;TCEA1;UBA2;UBA1;RSL24D1;NOP10
Drug_Perturbations_from_GEO_down	Argyrin A 24978550 human GSE8565 sample 3054	79/341	5.6942118172592215e-70	1.2854683177462694e-67	0	0	14.616501845564633	2330.477071405451	RPL5;RBM28;MCM7;COX4I1;HMGB1;YBX1;ATP5G3;BZW1;EEF1B2;FBL;C1QBP;UQCRFS1;RPS13;BCAS2;CCT3;EIF5B;HSP90AA1;NDUFC2;PSMA6;EBNA1BP2;PSMA4;KARS;PSMA1;DKC1;NCL;HAT1;RPL37A;UQCRC1;NHP2;MCM3;RPL27;SNRPE;SNRPF;MCM6;FKBP4;PFDN4;KPNB1;SNRPB;SF3B5;SLBP;PCNA;NDUFB11;POMP;ATP5A1;SRSF1;TYMS;OAZ1;HSD17B10;PSMB6;MRPL20;PSMB4;CCT8;CCT7;LYAR;POLR2L;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;RRM2;CBX3;HSPE1;LSM5;HNRNPAB;PSMC5;UQCRQ;ARPC3;RPA3;NDUFAB1;POLE3;UBA2;UBA1;RPS21;TOMM5;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_down	cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375	87/468	1.489028702599788e-68	2.689185836895217e-66	0	0	11.728544851573243	1831.736717024957	YWHAE;EIF4A1;HSP90AB1;KDM1A;MCM7;HNRNPR;ATP5G3;COX7C;PSMD8;GCSH;TRMT112;PTBP1;PSMD7;RPS16;SNRPD2;C1QBP;PSMD3;RUVBL1;UQCRFS1;CCT3;HSBP1;SARS;NDUFC1;ILF2;TUFM;PSMA5;PSMA6;PSMA3;PSMA1;HAT1;UQCRC1;NHP2;SUCLG1;UQCRC2;SNRPF;MCM6;SLC25A5;SNRPB;SRSF9;MCM2;VCP;SET;AHCY;UQCRB;PSMD14;NDUFB6;NDUFB5;HDAC1;RPL11;ATP5A1;UQCR10;ATP5H;TYMS;ADH5;PSMB6;PSMB7;ATP5B;PSMB4;PSMB3;PCBP1;EIF4H;CCT7;CCT4;MCTS1;BTF3;SF3A3;GINS2;DUT;HSPA4;TBCB;HSPE1;EIF2S2;HNRNPAB;LSM3;NASP;EIF3K;PSMC4;UQCRQ;ARPC3;RPA3;NDUFAB1;ANP32E;TCEA1;UBA2;UBA1;RSL24D1;NOP10
Drug_Perturbations_from_GEO_down	Lapatinib DB01259 human GSE16179 sample 2581	81/386	4.437911506784665e-68	6.679056817710922e-66	0	0	13.239404390251876	2053.241005798002	RPL5;EIF4A1;MCM7;OLA1;NUCKS1;YBX1;ATP5G3;PRPF19;BZW1;RPL6;TRMT112;FBL;HINT1;SNRPD2;C1QBP;RPL38;RPS13;CCT3;HSP90AA1;SSR4;PARP1;GPX4;RPS8;RPS6;ILF2;PSMA6;KARS;DKC1;NCL;UQCRC1;MCM3;RPL27;SNRPE;SNRPF;MCM6;PFDN4;SLC25A5;KPNB1;ASF1B;SNRPB;MCM2;SLBP;SET;PCNA;NDUFB10;UQCRB;PSMD14;NDUFB11;RPL11;SRSF1;ATP5J;TYMS;OAZ1;HSD17B10;PSMB6;ATP5B;PSMB3;USP1;CCT8;RBBP7;RPS27A;CCT7;CCT4;POLR2L;NOP56;DUT;NPM1;NOP58;RRM1;RRM2;NAA10;CBX3;HNRNPAB;PSMC5;EIF3K;UQCRQ;RPA3;NDUFAB1;RPL22L1;RPS21;TOMM5
Drug_Perturbations_from_GEO_down	EPZ004777 56962336 human GSE29828 sample 2650	79/376	2.2635031887672206e-66	2.9199191135097143e-64	0	0	13.255923216323245	2003.681873420031	YWHAE;EIF4A1;HSP90AB1;MCM7;CDCA7L;HNRNPR;NUCKS1;HMGB1;YBX1;ATP5G3;BZW1;PSMD8;TRMT112;SNRPD2;C1QBP;TMED2;UQCRFS1;CCT3;HSP90AA1;ACTL6A;ILF2;PSMA6;PSMA4;PSMA1;DKC1;DAD1;NCL;HAT1;UQCRC1;NHP2;MCM3;MCM5;SNRPF;MCM6;SLC25A5;SNRPB;SRSF9;MCM2;SLBP;SET;PCNA;PSMD14;POMP;RPN1;SRSF1;ATP5J;TYMS;OAZ1;PSMB6;ATP5B;PSMB3;EIF4H;CCT8;CCT7;CCT4;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;RRM2;HSPA4;ALYREF;NONO;HSPE1;EIF2S2;HNRNPAB;UCK2;UQCRQ;RPA3;NDUFAB1;ANP32E;UBA2;TOMM5;NOP10;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_down	apratoxin A 6326668 human GSE2742 sample 3070	75/354	3.5932886282231453e-63	4.055924539106876e-61	0	0	13.366839544458108	1921.9348904322144	RPL30;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;RPL9;COX7C;RPL6;PSMD8;RPS15;EEF1B2;TRMT112;FBL;RPS16;SNRPD2;RPS19;BSG;RCC1;TMED2;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;CCT3;NUDC;SSR4;GPX4;HSBP1;RPS8;RPL22;RPS6;ILF2;RAD23B;PSMA4;NHP2;SNRPE;RPL26;UQCRC2;SNRPF;RPL28;SRSF9;RPL10;UQCRB;NDUFB5;HDAC1;RPL12;RPL11;ATP5A1;SRSF1;ATP5J;UQCR10;ATP5H;RBBP4;PSMB3;RPS3;RPL13;RPL18;POLR2L;BTF3;RANBP1;NONO;RPL23A;HSPE1;HNRNPAB;NUDT21;ARPC3;RPA3;EIF3I;NDUFAB1;UBA1;RPS21;NOP10
Drug_Perturbations_from_GEO_down	EPZ004777 56962336 human GSE29828 sample 2651	75/362	2.1313927238515007e-62	2.138497366264339e-60	0	0	13.071439775519808	1856.190199974994	RPL30;HSP90AB1;MCM7;RPLP0;HMGB1;YBX1;ATP5G3;PSMD8;EEF1B2;FBL;SNRPD2;C1QBP;UQCRFS1;CCT3;HSP90AA1;RPS8;NDUFC1;ILF2;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;NCL;HAT1;NHP2;MCM3;SNRPE;MCM6;SLC25A5;SNRPB;SRSF9;MCM2;SLBP;AHCY;PCNA;UQCRB;PSMD14;RPL11;POMP;AK2;ATP5J;TYMS;OAZ1;PSMB6;ATP5B;PSMB4;RPS15A;PSMB3;PCBP1;EIF4H;CCT8;CCT7;RPL19;CCT4;BTF3;NPM1;SSB;HSPA4;HSPE1;EIF2S2;LSM6;UQCRQ;ARPC3;OSTC;EIF3I;NDUFAB1;POLE3;UBA2;RPL22L1;RSL24D1;TOMM5;NOP10;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_down	imatinib DB00619 human GSE23743 sample 2763	74/354	7.696658676747904e-62	6.950082785103357e-60	0	0	13.188615017198666	1855.8951720238351	EIF4A1;HSP90AB1;PITPNB;YBX1;ATP5G3;TRMT112;FBL;SNRPD2;C1QBP;RUVBL1;GOLGA7;CCT3;HSP90AA1;SSR4;PARP1;PSMA6;EBNA1BP2;PSMA4;KARS;DKC1;DAD1;NCL;RPL37A;NHP2;MCM3;SNRPE;SNRPF;MCM6;SLC25A5;SNRPB;MCM2;SLBP;NDUFB8;SET;AHCY;PCNA;RPL10;NDUFB6;RPL11;POMP;SRSF1;ATP5J;UQCR10;ATP5H;TYMS;ATP5B;PSMB3;RPS3;SNRPB2;CCT8;RBBP7;CCT7;RPL19;CCT4;NOP56;RANBP1;GINS2;DUT;NPM1;RRM2;NDUFA3;RPA1;HSPE1;HNRNPAB;NASP;UQCRQ;ARPC3;EIF3I;NDUFAB1;ANP32E;UBA2;NOP10;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_down	paclitaxel 36314 human GSE12791 sample 3238	76/409	1.719857829224801e-59	1.411846927081814e-57	0	0	11.72360068799025	1586.3236782961746	PITPNB;RPL34;RPLP0;ATP5G3;RPL9;COX7C;PSMD8;RPS15;TRMT112;FBL;HINT1;SNRPD2;RPS19;BSG;RPLP2;UQCRFS1;DENR;RPS8;RPL23;RPL22;ATPIF1;SARS;NDUFC2;NDUFC1;ILF2;DDOST;PSMA5;PSMA3;PSMA4;DAD1;HAT1;RPL37A;RPL27;SNRPE;SNRPF;SLC25A5;RPL28;SNRPB;SRSF9;SF3B5;RAB5C;PCNA;RPL10;NDUFB5;RPL11;POMP;ATP5J;UQCR10;ATP5H;TYMS;OAZ1;PSMB7;PSMB3;SNRPB2;RPS2;RPL18;RPS27A;POLR2L;MCTS1;BTF3;DUT;TAF15;HNRNPAB;LSM3;LSM2;EIF3M;UQCRQ;ARPC3;RPA3;EIF3I;NDUFAB1;UBA2;RSL24D1;NOP10;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_down	apratoxin A 6326668 human GSE2742 sample 3068	59/211	3.7418169112926915e-57	2.8157172257477497e-55	0	0	17.641694200666798	2292.1461453258207	RPL5;RPL30;RPL32;RPL34;PITPNB;RPLP0;NUCKS1;ATP5G3;RPL9;COX7C;RPL6;RPL7;EEF1B2;RPS17;HINT1;RPS16;SNRPD2;RPLP2;RPL38;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;PSMA4;PSMA1;RPL37A;RPL26;SNRPF;SLC25A5;RPL28;SNRPB;SET;UQCRB;NDUFB6;RPL12;ATP5A1;ATP5H;UQCR10;TYMS;RPS15A;RRS1;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;MCTS1;NOP56;NPM1;CBX3;RPL23A;EIF3K;TARDBP;RPS21;TOMM6
Drug_Perturbations_from_GEO_down	cytarabine, 2xEC50, 3 d 6253 human GSE6930 sample 3423	67/318	4.593831325957012e-56	3.1909459133378324e-54	0	0	13.292859552010796	1693.7768396634558	YWHAE;EIF4A1;HSP90AB1;MCM7;HNRNPR;ATP5G3;BZW1;TRMT112;PTBP1;PSMD7;SNRPD2;C1QBP;PSMD3;RUVBL1;RCC1;TMED2;UQCRFS1;CCT3;RPS5;RPS6;ILF2;TUFM;PSMA5;EBNA1BP2;PSMA3;PSMA4;PSMA1;DKC1;NCL;NHP2;CCDC86;FKBP4;SLC25A5;PPID;SNRPB;SRSF9;VCP;AHCY;PSMD14;NDUFB6;SRSF1;MAK16;MRPL12;PSMB6;PSMB7;ATP5B;PSMB3;PCBP1;SNRPB2;CCT7;CCT4;ABCF1;BTF3;NPM1;HSPA4;NONO;HSPE1;HNRNPAB;UCK2;LSM6;EIF3K;PSMC4;RPA3;EIF3I;NDUFAB1;SRPRB;RSL24D1
Drug_Perturbations_from_GEO_down	sulforaphane 5350 human GSE28813 sample 3445	64/280	6.452587355157973e-56	4.161918844076892e-54	0	0	14.420910319963946	1832.613379244122	RPL5;RPL32;MCM7;RPL31;RPL34;RPLP0;HMGB1;ATP5G3;RPL9;RPL6;GCSH;EEF1B2;TRMT112;FBL;RPS16;SNRPD2;C1QBP;UQCRFS1;RPS13;CCT3;RPL21;ILF2;TUFM;EBNA1BP2;NCL;NHP2;MCM3;RPL27;SNRPE;RPL26;SNRPF;MCM6;SLC25A5;THOP1;KPNB1;MCM2;SF3B5;AHCY;RPL10;NDUFB10;RPL12;RPL11;ATP5A1;TYMS;RPS3;RPL18;RPS27A;CCT4;BTF3;RANBP1;NPM1;DUT;NOP58;RRM1;NOP16;CBX3;ALYREF;RPL23A;NPM3;HSPE1;EIF3K;RPL22L1;TOMM5;MAD2L1
