Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Drug_Perturbations_from_GEO_up	estradiol 5757 human GSE53394 sample 2652	84/351	6.860708348754196e-76	6.215801763971301e-73	0	0	15.098816360646017	2613.1620579969945	EIF4A1;HSP90AB1;RPL32;MCM7;OLA1;HNRNPR;HMGB1;YBX1;ATP5G3;EEF1B2;FBL;HINT1;SNRPD2;RPS19;C1QBP;RPLP2;UQCRFS1;RPL38;RPS13;CCT3;NUDC;HSP90AA1;RFC3;RPL21;SSR4;RPS5;RPS6;SARS;NDUFC2;ILF2;TUFM;PSMA5;PSMA6;EBNA1BP2;PSMA3;PSMA4;KARS;PSMA1;DKC1;NCL;CANX;NHP2;MCM3;SNRPE;SNRPF;MCM6;FKBP4;SLC25A5;KPNB1;MCM2;SF3B5;SET;AHCY;PCNA;RPL11;TYMS;PSMB3;CCT8;RBBP7;RPS27A;CCT7;RPL19;CCT4;MCTS1;BTF3;NOP56;GINS2;DUT;NPM1;RRM2;RPL23A;HSPE1;NPM3;EIF2S2;HNRNPAB;UCK2;NASP;EIF3K;ARPC3;NDUFAB1;SRPRB;RSL24D1;TOMM6;MAD2L1
Drug_Perturbations_from_GEO_up	chromium 23976 human GSE6907 sample 3534	75/330	1.2735091510207454e-65	5.768996454123977e-63	0	0	14.338973329509606	2142.6190829291145	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPLP0;CLTA;HMGB1;YBX1;RPS15;EEF1B2;RPS17;RPS16;SNRPD2;RPS19;RPLP2;UQCRFS1;RPS13;RPL21;GPX4;HSBP1;RPS5;RPL22;SARS;NDUFC1;ILF2;TUFM;PSMA5;KARS;PSMA1;DKC1;UQCRC1;MCM3;RPL27;SUCLG1;SNRPE;MCM5;UQCRC2;SLC25A5;RPL28;SNRPB;MCM2;KHDRBS1;SET;AHCY;PCNA;RPL12;RPL11;ATP5A1;UQCR10;TYMS;PSMB7;ATP5B;PSMB3;PCBP1;RPS3;RPL13;CCT8;CCT7;RPL19;CCT4;BTF3;RANBP1;GINS2;NPM1;RRM1;UBE2I;RRM2;NONO;EIF2S2;LSM3;EIF3I;NDUFAB1;EIF3F;RPS21
Drug_Perturbations_from_GEO_up	ARSENIC 5359596 human GSE6907 sample 3529	78/394	2.297343756176242e-63	6.937978143652253e-61	0	0	12.490191996669285	1801.4742219656218	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;COX4I1;CLTA;HMGB1;YBX1;ATP5G3;RPL6;RPS15;EEF1B2;RPS17;SNRPD2;RPLP2;UQCRFS1;CCT3;NUDC;HSP90AA1;RPL21;HSBP1;RPS5;RPL22;TUFM;PSMA5;PSMA3;PSMA4;KARS;PSMA1;DKC1;HAT1;UQCRC1;MCM3;MCM5;MCM6;SLC25A5;SNRPB;MCM2;SLBP;KHDRBS1;VCP;AHCY;PCNA;PSMD11;PSMD14;ATP5A1;SRSF1;UQCR10;TYMS;PSMB7;ATP5B;PSMB4;PSMB3;PCBP1;USP1;RPL13;CCT8;RBBP7;CCT7;CCT4;NOP56;RANBP1;GINS2;RRM1;UBE2I;RRM2;IDH2;RPA1;HSPE1;EIF2S2;HNRNPAB;LSM3;PSMC5;RPA3;NDUFAB1;TARDBP
Drug_Perturbations_from_GEO_up	Dmnq   (2,3-Dimethoxy-1,4-naphthoquinone) 3136 human GSE6907 sample 3527	72/321	1.8209926494782e-62	4.1245483510681225e-60	0	0	14.151360594357145	2011.770073430333	RPL5;EIF4A1;RPL30;HSP90AB1;COX4I1;YBX1;ATP5G3;RPS15;EEF1B2;RPS17;RPS16;SNRPD2;UQCRFS1;RPS13;HSP90AA1;RFC3;RPL21;RPL22;NDUFC2;NDUFC1;TUFM;PSMA5;PSMA3;KARS;DKC1;RPL37A;MCM3;RPL27;SNRPE;MCM5;UQCRC2;SNRPF;SRSF6;SLC25A5;SNRPB;MCM2;KHDRBS1;AHCY;PCNA;PSMD14;RPL12;RPL11;ATP5A1;UQCR10;TYMS;OAZ1;PSMB7;ATP5B;RPS15A;PSMB3;RPS3;CCT8;RBBP7;CCT7;CCT4;RANBP1;GINS2;RRM1;UBE2I;RRM2;NONO;RPA1;HSPE1;EIF2S2;HNRNPAB;LSM3;UQCRQ;RPA3;EIF3I;NDUFAB1;TARDBP;RPS21
Drug_Perturbations_from_GEO_up	Mercury 23931 human GSE6907 sample 3533	63/254	1.8729151588520347e-57	3.3937222678398874e-55	0	0	15.64867483047269	2044.0276243907385	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;PITPNB;HNRNPR;HMGB1;RPS15;EEF1B2;RPS17;SNRPD2;RPS19;RPLP2;DDX18;RFC3;RPL21;RPS5;RPL22;TUFM;PSMA3;KARS;PSMA1;DKC1;UQCRC1;MCM5;SLC25A5;RPL28;SNRPB;MCM2;AHCY;PCNA;PSMD11;PSMD14;RPL12;RPL11;ATP5A1;SRSF1;UQCR10;TYMS;ATP5B;PSMB7;PSMB3;RPS3;RPL13;CCT8;CCT7;RPL19;CCT4;BTF3;NOP56;RANBP1;GINS2;RRM1;RRM2;EIF2S2;HNRNPAB;LSM3;UCK2;NDUFAB1;EIF3F;TARDBP
Drug_Perturbations_from_GEO_up	sapphyrin PCI-2050 (2.5 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3102	68/332	4.8655632007507e-56	7.347000433133556e-54	0	0	12.922351868039986	1645.8241088969062	HSP90AB1;RPL32;RPL31;RPL34;RPLP0;OLA1;CLTA;ATP5G3;RPL9;COX7C;RPL6;RPL7;PSMD8;RPS15;EEF1B2;TRMT112;RPS16;SNRPD2;RPS19;C1QBP;BSG;RPLP2;UQCRFS1;RPL38;RPS13;CCT3;RPL21;GPX4;HSBP1;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA6;KARS;PSMA1;DAD1;UQCRC1;RPL27;UQCRC2;SLC25A5;RPL28;AHCY;UQCRB;NDUFB5;RPL12;RPL11;ATP5A1;ATP5B;PSMB4;RPS15A;PSMB3;RPS3;EIF4H;RPL13;RPS2;RPL18;RPL19;BTF3;NPM1;RPL23A;EIF3K;PSMC4;UQCRQ;ARPC3;RPS21
Drug_Perturbations_from_GEO_up	lung cancer DB00928 human GSE29077 sample 2534	62/256	7.995343371443235e-56	1.0348258706467958e-53	0	0	15.279968454258675	1938.5070402873248	YWHAE;RPL30;RPL32;RPL34;RPLP0;HMGB3;ATP5G3;RPL9;RPL6;RPS15;FBL;PTBP1;RPS17;UQCRFS1;RPS11;CCT3;HSP90AA1;RPL21;GPX4;RPS5;RPS6;SARS;PSMA6;PSMA4;KARS;PSMA1;NHP2;RPL27;SNRPE;MCM6;KPNB1;SET;PCNA;UQCRB;PSMD14;NDUFB11;RPL12;ATP5H;TYMS;PSMB4;RPS15A;RPS3;RPL13;RPS2;RPL19;CCT4;NOP56;NPM1;CBX3;NONO;RPL23A;EIF2S2;HSPE1;EIF3M;UQCRQ;NDUFAB1;TCEA1;UBA2;EIF3F;RPS21;RSL24D1;TOMM6
Drug_Perturbations_from_GEO_up	Arachidonic acid DB04557 human GSE3737 sample 3171	72/395	1.2625511025223799e-55	1.429839123606595e-53	0	0	11.50021962224973	1453.731788433922	EIF4A1;HSP90AB1;RPLP0;HMGB1;YBX1;RPL9;BZW1;RPL6;PSMD8;EEF1B2;TRMT112;FBL;PTBP1;HINT1;RPS16;SNRPD2;UQCRFS1;DENR;CCT3;HSP90AA1;RPL21;PARP1;RPS8;RPL22;RPS6;NDUFC1;DDOST;TUFM;EEF1G;PSMA6;PSMA3;PSMA4;KARS;PSMA1;UQCRC1;NHP2;MCM6;SLC25A5;ASF1B;MCM2;VCP;AHCY;PSMD14;NDUFB6;NDUFB5;RPL12;TYMS;HSD17B10;PSMB6;PSMB7;ATP5B;PSMB4;RPS15A;RPS3;EIF4H;RPS2;RPL19;CCT4;MCTS1;BTF3;NPM1;RRM1;RRM2;NONO;EIF2S2;HNRNPAB;DRAP1;PSMC5;EIF3K;EIF3I;NDUFAB1;UBA1
Drug_Perturbations_from_GEO_up	apratoxin A 6326668 human GSE2742 sample 3066	72/397	1.8389269082024524e-55	1.8511864209238022e-53	0	0	11.442284007024293	1442.105356402922	RPL5;RPL30;HSP90AB1;RPL32;OLA1;NUCKS1;PRPF19;RPL6;EEF1B2;TRMT112;FBL;HINT1;PSMD7;RPS16;SNRPD2;RPS19;RPLP2;DENR;RPS11;RPS13;HSP90AA1;SSR4;RPS8;RPL23;RPS5;ATPIF1;NDUFC2;EBNA1BP2;PSMA4;KARS;RPL37A;NHP2;SNRPE;RPL26;SNRPF;RPL28;SNRPB;SF3B5;SLBP;SET;RPL11;POMP;UQCR10;TYMS;OAZ1;PSMB6;PSMB7;ATP5B;PSMB4;RPS15A;PSMB3;RPS3;RBBP7;RPL18;RPS27A;CCT7;RPL19;POLR2L;MCTS1;SSB;TAF15;HSPE1;EIF2S2;PSMC5;EIF3K;UQCRQ;ARPC3;EIF3I;EIF3F;RPS21;NOP10;TOMM6
Drug_Perturbations_from_GEO_up	5-Fluorouracil 3385 mouse GSE1559 sample 3638	67/332	9.712844080682105e-55	8.79983673709799e-53	0	0	12.732317281745276	1583.5021426765604	RPL34;CDCA7L;RPLP0;HMGB3;YBX1;COX7C;FBL;RPS17;HINT1;SNRPD2;RPS19;SKP1A;GLRX3;ATPIF1;RPS6;PSMA5;PSMA6;PSMA3;PSMA4;HAT1;RPL37A;UQCRC1;NHP2;MCM3;SUCLG1;SNRPE;UQCRC2;RPL28;PPID;SF3B5;SET;AHCY;PCNA;UQCRB;PSMD14;NDUFB5;POMP;ATP5A1;UQCR10;HSD17B10;PSMB4;RPS15A;RBBP4;PSMB3;G3BP1;RBBP7;RPL18;RPS27A;CCT7;POLR2L;BTF3;RANBP1;NPM1;NDUFA5;CBX3;RPL23A;HSPE1;LSM3;EIF3M;EIF3K;UQCRQ;RPA3;OSTC;NDUFAB1;RPL22L1;NOP10;MAD2L1
