Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_Histone_Modifications_2013	MCF7 H3K27ac	63/1999	7.865512611733288e-08	8.573408746789282e-06	0	0	1.9883758914157397	32.52623665443721	RPL30;RPL32;BCCIP;BZW1;RPL7;EEF1B2;TRMT112;HINT1;PSMD7;BSG;BCAS2;RPL21;RPS8;BUD31;CD3EAP;NDUFC2;BAZ1B;SMC1A;UCHL5;PSMA4;RPL37A;SUCLG1;UQCRC2;PFDN4;SRSF9;SF3B4;MEAF6;PSMD14;NDUFB6;PSMD13;NDUFB5;POMP;SRSF1;MRPL12;ADH5;MRPL20;ORC4;PSMB4;MAT2A;USP1;RPL13;BRIX1;SNRPB2;CCT7;RPL19;CCT4;BTF3;DUT;UBE2I;NOP16;CBX3;LSM1;TBCB;RPL23A;BYSL;PSMC5;UQCRQ;OSTC;POLE3;RPL22L1;TARDBP;LSM14A;TOMM6
ENCODE_Histone_Modifications_2013	AG04450 H3K27ac	36/1410	0.003197771646839247	0.17427855475273896	0	0	1.6108463655278875	9.254797350872977	SF3B4;SF3B5;KHDRBS1;RPL32;PSMD14;CDCA7L;UQCR10;YBX1;PMF1;PTBP1;RPS15A;RPS19;MAT2A;POLD1;NUP62;TMED2;DENR;LYAR;RPL19;CCT4;SMARCE1;DUT;NONO;BUD31;DYNLT3;TBCB;RPL23A;RAD23B;BYSL;PSMC5;NCL;EIF3I;RPL37A;UQCRC2;PFDN4;TOMM6
ENCODE_Histone_Modifications_2013	PANC1 H3K27ac	47/1999	0.003914580866036202	0.14222977146598198	0	0	1.4833915380403135	8.22250903516271	MCM7;PITPNB;UQCR10;HSD17B10;PSMB6;PSMB4;PSMD7;RPS15A;RBBP4;PES1;NUP62;G3BP1;ABCF2;LYAR;BCAS2;RPL19;CCT4;BTF3;SMARCE1;RFC3;TAF15;NOP16;NDUFA3;ATPIF1;LSM1;MAGOHB;RAD23B;SND1;UCHL5;LSM3;TUFM;POLE4;NUDT21;PSMC5;PSMA3;RAD51;NASP;UQCRQ;PSME3;NDUFAB1;POLE3;SNRPE;UQCRC2;EIF3F;PFDN4;RPL28;TOMM6
ENCODE_Histone_Modifications_2013	WERIRB1 H3K4me3	18/880	0.1624856690948744	1.0	0	0	1.2905075996558646	2.3450658505277384	MCTS1;DUT;CBX3;PSMD13;RPL12;NONO;BUD31;CDCA7L;LSM5;RAD23B;BYSL;RPS15;PSMC5;PSME3;PES1;EIF3I;UQCRFS1;EIF3F
ENCODE_Histone_Modifications_2013	K562B H3K9ac	36/1999	0.2320463169344588	1.0	0	0	1.136214795094708	1.6598033486831505	PRIM2;CDCA7L;ATP5A1;YBX1;EEF1B2;MRPL20;RBBP4;CCT7;ABCF2;LYAR;CCT3;SMARCE1;UBE2I;TAF15;RPL22;RPA1;LSM1;NDUFC2;SND1;LSM3;DDOST;TUFM;PSMA5;POLE4;PSMA6;RAD51;NCL;OSTC;CANX;LUC7L3;SNRPE;SRSF6;TARDBP;KPNB1;TOMM6;MCM2
ENCODE_Histone_Modifications_2013	HELAS3 H3K4me3	11/587	0.32859437143795106	1.0	0	0	1.1822935419902298	1.3158113733271133	GCSH;MBD3;RANBP1;RPS19;MAT2A;CBX3;PSMD13;NUP62;CD3EAP;EIF3F;PFDN4
ENCODE_Histone_Modifications_2013	SKNMC H3K4me3	14/769	0.33604680489752004	1.0	0	0	1.1486095670972585	1.2525642789005431	KHDRBS1;DUT;SSB;UBE2I;RPS8;CBX3;EIF2S2;COX7C;PSMC5;PSME3;EIF3I;UQCRFS1;EIF3F;SLC25A5
ENCODE_Histone_Modifications_2013	RPTEC H3K4me3	17/958	0.35099874221257205	1.0	0	0	1.1195774582957398	1.1721669660349956	KHDRBS1;UBE2I;NONO;ACTL6A;TACSTD2;CD3EAP;EIF2S2;RAD23B;BYSL;GCSH;PSMC5;RPS19;PES1;EIF3F;TARDBP;SLC25A5;POLR2L
ENCODE_Histone_Modifications_2013	NB4 H3K4me3	17/972	0.3733306711557031	1.0	0	0	1.1034518570445666	1.087220890403278	DUT;SET;CBX3;NONO;CD3EAP;YBX1;BAZ1B;ORC4;SNRPD2;MAT2A;PES1;BSG;NUP62;EIF4H;SUCLG1;EIF3F;PFDN4
ENCODE_Histone_Modifications_2013	CD20RO01778 H3K4me3	17/977	0.3813641625562547	1.0	0	0	1.0978047134568256	1.0582843509835909	RPL5;HELLS;UBE2I;BUD31;ACTL6A;ATP5J;HMGB1;EIF2S2;TMEM165;RPS15;GCSH;PSMA4;RPS19;UQCRFS1;EIF3F;PFDN4;SLC25A5
