Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_TF_ChIP-seq_2015	MYC K562 hg19	247/6800	1.4782004390902288e-58	1.2062115582976268e-55	0	0	2.2917053256633886	305.1614414679423	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;FAM53B;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;CD3EAP;SND1;KARS;PSME3;UQCRC1;CCDC86;TFAM;RPL27;SUCLG1;RPL26;RPL28;SF1;SLBP;MEAF6;CDCA7;ATP5H;MRPL12;OAZ1;ADH5;MRPL20;ATP5B;PCBP1;RRS1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;COX7C;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;PARP1;HSBP1;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B5;PRIM2;PCNA;RPL10;MRPS36;RPL12;RPL11;UQCR10;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA2;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;NDUFAB1;TCEA1;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1;KDM1A;BCCIP;UBE2D1;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;PPID;KPNB1;SNRPB;KHDRBS1;RAB5C;NDUFB10;PSMD14;NDUFB11;PSMD13;NOP2;AK2;G3BP1;BRIX1;IVNS1ABP;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;IDH2;LSM1;TBCB;EIF2S2;LSM3;LSM6;UQCRQ;OSTC;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;CDCA7L;HP1BP3;HMGB3;YBX1;LMNB2;PTBP1;NUP62;UQCRFS1;BCAS2;EIF5B;RFC3;GPX4;GLRX3;BUD31;DYNLT3;SMC1A;RAD23B;DDOST;EEF1G;RPL37A;MCM3;LUC7L3;THOP1;MCM2;DDX27;NDUFB5;HDAC1;POMP;SRSF1;MAK16;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;ABCF2;POLR2L;SMARCE1;NOP56;NOP58;RRM1;TAF15;RRM2;NAA10;TAF12;NDUFA3;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K;EIF3I;POLE3;EIF3F
ENCODE_TF_ChIP-seq_2015	MYC MEL cell line mm9	132/2000	3.252600281005239e-50	1.3270609146501374e-47	0	0	4.1640378548895916	474.49128028571226	RPL5;RPL32;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;EEF1B2;FBL;PSMD7;CCND2;RUVBL1;RCC1;RPL38;RPS11;RPS13;RPS8;RPS5;RPS6;CD3EAP;SND1;EBNA1BP2;KARS;DKC1;PSME3;NCL;NHP2;CCDC86;RPL27;SUCLG1;SNRPE;RPL26;SRSF6;FKBP4;RPL28;PPID;KHDRBS1;SET;NDUFB11;NOP2;AK2;MRPL12;PMF1;ADH5;MRPL20;PCBP1;G3BP1;RRS1;SURF6;LYAR;MCTS1;BTF3;CBX5;NOP16;NONO;H13;EIF2S2;SMARCA4;LSM2;NASP;UQCRQ;ARPC3;UBA1;RPS21;RSL24D1;NOP10;HSP90AB1;CDCA7L;RPLP0;OLA1;YBX1;TRMT112;PTBP1;C1QBP;TMED2;RPLP2;CCT3;EIF5B;NUDC;SSR4;PARP1;SMC1A;RAD23B;DDOST;PSMA5;PSMA4;CANX;LUC7L3;SLC25A5;SF3B4;DDX27;RPL10;NDUFB5;RPL11;POMP;ATP5A1;MAK16;HSD17B10;PSMB4;MAT2A;PES1;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;ABCF1;POLR2L;MBD3;NOP56;NOP58;SSB;NDUFA5;NAA10;TAF12;NDUFA3;RPL23A;NPM3;BYSL;PSMC5;MYBBP1A;EIF3K;EIF3I;TARDBP;TOMM6;MAD2L1
ENCODE_TF_ChIP-seq_2015	MYC HeLa-S3 hg19	161/3080	8.5408238848780995e-50	2.323104096686844e-47	0	0	3.2979638657872097	372.61845927402743	RPL5;EIF4A1;RPL30;RPL32;KDM1A;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;GCSH;EEF1B2;FBL;RPS17;PSMD7;RPS16;SNRPD2;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPL22;RPS6;CD3EAP;ILF2;SND1;TUFM;EBNA1BP2;KARS;MSH2;DKC1;PSME3;NCL;NHP2;CCDC86;TFAM;RPL27;SNRPE;RPL26;SNRPF;SRSF6;FKBP4;KPNB1;SNRPB;RAB5C;NOP2;CDCA7;AK2;MRPL12;MRPL20;ATP5B;PCBP1;G3BP1;RRS1;SURF6;BRIX1;LYAR;BTF3;UBE2I;API5;CBX3;HSPA4;RCC2;TBCB;MAGOHB;EIF2S2;LSM5;LSM3;SMARCA4;DRAP1;ANP32E;UBA2;UBA1;RPS21;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;CDCA7L;RPLP0;OLA1;PRPF19;LMNB2;TRMT112;PTBP1;C1QBP;NUP62;CCT3;EIF5B;RFC3;PARP1;DYNLT3;ACTL6A;BAZ1B;RAD23B;UCHL5;PSMA5;EEF1G;PSMA3;PSMA4;CANX;RPL37A;MCM3;LUC7L3;MCM2;RPL10;NDUFB6;RPL12;RPL11;SRSF1;MAK16;TYMS;PSMB6;RPS15A;MAT2A;POLD1;RPS3;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RPL18;CCT7;ABCF2;RPL19;CCT4;SF3A3;NOP56;RANBP1;NOP58;RRM1;TAF12;RPL23A;HSPE1;HNRNPAB;BYSL;POLE4;EIF3M;MYBBP1A;EIF3K;PSMC4;POLE3;TCEA1;RPL22L1;TOMM5;TOMM6;MAD2L1
ENCODE_TF_ChIP-seq_2015	POLR2AphosphoS5 MEL cell line mm9	140/2661	5.005053322691744e-42	1.0210308778291156e-39	0	0	3.319356471618909	315.66457944302863	RPL5;RPL30;RPL31;RPL34;NUCKS1;RPL9;GCSH;RPS17;PSMD7;RPS16;CCND2;RPS19;ARHGDIA;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;MSH2;PSME3;NCL;TFAM;RPL27;SNRPE;SRSF6;RPL28;PPID;KPNB1;ASF1B;SF1;SNRPB;SLBP;VCP;NDUFB10;UQCRB;NDUFB11;NOP2;AK2;MRPL12;OAZ1;PMF1;ORC4;G3BP1;RRS1;LYAR;BTF3;IVNS1ABP;CBX5;POLR3GL;IDH2;H13;EIF2S2;SMARCA4;UQCRQ;ANP32E;RPS21;NOP10;YWHAE;HSP90AB1;CDCA7L;RPLP0;CLTA;HMGB3;HMGB1;ATP5G3;COX7C;TRMT112;PTBP1;HINT1;C1QBP;NUP62;RPLP2;UQCRFS1;SKP1A;CCT3;RFC5;HELLS;HSP90AA1;SSR4;GPX4;BUD31;ATPIF1;NDUFC2;KIF22;PSMA5;PSMA6;CANX;MCM6;SLC25A5;SF3B4;AHCY;PCNA;RPL10;MAK16;UQCR10;TYMS;HSD17B10;TMEM165;PSMB4;RPS15A;RBBP4;MAT2A;PSMB3;EIF4H;RPL13;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;CCT4;NOP56;RANBP1;NPM1;NOP58;RRM1;SSB;NAA10;TAF12;RPA1;RPA2;HSPE1;HNRNPAB;POLE4;NUDT21;PSMC5;RAD51;MYBBP1A;RPA3;EIF3I;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1
ENCODE_TF_ChIP-seq_2015	ZBTB33 A549 hg19	126/2245	6.3006053299907555e-40	1.0282587898544912e-37	0	0	3.5409918992784526	319.61969490880347	RPL5;EIF4A1;KDM1A;RPL31;RPL34;RPL9;BZW1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;PSMD7;RPS16;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPL38;RPS11;DDX18;RPS8;RPL23;RPL22;RPS6;ILF2;TUFM;KARS;HNRNPUL1;PSME3;NHP2;RPL27;SUCLG1;SNRPE;RPL26;RPL28;SF1;SNRPB;RAB5C;PSMD11;NOP2;PMF1;MRPL20;ATP5B;G3BP1;RRS1;SURF6;BRIX1;MCTS1;BTF3;API5;HSPA4;ALYREF;TBCB;MAGOHB;LSM3;DRAP1;LSM6;UQCRQ;UBA2;LSM14A;RSL24D1;YWHAE;RBM28;COX4I1;RPLP0;TRMT112;HINT1;C1QBP;NUP62;TMED2;RPLP2;CCT3;RFC5;HELLS;EIF5B;RFC3;SSR4;HSBP1;BUD31;SMC1A;RAD23B;UCHL5;EEF1G;PSMA6;PSMA4;RPL37A;LUC7L3;RPL10;NDUFB6;SSNA1;RPL12;SRSF1;MAK16;PSMB6;PSMB7;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RPL18;CCT7;ABCF2;RPL19;CCT4;POLR2L;SF3A3;MBD3;NOP58;RRM1;GCA;TAF12;NDUFA3;RPL23A;HSPE1;HNRNPAB;PSMC5;EIF3M;EIF3K;RPL22L1;TARDBP;TOMM5;TOMM6;MAD2L1
ENCODE_TF_ChIP-seq_2015	KAT2A HeLa-S3 hg19	90/1112	1.600848119431889e-39	2.1771534424273687e-37	0	0	5.1063250346095375	456.1494709676222	YWHAE;RPL5;EIF4A1;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;NUCKS1;PRPF19;RPL9;BZW1;RPL6;RPL7;RPS15;TRMT112;FBL;PTBP1;HINT1;NUP62;RCC1;RPL38;RPS13;RFC5;HELLS;NUDC;LIG1;RPS8;RPL23;RPS6;BAZ1B;SMC1A;UCHL5;EEF1G;HNRNPUL1;NCL;RPL37A;MCM3;LUC7L3;RPL27;RPL26;MCM6;SRSF6;KPNB1;SNRPB;MCM2;SLBP;KHDRBS1;SET;RPL10;RPL12;RPL11;RPN1;SRSF1;MRPL12;TYMS;OAZ1;RPS15A;RBBP4;MAT2A;PCBP1;USP1;RPS3;RPL13;BRIX1;RPS2;RPL18;CCT7;CCT4;IVNS1ABP;SMARCE1;RANBP1;GINS2;NPM1;NOP58;RRM1;UBE2I;CBX5;TAF15;RRM2;CBX3;HSPA4;ALYREF;NONO;RPA1;HNRNPAB;POLE4;POLE3;RPL22L1
ENCODE_TF_ChIP-seq_2015	MAX HeLa-S3 hg19	152/3575	4.1900071556386353e-35	4.884351198573039e-33	0	0	2.682491010566721	212.3400220350144	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;RPL9;RPL6;RPL7;RPS15;GCSH;EEF1B2;FBL;PSMD7;RPS16;SNRPD2;PSMD3;RUVBL1;RPS11;GOLGA7;RPS13;WLS;DDX18;RPL21;RPS8;RPS6;CD3EAP;ILF2;SND1;KARS;HNRNPUL1;PSME3;NCL;NHP2;CCDC86;TFAM;RPL27;SNRPE;RPL26;SNRPF;SRSF6;SNRPB;SRSF9;KHDRBS1;MEAF6;NDUFB10;NOP2;AK2;ADH5;MRPL20;PCBP1;G3BP1;RRS1;SURF6;BRIX1;LYAR;UBE2I;NOP16;API5;RCC2;LSM1;TBCB;MAGOHB;EIF2S2;UQCRQ;OSTC;ANP32E;UBA1;RPS21;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;CDCA7L;RPLP0;OLA1;HMGB3;PRPF19;LMNB2;TRMT112;PTBP1;C1QBP;NUP62;TMED2;UQCRFS1;BCAS2;CCT3;HELLS;RFC3;GPX4;HSBP1;ATPIF1;BAZ1B;PSMA5;PSMA6;PSMA3;DAD1;RPL37A;MCM3;THOP1;MCM2;SF3B5;NDUFB8;RPL10;MRPS36;NDUFB5;RPL12;RPL11;SRSF1;MAK16;PSMB6;PSMB7;RPS15A;RBBP4;POLD1;RPS3;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RPL18;ABCF2;RPL19;CCT4;SF3A3;NOP56;RANBP1;GINS2;NOP58;RRM1;NDUFA5;TAF12;RPA2;RPL23A;HSPE1;NPM3;HNRNPAB;BYSL;POLE4;EIF3M;RAD51;MYBBP1A;EIF3K;PSMC4;POLE3;RPL22L1;EIF3F;TOMM5;MAD2L1
ENCODE_TF_ChIP-seq_2015	KAT2A GM12878 hg19	108/1849	5.990328380805257e-35	6.1101349484213616e-33	0	0	3.6851704306019286	290.3926534915338	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;UBE2D1;HNRNPR;RPL9;BZW1;RPL6;RPL7;RPS15;RPS16;CCND2;RPS19;RCC1;RPL38;WLS;RPL21;RPS8;RPL23;RPS5;RPS6;SND1;KARS;NCL;RPL27;SNRPE;SRSF6;ASF1B;SNRPB;KHDRBS1;VCP;SET;PSMD11;NDUFB11;ATP5J;OAZ1;PCBP1;G3BP1;MCTS1;IVNS1ABP;UBE2I;CBX5;NOP16;POLR3GL;CBX3;HSPA4;NONO;NASP;ANP32E;CALM3;LSM14A;RSL24D1;YWHAE;HSP90AB1;MCM7;RPLP0;HMGB1;ATP5G3;PTBP1;NUP62;EIF5B;ATPIF1;NDUFC1;BAZ1B;UCHL5;EEF1G;PSMA6;DAD1;CANX;RPL37A;LUC7L3;MCM6;SLC25A5;SF3B4;NDUFB5;RPL12;RPL11;POMP;SRSF1;RPS15A;RBBP4;MAT2A;USP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;MBD3;NOP56;NPM1;NOP58;RRM1;TAF15;RRM2;TAF12;RPA2;HNRNPAB;PSMC4;RPL22L1
ENCODE_TF_ChIP-seq_2015	E2F4 CH12.LX mm9	112/2000	1.0154991058684576e-34	9.20719189320735e-33	0	0	3.5331230283911674	276.54641795922055	EIF4A1;HNRNPR;NUCKS1;RPL7;RPS16;BSG;RPS11;RPL23;RPS5;CD3EAP;KARS;MSH2;PSME3;HAT1;NHP2;TFAM;SRSF6;ASF1B;SF1;SNRPB;SLBP;RAB5C;MEAF6;NDUFB11;NOP2;CDCA7;AK2;ATP5H;MRPL12;PMF1;ORC4;MYG1;PCBP1;RRS1;CBX5;NOP16;POLR3GL;ALYREF;TBCB;EIF2S2;LSM5;LSM3;LSM2;LSM6;ANP32E;UBA2;UBA1;ARF2;MCM7;CDCA7L;HMGB1;PRPF19;COX7C;LMNB2;HINT1;NUP62;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;BUD31;ACTL6A;KIF22;BAZ1B;SMC1A;UCHL5;DDOST;PSMA1;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PRIM2;NDUFB8;PCNA;DDX27;RPL10;SSNA1;RPL11;ATP5A1;SRSF1;PSMB7;RBBP4;POLD1;USP1;RPS2;RPL18;ABCF2;SF3A3;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;TAF15;NAA10;RPA1;RPA2;HNRNPAB;POLE4;RAD51;PSMC4;RPA3;POLE3;TCEA1;EIF3F;MAD2L1
ENCODE_TF_ChIP-seq_2015	EP300 K562 hg19	177/4840	5.600666648512768e-34	4.5701439851864193e-32	0	0	2.307271163021092	176.65623396299628	RPL5;RPL30;KDM1A;RPL34;HNRNPR;NUCKS1;RPL9;BZW1;RPL6;RPL7;PSMD8;RPS16;SNRPD2;ARHGDIA;BSG;PSMD3;RUVBL1;RCC1;RPL38;RPS13;DDX18;RPL21;RPL23;RPS5;RPL22;CD3EAP;TUFM;EBNA1BP2;HNRNPUL1;MSH2;PSME3;NCL;HAT1;UQCRC1;TFAM;RPL27;SNRPE;RPL26;UQCRC2;SNRPF;SRSF6;RPL28;KPNB1;ASF1B;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;RAB5C;PSMD11;MEAF6;NDUFB10;PSMD14;PSMD13;RPN1;NOP2;AK2;ATP5J;ATP5H;MRPL12;OAZ1;PMF1;ADH5;MRPL20;PCBP1;G3BP1;BRIX1;LYAR;MCTS1;UBE2I;CBX5;NOP16;CBX3;HSPA4;RCC2;ALYREF;NONO;LSM1;TBCB;EIF2S2;SMARCA4;LSM6;UQCRQ;ARPC3;OSTC;ANP32E;UBA2;CALM3;RSL24D1;NOP10;HSP90AB1;RPLP0;ATP5G3;HINT1;C1QBP;NUP62;TMED2;RPLP2;UQCRFS1;BCAS2;CCT3;RFC5;RFC3;PARP1;GLRX3;HSBP1;BUD31;ATPIF1;NDUFC2;KIF22;BAZ1B;RAD23B;UCHL5;DDOST;PSMA6;PSMA3;PSMA4;CANX;RPL37A;MCM2;SF3B5;PRIM2;PCNA;DDX27;NDUFB6;MRPS36;HDAC1;SSNA1;RPL11;SRSF1;UQCR10;HSD17B10;TMEM165;PSMB6;PSMB7;RBBP4;MAT2A;PES1;POLD1;USP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPL18;CCT7;RPL19;POLR2L;SF3A3;MBD3;NOP56;RANBP1;GINS2;NPM1;NOP58;RRM1;SSB;TAF15;TAF12;NDUFA3;RPA2;HSPE1;NPM3;BYSL;RAD51;EIF3K;PSMC4;EIF3I;NDUFAB1;POLE3;TCEA1;EIF3F;TARDBP;TOMM5
