Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MYC ENCODE	133/1515	1.2682376836338139e-65	1.3189671909791664e-63	0	0	5.538724219425096	827.6537908769692	RPL5;EIF4A1;RPL30;RPL32;KDM1A;RPL31;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS16;SNRPD2;RPS19;ARHGDIA;RUVBL1;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;CD3EAP;SND1;EBNA1BP2;KARS;DKC1;PSME3;NCL;NHP2;CCDC86;TFAM;RPL27;SNRPE;RPL26;SNRPF;SRSF6;PPID;KPNB1;SLBP;KHDRBS1;AK2;MRPL12;MRPL20;PCBP1;G3BP1;RRS1;SURF6;BRIX1;LYAR;BTF3;CBX5;NOP16;CBX3;RCC2;TBCB;UCK2;UBA1;RPS21;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;MCM7;RPLP0;OLA1;YBX1;PTBP1;HINT1;C1QBP;NUP62;RPLP2;CCT3;EIF5B;PARP1;BAZ1B;RAD23B;UCHL5;PSMA5;CANX;RPL37A;MCM3;LUC7L3;THOP1;MCM2;RPL10;RPL12;RPL11;SRSF1;MAK16;RPS15A;MAT2A;PSMB3;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;NOP56;RANBP1;NPM1;NOP58;RRM2;TAF12;RPL23A;HSPE1;HNRNPAB;BYSL;POLE4;EIF3M;MYBBP1A;EIF3K;PSMC4;POLE3;RPL22L1;TOMM5;TOMM6;MAD2L1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TAF1 ENCODE	185/3346	4.752877013152849e-64	2.4714960468394815e-62	0	0	3.4883216647402326	508.62065592779413	RPL5;EIF4A1;RPL30;RPL32;KDM1A;RPL31;RPL34;UBE2D1;HNRNPR;NUCKS1;RPL9;BZW1;RPL6;RPL7;PSMD8;RPS15;FBL;PSMD7;RPS16;SNRPD2;RPS19;ARHGDIA;BSG;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;RAB2A;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;KARS;HNRNPUL1;PSME3;NCL;TFAM;RPL27;SNRPE;RPL26;UQCRC2;SRSF6;RPL28;PPID;KPNB1;SF1;SNRPB;KHDRBS1;VCP;PSMD11;MEAF6;UQCRB;PSMD14;NDUFB11;RPN1;ATP5H;MRPL12;OAZ1;PMF1;ADH5;MRPL20;ATP5B;ORC4;PCBP1;G3BP1;BRIX1;LYAR;BTF3;IVNS1ABP;CBX5;NOP16;API5;CBX3;HSPA4;LSM1;EIF2S2;LSM5;LSM3;UCK2;NASP;UQCRQ;ANP32E;UBA2;CALM3;RPS21;LSM14A;RSL24D1;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;RPLP0;CLTA;HMGB1;YBX1;ATP5G3;PRPF19;TRMT112;PTBP1;HINT1;NUP62;TMED2;RPLP2;EIF5B;HSP90AA1;GPX4;GLRX3;BUD31;ATPIF1;NDUFC2;KIF22;BAZ1B;SMC1A;RAD23B;UCHL5;DDOST;EEF1G;PSMA3;PSMA4;CANX;RPL37A;LUC7L3;PFDN4;MCM2;SF3B4;SF3B5;DDX27;RPL10;NDUFB5;SSNA1;RPL12;RPL11;POMP;SRSF1;MAK16;UQCR10;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;MAT2A;USP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;SF3A3;MBD3;SMARCE1;NOP56;DUT;NPM1;NOP58;TAF15;TAF12;NDUFA3;RPL23A;HSPE1;HNRNPAB;NUDT21;PSMC5;EIF3M;MYBBP1A;NDUFAB1;POLE3;TCEA1;RPL22L1;TARDBP;TOMM5;TOMM6
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MYC CHEA	82/573	6.138071431485989e-55	2.1278647629151427e-53	0	0	9.028798564200814	1127.0438833433725	RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;MCM7;RPL31;HNRNPR;YBX1;RPL6;RPL7;RPS15;EEF1B2;PTBP1;RPS17;PSMD7;RPS19;RCC1;RPLP2;RPL38;RPS11;RPS13;EIF5B;HSP90AA1;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;ATPIF1;RPS6;RAD23B;EBNA1BP2;HNRNPUL1;DKC1;NCL;RPL37A;NHP2;RPL27;RPL26;SRSF6;RPL28;KPNB1;SLBP;SET;PCNA;RPL10;NDUFB5;RPL12;RPL11;SRSF1;CDCA7;PMF1;ATP5B;RPS15A;MAT2A;RPS3;BRIX1;RPS2;RPL18;RPS27A;CCT7;ABCF2;RPL19;CCT4;IVNS1ABP;RANBP1;NPM1;NOP58;ALYREF;RPA2;RPL23A;HSPE1;NPM3;HNRNPAB;BYSL;UCK2;NASP;OSTC;RPS21;NOP10
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ATF2 ENCODE	149/2852	4.79073392557767e-45	1.2455908206501944e-43	0	0	3.296153897204242	336.37133693631563	RPL5;EIF4A1;RPL30;RPL32;KDM1A;RPL31;RPL34;NUCKS1;RPL9;BZW1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;RPS16;CCND2;SNRPD2;RPS19;PSMD3;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;CD3EAP;ILF2;SND1;TUFM;HNRNPUL1;PSME3;NCL;RPL27;SUCLG1;SNRPE;RPL26;SRSF6;PPID;SF1;SNRPB;SLBP;SET;NDUFB10;UQCRB;NOP2;ATP5J;MRPL12;PMF1;MRPL20;ATP5B;PCBP1;G3BP1;SURF6;BRIX1;IVNS1ABP;CBX5;NOP16;API5;CBX3;HSPA4;MAGOHB;EIF2S2;LSM3;DRAP1;NASP;UQCRQ;ARPC3;ANP32E;CALM3;LSM14A;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;RPLP0;ATP5G3;TRMT112;NUP62;TMED2;RPLP2;BCAS2;RFC5;HELLS;RFC3;BUD31;NDUFC2;BAZ1B;RAD23B;UCHL5;EEF1G;PSMA4;RPL37A;MCM3;LUC7L3;MCM5;SF3B4;SF3B5;DDX27;RPL10;NDUFB5;SSNA1;RPL12;RPL11;SRSF1;MAK16;TYMS;PSMB4;RPS15A;RBBP4;MAT2A;PSMB3;USP1;RPS3;RPL13;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;SF3A3;RANBP1;NPM1;NOP58;RRM1;TAF15;NDUFA5;RPA2;RPL23A;HSPE1;BYSL;RAD51;POLE3;RPL22L1;EIF3F;TARDBP;TOMM5;TOMM6;MAD2L1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MAX ENCODE	126/2073	1.2625148844487234e-43	2.626030959653345e-42	0	0	3.834793446155392	378.7934315223049	RPL5;EIF4A1;RPL30;RPL32;RPL31;HNRNPR;RPL7;GCSH;EEF1B2;FBL;PSMD7;ARHGDIA;BSG;RUVBL1;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;CD3EAP;SND1;EBNA1BP2;HNRNPUL1;DKC1;PSME3;NCL;NHP2;CCDC86;RPL27;SNRPE;RPL26;SRSF6;PPID;KPNB1;SLBP;KHDRBS1;NOP2;AK2;ADH5;PCBP1;G3BP1;RRS1;SURF6;BRIX1;LYAR;IVNS1ABP;CBX5;NOP16;HSPA4;RCC2;ALYREF;TBCB;MAGOHB;UCK2;UBA1;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;MCM7;CDCA7L;RPLP0;OLA1;YBX1;PRPF19;PTBP1;C1QBP;NUP62;RPLP2;CCT3;EIF5B;NUDC;RFC3;SSR4;PARP1;BUD31;PSMA5;CANX;LUC7L3;SLC25A5;THOP1;MCM2;RPL10;RPL12;RPL11;SRSF1;MAK16;RPS15A;RBBP4;MAT2A;PSMB3;USP1;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;SF3A3;NOP56;RANBP1;NPM1;NOP58;TAF12;RPA2;RPL23A;HSPE1;HNRNPAB;BYSL;POLE4;RAD51;MYBBP1A;EIF3K;POLE3;RPL22L1;TOMM5;MAD2L1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	BRCA1 ENCODE	138/3218	1.977660466642059e-31	3.427944808846236e-30	0	0	2.7056011826221984	191.28119662180228	KDM1A;RPL34;BCCIP;NUCKS1;RPL9;BZW1;RPS15;EEF1B2;RPS16;SNRPD2;RPS19;RCC1;DENR;RPS11;LIG1;RPS8;RPL23;RPS5;RPL22;RPS6;CD3EAP;TUFM;HNRNPUL1;PSME3;NCL;HAT1;NHP2;CCDC86;RPL27;SUCLG1;RPL26;UQCRC2;SRSF6;KPNB1;ASF1B;SF1;SNRPB;SRSF9;SLBP;RAB5C;PSMD11;NOP2;ATP5J;ATP5H;MRPL12;PMF1;PCBP1;G3BP1;BRIX1;BTF3;IVNS1ABP;UBE2I;NOP16;HSPA4;IDH2;TBCB;MAGOHB;EIF2S2;LSM3;UQCRQ;ANP32E;CALM3;LSM14A;RSL24D1;HSP90AB1;MCM7;RPLP0;HP1BP3;HMGB3;PRPF19;PTBP1;NUP62;TMED2;RPLP2;RFC5;HELLS;EIF5B;RFC3;SSR4;HSBP1;ACTL6A;NDUFC2;NDUFC1;KIF22;BAZ1B;SMC1A;RAD23B;UCHL5;PSMA5;EEF1G;PSMA3;CANX;LUC7L3;PFDN4;SF3B5;DDX27;RPL10;NDUFB6;SSNA1;RPL12;SRSF1;MAK16;UQCR10;RPS15A;RBBP4;MAT2A;PSMB3;EIF4H;CCT8;RPS2;RBBP7;RPL18;CCT7;ABCF2;CCT4;POLR2L;SF3A3;MBD3;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;TAF15;TAF12;RPL23A;HSPE1;HNRNPAB;BYSL;RAD51;EIF3K;POLE3;RPL22L1;TARDBP;TOMM6;MAD2L1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	YY1 ENCODE	125/2753	3.0949086917631352e-30	4.598150056333801e-29	0	0	2.8646695718235686	194.64797905002285	RPL5;EIF4A1;RPL30;RPL32;RPL34;BCCIP;HNRNPR;NUCKS1;PSMD8;RPS15;EEF1B2;ARHGDIA;RPS11;RPS13;RPL21;RPS8;RPL22;ILF2;TUFM;KARS;HNRNPUL1;NCL;UQCRC1;CCDC86;RPL26;UQCRC2;SNRPF;SRSF6;SF1;PSMD11;MEAF6;UQCRB;NDUFB11;RPN1;ATP5J;ATP5H;OAZ1;PMF1;ADH5;MRPL20;ATP5B;PCBP1;SURF6;BRIX1;BTF3;CBX5;NOP16;CBX3;HSPA4;ALYREF;LSM1;MAGOHB;LSM3;DRAP1;UCK2;NASP;ANP32E;LSM14A;YWHAE;RBM28;RPLP0;HP1BP3;HMGB1;YBX1;COX7C;LMNB2;PTBP1;UQCRFS1;BCAS2;HSP90AA1;SSR4;GLRX3;NDUFC1;KIF22;BAZ1B;RAD23B;EEF1G;PSMA4;LUC7L3;MCM5;PFDN4;SF3B4;NDUFB8;MRPS36;NDUFB5;HDAC1;SSNA1;RPL12;RPL11;SRSF1;MAK16;UQCR10;HSD17B10;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;MAT2A;USP1;RPS3;EIF4H;RPL13;RPS2;RPL18;SF3A3;NPM1;NOP58;RRM1;TAF15;NDUFA5;TAF12;NDUFA3;RPA2;RPL23A;NPM3;POLE4;NUDT21;PSMC5;NDUFAB1;POLE3;RPL22L1;EIF3F;TARDBP;TOMM6
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	E2F4 ENCODE	56/710	1.288336730320659e-23	1.6748377494168569e-22	0	0	4.976229617452349	262.2776812627935	MCM7;NUCKS1;HMGB1;PTBP1;RPS16;BSG;RFC5;HELLS;RFC3;LIG1;CD3EAP;KIF22;BAZ1B;SMC1A;UCHL5;HNRNPUL1;MSH2;HAT1;MCM3;MCM5;MCM6;KPNB1;ASF1B;SNRPB;MCM2;SLBP;PRIM2;PCNA;SRSF1;CDCA7;TYMS;PMF1;RBBP4;POLD1;USP1;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;CBX5;RRM2;ALYREF;RPA1;RPA2;EIF2S2;HNRNPAB;LSM3;POLE4;RAD51;NASP;ANP32E;TCEA1;EIF3F;MAD2L1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GABPA ENCODE	97/2082	2.0293032455317076e-23	2.3449726392810846e-22	0	0	2.9394206613999523	153.58991655839938	EIF4A1;RPL30;RPL32;RPL31;RPL34;RPL6;RPS15;EEF1B2;PSMD7;RPS16;SNRPD2;RPS19;RUVBL1;RPL38;RPS13;DDX18;RPS5;RPS6;TUFM;EBNA1BP2;HNRNPUL1;PSME3;HAT1;RPL27;SNRPE;RPL28;PPID;SNRPB;RAB5C;PSMD11;PSMD14;PSMD13;ATP5J;ATP5H;MRPL12;MRPL20;ORC4;PCBP1;G3BP1;RRS1;SURF6;BRIX1;LYAR;BTF3;NOP16;ALYREF;LSM1;LSM3;UQCRQ;ARPC3;UBA2;RPS21;RSL24D1;NOP10;RBM28;MCM7;PRPF19;COX7C;TRMT112;C1QBP;RPLP2;EIF5B;HSBP1;BUD31;NDUFC2;KIF22;DDOST;PSMA6;SF3B4;DDX27;NDUFB6;NDUFB5;POMP;MAK16;PSMB7;PSMB4;RBBP4;PSMB3;RPS3;SNRPB2;CCT7;SF3A3;RANBP1;GINS2;TAF12;RPA2;HSPE1;BYSL;NUDT21;PSMC5;EIF3M;MYBBP1A;PSMC4;EIF3I;EIF3F;TOMM5;TOMM6
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ELF1 ENCODE	107/2483	2.1759753126197928e-23	2.2630143251245846e-22	0	0	2.7188033199891755	141.87254088966796	EIF4A1;RPL30;RPL32;RPL31;RPL34;UBE2D1;BZW1;RPL6;PSMD8;RPS15;EEF1B2;PSMD7;RPS16;RPS19;ARHGDIA;RUVBL1;RCC1;FAM53B;DENR;RPL38;RPS11;RAB2A;DDX18;RPL21;RPL23;RPS5;RPS6;SND1;EBNA1BP2;HNRNPUL1;PSME3;NHP2;RPL27;SNRPE;RPL26;UQCRC2;PPID;ASF1B;SF1;SNRPB;SLBP;RAB5C;PSMD14;NOP2;ATP5J;PCBP1;RRS1;BRIX1;MCTS1;NOP16;MAGOHB;LSM5;LSM3;ARPC3;NOP10;RBM28;MCM7;COX4I1;CLTA;COX7C;LMNB2;TRMT112;PTBP1;TMED2;RPLP2;HSBP1;BUD31;UCHL5;DDOST;PSMA5;PSMA6;PSMA4;CANX;MCM3;MCM5;SF3B4;SF3B5;PRIM2;DDX27;NDUFB5;RPL12;RPL11;POMP;MAK16;PSMB7;RBBP4;PSMB3;RPS3;SNRPB2;CCT8;RPL18;RPS27A;RPL19;SF3A3;RANBP1;TAF12;RPA2;HSPE1;EIF3M;RAD51;MYBBP1A;EIF3I;POLE3;RPL22L1;EIF3F;TOMM5;TOMM6
