Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ESCAPE	mESC H3K36me3 18692474	188/2469	1.7875484029694956e-89	5.630777469353912e-87	0	0	4.804049711693134	981.7038508317336	EIF4A1;RPL30;RPL32;RPL31;RPL34;NUCKS1;RPL9;BZW1;RPL6;RPL7;RPS15;GCSH;EEF1B2;RPS17;PSMD7;RPS16;RPS19;ARHGDIA;BSG;PSMD3;DENR;RPL38;RPS11;GOLGA7;RPS13;RPL21;LIG1;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;ILF2;SND1;EBNA1BP2;KARS;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;UQCRC1;NHP2;CCDC86;TFAM;RPL27;SNRPE;RPL26;SRSF6;FKBP4;RPL28;PPID;KPNB1;SF1;SNRPB;SLBP;SET;NDUFB10;NOP2;CDCA7;MRPL12;OAZ1;ADH5;ATP5B;PCBP1;G3BP1;SURF6;LYAR;BTF3;UBE2I;NOP16;CBX3;HSPA4;RCC2;NONO;H13;EIF2S2;LSM3;LSM2;UCK2;LSM6;NASP;UQCRQ;UBA2;CALM3;RPS21;NOP10;HSP90AB1;MCM7;COX4I1;RPLP0;OLA1;HMGB1;YBX1;ATP5G3;COX7C;PTBP1;HINT1;C1QBP;NUP62;TMED2;RPLP2;SKP1A;BCAS2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;SSR4;GPX4;HSBP1;BUD31;ATPIF1;NDUFC1;KIF22;DYNLL2;DDOST;EEF1G;PSMA3;PSMA4;PSMA1;RPL37A;MCM3;MCM5;SF3B4;NDUFB8;PCNA;DDX27;RPL10;HDAC1;SSNA1;RPL12;RPL11;POMP;ATP5A1;SRSF1;MAK16;UQCR10;TYMS;TMEM165;PSMB6;PSMB4;RPS15A;RBBP4;MAT2A;PSMB3;POLD1;RPS3;EIF4H;RPL13;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;ABCF2;RPL19;CCT4;SF3A3;SMARCE1;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM2;RPA1;RPA2;RPL23A;HSPE1;NPM3;HNRNPAB;BYSL;MYBBP1A;EIF3K;PSMC4;RPL22L1;EIF3F;TARDBP;TOMM6;MAD2L1
ESCAPE	CHiP MYC-18555785	100/1200	1.7954354558891215e-45	2.827810843025367e-43	0	0	5.257623554153524	541.6986414216764	RPL5;RPL30;RPL32;RPL31;UBE2D1;NUCKS1;RPL6;RPL7;RPS15;GCSH;EEF1B2;RPS17;PSMD7;RPS19;RCC1;DENR;RPL38;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;EBNA1BP2;KARS;CCDC86;TFAM;RPL27;SNRPE;RPL26;FKBP4;RPL28;KPNB1;SF1;SLBP;SET;RPN1;CDCA7;PMF1;MRPL20;ATP5B;LYAR;BTF3;IVNS1ABP;EIF2S2;SMARCA4;DRAP1;UCK2;LSM6;RPS21;YWHAE;HSP90AB1;MCM7;CDCA7L;PRPF19;COX7C;HINT1;C1QBP;NUP62;RPLP2;EIF5B;NUDC;PARP1;ATPIF1;EEF1G;MCM5;MCM6;MCM2;SF3B4;AHCY;PCNA;RPL10;NDUFB5;RPL12;RPL11;ATP5A1;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;CCT7;ABCF2;CCT4;SMARCE1;RANBP1;NPM1;SSB;TAF15;RRM2;RPA2;RPL23A;HSPE1;NPM3;POLE4;TARDBP
ESCAPE	CHiP MYC-19079543	93/1458	1.446519327557443e-32	1.5188452939353152e-30	0	0	4.0243538315743015	295.0397172352351	RPL5;EIF4A1;RPL30;RPL32;MCM7;RPL31;YBX1;ATP5G3;RPL9;RPL6;LMNB2;RPL7;RPS15;EEF1B2;FBL;PTBP1;RPS17;PSMD7;RPS16;RPS19;ARHGDIA;RCC1;TMED2;RPLP2;RPL38;RPS11;GOLGA7;RPS13;BCAS2;HELLS;HSP90AA1;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;ATPIF1;RPS6;UCHL5;EEF1G;EBNA1BP2;PSME3;NCL;CANX;RPL37A;RPL27;RPL26;RPL28;SLBP;VCP;SET;PCNA;RPL10;NDUFB10;PSMD14;RPL12;RPL11;ATP5A1;CDCA7;TYMS;PSMB6;ATP5B;RPS15A;MAT2A;PCBP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;MBD3;IVNS1ABP;RANBP1;NPM1;RRM1;NDUFA5;TAF12;HSPA4;RCC2;RPA2;RPL23A;BYSL;NUDT21;LSM6;MYBBP1A;NASP;ANP32E;SRPRB;RPS21
ESCAPE	ZFP281-21915945 DOWN	39/186	1.6576004794757087e-32	1.3053603775871206e-30	0	0	13.22885926528951	968.0528898698253	EIF4A1;PSMD11;PSMD13;RPL12;RPLP0;AK2;CLTA;ATP5H;MRPL12;OAZ1;RPS15;ATP5B;PSMB7;PSMB4;PSMD7;MAT2A;PSMB3;RUVBL1;RPS2;CCT8;RPL18;CCT7;CCT3;NOP56;RRM2;LIG1;SSR4;PARP1;SARS;RPA2;HNRNPAB;LSM2;KARS;MYBBP1A;NCL;NHP2;MCM3;MCM6;MCM2
ESCAPE	CHiP ZFX-18555785	140/3249	3.1459392465782345e-32	1.981941725344288e-30	0	0	2.718623444437648	197.1997298382629	RPL30;RPL32;PITPNB;UBE2D1;NUCKS1;RPL6;RPL7;GCSH;FBL;PSMD7;RPS16;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPS11;RPL23;RPS5;RPL22;RPS6;CD3EAP;ILF2;EBNA1BP2;PSME3;NCL;HAT1;UQCRC1;CCDC86;TFAM;RPL27;SNRPE;RPL26;UQCRC2;RPL28;PPID;KPNB1;ASF1B;SF1;SNRPB;KHDRBS1;VCP;SET;PSMD11;NDUFB10;PSMD14;RPN1;CDCA7;AK2;MRPL12;OAZ1;PMF1;ADH5;ATP5B;PCBP1;BTF3;UBE2I;CBX5;API5;CBX3;HSPA4;NONO;EIF2S2;LSM3;LSM6;UQCRQ;ANP32E;SRPRB;RPS21;ARF2;HSP90AB1;CDCA7L;HP1BP3;PRPF19;COX7C;HINT1;C1QBP;TMED2;RPLP2;UQCRFS1;SKP1A;BCAS2;EIF5B;NUDC;HSP90AA1;PARP1;NDUFC2;BAZ1B;DYNLL2;RAD23B;DDOST;PSMA6;PSMA3;PSMA1;CANX;MCM5;MCM6;SLC25A5;SF3B4;NDUFB8;AHCY;DDX27;SSNA1;RPL12;RPL11;ATP5A1;TMEM165;PSMB7;RPS15A;RBBP4;PES1;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;ABCF2;CCT4;SF3A3;MBD3;SMARCE1;RANBP1;SSB;TAF15;GCA;TAF12;RPA2;RPL23A;RAD51;MYBBP1A;PSMC4;NDUFAB1;TCEA1;RPL22L1;TARDBP;MAD2L1
ESCAPE	CHiP DMAP1-20946988	96/1789	9.123278890993435e-28	4.789721417771554e-26	0	0	3.3855686609194287	210.79076375737026	RPL5;RPL30;RPL32;MCM7;CDCA7L;YBX1;PRPF19;RPL9;COX7C;RPL6;RPL7;PSMD8;RPS15;EEF1B2;PTBP1;RPS17;PSMD7;SNRPD2;RPS19;RCC1;RPLP2;RPS11;RPS13;CCT3;HELLS;DDX18;HSP90AA1;RPL21;RPS8;RPL23;RPL22;ACTL6A;ATPIF1;RPS6;PSMA5;EBNA1BP2;PSME3;NCL;CANX;RPL37A;RPL27;SNRPE;MCM5;MCM6;FKBP4;RPL28;PPID;SNRPB;SLBP;RAB5C;RPL10;NDUFB11;RPL12;MRPL12;PMF1;ADH5;ATP5B;PSMB4;PSMB3;PCBP1;POLD1;RRS1;RPS3;RPL13;SURF6;CCT8;RPL18;RPS27A;CCT7;RPL19;CCT4;MBD3;RANBP1;NPM1;UBE2I;CBX5;TAF15;RRM2;NDUFA5;TAF12;CBX3;LSM1;RPL23A;HSPE1;EIF2S2;BYSL;LSM2;NUDT21;PSMC5;MYBBP1A;UQCRQ;POLE3;ANP32E;TCEA1;TARDBP;LSM14A
ESCAPE	CHiP JARID1A-20064375	93/2171	7.843241865150412e-20	3.5294588393176845e-18	0	0	2.702675212545063	118.89622202399849	RBM28;COX4I1;RPLP0;HP1BP3;BCCIP;RPL9;PSMD8;EEF1B2;PSMD7;RPS16;SNRPD2;C1QBP;PSMD3;RUVBL1;TMED2;UQCRFS1;GOLGA7;DDX18;SSR4;RPL23;RPS5;BUD31;ACTL6A;ATPIF1;RPS6;KIF22;DDOST;TUFM;PSMA6;KARS;PSMA1;DAD1;PSME3;CCDC86;RPL27;PPID;SF3B5;NDUFB8;PCNA;DDX27;NDUFB10;NDUFB6;PSMD13;NDUFB5;SSNA1;POMP;ATP5H;MRPL12;PMF1;PSMB6;MRPL20;PSMB7;PSMB4;MYG1;PSMB3;PES1;RRS1;SURF6;SNRPB2;CCT8;RPS2;RPL18;LYAR;RPL19;CCT4;MCTS1;SF3A3;MBD3;RANBP1;RRM1;NDUFA5;TAF12;HSPA4;TBCB;H13;MAGOHB;LSM5;LSM3;BYSL;LSM2;PSMC5;EIF3M;MYBBP1A;EIF3K;PSMC4;UQCRQ;ARPC3;EIF3I;POLE3;EIF3F;RPS21;TOMM5;TOMM6
ESCAPE	CHiP TIP60-20946988	48/705	1.1398351395986529e-17	4.488100862169696e-16	0	0	4.2955903080743685	167.5841350676945	SLBP;RPL30;SET;RPL32;MCM7;RPL12;CLTA;NUCKS1;PMF1;EEF1B2;PSMB7;ATP5B;RPS17;RPS19;PCBP1;RPS3;RPL13;SURF6;RPS11;RPS27A;CCT7;HELLS;NPM1;CBX5;TAF15;RRM2;RPL21;TAF12;CBX3;RPL23;RCC2;BUD31;RPL22;CD3EAP;HSPE1;EIF2S2;EEF1G;PSMA4;NASP;UQCRQ;PSME3;NCL;RPL37A;MCM3;SNRPE;MCM5;MCM6;TARDBP
ESCAPE	Protein NANOG-21589869	21/129	1.2837051655997238e-15	4.492968079599033e-14	0	0	10.270706477881301	352.17251979270753	RFC5;MBD3;HELLS;PSMD11;DDX27;PARP1;HSPA4;HDAC1;NONO;RCC2;TUFM;BYSL;PSMD7;MSH2;RBBP4;PSMC4;RUVBL1;MCM3;RPS3;ABCF2;KPNB1
ESCAPE	CHiP MYCN-18555785	87/2261	1.3753023242500992e-15	4.332202321387813e-14	0	0	2.42766872646452	83.07507342226616	YWHAE;EIF4A1;PITPNB;NUCKS1;YBX1;RPL9;BZW1;FBL;PTBP1;RPS16;ARHGDIA;BSG;NUP62;TMED2;RPLP2;DENR;RPL38;RPS11;CCT3;RFC5;HSP90AA1;SSR4;PARP1;LIG1;BUD31;SMC1A;RAD23B;SND1;UCHL5;TUFM;MSH2;PSME3;NCL;HAT1;MCM3;THOP1;SLBP;PRIM2;KHDRBS1;SET;PCNA;DDX27;NDUFB11;NDUFB5;MRPL12;TYMS;ADH5;MRPL20;PSMB4;RBBP4;MAT2A;PSMB3;PCBP1;PES1;USP1;EIF4H;SURF6;CCT8;RPL19;ABCF1;IVNS1ABP;DUT;NPM1;RRM1;UBE2I;CBX5;TAF15;RRM2;TAF12;RCC2;RPA1;LSM1;RPA2;TBCB;HSPE1;LSM3;SMARCA4;LSM2;PSMC5;MYBBP1A;NASP;NDUFAB1;ANP32E;SRPRB;CALM3;RPS21;LSM14A
