Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Enrichr_Libraries_Most_Popular_Genes	huMAP	39/103	9.088586243039303e-44	1.0906303491647163e-41	0	0	23.889007993629605	2367.561339165145	RBM28;RPL30;HSP90AB1;DDX27;RPL10;RPL34;RPL12;RPLP0;RPL11;YBX1;RPL6;RPL7;RPS15;RPS15A;PES1;G3BP1;RRS1;RPS3;SURF6;RPLP2;RPL13;BRIX1;RPS27A;LYAR;RPS13;NOP56;RPL21;NOP16;RPS8;RPS5;RPL22;RPL23A;SND1;TUFM;EBNA1BP2;MYBBP1A;DKC1;RPL27;RPL26
Enrichr_Libraries_Most_Popular_Genes	Microbe Perturbations from GEO down	33/107	1.1088847080294822e-33	6.653308248176892e-32	0	0	19.458120817241074	1476.5202156682328	RPL5;HSP90AB1;RPL32;RPL34;RPLP0;RPL11;ATP5A1;RPL9;OAZ1;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPS13;RPL19;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPL23A;RPL37A;RPL27;RPL26;SLC25A5;RPS21
Enrichr_Libraries_Most_Popular_Genes	Drug Perturbations from GEO 2014	32/105	1.6921948057696668e-32	6.7687792230786655e-31	0	0	19.2278804266186	1406.648214397004	RPL5;EIF4A1;HSP90AB1;RPL10;RPL31;RPL12;RPLP0;YBX1;RPL9;OAZ1;RPL7;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL13;RPL38;RPS2;RPS11;RPL18;RPL19;HSP90AA1;NPM1;RPS8;RPL23;RPL22;RPS6;RPL23A;EEF1G;RPL37A;RPS21
Enrichr_Libraries_Most_Popular_Genes	Ligand Perturbations from GEO down	29/101	1.0875144488434839e-28	3.262543346530451e-27	0	0	18.115376206390355	1166.4216804671214	RPL5;HSP90AB1;RPL34;RPL12;RPLP0;RPL11;RPL6;RPL7;RPS17;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPS27A;RPL19;RPL21;RPS8;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL26;RPL28;RPS21
Enrichr_Libraries_Most_Popular_Genes	Aging Perturbations from GEO up	28/100	2.1535071253349934e-27	5.168417100803983e-26	0	0	17.66561514195584	1084.7164629306442	RPL10;RPL31;RPL12;RPLP0;RPL11;RPL9;RPL6;RPS15;RPS17;RPS19;BSG;RPS3;RPLP2;RPL38;RPS2;RPS11;RPL18;RPS27A;RPL19;GPX4;RPS8;RPL23;RPS5;RPS6;RPL27;RPL26;RPL28;RPS21
Enrichr_Libraries_Most_Popular_Genes	Disease Perturbations from GEO down	27/100	5.598190637965283e-26	1.1196381275930568e-24	0	0	17.034700315457414	990.4787143610353	RPL5;HSP90AB1;RPL32;RPL34;RPL12;RPLP0;RPL11;ATP5A1;RPL9;COX7C;RPL6;EEF1B2;RPS17;RPS15A;RPS3;RPL13;RPS2;RPS11;RPL19;HSP90AA1;RPL21;RPS8;RPS5;RPS6;RPL23A;EEF1G;RPL27
Enrichr_Libraries_Most_Popular_Genes	Drug Perturbations from GEO up	26/100	1.3797233359315017e-24	2.365240004454003e-23	0	0	16.40378548895899	901.2265868037213	RPL5;HSP90AB1;RPL32;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPS15;RPS17;RPS15A;RPS19;RPS3;RPS2;RPS11;RPS27A;RPL19;HSP90AA1;RPL21;RPS8;RPS5;RPL23A;RPL27;RPL26;RPL28
Enrichr_Libraries_Most_Popular_Genes	RNA-Seq Disease Gene and Drug Signatures from GEO	25/100	3.220148572976362e-23	4.830222859464543e-22	0	0	15.772870662460567	816.8774391119132	YWHAE;EIF4A1;HSP90AB1;RPL32;RPL10;RPLP0;ATP5A1;YBX1;RPL6;RPL7;ATP5B;RPS17;RPS3;RPL13;RPS2;RPS11;RPS27A;RPL19;HSP90AA1;NPM1;RPS8;RPS6;EEF1G;NCL;CANX
Enrichr_Libraries_Most_Popular_Genes	Reactome 2013	28/155	1.0342830484244998e-21	1.379044064566e-20	0	0	11.397171059326347	550.7178985426806	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB3;BSG;PSMD3;POLR2L;RFC5;RFC3;RPS6;RPA1;RPA2;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMA1;PSMC4;PSME3;RPA3;TCEA1
Enrichr_Libraries_Most_Popular_Genes	Single Gene Perturbations from GEO down	23/100	1.4818547992577047e-20	1.778225759109245e-19	0	0	14.511041009463725	662.5510209604901	HSP90AA1;HSP90AB1;PCNA;RRM2;RPS8;RPL34;RPS5;RPLP0;ATP5A1;ATP5J;RPL23A;HSPE1;RPL6;ATP5B;RPS3;RPL13;RPL22L1;RPS2;RPS11;SLC25A5;RPS27A;RPL28;RPL19
