Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2013	metabolic process (GO:0008152)	165/2881	4.325025561775822e-57	4.0698490536310493e-54	0	0	3.613361554052057	468.9526577644989	RPL5;RPL30;RPL32;RPL31;PITPNB;RPL34;UBE2D1;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;GCSH;EEF1B2;FBL;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RUVBL1;RPL38;RPS11;RPS13;RPL21;LIG1;RPL23;RPS5;RPL22;RPS6;CD3EAP;SARS;TUFM;HNRNPUL1;MSH2;DKC1;PSME3;HAT1;UQCRC1;TFAM;RPL27;RPL26;UQCRC2;SNRPF;FKBP4;RPL28;SNRPB;SLBP;KHDRBS1;VCP;SET;PSMD11;NDUFB10;UQCRB;PSMD14;PSMD13;RPN1;MRPL12;OAZ1;PMF1;ATP5B;PCBP1;BTF3;IVNS1ABP;UBE2I;NONO;IDH2;LSM1;LSM5;LSM3;LSM2;LSM6;RPS21;NOP10;MCM7;COX4I1;RPLP0;OLA1;HMGB1;YBX1;PRPF19;COX7C;PTBP1;RPLP2;BCAS2;CCT3;RFC5;HSP90AA1;RFC3;PARP1;GPX4;ACTL6A;ATPIF1;NDUFC2;NDUFC1;BAZ1B;SMC1A;RAD23B;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;DAD1;RPL37A;MCM3;MCM5;MCM6;PFDN4;MCM2;SF3B4;SF3B5;PRIM2;NDUFB8;PCNA;RPL10;NDUFB6;MRPS36;NDUFB5;RPL12;RPL11;UQCR10;TYMS;HSD17B10;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;POLD1;USP1;RPS3;RPL13;SNRPB2;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;ABCF1;POLR2L;SF3A3;NOP56;DUT;NOP58;SSB;NDUFA5;TAF12;NDUFA3;RPA2;RPL23A;HSPE1;NUDT21;PSMC5;RAD51;PSMC4;RPA3;NDUFAB1;POLE3;TARDBP;MAD2L1
GO_Biological_Process_2013	translational elongation (GO:0006414)	41/94	4.071266540422229e-49	1.9155309072686594e-46	0	0	27.518625411101414	3066.199967830845	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPL23;RPS5;RPL22;RPS6;RPL23A;TUFM;EEF1G;RPL37A;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2013	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process (GO:0006139)	75/894	1.3032501612561033e-33	4.087861339139979e-31	0	0	5.292909618275359	400.78148116996397	RPL5;MCM7;OLA1;HNRNPR;HMGB1;YBX1;RPL7;RPS15;FBL;PTBP1;RPS17;RPS16;SNRPD2;RPS19;BCAS2;RFC5;RFC3;PARP1;LIG1;RPS6;CD3EAP;SARS;BAZ1B;SMC1A;RAD23B;HNRNPUL1;MSH2;DKC1;MCM3;TFAM;MCM5;RPL26;SNRPF;MCM6;SNRPB;MCM2;SF3B4;SF3B5;SLBP;PRIM2;KHDRBS1;VCP;SET;PCNA;RPL11;MRPL12;TYMS;PMF1;PCBP1;PES1;POLD1;SNRPB2;POLR2L;BTF3;SF3A3;IVNS1ABP;NOP56;DUT;NOP58;SSB;TAF12;NONO;LSM1;RPA2;LSM5;LSM3;LSM2;NUDT21;PSMC5;LSM6;RAD51;RPA3;POLE3;TARDBP;NOP10
GO_Biological_Process_2013	RNA processing (GO:0006396)	41/260	6.132697974470981e-29	1.442717198494298e-26	0	0	9.94904149478282	646.3029967512682	SF3B4;RPL5;SLBP;SF3B5;KHDRBS1;RPL11;HNRNPR;YBX1;RPL7;RPS15;FBL;PTBP1;RPS17;RPS16;SNRPD2;RPS19;PCBP1;PES1;SNRPB2;BCAS2;POLR2L;SF3A3;IVNS1ABP;NOP56;NOP58;SSB;NONO;RPS6;LSM1;SARS;LSM5;SMC1A;LSM3;LSM2;NUDT21;LSM6;HNRNPUL1;DKC1;RPL26;SNRPF;SNRPB
GO_Biological_Process_2013	biological process (GO:0008150)	219/7682	7.723751357013641e-29	1.4536100053899672e-26	0	0	1.7986246680962583	116.4261753905373	RPL5;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;BSG;PSMD3;RCC1;RPL38;RPS11;RPS13;RPL21;RPL23;RPL22;CD3EAP;PSME3;UQCRC1;TFAM;RPL27;RPL26;UQCRC2;RPL28;SF1;SLBP;SET;RPN1;CDCA7;MRPL12;OAZ1;ADH5;ATP5B;PCBP1;MCTS1;BTF3;SMARCA4;RPS21;RPLP0;OLA1;PRPF19;COX7C;HINT1;C1QBP;RPLP2;CCT3;NUDC;PARP1;HSBP1;ACTL6A;ATPIF1;KIF22;BAZ1B;PSMA5;PSMA6;PSMA3;PSMA4;CANX;SF3B4;SF3B5;PRIM2;PCNA;RPL10;MRPS36;RPL12;RPL11;ATP5A1;UQCR10;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;RPL13;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;NPM1;GCA;RPA2;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TARDBP;TOMM5;MAD2L1;BCCIP;UBE2D1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS5;RPS6;SARS;ILF2;TUFM;HNRNPUL1;MSH2;DKC1;NCL;HAT1;SNRPE;SNRPF;FKBP4;KPNB1;SNRPB;KHDRBS1;VCP;PSMD11;NDUFB10;UQCRB;PSMD14;PSMD13;NOP2;TACSTD2;PMF1;G3BP1;IVNS1ABP;UBE2I;CBX5;API5;CBX3;HSPA4;NONO;IDH2;LSM1;LSM5;LSM3;LSM2;DRAP1;LSM6;ARPC3;NOP10;YWHAE;HSP90AB1;MCM7;COX4I1;HMGB3;HMGB1;YBX1;PTBP1;NUP62;BCAS2;RFC5;HSP90AA1;RFC3;GPX4;BUD31;NDUFC2;NDUFC1;SMC1A;RAD23B;EEF1G;DAD1;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;NDUFB8;NDUFB6;NDUFB5;HDAC1;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;SMARCE1;NOP56;DUT;NOP58;SSB;TXNRD3;NDUFA5;TAF12;NDUFA3;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3I;POLE3;EIF3F
GO_Biological_Process_2013	RNA metabolic process (GO:0016070)	52/498	1.2299694272999866e-27	1.9290020518154783e-25	0	0	6.587865658216463	408.20265621173775	RPL5;HNRNPR;YBX1;RPL7;RPS15;FBL;PTBP1;RPS17;RPS16;SNRPD2;RPS19;BCAS2;PARP1;RPS6;CD3EAP;SARS;SMC1A;HNRNPUL1;DKC1;TFAM;RPL26;SNRPF;SNRPB;SF3B4;SF3B5;SLBP;PRIM2;KHDRBS1;RPL11;MRPL12;PMF1;PCBP1;PES1;SNRPB2;POLR2L;BTF3;SF3A3;IVNS1ABP;NOP56;NOP58;SSB;TAF12;NONO;LSM1;LSM5;LSM3;LSM2;NUDT21;PSMC5;LSM6;TARDBP;NOP10
GO_Biological_Process_2013	negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle (GO:0051436)	20/62	2.7693399399023063e-21	3.7227841192115286e-19	0	0	20.352091177368475	963.3800335792197	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031145)	20/62	2.7693399399023063e-21	3.2574361043100876e-19	0	0	20.352091177368475	963.3800335792197	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	negative regulation of ubiquitin-protein ligase activity (GO:0051444)	20/64	5.7358494564290844e-21	5.997149264999742e-19	0	0	19.716088328075713	918.918594150522	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	proteasomal ubiquitin-dependent protein catabolic process (GO:0043161)	21/78	1.976054028764884e-20	1.8594668410677558e-18	0	0	16.986168405726765	770.6726508834188	VCP;PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	regulation of ubiquitin-protein ligase activity (GO:0051438)	20/74	1.4931660138968254e-19	1.2773356537062844e-17	0	0	17.051752067524937	739.1630669225176	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle (GO:0051437)	19/65	2.3466016915736557e-19	1.840126826475675e-17	0	0	18.442125697646205	791.0961639469508	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A
GO_Biological_Process_2013	positive regulation of ubiquitin-protein ligase activity (GO:0051443)	19/67	4.470228138336939e-19	3.235757444750046e-17	0	0	17.89161448279109	755.9507218948022	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A
GO_Biological_Process_2013	positive regulation of ligase activity (GO:0051351)	19/69	8.320156089107551e-19	5.59233348560729e-17	0	0	17.37301696155077	723.2462664279013	PSMD11;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A
GO_Biological_Process_2013	ubiquitin-dependent protein catabolic process (GO:0006511)	22/116	8.783373702837237e-18	5.510103102913227e-16	0	0	11.965626019797671	469.9340607046583	VCP;PSMD11;UBE2I;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	proteolysis involved in cellular protein catabolic process (GO:0051603)	22/121	2.2734421815448108e-17	1.337068183021042e-15	0	0	11.471178663607686	439.6059824308898	VCP;PSMD11;UBE2I;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	rRNA processing (GO:0006364)	14/34	4.9600206763799616e-17	2.7455173273373797e-15	0	0	25.97884579699388	975.3117710180718	NOP56;RPL5;NOP58;RPL11;RPS6;RPL7;RPS15;FBL;RPS17;RPS16;RPS19;DKC1;PES1;RPL26
GO_Biological_Process_2013	rRNA metabolic process (GO:0016072)	14/37	2.0851993355071988e-16	1.0900958748401524e-14	0	0	23.87245289453492	861.9506495989357	NOP56;RPL5;NOP58;RPL11;RPS6;RPL7;RPS15;FBL;RPS17;RPS16;RPS19;DKC1;PES1;RPL26
GO_Biological_Process_2013	RNA splicing (GO:0008380)	21/160	1.0770069687760276e-13	5.334018724306536e-12	0	0	8.280757097791799	247.25860691826816	IVNS1ABP;SF3B4;SF3A3;SF3B5;NONO;LSM1;HNRNPR;YBX1;SMC1A;LSM2;PTBP1;NUDT21;LSM6;SNRPD2;HNRNPUL1;PCBP1;SNRPB2;SNRPF;BCAS2;SNRPB;POLR2L
GO_Biological_Process_2013	mRNA processing (GO:0006397)	19/133	3.468193231033243e-13	1.6317849152011405e-11	0	0	9.013068949977468	258.5846997139746	SF3B4;SF3A3;KHDRBS1;SLBP;SF3B5;NONO;LSM1;HNRNPR;YBX1;LSM5;SMC1A;LSM3;LSM2;PTBP1;NUDT21;HNRNPUL1;PCBP1;SNRPB2;POLR2L
GO_Biological_Process_2013	mRNA metabolic process (GO:0016071)	20/160	1.0696937392234318e-12	4.793246707663092e-11	0	0	7.886435331230284	217.3789332290991	SF3B4;SF3A3;KHDRBS1;SLBP;SF3B5;SSB;NONO;LSM1;HNRNPR;YBX1;LSM5;SMC1A;LSM3;LSM2;PTBP1;NUDT21;HNRNPUL1;PCBP1;SNRPB2;POLR2L
GO_Biological_Process_2013	negative regulation of catalytic activity (GO:0043086)	21/182	1.3990063390955854e-12	5.983931659495208e-11	0	0	7.279786459597187	198.70365607202262	PSMD11;PSMD14;PSMD13;ATPIF1;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	DNA metabolic process (GO:0006259)	26/294	1.501076870753607e-12	6.14136232773541e-11	0	0	5.5795188737955765	151.9014994185711	PRIM2;VCP;SET;PCNA;MCM7;HMGB1;TYMS;POLD1;RFC5;RFC3;DUT;PARP1;LIG1;RPA2;SMC1A;RAD23B;RAD51;MSH2;DKC1;RPA3;POLE3;MCM3;TFAM;MCM5;MCM6;MCM2
GO_Biological_Process_2013	DNA replication (GO:0006260)	16/99	3.754150928143599e-12	1.4719400097429695e-10	0	0	10.196603256540168	268.2538594673793	RFC5;RFC3;DUT;SET;MCM7;RPA2;TYMS;DKC1;POLD1;RPA3;POLE3;MCM3;TFAM;MCM5;MCM6;MCM2
GO_Biological_Process_2013	generation of precursor metabolites and energy (GO:0006091)	17/127	1.8131553895030763e-11	6.824716886089578e-10	0	0	8.445316575175736	208.88111754775682	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB5;COX4I1;NDUFA3;ATPIF1;NDUFC2;NDUFC1;UQCR10;COX7C;ATP5B;NDUFAB1;UQCRC1;UQCRC2
GO_Biological_Process_2013	proteolysis (GO:0006508)	22/253	1.1514236941152487e-10	4.167268062163265e-09	0	0	5.48621588259498	125.55123718758064	VCP;PSMD11;UBE2I;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	protein catabolic process (GO:0030163)	22/270	4.014128130119388e-10	1.39899798905272e-08	0	0	5.140787475172334	111.22623593969212	VCP;PSMD11;UBE2I;PSMD14;PSMD13;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB3;PSMC4;PSME3;PSMD3;RPS27A;MAD2L1
GO_Biological_Process_2013	respiratory electron transport chain (GO:0022904)	10/48	3.332967391783521e-09	1.1201151127386763e-07	0	0	13.144058885383807	256.5641800882223	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1;UQCR10
GO_Biological_Process_2013	nucleotide-excision repair, DNA gap filling (GO:0006297)	7/17	3.992184383891971e-09	1.295395001807705e-07	0	0	25.97884579699388	502.40300997772886	RFC5;RFC3;PCNA;LIG1;RPA3;POLD1;RPA2
GO_Biological_Process_2013	positive regulation of catalytic activity (GO:0043085)	23/340	5.892974626960206e-09	1.8484297079898514e-07	0	0	4.267953238077565	80.87560095465581	PSMD11;PSMD14;PSMD13;UBE2D1;HSPE1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMC5;PSMA3;PSMB4;PSMD7;PSMA4;CCND2;MSH2;PSMC4;PSMB3;PSME3;PSMD3;RPS3;RPS27A
GO_Biological_Process_2013	cellular protein metabolic process (GO:0044267)	41/963	8.527124720049026e-09	2.5883949553439137e-07	0	0	2.6861378905955693	49.90847856777042	VCP;PSMD11;PSMD14;MRPS36;PSMD13;RPN1;UBE2D1;PRPF19;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB3;PSMD3;RUVBL1;USP1;RPS27A;CCT7;CCT4;ABCF1;CCT3;HSP90AA1;UBE2I;PARP1;TAF12;ACTL6A;HSPE1;BAZ1B;PSMA5;PSMA6;PSMC5;PSMA3;PSMA4;PSMC4;DAD1;PSME3;HAT1;FKBP4;PFDN4;MAD2L1
GO_Biological_Process_2013	nuclear mRNA splicing, via spliceosome (GO:0000398)	13/105	1.1779636506520445e-08	3.463949360198668e-07	0	0	7.811326423313805	142.6105547293989	SF3B4;SF3A3;SF3B5;HNRNPR;YBX1;SMC1A;LSM2;PTBP1;NUDT21;HNRNPUL1;PCBP1;SNRPB2;POLR2L
GO_Biological_Process_2013	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	9/41	1.264594056217196e-08	3.6060091118193384e-07	0	0	13.849349849965375	251.8633010649349	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Biological_Process_2013	RNA splicing, via transesterification reactions (GO:0000375)	13/106	1.3237237914469329e-08	3.663600258092835e-07	0	0	7.737634664603298	140.36248736630475	SF3B4;SF3A3;SF3B5;HNRNPR;YBX1;SMC1A;LSM2;PTBP1;NUDT21;HNRNPUL1;PCBP1;SNRPB2;POLR2L
GO_Biological_Process_2013	catabolic process (GO:0009056)	27/523	8.357856154371126e-08	2.247069326075209e-06	0	0	3.2571128710243618	53.08272793413273	VCP;PSMD11;PSMD14;PSMD13;OLA1;UBE2D1;PSMD8;GCSH;PSMB6;PSMB7;PSMB4;PSMD7;PSMB3;PSMD3;RPS27A;UBE2I;RPA2;RAD23B;PSMA5;PSMA6;PSMC5;PSMA3;PSMA4;PSMC4;PSME3;RPA3;MAD2L1
GO_Biological_Process_2013	regulation of catalytic activity (GO:0050790)	26/493	9.655943262348584e-08	2.5239562805194494e-06	0	0	3.3273398557726153	53.74687716841195	PSMD11;PSMD14;PSMD13;BCCIP;UBE2D1;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;CCND2;PSMB3;PSMD3;RPS3;RPS27A;ATPIF1;HSPE1;PSMA5;PSMA6;PSMC5;PSMA3;PSMA4;MSH2;PSMC4;PSME3;MAD2L1
GO_Biological_Process_2013	oxidation reduction (GO:0055114)	11/89	1.622412476923713e-07	4.126189569689767e-06	0	0	7.797823698295113	121.91259042836822	NDUFB8;GPX4;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1;UQCR10
GO_Biological_Process_2013	translational initiation (GO:0006413)	6/18	2.391092704773583e-07	5.921100618926163e-06	0	0	21.030494216614088	320.6381743606377	RPS17;EIF3M;RPS5;EIF3I;RPS3;EIF3F
GO_Biological_Process_2013	protein metabolic process (GO:0019538)	41/1147	9.476254900646521e-07	2.2864502208995835e-05	0	0	2.2552317250597502	31.27849994539075	VCP;PSMD11;PSMD14;MRPS36;PSMD13;RPN1;UBE2D1;PRPF19;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB3;PSMD3;RUVBL1;USP1;RPS27A;CCT7;CCT4;ABCF1;CCT3;HSP90AA1;UBE2I;PARP1;TAF12;ACTL6A;HSPE1;BAZ1B;PSMA5;PSMA6;PSMC5;PSMA3;PSMA4;PSMC4;DAD1;PSME3;HAT1;FKBP4;PFDN4;MAD2L1
GO_Biological_Process_2013	chromosome organization (GO:0051276)	15/225	3.285917197491967e-06	7.730120207099852e-05	0	0	4.206098843322819	53.10563506725057	SMARCE1;NPM1;SET;TAF12;CBX3;HDAC1;ACTL6A;HMGB1;BAZ1B;SMC1A;SMARCA4;MSH2;RBBP4;DKC1;RUVBL1
GO_Biological_Process_2013	establishment or maintenance of chromatin architecture (GO:0006325)	12/166	1.4097206735318765e-05	0.00032354808629109656	0	0	4.560830071072935	50.94234601839574	SMARCE1;NPM1;SET;RBBP4;TAF12;CBX3;HDAC1;RUVBL1;ACTL6A;HMGB1;BAZ1B;SMARCA4
GO_Biological_Process_2013	response to DNA damage stimulus (GO:0006974)	13/198	1.7470587168617456e-05	0.0003914243458492625	0	0	4.1423700729694435	45.37963028249488	RFC5;VCP;PCNA;PARP1;LIG1;MCM7;HMGB1;BAZ1B;TYMS;SMC1A;RAD51;MSH2;RPS3
GO_Biological_Process_2013	transcription (GO:0006350)	12/171	1.8990490470191414e-05	0.0004155825937779099	0	0	4.427472466655598	48.13358660981537	IVNS1ABP;BTF3;PSMC5;PARP1;CD3EAP;TFAM;YBX1;MRPL12;BAZ1B;TARDBP;PMF1;POLR2L
GO_Biological_Process_2013	transcription, DNA-dependent (GO:0006351)	11/151	2.9886926107682012e-05	0.0006391726697120175	0	0	4.596068272505066	47.88225027608229	IVNS1ABP;BTF3;PSMC5;PARP1;CD3EAP;TFAM;YBX1;MRPL12;TARDBP;PMF1;POLR2L
GO_Biological_Process_2013	DNA repair (GO:0006281)	10/141	8.591723004885724e-05	0.001796624743910548	0	0	4.4745732375774665	41.89151919120803	RFC5;VCP;PCNA;RAD51;LIG1;MSH2;PARP1;HMGB1;SMC1A;TYMS
GO_Biological_Process_2013	protein folding (GO:0006457)	7/74	0.00017054224289584106	0.0034887010992388358	0	0	5.968113223633728	51.7824987049671	CCT3;HSP90AA1;FKBP4;PFDN4;CCT7;HSPE1;CCT4
GO_Biological_Process_2013	response to unfolded protein (GO:0006986)	5/35	0.00021296133455793754	0.004263757783383389	0	0	9.013068949977468	76.20008955953166	VCP;HSP90AA1;HSP90AB1;HSPA4;HSPE1
GO_Biological_Process_2013	response to protein stimulus (GO:0051789)	5/38	0.00031673622406905267	0.006209349726020386	0	0	8.301510874979247	66.88893600534213	VCP;HSP90AA1;HSP90AB1;HSPA4;HSPE1
GO_Biological_Process_2013	chromatin remodeling (GO:0006338)	5/39	0.0003586458877236158	0.006887464905059642	0	0	8.08865162177465	64.16868916480607	RBBP4;HDAC1;CBX3;ACTL6A;SMARCA4
GO_Biological_Process_2013	spliceosomal snRNP biogenesis (GO:0000387)	4/24	0.0005121735870041591	0.009639106907418277	0	0	10.515247108307047	79.67241801542971	SNRPD2;SNRPE;SNRPF;SNRPB
GO_Biological_Process_2013	organelle organization (GO:0006996)	20/553	0.000564196458198795	0.010409977787550314	0	0	2.2817896075892325	17.068032782424215	SMARCE1;NPM1;SET;TAF12;CBX3;HDAC1;ACTL6A;KIF22;HMGB1;BAZ1B;MRPL12;SMC1A;SMARCA4;MSH2;RBBP4;DKC1;RUVBL1;TFAM;RCC1;TARDBP
GO_Biological_Process_2013	cellular response to DNA damage stimulus (GO:0034984)	10/178	0.0005667350756361271	0.010255725118722992	0	0	3.544465317406869	26.4970708615303	RFC5;VCP;PCNA;RAD51;LIG1;MSH2;PARP1;HMGB1;SMC1A;TYMS
GO_Biological_Process_2013	nucleocytoplasmic transport (GO:0006913)	6/68	0.0007251914589566981	0.01287556911091043	0	0	5.566895527927259	40.243504490554926	RPS15;NOP58;NPM1;SET;RPL23;KPNB1
GO_Biological_Process_2013	chromatin modification (GO:0016568)	8/125	0.0008624135570400863	0.015028354762494837	0	0	4.037854889589906	28.490198158952712	RBBP4;TAF12;CBX3;HDAC1;RUVBL1;ACTL6A;BAZ1B;SMARCA4
GO_Biological_Process_2013	cellular respiration (GO:0045333)	3/14	0.0012610897120060695	0.02157609852723112	0	0	13.5196034249662	90.25388572764645	UQCRB;UQCRC1;UQCRC2
GO_Biological_Process_2013	spliceosome assembly (GO:0000245)	3/15	0.001557956069070415	0.026179226089201084	0	0	12.618296529968454	81.56947039663629	SNRPD2;SNRPE;SF1
GO_Biological_Process_2013	response to biotic stimulus (GO:0009607)	8/145	0.0022263550098461783	0.03675438709237287	0	0	3.4809093875775052	21.259269637457162	IVNS1ABP;VCP;HSP90AA1;HSP90AB1;RPS15A;HNRNPUL1;HSPA4;HSPE1
GO_Biological_Process_2013	regulation of gene expression (GO:0010468)	26/914	0.0029961385253458447	0.048609764695697236	0	0	1.7947248893828218	10.428125093596664	HDAC1;HMGB1;MRPL12;RPL6;NUP62;RUVBL1;RPS3;EIF4H;RPS27A;RPS13;POLR2L;SMARCE1;NPM1;UBE2I;CBX5;HSBP1;CBX3;RPS5;BUD31;ILF2;HNRNPAB;SMARCA4;DRAP1;PSMC5;MYBBP1A;TFAM
