Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2017b	maturation of LSU-rRNA (GO:0000470)	53/203	1.5764229062293086e-49	1.5961281925571748e-45	0	0	16.472160494786408	1851.0015685123599	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EBNA1BP2;DKC1;RPL37A;NHP2;RPL27;RPL26;RPL28;DDX27;RPL10;RPL12;RPL11;NOP2;MAK16;RPS15A;PES1;RRS1;RPS3;SURF6;RPL13;RPS2;RPL18;RPS27A;RPL19;NOP56;NOP58;NOP16;RPL23A;BYSL;RPS21
GO_Biological_Process_2017b	SRP-dependent cotranslational protein targeting to membrane, docking (GO:0006615)	40/88	7.549056645503245e-49	3.821709926786018e-45	0	0	28.677946659019213	3177.666961539127	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;SRPRB;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	40/92	7.378862057083007e-48	2.4903659442655153e-44	0	0	27.431079412974896	2976.970649562417	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;SRPRB;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	translational elongation (GO:0006414)	47/162	2.5498393416255102e-46	6.454280833489572e-43	0	0	18.30431904038634	1921.640201121533	RPL5;RPL30;RPL32;RPL10;RPL31;MRPS36;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;ABCF1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;RPL23A;TUFM;EEF1G;RPL37A;NHP2;RPL27;RPL26;RPL28;RPS21;RSL24D1
GO_Biological_Process_2017b	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	45/143	3.607067242686412e-46	7.304311166439983e-43	0	0	19.853963071628687	2077.439661828175	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;LSM1;RPL23A;LSM5;MAGOHB;LSM3;LSM2;LSM6;RPL37A;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	40/100	4.813004059529658e-46	8.121944350456299e-43	0	0	25.236593059936908	2633.3777373868647	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;SRPRB;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	40/102	1.2758170150894113e-45	1.845378182540041e-42	0	0	24.74175790189893	2557.623366492121	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;SRPRB;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	viral RNA editing (GO:0075527)	42/119	1.4648445872575203e-45	1.853943930747799e-42	0	0	22.267582111709036	2298.7844876230897	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;NUP62;RPS3;RCC1;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RANBP1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	viral transcription (GO:0019083)	42/119	1.4648445872575203e-45	1.6479501606647102e-42	0	0	22.267582111709036	2298.7844876230897	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;NUP62;RPS3;RCC1;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RANBP1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL26;RPL28;RPS21
GO_Biological_Process_2017b	cytoplasmic translation (GO:0002181)	46/157	1.466732428361346e-45	1.4850665837158628e-42	0	0	18.485402559826397	1908.3089619700027	RPL5;RPL30;RPL32;RPL10;RPL31;MRPS36;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;ABCF1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;RPL23A;RPL37A;NHP2;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
