Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2017b	cytosolic large ribosomal subunit (GO:0022625)	29/68	1.3649990840040084e-34	1.113839252547271e-31	0	0	26.906661718315085	2098.0937490465626	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPLP2;RPL13;SURF6;RPL38;RPL18;RPL19;RPL21;NAA10;RPL23;RPL22;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RSL24D1
GO_Cellular_Component_2017b	nucleolar part (GO:0044452)	53/635	1.6885193692567736e-23	6.889159026567637e-21	0	0	5.265903276286048	276.12082472596626	RPL5;RBM28;CDCA7L;NUCKS1;RPL7;FBL;PTBP1;CCND2;RPS19;RPS11;RPS13;DDX18;PARP1;RPL23;RPS6;CD3EAP;ILF2;EBNA1BP2;DKC1;NCL;CCDC86;RPL26;PPID;SRSF9;SLBP;DDX27;MEAF6;RPL11;NOP2;MAK16;ORC4;PES1;RRS1;RPS3;SURF6;BRIX1;RPL18;RPS27A;LYAR;NOP56;NPM1;NOP58;CBX5;NOP16;NAA10;RPL23A;NPM3;SMARCA4;BYSL;RAD51;MYBBP1A;TCEA1;RSL24D1
GO_Cellular_Component_2017b	nucleolus (GO:0005730)	53/637	1.955996511643191e-23	5.32031051166948e-21	0	0	5.249369828008856	274.4819753066941	RPL5;RBM28;CDCA7L;NUCKS1;RPL7;FBL;PTBP1;CCND2;RPS19;RPS11;RPS13;DDX18;PARP1;RPL23;RPS6;CD3EAP;ILF2;EBNA1BP2;DKC1;NCL;CCDC86;RPL26;PPID;SRSF9;SLBP;DDX27;MEAF6;RPL11;NOP2;MAK16;ORC4;PES1;RRS1;RPS3;SURF6;BRIX1;RPL18;RPS27A;LYAR;NOP56;NPM1;NOP58;CBX5;NOP16;NAA10;RPL23A;NPM3;SMARCA4;BYSL;RAD51;MYBBP1A;TCEA1;RSL24D1
GO_Cellular_Component_2017b	cytosolic small ribosomal subunit (GO:0022627)	18/56	3.0286345629951856e-19	6.178414508510179e-17	0	0	20.279405137449306	864.7342135959566	MCTS1;NAA10;RPS8;RPS5;RPS6;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPL13;RPL26;RPS2;RPS11;RPS27A;RPS21;RPS13
GO_Cellular_Component_2017b	nuclear telomere cap complex (GO:0000783)	20/105	2.5706271922155727e-16	4.1952635776958155e-14	0	0	12.017425266636625	431.39205738450073	CBX5;PCNA;SSB;KDM1A;MCM7;PARP1;CBX3;ALYREF;RPA1;RPA2;ORC4;RAD51;MSH2;POLD1;HAT1;NHP2;MCM3;MCM5;MCM6;MCM2
GO_Cellular_Component_2017b	nuclear telomeric heterochromatin (GO:0005724)	20/119	3.275718771840743e-15	4.4549775297034104e-13	0	0	10.603610529385255	353.65415346166765	CBX5;PCNA;SSB;KDM1A;MCM7;PARP1;CBX3;ALYREF;RPA1;RPA2;ORC4;RAD51;MSH2;POLD1;HAT1;NHP2;MCM3;MCM5;MCM6;MCM2
GO_Cellular_Component_2017b	nuclear chromosome, telomeric region (GO:0000784)	20/122	5.396567036603381e-15	6.29085528838337e-13	0	0	10.342866008170864	339.7943153277893	CBX5;PCNA;SSB;KDM1A;MCM7;PARP1;CBX3;ALYREF;RPA1;RPA2;ORC4;RAD51;MSH2;POLD1;HAT1;NHP2;MCM3;MCM5;MCM6;MCM2
GO_Cellular_Component_2017b	focal adhesion (GO:0005925)	31/356	1.4627004100883723e-14	1.4919544182901397e-12	0	0	5.4939212419806465	175.01384403251978	YWHAE;RPL5;RPL30;RPL31;RPL12;RPLP0;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS19;BSG;G3BP1;RPS3;RPLP2;RPL38;RPS2;RPL18;RPS11;RPS13;RPL19;NPM1;RPS8;RPL23;RPS5;RPL22;ARPC3;RPL37A;RPL27
GO_Cellular_Component_2017b	cytosolic ribosome (GO:0022626)	13/41	3.687100982334366e-14	3.3429715573164912e-12	0	0	20.00461644994999	618.7698089185501	NAA10;RPL23;RPL9;RPS17;RPS19;RPS3;RPL13;DENR;RPL27;RPL26;RPS11;RPS13;SF1
GO_Cellular_Component_2017b	precatalytic spliceosome (GO:0071011)	16/85	3.190442512712944e-13	2.6034010903737623e-11	0	0	11.876043792911489	341.7147116930352	SF3B4;IVNS1ABP;SF3A3;SF3B5;API5;BUD31;HNRNPR;LSM3;LSM2;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	U12-type spliceosomal complex (GO:0005689)	15/82	2.754466978543675e-12	2.043313685901489e-10	0	0	11.54112487497115	307.1993209924026	SF3B4;IVNS1ABP;SF3A3;SF3B5;API5;BUD31;HNRNPR;YBX1;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	mitochondrial inner membrane (GO:0005743)	27/329	3.215006062634521e-12	2.1862041225914746e-10	0	0	5.177720460625354	137.0190100117332	NDUFB8;NDUFB10;UQCRB;NDUFB6;MRPS36;NDUFB11;NDUFB5;COX4I1;ATP5A1;ATP5J;UQCR10;ATP5H;MRPL12;TYMS;COX7C;MRPL20;RPS3;UQCRFS1;NDUFA5;NDUFA3;NDUFC2;NDUFC1;UQCRQ;NDUFAB1;UQCRC1;UQCRC2;SLC25A5
GO_Cellular_Component_2017b	intrinsic component of mitochondrial inner membrane (GO:0031304)	27/330	3.4520722705137326e-12	2.1668392097993888e-10	0	0	5.162030398623458	136.23654583527053	NDUFB8;NDUFB10;UQCRB;NDUFB6;MRPS36;NDUFB11;NDUFB5;COX4I1;ATP5A1;ATP5J;UQCR10;ATP5H;MRPL12;TYMS;COX7C;MRPL20;RPS3;UQCRFS1;NDUFA5;NDUFA3;NDUFC2;NDUFC1;UQCRQ;NDUFAB1;UQCRC1;UQCRC2;SLC25A5
GO_Cellular_Component_2017b	subsarcolemmal mitochondrion (GO:1990843)	45/919	1.6001149861271847e-11	9.326384490569878e-10	0	0	3.089354427903049	76.7962861735853	NDUFB8;HSP90AB1;NDUFB6;MRPS36;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;MRPL12;TYMS;COX7C;HSD17B10;GCSH;MRPL20;ATP5B;C1QBP;BSG;UQCRFS1;PARP1;LIG1;GPX4;TXNRD3;NDUFA3;ATPIF1;IDH2;CD3EAP;NDUFC2;NDUFC1;HSPE1;UCHL5;TUFM;RAD51;KARS;UQCRQ;NDUFAB1;UQCRC1;TFAM;SUCLG1;UBA1;UQCRC2;PFDN4;SLC25A5;TOMM5;TOMM6
GO_Cellular_Component_2017b	interfibrillar mitochondrion (GO:1990844)	45/919	1.6001149861271847e-11	8.704625524531886e-10	0	0	3.089354427903049	76.7962861735853	NDUFB8;HSP90AB1;NDUFB6;MRPS36;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;MRPL12;TYMS;COX7C;HSD17B10;GCSH;MRPL20;ATP5B;C1QBP;BSG;UQCRFS1;PARP1;LIG1;GPX4;TXNRD3;NDUFA3;ATPIF1;IDH2;CD3EAP;NDUFC2;NDUFC1;HSPE1;UCHL5;TUFM;RAD51;KARS;UQCRQ;NDUFAB1;UQCRC1;TFAM;SUCLG1;UBA1;UQCRC2;PFDN4;SLC25A5;TOMM5;TOMM6
GO_Cellular_Component_2017b	mitochondrion (GO:0005739)	45/919	1.6001149861271847e-11	8.160586429248642e-10	0	0	3.089354427903049	76.7962861735853	NDUFB8;HSP90AB1;NDUFB6;MRPS36;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;MRPL12;TYMS;COX7C;HSD17B10;GCSH;MRPL20;ATP5B;C1QBP;BSG;UQCRFS1;PARP1;LIG1;GPX4;TXNRD3;NDUFA3;ATPIF1;IDH2;CD3EAP;NDUFC2;NDUFC1;HSPE1;UCHL5;TUFM;RAD51;KARS;UQCRQ;NDUFAB1;UQCRC1;TFAM;SUCLG1;UBA1;UQCRC2;PFDN4;SLC25A5;TOMM5;TOMM6
GO_Cellular_Component_2017b	Nebenkern (GO:0016006)	45/919	1.6001149861271847e-11	7.680551933410487e-10	0	0	3.089354427903049	76.7962861735853	NDUFB8;HSP90AB1;NDUFB6;MRPS36;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;MRPL12;TYMS;COX7C;HSD17B10;GCSH;MRPL20;ATP5B;C1QBP;BSG;UQCRFS1;PARP1;LIG1;GPX4;TXNRD3;NDUFA3;ATPIF1;IDH2;CD3EAP;NDUFC2;NDUFC1;HSPE1;UCHL5;TUFM;RAD51;KARS;UQCRQ;NDUFAB1;UQCRC1;TFAM;SUCLG1;UBA1;UQCRC2;PFDN4;SLC25A5;TOMM5;TOMM6
GO_Cellular_Component_2017b	mitochondrial derivative (GO:0016007)	45/919	1.6001149861271847e-11	7.253854603776571e-10	0	0	3.089354427903049	76.7962861735853	NDUFB8;HSP90AB1;NDUFB6;MRPS36;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;MRPL12;TYMS;COX7C;HSD17B10;GCSH;MRPL20;ATP5B;C1QBP;BSG;UQCRFS1;PARP1;LIG1;GPX4;TXNRD3;NDUFA3;ATPIF1;IDH2;CD3EAP;NDUFC2;NDUFC1;HSPE1;UCHL5;TUFM;RAD51;KARS;UQCRQ;NDUFAB1;UQCRC1;TFAM;SUCLG1;UBA1;UQCRC2;PFDN4;SLC25A5;TOMM5;TOMM6
GO_Cellular_Component_2017b	polysomal ribosome (GO:0042788)	13/64	1.983004947104223e-11	8.516484404405504e-10	0	0	12.815457413249213	315.8218600378069	RPL23;RPL9;PSMA6;RPS17;RPS19;PSMA1;EIF4H;RPS3;DENR;RPL27;RPS11;RPS13;SF1
GO_Cellular_Component_2017b	trans spliceosomal complex (GO:0071023)	13/65	2.443813618805077e-11	9.970759564724716e-10	0	0	12.618296529968454	308.3265141356619	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	spliceosomal complex (GO:0005681)	13/65	2.443813618805077e-11	9.495961490214014e-10	0	0	12.618296529968454	308.3265141356619	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	post-spliceosomal complex (GO:0071020)	13/66	3.000340703808578e-11	1.1128536428671817e-09	0	0	12.427110218908329	301.1052788893234	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	post-mRNA release spliceosomal complex (GO:0071014)	13/67	3.670170196720561e-11	1.3021125567495555e-09	0	0	12.241630961909694	294.14433243429187	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	prespliceosome (GO:0071010)	13/67	3.670170196720561e-11	1.2478578668849907e-09	0	0	12.241630961909694	294.14433243429187	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	supraspliceosomal complex (GO:0044530)	13/68	4.473703304253792e-11	1.4602167585084374e-09	0	0	12.061606977175726	287.4307415187705	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	ribosome (GO:0005840)	10/33	5.8207608393312084e-11	1.8268234018824103e-09	0	0	19.11863110601281	450.5688756586932	RPS17;RPS19;RPL23;RPS3;DENR;RPL27;RPS11;RPL9;RPS13;SF1
GO_Cellular_Component_2017b	U2-type spliceosomal complex (GO:0005684)	13/70	6.579932371264732e-11	1.988601783315564e-09	0	0	11.716989634970709	274.6979271946409	SF3B4;IVNS1ABP;SF3A3;API5;BUD31;HNRNPR;SNRPD2;SNRPE;SNRPB2;SNRPF;BCAS2;SNRPB;SF1
GO_Cellular_Component_2017b	U12-type precatalytic spliceosome (GO:0071016)	10/43	1.0479543320781663e-09	3.0540383391992283e-08	0	0	14.672437825544716	303.3735724196071	SF3B4;SF3B5;SNRPD2;SNRPE;YBX1;SNRPF;BCAS2;LSM3;LSM2;SNRPB
GO_Cellular_Component_2017b	nuclear chromatin (GO:0000790)	20/235	1.2016103522196673e-09	3.381082922107753e-08	0	0	5.369487885092959	110.28715065222212	MBD3;SMARCE1;KDM1A;MCM7;POLR3GL;CBX3;HDAC1;BUD31;ACTL6A;RPA2;NUCKS1;SMARCA4;CCND2;RAD51;NASP;RBBP4;HAT1;RCC1;ASF1B;MCM2
GO_Cellular_Component_2017b	nuclear heterochromatin (GO:0005720)	18/190	1.491282356858435e-09	4.056288010654944e-08	0	0	5.977087829985057	121.47611821649063	SMARCE1;MBD3;CBX5;KDM1A;POLR3GL;CBX3;HDAC1;BUD31;ACTL6A;NUCKS1;SMARCA4;RAD51;NASP;RBBP4;HAT1;RCC1;UBA1;ASF1B
GO_Cellular_Component_2017b	mitochondrial respiratory chain complex I, membrane segment (GO:0042653)	10/48	3.332967391783521e-09	8.773230295791462e-08	0	0	13.144058885383807	256.5641800882223	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB11;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Cellular_Component_2017b	mitochondrial respiratory chain complex I, peripheral segment (GO:0042652)	10/48	3.332967391783521e-09	8.499066849047978e-08	0	0	13.144058885383807	256.5641800882223	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB11;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Cellular_Component_2017b	mitochondrial respiratory chain complex I (GO:0005747)	10/48	3.332967391783521e-09	8.241519368773797e-08	0	0	13.144058885383807	256.5641800882223	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB11;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Cellular_Component_2017b	Swr1 complex (GO:0000812)	17/178	3.791565531522689e-09	9.099757275654452e-08	0	0	6.025591039591677	116.8391437211038	SMARCE1;MBD3;KDM1A;POLR3GL;HDAC1;BUD31;ACTL6A;NUCKS1;SMARCA4;RAD51;NASP;RBBP4;RUVBL1;HAT1;ANP32E;RCC1;ASF1B
GO_Cellular_Component_2017b	Ino80 complex (GO:0031011)	17/183	5.78119890682643e-09	1.347845230848676e-07	0	0	5.860957404630157	111.17447752721552	SMARCE1;MBD3;KDM1A;POLR3GL;HDAC1;BUD31;ACTL6A;NUCKS1;UCHL5;SMARCA4;RAD51;NASP;RBBP4;RUVBL1;HAT1;RCC1;ASF1B
