Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	51/159	8.245162553983801e-53	3.677342499076776e-50	0	0	20.236890661270163	2426.957342272352	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;CCT3;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL37A;NHP2;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;RPS15A;RPS3;SURF6;RPL13;RPS2;CCT8;RPL18;RPS27A;CCT7;RPL19;CCT4;MCTS1;NAA10;RPL23A;PSMC5;PSMC4;RPL22L1;RPS21;RSL24D1
GO_Cellular_Component_2018	cytosolic ribosome (GO:0022626)	45/124	1.91711181872872e-49	4.275159355765045e-47	0	0	22.896102574539537	2568.3897625891823	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;SURF6;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;MCTS1;RPL21;NAA10;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;NHP2;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
GO_Cellular_Component_2018	cytosolic large ribosomal subunit (GO:0022625)	29/69	2.3218490883170973e-34	3.451815644631419e-32	0	0	26.51671009920907	2053.6006482052007	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPLP2;RPL13;SURF6;RPL38;RPL18;RPL19;RPL21;RPL23;RPL22;RPL23A;RPL37A;NHP2;RPL27;RPL22L1;RPL26;RPL28;RSL24D1
GO_Cellular_Component_2018	large ribosomal subunit (GO:0015934)	29/72	1.0758583209386736e-33	1.1995820278466212e-31	0	0	25.411847178408696	1929.0689531580633	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPLP2;RPL13;SURF6;RPL38;RPL18;RPL19;RPL21;RPL23;RPL22;RPL23A;RPL37A;NHP2;RPL27;RPL22L1;RPL26;RPL28;RSL24D1
GO_Cellular_Component_2018	ribosome (GO:0005840)	24/76	4.718770270025754e-25	4.2091430808629726e-23	0	0	19.92362609995019	1115.9836445999117	RPL30;RPL32;NAA10;RPL31;RPL23;RPS5;RPL12;RPL11;RPL9;RPL6;RPS17;RPS19;RPS3;RPL13;DENR;RPL38;RPL27;RPL26;RPS11;RPL18;RPS21;RPS13;SF1;RPL19
GO_Cellular_Component_2018	nucleolus (GO:0005730)	55/676	7.619438854569229e-24	5.66378288189646e-22	0	0	5.133182759972375	273.2461942424501	RPL5;RBM28;CDCA7L;NUCKS1;RPL7;FBL;PTBP1;CCND2;RPS19;RPS11;RPS13;DDX18;PARP1;RPL23;RPS6;CD3EAP;ILF2;EBNA1BP2;DKC1;NCL;CCDC86;RPL26;PPID;SRSF9;SLBP;DDX27;MEAF6;RPL11;NOP2;MAK16;ORC4;PES1;RRS1;RPS3;RPL13;SURF6;BRIX1;RPL18;RPS27A;LYAR;NOP56;NPM1;NOP58;CBX5;NOP16;NAA10;RPL23A;NPM3;SMARCA4;BYSL;LSM6;RAD51;MYBBP1A;TCEA1;RSL24D1
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	40/392	5.3452613156405335e-21	3.4056950668223967e-19	0	0	6.4379063928410485	300.5090872327092	PRIM2;PCNA;KDM1A;MCM7;HDAC1;NUCKS1;ORC4;RBBP4;POLD1;RUVBL1;RCC1;MBD3;SMARCE1;GINS2;SSB;CBX5;PARP1;POLR3GL;CBX3;ALYREF;BUD31;ACTL6A;RPA1;RPA2;BAZ1B;UCHL5;SMARCA4;POLE4;RAD51;MSH2;NASP;HAT1;POLE3;ANP32E;NHP2;MCM3;MCM5;MCM6;ASF1B;MCM2
GO_Cellular_Component_2018	nuclear chromosome, telomeric region (GO:0000784)	20/107	3.7871995053516815e-16	2.1113637242335627e-14	0	0	11.79280049529762	418.7592164714493	CBX5;PCNA;SSB;KDM1A;MCM7;PARP1;CBX3;ALYREF;RPA1;RPA2;ORC4;RAD51;MSH2;POLD1;HAT1;NHP2;MCM3;MCM5;MCM6;MCM2
GO_Cellular_Component_2018	cytosolic small ribosomal subunit (GO:0022627)	15/49	6.96885558322688e-16	3.4534551001324333e-14	0	0	19.313719178523144	674.0470701423316	MCTS1;RPS8;RPS5;RPS6;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPS2;RPS11;RPS27A;RPS21;RPS13
GO_Cellular_Component_2018	small ribosomal subunit (GO:0015935)	15/53	2.611361314481024e-15	1.1646671462585367e-13	0	0	17.856079995238378	599.5876090670844	MCTS1;RPS8;RPS5;RPS6;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPS2;RPS11;RPS27A;RPS21;RPS13
GO_Cellular_Component_2018	chromosome, telomeric region (GO:0000781)	20/124	7.46753671558231e-15	3.0277467046815546e-13	0	0	10.176045588684238	331.00856016177767	CBX5;PCNA;SSB;KDM1A;MCM7;PARP1;CBX3;ALYREF;RPA1;RPA2;ORC4;RAD51;MSH2;POLD1;HAT1;NHP2;MCM3;MCM5;MCM6;MCM2
