Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2015	structural constituent of ribosome (GO:0003735)	43/160	8.474710742682539e-41	9.627271403687362e-38	0	0	16.95583596214511	1564.4963716487914	RPL5;RPL30;RPL32;RPL10;RPL31;MRPS36;RPL34;RPL12;RPLP0;RPL11;MRPL12;RPL9;RPL6;RPL7;RPS15;MRPL20;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21
GO_Molecular_Function_2015	structure-specific DNA binding (GO:0043566)	23/241	6.399373798812081e-12	3.634844317725262e-09	0	0	6.021178842101129	155.19480670931262	MBD3;SMARCE1;PCNA;MCM7;HDAC1;ALYREF;ACTL6A;RPA1;RPA2;HMGB3;HMGB1;YBX1;RAD23B;SMARCA4;RAD51;MSH2;RBBP4;PCBP1;RPA3;RCC1;MCM6;TARDBP;LSM14A
GO_Molecular_Function_2015	translation factor activity, nucleic acid binding (GO:0008135)	15/92	1.5700687087102374e-11	5.945326843649433e-09	0	0	10.286654779865588	255.90436813560052	MCTS1;EIF4A1;EIF5B;EIF2S2;TUFM;EEF1B2;EEF1G;EIF3M;EIF3K;EIF3I;EIF4H;TCEA1;DENR;EIF3F;ABCF1
GO_Molecular_Function_2015	threonine-type endopeptidase activity (GO:0004298)	9/22	2.3393130214293568e-11	6.643648980859374e-09	0	0	25.81015199311729	631.7958372678081	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1;PSMB3
GO_Molecular_Function_2015	threonine-type peptidase activity (GO:0070003)	9/22	2.3393130214293568e-11	5.314919184687499e-09	0	0	25.81015199311729	631.7958372678081	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1;PSMB3
GO_Molecular_Function_2015	mRNA binding (GO:0003729)	16/112	2.6251824168014037e-11	4.9703453758106565e-09	0	0	9.013068949977468	219.58797329599426	EIF4A1;SLBP;SSB;RPS5;SRSF1;TYMS;HNRNPAB;RPL7;NUDT21;C1QBP;G3BP1;RPS3;LUC7L3;RPS2;TARDBP;RPS13
GO_Molecular_Function_2015	single-stranded DNA binding (GO:0003697)	12/76	2.5590668682870296e-09	4.1529999462486647e-07	0	0	9.961813049975095	197.0807552662619	RAD51;MCM7;MSH2;PCBP1;ALYREF;RPA3;RPA1;RPA2;HMGB1;YBX1;MCM6;RAD23B
GO_Molecular_Function_2015	ATPase activity (GO:0016887)	25/395	4.872931739017676e-09	6.919563069405099e-07	0	0	3.9931318132811566	76.4268261836953	EIF4A1;VCP;DDX27;MCM7;ATP5A1;OLA1;ATP5J;ATP5H;ATP5B;RBBP4;RUVBL1;G3BP1;CCT8;ABCF2;ABCF1;DDX18;HSP90AA1;RFC3;KIF22;SMARCA4;PSMC5;RAD51;MSH2;PSMC4;MCM6
GO_Molecular_Function_2015	translation initiation factor activity (GO:0003743)	10/54	1.1211138644951001e-08	1.4150948334071484e-06	0	0	11.68360789811894	213.8843092765974	MCTS1;EIF4A1;EIF5B;EIF3M;EIF3K;EIF3I;EIF4H;DENR;EIF3F;EIF2S2
GO_Molecular_Function_2015	NADH dehydrogenase (quinone) activity (GO:0050136)	9/46	3.7095375108864016e-08	4.214034612366952e-06	0	0	12.343985735838704	211.2028004624601	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Molecular_Function_2015	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	9/46	3.7095375108864016e-08	3.830940556697229e-06	0	0	12.343985735838704	211.2028004624601	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
GO_Molecular_Function_2015	NADH dehydrogenase activity (GO:0003954)	9/46	3.7095375108864016e-08	3.511695510305793e-06	0	0	12.343985735838704	211.2028004624601	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
