Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-XBEC-1326-SM-4AT69 heart male 50-59 years	245/7340	6.705003572890291e-50	1.956520042569387e-46	0	0	2.1059146116091765	238.44513144366303	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;RPS17;PSMD7;RPS16;SNRPD2;PSMD3;RCC1;DENR;RPL38;RPS11;GOLGA7;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;UQCRC2;RPL28;SF1;SLBP;SET;MEAF6;RPN1;OAZ1;ADH5;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;CALM3;RPS21;RPLP0;OLA1;CLTA;PRPF19;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;HSBP1;ACTL6A;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL10;RPL12;RPL11;TYMS;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;TCEA1;TARDBP;MAD2L1;KDM1A;BCCIP;UBE2D1;NUCKS1;BZW1;EEF1B2;FBL;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;ORC4;G3BP1;BRIX1;IVNS1ABP;UBE2I;CBX5;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;NONO;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;ARPC3;OSTC;SRPRB;UBA2;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;HSP90AB1;MCM7;CDCA7L;HP1BP3;HMGB3;HMGB1;LMNB2;BCAS2;RFC5;HSP90AA1;RFC3;GLRX3;BUD31;DYNLT3;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;POMP;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;NOP58;RRM1;SSB;TAF15;NAA10;TAF12;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-WRHU-1226-SM-4E3IJ heart female 50-59 years	259/8581	2.3659735529701695e-46	3.451955413783478e-43	0	0	1.904287845974729	200.06014825327358	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;GOLGA7;RPS13;WLS;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;UQCRC2;RPL28;SF1;SLBP;SET;MEAF6;RPN1;ATP5H;OAZ1;ADH5;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;CALM3;RPS21;RPLP0;OLA1;CLTA;PRPF19;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;HSBP1;ACTL6A;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL10;MRPS36;SSNA1;RPL12;RPL11;ATP5A1;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;GCA;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;UBE2D1;NUCKS1;BZW1;EEF1B2;FBL;RUVBL1;RAB2A;LIG1;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;PPID;KPNB1;SRSF9;KHDRBS1;VCP;RAB5C;PSMD11;PSMD14;PSMD13;NOP2;AK2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;NONO;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;ARPC3;OSTC;SRPRB;UBA2;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;HSP90AB1;MCM7;CDCA7L;HP1BP3;HMGB1;LMNB2;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GPX4;GLRX3;BUD31;DYNLT3;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;DDX27;POMP;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;TXNRD3;NDUFA5;NAA10;TAF12;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-S7PM-0011-R5A-SM-3NM8G brain male 60-69 years	186/4417	1.0851517643827067e-45	1.0554909494895792e-42	0	0	2.6567841912770347	275.06911332466734	RPL5;EIF4A1;RPL30;RPL32;KDM1A;BCCIP;RPL9;RPL6;RPL7;PSMD8;RPS15;EEF1B2;FBL;PSMD7;RPS16;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;ILF2;SND1;TUFM;EBNA1BP2;KARS;HNRNPUL1;DKC1;PSME3;NCL;HAT1;UQCRC1;CCDC86;RPL27;SUCLG1;RPL26;UQCRC2;SNRPF;FKBP4;RPL28;PPID;KPNB1;ASF1B;SF1;SNRPB;KHDRBS1;VCP;PSMD11;NDUFB10;NDUFB11;PSMD13;RPN1;NOP2;AK2;ATP5H;OAZ1;PMF1;MRPL20;ATP5B;PCBP1;G3BP1;SURF6;LYAR;MCTS1;BTF3;UBE2I;NOP16;CBX3;HSPA4;ALYREF;NONO;EIF2S2;SMARCA4;LSM2;DRAP1;UCK2;LSM6;ARPC3;OSTC;UBA1;RPS21;RSL24D1;NOP10;RBM28;HSP90AB1;RPLP0;OLA1;YBX1;ATP5G3;PRPF19;TRMT112;PTBP1;HINT1;C1QBP;TMED2;RPLP2;CCT3;NUDC;RFC3;SSR4;GLRX3;SMC1A;RAD23B;UCHL5;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;RPL37A;MCM3;MCM5;MCM2;SF3B4;SF3B5;AHCY;DDX27;RPL10;SSNA1;RPL12;RPL11;ATP5A1;SRSF1;MAK16;HSD17B10;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;PSMB3;PES1;POLD1;RPS3;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPS27A;CCT7;ABCF2;RPL19;CCT4;ABCF1;POLR2L;SF3A3;MBD3;NOP56;NPM1;NOP58;RRM1;TAF15;NAA10;TAF12;RPA1;RPA2;RPL23A;NPM3;HNRNPAB;BYSL;PSMC5;EIF3M;RAD51;MYBBP1A;EIF3K;PSMC4;EIF3I;NDUFAB1;POLE3;EIF3F;TARDBP
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-S7PM-0011-R6A-SM-3NM8F brain male 60-69 years	196/4945	4.0170183225121953e-45	2.930414866272646e-42	0	0	2.5006937511363163	255.63539242777196	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL9;RPL6;RPL7;PSMD8;PSMD7;RPS16;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;UQCRC1;CCDC86;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;ASF1B;SF1;SET;RPN1;ATP5H;OAZ1;MRPL20;ATP5B;PCBP1;SURF6;LYAR;MCTS1;BTF3;SMARCA4;UCK2;RPS21;RPLP0;OLA1;PRPF19;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;NUDC;SSR4;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;SF3B4;SF3B5;PRIM2;AHCY;RPL10;MRPS36;SSNA1;RPL12;RPL11;ATP5A1;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;RPS3;RPL13;CCT8;RPS2;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;NPM1;RPA1;RPA2;NPM3;BYSL;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TARDBP;KDM1A;BCCIP;UBE2D1;BZW1;EEF1B2;FBL;ARHGDIA;RUVBL1;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;PPID;KPNB1;SNRPB;KHDRBS1;VCP;PSMD11;NDUFB10;NDUFB11;PSMD13;NOP2;AK2;PMF1;G3BP1;BRIX1;IVNS1ABP;UBE2I;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;EIF2S2;LSM3;LSM2;DRAP1;ARPC3;OSTC;UBA1;RSL24D1;NOP10;RBM28;HSP90AB1;YBX1;ATP5G3;PTBP1;UQCRFS1;RFC3;GLRX3;SMC1A;RAD23B;DDOST;RPL37A;MCM3;MCM5;MCM2;DDX27;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;NOP56;NOP58;RRM1;TAF15;NAA10;TAF12;RPL23A;HNRNPAB;EIF3M;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-T2IS-0426-SM-32QPE heart female 20-29 years	217/6360	2.1260807778730359e-41	1.2407807419667037e-38	0	0	2.1526496438704044	201.59931703287225	RPL5;EIF4A1;RPL30;RPL32;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;PSMD7;SNRPD2;PSMD3;RCC1;DENR;RPL38;RPS11;GOLGA7;DDX18;RPL21;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL28;ASF1B;SF1;SLBP;SET;MEAF6;RPN1;OAZ1;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;SMARCA4;UCK2;CALM3;RPS21;RPLP0;OLA1;CLTA;PRPF19;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;NUDC;SSR4;PARP1;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL12;TYMS;PSMB6;PSMB7;PSMB4;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;RAB5C;PSMD11;PSMD14;PSMD13;NOP2;AK2;TACSTD2;ORC4;G3BP1;IVNS1ABP;UBE2I;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;NONO;LSM1;TBCB;EIF2S2;LSM3;LSM2;DRAP1;ARPC3;SRPRB;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;HSP90AB1;MCM7;HP1BP3;HMGB3;HMGB1;LMNB2;BCAS2;RFC5;EIF5B;HSP90AA1;GPX4;GLRX3;BUD31;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;SRSF1;MAK16;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;NOP58;RRM1;SSB;TAF15;NAA10;TAF12;RPL23A;HNRNPAB;POLE4;EIF3M;RAD51;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-XQ8I-0006-SM-4BOQ5 blood male 50-59 years	289/12110	2.3264938947978446e-35	1.1314515308366849e-32	0	0	1.5056514026262935	120.06985123879805	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;FAM53B;DENR;RPL38;RPS11;GOLGA7;RPS13;WLS;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;UQCRC1;CCDC86;TFAM;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;SF1;SLBP;SET;MEAF6;RPN1;ATP5J;ATP5H;ADH5;MRPL20;ATP5B;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;CALM3;RPS21;GSTM5;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;HSBP1;ACTL6A;ATPIF1;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL10;MRPS36;SSNA1;RPL12;RPL11;ATP5A1;UQCR10;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TARDBP;TOMM5;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;RAB2A;LIG1;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;RAB5C;PSMD11;NDUFB10;UQCRB;PSMD14;NDUFB11;PSMD13;NOP2;AK2;PMF1;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;NONO;IDH2;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;UQCRQ;ARPC3;OSTC;SRPRB;UBA2;UBA1;LSM14A;RSL24D1;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;HP1BP3;HMGB3;HMGB1;ATP5G3;LMNB2;PTBP1;NUP62;UQCRFS1;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GPX4;GLRX3;BUD31;DYNLT3;NDUFC1;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;NDUFB8;DDX27;NDUFB6;NDUFB5;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;TXNRD3;NDUFA5;NAA10;TAF12;NDUFA3;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-NFK9-0926-SM-2HMJU heart male 40-49 years	150/3603	1.961958398605889e-33	8.178563724474264e-31	0	0	2.626622924639562	197.81455756230991	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS19;ARHGDIA;RCC1;DENR;RPL38;RPS11;GOLGA7;RPS13;RAB2A;DDX18;RPL21;LIG1;RPS8;RPS5;RPL22;RPS6;ILF2;HNRNPUL1;DKC1;PSME3;NCL;NHP2;TFAM;RPL27;SNRPE;SNRPF;RPL28;KPNB1;SF1;SNRPB;SRSF9;SLBP;KHDRBS1;SET;RAB5C;MEAF6;RPN1;NOP2;AK2;TACSTD2;ORC4;PCBP1;G3BP1;BRIX1;BTF3;API5;CBX3;RCC2;ALYREF;NONO;MAGOHB;EIF2S2;LSM5;SMARCA4;LSM2;UCK2;LSM6;ARPC3;OSTC;ANP32E;SRPRB;UBA2;UBA1;RPS21;LSM14A;RSL24D1;MCM7;RPLP0;HP1BP3;OLA1;CLTA;HMGB1;PRPF19;LMNB2;TRMT112;HINT1;TMED2;RPLP2;BCAS2;RFC5;HELLS;BUD31;DYNLT3;ACTL6A;SMC1A;RAD23B;PSMA5;DAD1;RPL37A;MCM6;SF3B4;PRIM2;PCNA;DDX27;RPL10;RPL12;MAK16;TMEM165;RPS15A;RBBP4;PES1;USP1;RPS3;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;RPL19;CCT4;SF3A3;SMARCE1;NOP56;RANBP1;GINS2;NPM1;NOP58;SSB;GCA;RPA2;RPL23A;NPM3;NUDT21;MYBBP1A;PSMC4;RPA3;EIF3I;POLE3;TCEA1;RPL22L1;EIF3F;TARDBP;TOMM5
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-R55F-0005-SM-2TF4W blood male 50-59 years	254/9567	7.87068751345887e-33	2.870833270534122e-30	0	0	1.6750534747632422	123.82357541128721	RPL5;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;FAM53B;DENR;RPL38;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;UQCRC1;CCDC86;TFAM;RPL27;SUCLG1;RPL26;UQCRC2;SET;MEAF6;CDCA7;ATP5J;ATP5H;ADH5;MRPL20;ATP5B;SURF6;LYAR;MCTS1;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;CALM3;RPS21;GSTM5;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;TMED2;CCT3;NUDC;SSR4;PARP1;HSBP1;ACTL6A;ATPIF1;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B5;PRIM2;AHCY;PCNA;MRPS36;SSNA1;RPL11;ATP5A1;UQCR10;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PES1;USP1;RPS3;RPL13;CCT8;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TARDBP;TOMM5;MAD2L1;KDM1A;BCCIP;NUCKS1;EEF1B2;FBL;RUVBL1;RAB2A;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;SRSF6;PPID;KHDRBS1;VCP;PSMD11;NDUFB10;UQCRB;PSMD14;NDUFB11;PSMD13;NOP2;TACSTD2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;NONO;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;UQCRQ;OSTC;SRPRB;UBA2;UBA1;RSL24D1;YWHAE;RBM28;HSP90AB1;MCM7;COX4I1;CDCA7L;HP1BP3;HMGB3;HMGB1;ATP5G3;LMNB2;NUP62;UQCRFS1;BCAS2;RFC5;EIF5B;RFC3;GPX4;GLRX3;DYNLT3;NDUFC1;SMC1A;DDOST;DAD1;RPL37A;MCM3;LUC7L3;MCM6;PFDN4;SLC25A5;THOP1;MCM2;NDUFB8;DDX27;NDUFB6;NDUFB5;POMP;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;TXNRD3;NDUFA5;NAA10;NDUFA3;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-NPJ8-0011-R1a-SM-33HCB brain male 40-49 years	129/2754	8.854125511564089e-33	2.8707042491937783e-30	0	0	2.955265527171261	218.1116716516395	EIF4A1;RPL30;RPL32;KDM1A;PSMD8;RPS15;FBL;RPS17;PSMD7;RPS16;SNRPD2;RPS19;ARHGDIA;PSMD3;RPL38;RPS11;RPS13;RPS8;RPL23;RPS5;SARS;ILF2;SND1;TUFM;KARS;HNRNPUL1;PSME3;UQCRC1;NHP2;CCDC86;RPL27;SNRPE;UQCRC2;SNRPF;RPL28;SF1;SNRPB;VCP;NDUFB10;NDUFB11;PSMD13;NOP2;ATP5H;OAZ1;PMF1;MRPL20;ATP5B;PCBP1;SURF6;BTF3;UBE2I;NOP16;ALYREF;NONO;SMARCA4;LSM2;DRAP1;UQCRQ;UBA1;RPS21;NOP10;RPLP0;ATP5G3;PRPF19;TRMT112;HINT1;C1QBP;RPLP2;UQCRFS1;NUDC;SSR4;GPX4;NDUFC1;KIF22;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;RPL37A;MCM3;MCM5;SLC25A5;MCM2;SF3B4;SF3B5;AHCY;DDX27;RPL10;SSNA1;RPL12;RPL11;ATP5A1;SRSF1;HSD17B10;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;POLD1;RPS3;EIF4H;RPL13;RPS2;RPL18;CCT7;RPL19;ABCF1;POLR2L;SF3A3;MBD3;RANBP1;TAF15;NAA10;NDUFA3;NPM3;HNRNPAB;BYSL;PSMC5;EIF3M;MYBBP1A;EIF3K;PSMC4;EIF3I;NDUFAB1;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_down	GTEX-RTLS-0006-SM-2TF58 blood female 60-69 years	221/7408	1.3175223768577658e-32	3.84453029567096e-30	0	0	1.882183810153232	138.16541046793608	RPL5;RPL30;RPL32;RPL31;PITPNB;RPL34;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;DENR;RPL38;RPS11;RPS13;RPL23;RPL22;KARS;PSME3;UQCRC1;CCDC86;TFAM;RPL27;SUCLG1;RPL26;UQCRC2;SET;MEAF6;ATP5J;ATP5H;ADH5;MRPL20;ATP5B;SURF6;MCTS1;MAGOHB;SMARCA4;UCK2;CALM3;RPS21;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;TMED2;CCT3;NUDC;SSR4;PARP1;HSBP1;ACTL6A;ATPIF1;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;SF3B5;AHCY;PCNA;MRPS36;SSNA1;RPL12;RPL11;ATP5A1;UQCR10;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;RPS3;RPL13;CCT8;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;NPM1;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;RPL22L1;TARDBP;KDM1A;BCCIP;NUCKS1;EEF1B2;FBL;RUVBL1;RAB2A;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;PPID;PSMD11;NDUFB10;UQCRB;PSMD14;NDUFB11;PSMD13;NOP2;AK2;PMF1;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;POLR3GL;CBX3;HSPA4;ALYREF;LSM1;TBCB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;UQCRQ;OSTC;SRPRB;UBA2;RSL24D1;YWHAE;RBM28;HSP90AB1;COX4I1;ATP5G3;LMNB2;UQCRFS1;BCAS2;EIF5B;GPX4;GLRX3;BUD31;DYNLT3;NDUFC1;DDOST;DAD1;RPL37A;LUC7L3;PFDN4;SLC25A5;THOP1;NDUFB8;NDUFB6;NDUFB5;POMP;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;EIF4H;SNRPB2;RBBP7;ABCF2;POLR2L;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;TXNRD3;NDUFA5;NAA10;TAF12;NDUFA3;RPL23A;HNRNPAB;POLE4;EIF3M;EIF3K;EIF3I;POLE3;EIF3F
