Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-WFG7-0001-SM-3P61S blood male 20-29 years	231/3972	6.343407749347327e-94	1.8510063812595498e-90	0	0	3.6692176465542716	787.3978986127092	RPL5;EIF4A1;RPL30;RPL32;RPL31;HNRNPR;RPL6;RPL7;RPS15;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;CDCA7;MRPL20;ATP5B;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;PARP1;ACTL6A;ATPIF1;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;SSNA1;RPL12;RPL11;ATP5A1;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;DRAP1;LSM6;NASP;ARPC3;OSTC;UBA1;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;BUD31;SMC1A;DDOST;DAD1;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;NDUFB6;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3K;EIF3I;POLE3
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-VUSH-0004-SM-3P61T blood male 30-39 years	234/4129	2.0005132939092476e-93	2.9187488958135926e-90	0	0	3.5755405522070944	763.1884394798233	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL6;RPL7;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;CDCA7;OAZ1;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;PARP1;ACTL6A;ATPIF1;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;SF3B4;SF3B5;PRIM2;AHCY;PCNA;SSNA1;RPL12;RPL11;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;PMF1;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA1;LSM14A;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;BUD31;SMC1A;RAD23B;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;DDX27;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;TAF12;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3K;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-TML8-0001-SM-3NMAF blood female 40-49 years	228/4163	1.8580602590707795e-86	1.8072732786561778e-83	0	0	3.4554066884852364	682.1069033568361	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL6;RPL7;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;CDCA7;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;CLTA;PRPF19;COX7C;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;PARP1;ACTL6A;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;MRPS36;RPL12;RPL11;ATP5A1;TYMS;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TARDBP;TOMM5;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA1;LSM14A;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;BUD31;SMC1A;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;DDX27;NDUFB6;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;TAF12;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3I;POLE3;EIF3F
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-XUJ4-0004-SM-4BOQE blood female 60-69 years	225/4035	2.8236769877514647e-86	2.0598723625646934e-83	0	0	3.5181124154187136	693.0128343045517	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL6;RPL7;RPS15;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;RPN1;CDCA7;MRPL20;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;ACTL6A;ATPIF1;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL12;RPL11;TYMS;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;PSMC4;RPA3;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;NUCKS1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA1;LSM14A;RSL24D1;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;BUD31;SMC1A;DDOST;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K;EIF3I;POLE3
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-X585-0002-SM-46MVA blood male 50-59 years	220/3824	4.736599004270448e-86	2.7642791788922333e-83	0	0	3.62974011060808	713.1241453343252	RPL5;EIF4A1;RPL32;RPL31;RPL34;HNRNPR;RPL6;RPS15;RPS17;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;RPN1;CDCA7;MRPL20;PCBP1;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;SSR4;PARP1;ACTL6A;ATPIF1;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;RPL10;RPL12;RPL11;ATP5A1;TYMS;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;PSMC4;RPA3;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;ARHGDIA;RUVBL1;LIG1;RPS8;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA1;LSM14A;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;RFC5;EIF5B;RFC3;GLRX3;BUD31;SMC1A;DDOST;DAD1;RPL37A;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;DDX27;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3I;POLE3
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-PX3G-0008-SM-48U2L skin female 20-29 years	191/2718	3.85311550644388e-85	1.8738985079672074e-82	0	0	4.433581010345796	861.7589133420188	EIF4A1;KDM1A;BCCIP;HNRNPR;NUCKS1;BZW1;RPL6;PSMD8;EEF1B2;FBL;PSMD7;RPS16;SNRPD2;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;DDX18;RPL23;ILF2;SND1;TUFM;EBNA1BP2;KARS;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;NHP2;CCDC86;TFAM;RPL27;SNRPE;RPL26;SNRPF;KPNB1;ASF1B;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;SET;RAB5C;PSMD11;PSMD14;PSMD13;RPN1;NOP2;CDCA7;AK2;MRPL20;G3BP1;BRIX1;LYAR;MCTS1;BTF3;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;MAGOHB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;UCK2;LSM6;NASP;OSTC;ANP32E;SRPRB;UBA1;RSL24D1;NOP10;YWHAE;RBM28;MCM7;CDCA7L;OLA1;CLTA;HMGB3;HMGB1;YBX1;PRPF19;LMNB2;TRMT112;PTBP1;C1QBP;TMED2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;PARP1;GLRX3;BUD31;ACTL6A;KIF22;BAZ1B;SMC1A;RAD23B;UCHL5;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;CANX;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;SF3B4;SF3B5;PRIM2;AHCY;PCNA;NDUFB6;SSNA1;POMP;SRSF1;MAK16;TYMS;PSMB6;PSMB7;PSMB4;RBBP4;PSMB3;PES1;POLD1;USP1;EIF4H;SNRPB2;CCT8;RPS2;RBBP7;CCT7;ABCF2;CCT4;ABCF1;POLR2L;SF3A3;MBD3;SMARCE1;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;TAF12;RPA1;RPA2;HSPE1;NPM3;HNRNPAB;BYSL;NUDT21;EIF3M;RAD51;MYBBP1A;PSMC4;RPA3;EIF3I;POLE3;RPL22L1;TARDBP;MAD2L1
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-W5WG-0002-SM-3NMDN blood female 50-59 years	222/4183	4.275322868281611e-80	1.782198875663677e-77	0	0	3.348388512614149	611.9312194994437	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL6;RPL7;PSMD7;RPS16;SNRPD2;PSMD3;RCC1;DENR;RPL38;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;ASF1B;SLBP;SET;CDCA7;ATP5J;MRPL20;ATP5B;PCBP1;SURF6;LYAR;MCTS1;BTF3;RCC2;MAGOHB;SMARCA4;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;COX7C;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;PARP1;ACTL6A;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PRIM2;AHCY;PCNA;MRPS36;RPL11;ATP5A1;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TARDBP;TOMM5;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;CCND2;RUVBL1;LIG1;RPS8;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;PSMD11;PSMD14;PSMD13;NOP2;AK2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA1;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;GLRX3;BUD31;SMC1A;RAD23B;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;DDX27;NDUFB6;HDAC1;POMP;SRSF1;MAK16;HSD17B10;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;RPL23A;HSPE1;HNRNPAB;EIF3M;RAD51;EIF3K;EIF3I;POLE3
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-PSDG-0008-SM-48TE5 skin male 50-59 years	181/2548	5.448579784647878e-80	1.987369476450313e-77	0	0	4.481773296554731	817.9749539272549	EIF4A1;KDM1A;BCCIP;HNRNPR;NUCKS1;BZW1;RPL6;PSMD8;EEF1B2;FBL;PSMD7;SNRPD2;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;DDX18;RPL21;LIG1;ILF2;SND1;TUFM;EBNA1BP2;KARS;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;NHP2;CCDC86;TFAM;RPL27;SNRPE;SNRPF;KPNB1;ASF1B;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;SET;RAB5C;PSMD11;PSMD14;PSMD13;RPN1;NOP2;CDCA7;MRPL20;G3BP1;BRIX1;LYAR;MCTS1;UBE2I;CBX5;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;MAGOHB;EIF2S2;LSM5;LSM3;SMARCA4;LSM2;DRAP1;UCK2;LSM6;NASP;OSTC;ANP32E;SRPRB;UBA1;NOP10;YWHAE;RBM28;MCM7;CDCA7L;OLA1;CLTA;HMGB3;HMGB1;YBX1;PRPF19;LMNB2;PTBP1;C1QBP;TMED2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;PARP1;GLRX3;BUD31;ACTL6A;KIF22;BAZ1B;SMC1A;RAD23B;UCHL5;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;CANX;MCM3;MCM5;MCM6;SLC25A5;THOP1;MCM2;SF3B4;SF3B5;PRIM2;AHCY;PCNA;POMP;SRSF1;MAK16;TYMS;PSMB6;PSMB7;PSMB4;RBBP4;PSMB3;PES1;POLD1;USP1;EIF4H;SNRPB2;CCT8;RPS2;RBBP7;CCT7;ABCF2;CCT4;ABCF1;POLR2L;SF3A3;SMARCE1;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;TAF12;RPA1;HSPE1;NPM3;HNRNPAB;BYSL;NUDT21;EIF3M;RAD51;MYBBP1A;PSMC4;RPA3;EIF3I;POLE3;RPL22L1;MAD2L1
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-V1D1-0008-SM-4JBIJ skin male 50-59 years	180/2540	3.121596146322078e-79	1.0120908394408694e-76	0	0	4.471049951563626	808.2132695851731	EIF4A1;KDM1A;BCCIP;HNRNPR;NUCKS1;BZW1;RPL6;EEF1B2;FBL;PSMD7;SNRPD2;ARHGDIA;PSMD3;RUVBL1;RCC1;DENR;DDX18;LIG1;ILF2;SND1;TUFM;EBNA1BP2;KARS;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;NHP2;CCDC86;TFAM;RPL27;SNRPE;SNRPF;KPNB1;ASF1B;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;SET;RAB5C;PSMD11;PSMD14;PSMD13;RPN1;NOP2;CDCA7;AK2;ATP5H;MRPL20;G3BP1;BRIX1;LYAR;MCTS1;UBE2I;NOP16;API5;CBX3;HSPA4;ALYREF;NONO;LSM1;MAGOHB;EIF2S2;LSM5;LSM3;LSM2;DRAP1;UCK2;LSM6;NASP;OSTC;ANP32E;SRPRB;NOP10;RBM28;MCM7;CDCA7L;OLA1;CLTA;HMGB3;HMGB1;YBX1;PRPF19;LMNB2;TRMT112;PTBP1;HINT1;C1QBP;TMED2;CCT3;RFC5;HELLS;NUDC;HSP90AA1;RFC3;PARP1;GLRX3;BUD31;ACTL6A;KIF22;BAZ1B;SMC1A;RAD23B;UCHL5;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;CANX;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;SF3B4;SF3B5;PRIM2;PCNA;NDUFB6;SSNA1;POMP;SRSF1;MAK16;TYMS;TMEM165;PSMB6;PSMB7;PSMB4;PSMB3;PES1;POLD1;USP1;EIF4H;SNRPB2;CCT8;RPS2;RBBP7;CCT7;ABCF2;CCT4;POLR2L;SF3A3;SMARCE1;NOP56;RANBP1;GINS2;DUT;NPM1;NOP58;RRM1;SSB;TAF15;RRM2;NAA10;TAF12;RPA1;RPA2;HSPE1;NPM3;HNRNPAB;BYSL;NUDT21;EIF3M;RAD51;MYBBP1A;PSMC4;RPA3;EIF3I;POLE3;RPL22L1;MAD2L1
GTEx_Tissue_Sample_Gene_Expression_Profiles_up	GTEX-UPJH-0001-SM-3NMDE blood male 50-59 years	214/3891	1.1553365642197056e-78	3.371272094393102e-76	0	0	3.469950472132163	622.7077539390867	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL6;RPL7;RPS15;RPS17;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;TFAM;RPL27;RPL26;RPL28;ASF1B;SLBP;SET;RPN1;CDCA7;OAZ1;MRPL20;PCBP1;LYAR;MCTS1;BTF3;RCC2;MAGOHB;UCK2;ANP32E;RPS21;RPLP0;OLA1;PRPF19;COX7C;TRMT112;HINT1;C1QBP;TMED2;RPLP2;CCT3;HELLS;SSR4;PARP1;ACTL6A;KIF22;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B5;PRIM2;AHCY;PCNA;RPL10;MRPS36;RPL12;RPL11;TYMS;PSMB7;PSMB4;RPS15A;PSMB3;PES1;USP1;RPS3;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;GINS2;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;RPA3;NDUFAB1;TCEA1;RPL22L1;MAD2L1;KDM1A;BCCIP;NUCKS1;EEF1B2;FBL;CCND2;RUVBL1;LIG1;RPS8;RPS5;RPS6;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;PPID;KPNB1;SNRPB;SRSF9;KHDRBS1;PSMD11;PSMD14;PSMD13;AK2;ORC4;G3BP1;BRIX1;UBE2I;CBX5;NOP16;API5;CBX3;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;ARPC3;OSTC;UBA2;LSM14A;RSL24D1;NOP10;HSP90AB1;MCM7;CDCA7L;HMGB3;HMGB1;YBX1;ATP5G3;LMNB2;PTBP1;NUP62;RFC5;EIF5B;RFC3;GLRX3;BUD31;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM3;MCM5;MCM6;PFDN4;SLC25A5;THOP1;MCM2;DDX27;HDAC1;POMP;SRSF1;MAK16;RBBP4;POLD1;EIF4H;SNRPB2;RBBP7;SMARCE1;NOP56;DUT;NOP58;RRM1;SSB;TAF15;RRM2;RPL23A;HNRNPAB;EIF3M;RAD51;EIF3I;POLE3;EIF3F
