Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GWAS_Catalog_2019	Skin pigmentation	2/13	0.017405903116529068	1.0	0	0	9.70638194612958	39.320027864368186	DUT;EIF2S2
GWAS_Catalog_2019	Blood trace element (Cu levels)	2/15	0.02294883629513588	1.0	0	0	8.412197686645637	31.75173964126585	PSMB4;COX7C
GWAS_Catalog_2019	Eating disorders (purging via substances)	2/16	0.02595651826896012	1.0	0	0	7.886435331230284	28.79599775402482	SET;NCL
GWAS_Catalog_2019	Extremely high intelligence	4/78	0.035404851130136125	1.0	0	0	3.2354606487098603	10.809371287411576	DDX27;RPL37A;LSM5;TUFM
GWAS_Catalog_2019	Eyebrow thickness	4/80	0.03831838598365988	1.0	0	0	3.1545741324921135	10.289670177258204	BTF3;MEAF6;HSPA4;ABCF2
GWAS_Catalog_2019	Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	2/20	0.03943258379361895	1.0	0	0	6.309148264984227	20.39850349915553	MCM6;MRPL12
GWAS_Catalog_2019	Disease progression in age-related macular degeneration	4/97	0.06844107179728122	1.0	0	0	2.601710624735764	6.977221164104189	UQCRFS1;NDUFC2;LYAR;LSM14A
GWAS_Catalog_2019	Pulmonary artery enlargement and chronic obstructive pulmonary disease	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	PSMA4
GWAS_Catalog_2019	Cannabis dependence	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	UCHL5
GWAS_Catalog_2019	Very long-chain saturated fatty acid levels (fatty acid 20:0)	2/30	0.08149201388085803	1.0	0	0	4.206098843322819	10.545742387922193	USP1;KPNB1
GWAS_Catalog_2019	Blood pressure measurement (high sodium and potassium intervention)	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	CDCA7
GWAS_Catalog_2019	Blood pressure measurement (low sodium intervention)	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	CDCA7
GWAS_Catalog_2019	Proteinuria in chronic kidney disease	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	RSL24D1
GWAS_Catalog_2019	Response to haloperidol in schizophrenia	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	SNRPB2
GWAS_Catalog_2019	Educational attainment	3/71	0.10296918400724243	1.0	0	0	2.665837295063758	6.060315954803713	PSMD14;TMED2;TUFM
GWAS_Catalog_2019	Alcohol consumption in current drinkers	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	ADH5
GWAS_Catalog_2019	Birth length	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	SF3B4
GWAS_Catalog_2019	Response to bupropion in depression	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	API5
GWAS_Catalog_2019	Antibody level in response to infection	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	SRSF6
GWAS_Catalog_2019	Food allergy (maternal genetic effects)	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	SNRPB2
GWAS_Catalog_2019	Insulin-like growth factors	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	RPA3
GWAS_Catalog_2019	LDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	MRPL12
GWAS_Catalog_2019	Cocaine dependence	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	FAM53B
GWAS_Catalog_2019	Response to tocilizumab in rheumatoid arthritis	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	PSMA4
GWAS_Catalog_2019	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	RPA3
GWAS_Catalog_2019	1,5-anhydroglucitol levels	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	MCM6
GWAS_Catalog_2019	Glucocorticoid-induced osteonecrosis	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	CCND2
GWAS_Catalog_2019	Hippocampal subfield CA3 volume	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	FAM53B
GWAS_Catalog_2019	Urinary bladder cancer	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	SLBP
GWAS_Catalog_2019	Uterine fibroid size (maximum dimension)	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	COX7C
GWAS_Catalog_2019	Hip minimal joint space width	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	SLBP
GWAS_Catalog_2019	Hippocampal subfield CA1 volume	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	FAM53B
GWAS_Catalog_2019	Brain imaging	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	UBE2D1
GWAS_Catalog_2019	Coagulation factor levels	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	SURF6
GWAS_Catalog_2019	Melanoma	2/43	0.14840112642315487	1.0	0	0	2.9344875651089435	5.598522068300603	PARP1;RAD23B
GWAS_Catalog_2019	Femoral neck bone mineral density	2/45	0.15948890722329245	1.0	0	0	2.8040658955485456	5.1476506312377	ARPC3;WLS
GWAS_Catalog_2019	Lead levels	2/45	0.15948890722329245	1.0	0	0	2.8040658955485456	5.1476506312377	IVNS1ABP;HSBP1
GWAS_Catalog_2019	Elevated serum carcinoembryonic antigen levels	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	RPL18
GWAS_Catalog_2019	Thiopurine-induced alopecia in inflammatory bowel disease	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	HELLS
GWAS_Catalog_2019	F-cell distribution	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	MAD2L1
GWAS_Catalog_2019	Hippocampal subfield CA4 volume	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	FAM53B
GWAS_Catalog_2019	Hippocampal tail volume	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	FAM53B
GWAS_Catalog_2019	Protein C levels	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	BAZ1B
GWAS_Catalog_2019	Kidney function decline traits	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	RRM2
GWAS_Catalog_2019	Dentate gyrus granule cell layer volume	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	FAM53B
GWAS_Catalog_2019	Depression (quantitative trait)	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	EIF3F
GWAS_Catalog_2019	Urate levels in obese individuals	2/47	0.17072325964221782	1.0	0	0	2.68474394254648	4.745852468250408	CDCA7L;RPA3
GWAS_Catalog_2019	Thrombin-activatable fibrinolysis inhibitor levels	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	DENR
GWAS_Catalog_2019	Ewing sarcoma	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	TARDBP
GWAS_Catalog_2019	Polymyositis	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	RPL38
GWAS_Catalog_2019	Ischemic stroke (small-vessel)	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	PMF1
GWAS_Catalog_2019	Dentate gyrus molecular layer volume	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	FAM53B
GWAS_Catalog_2019	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	PFDN4
GWAS_Catalog_2019	Creatine kinase levels	2/48	0.17638907615311694	1.0	0	0	2.6288117770767614	4.56115421634229	PSMA6;PSMD3
GWAS_Catalog_2019	Severe influenza A (H1N1) infection	2/48	0.17638907615311694	1.0	0	0	2.6288117770767614	4.56115421634229	DRAP1;DDX18
GWAS_Catalog_2019	Multiple myeloma and monoclonal gammopathy	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	CDCA7L
GWAS_Catalog_2019	Airway imaging phenotypes	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	RPA1
GWAS_Catalog_2019	Bipolar disorder (inflammation and infection response interaction)	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	CLTA
GWAS_Catalog_2019	Wegener's granulomatosis	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	CCDC86
GWAS_Catalog_2019	Hematological parameters	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	BYSL
GWAS_Catalog_2019	Lipoprotein phospholipase A2 activity in cardiovascular disease	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	TOMM5
GWAS_Catalog_2019	Digit length ratio (right hand)	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	OLA1
GWAS_Catalog_2019	Dysmenorrheic pain	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	MAT2A
GWAS_Catalog_2019	White blood cell count (basophil)	3/95	0.1912857896478828	1.0	0	0	1.9923626099950191	3.2953412353366223	PSMD3;RPN1;FAM53B
GWAS_Catalog_2019	Response to quetiapine in schizophrenia	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	VCP
GWAS_Catalog_2019	Digit length ratio (left hand)	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	OLA1
GWAS_Catalog_2019	Waist-to-hip ratio adjusted for BMI (age >50)	6/250	0.20670980801964411	1.0	0	0	1.5141955835962146	2.3870375211314467	GCSH;HSP90AB1;RPL32;CBX3;TMED2;MCM5
GWAS_Catalog_2019	Esophageal cancer	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	RPL6
GWAS_Catalog_2019	Urinary albumin-to-creatinine ratio	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	TCEA1
GWAS_Catalog_2019	Infant length	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	SF3B4
GWAS_Catalog_2019	Common carotid intima-media thickness in HIV negative individuals	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	NCL
GWAS_Catalog_2019	Digit length ratio	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	OLA1
GWAS_Catalog_2019	Midgestational circulating levels of PCBs	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	TFAM
GWAS_Catalog_2019	Alcohol dependence	2/55	0.216740844015662	1.0	0	0	2.294235732721537	3.50800781498362	GLRX3;ADH5
GWAS_Catalog_2019	Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	9/419	0.22232176170972973	1.0	0	0	1.3551869781589032	2.03769921238782	GCSH;EEF1G;CBX5;HSP90AB1;RPL32;CBX3;TMED2;MCM5;TMEM165
