Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GeneSigDB	16207381-Table1Sa	170/2585	1.7025224500837212e-68	3.6416955207290795e-65	0	0	4.149149729390014	647.4485734680703	EIF4A1;RPL31;PITPNB;BCCIP;UBE2D1;NUCKS1;RPL9;RPL6;RPL7;PSMD8;EEF1B2;FBL;PSMD7;RPS16;CCND2;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;GOLGA7;RPL21;LIG1;RPS5;CD3EAP;SARS;TUFM;KARS;DKC1;NCL;NHP2;TFAM;SNRPF;FKBP4;RPL28;KPNB1;SLBP;VCP;SET;RAB5C;PSMD11;MEAF6;NDUFB10;NDUFB11;PSMD13;RPN1;ATP5J;ATP5H;MRPL12;OAZ1;PMF1;ATP5B;PCBP1;G3BP1;RRS1;BRIX1;LYAR;IVNS1ABP;NOP16;API5;CBX3;HSPA4;RCC2;LSM3;SMARCA4;LSM2;DRAP1;LSM6;NASP;UQCRQ;ARPC3;SRPRB;RPS21;LSM14A;RSL24D1;NOP10;RBM28;HSP90AB1;MCM7;COX4I1;RPLP0;OLA1;CLTA;HMGB3;HMGB1;YBX1;ATP5G3;PRPF19;COX7C;LMNB2;TRMT112;PTBP1;HINT1;TMED2;RPLP2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;SSR4;PARP1;ACTL6A;NDUFC2;KIF22;BAZ1B;RAD23B;DDOST;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;CANX;RPL37A;MCM5;PFDN4;SLC25A5;MCM2;DDX27;RPL10;NDUFB5;HDAC1;RPL12;POMP;ATP5A1;MAK16;UQCR10;HSD17B10;TMEM165;PSMB6;PSMB7;RBBP4;PSMB3;PES1;EIF4H;CCT8;RBBP7;RPL18;RPS27A;ABCF2;RPL19;CCT4;ABCF1;POLR2L;SMARCE1;GINS2;DUT;NPM1;RRM1;SSB;TAF15;RRM2;GCA;RPA1;RPA2;RPL23A;NPM3;HNRNPAB;NUDT21;PSMC5;EIF3M;EIF3K;RPA3;NDUFAB1;TCEA1;EIF3F;TARDBP
GeneSigDB	18535662-TableS1b	84/540	2.113901068149425e-59	2.2608171923858103e-56	0	0	9.814230634419909	1325.941672332253	RBM28;HSP90AB1;KDM1A;BCCIP;HMGB3;HMGB1;RPL6;GCSH;FBL;HINT1;C1QBP;RCC1;RPL38;RPS11;CCT3;DDX18;NUDC;HSP90AA1;RPL22;SMC1A;UCHL5;TUFM;EEF1G;EBNA1BP2;KARS;PSMA1;DKC1;PSME3;NCL;RPL37A;NHP2;MCM3;LUC7L3;RPL27;SNRPF;FKBP4;SLC25A5;PPID;SNRPB;SF3B4;PRIM2;AHCY;PCNA;DDX27;NDUFB10;UQCRB;NDUFB5;RPL11;MAK16;CDCA7;AK2;ATP5H;MRPL12;ATP5B;PCBP1;CCT7;LYAR;ABCF1;SF3A3;RANBP1;DUT;NPM1;NOP58;SSB;UBE2I;CBX5;NOP16;IDH2;RPA2;HSPE1;HNRNPAB;LSM3;POLE4;LSM6;MYBBP1A;NASP;EIF3K;PSMC4;RPA3;NDUFAB1;POLE3;TCEA1;EIF3F;TOMM5
GeneSigDB	16207381-Table1Sb	142/2159	1.2377332684444406e-54	8.825038204008862e-52	0	0	4.149601915830293	515.0747875751699	EIF4A1;RPL31;RPL34;UBE2D1;HNRNPR;NUCKS1;RPL9;RPL6;RPL7;GCSH;EEF1B2;FBL;PSMD7;RPS16;CCND2;SNRPD2;RPS19;RCC1;RPL38;RPS13;RPL21;RPS5;ILF2;KARS;MSH2;DKC1;NCL;HAT1;NHP2;TFAM;SNRPF;FKBP4;RPL28;KPNB1;SNRPB;SLBP;KHDRBS1;VCP;SET;PSMD11;UQCRB;NDUFB11;PSMD13;ATP5H;MRPL12;PMF1;ADH5;G3BP1;RRS1;BRIX1;IVNS1ABP;NOP16;API5;CBX3;HSPA4;RCC2;SMARCA4;LSM2;DRAP1;LSM6;NASP;OSTC;UBA1;RPS21;LSM14A;RSL24D1;NOP10;YWHAE;RBM28;HSP90AB1;MCM7;RPLP0;OLA1;HMGB3;HMGB1;LMNB2;PTBP1;TMED2;BCAS2;CCT3;RFC5;HELLS;EIF5B;NUDC;HSP90AA1;RFC3;HSBP1;ACTL6A;KIF22;SMC1A;UCHL5;DDOST;PSMA3;PSMA4;PSMA1;MCM3;LUC7L3;MCM5;SLC25A5;MCM2;PRIM2;PCNA;DDX27;RPL10;RPL12;POMP;MAK16;HSD17B10;PSMB6;PSMB7;RBBP4;PSMB3;USP1;RPS3;EIF4H;CCT8;RBBP7;RPL18;RPS27A;RPL19;CCT4;SMARCE1;NOP56;RANBP1;GINS2;NPM1;SSB;RRM2;GCA;RPA1;RPL23A;NPM3;HNRNPAB;BYSL;NUDT21;EIF3M;EIF3K;RPA3;NDUFAB1;TCEA1;EIF3F;TARDBP
GeneSigDB	16081686-SuppTable4	84/663	5.617802395655617e-52	3.0041198310768415e-49	0	0	7.9934910144596545	943.2997587306528	YWHAE;RPL5;RPL32;KDM1A;MCM7;RPLP0;PRPF19;BZW1;EEF1B2;FBL;PTBP1;HINT1;RPS16;C1QBP;RCC1;RPLP2;DENR;BCAS2;CCT3;HSP90AA1;RFC3;RPL21;SSR4;PARP1;GLRX3;RPS5;BUD31;RPL22;ACTL6A;RPS6;NDUFC2;BAZ1B;ILF2;RAD23B;TUFM;DAD1;PSME3;CANX;RPL37A;UQCRC1;NHP2;CCDC86;TFAM;RPL27;MCM5;UQCRC2;SLC25A5;THOP1;KPNB1;MCM2;SF3B4;SET;PCNA;RPL10;UQCRB;HDAC1;RPL11;NOP2;AK2;ATP5J;ATP5B;PSMB4;RBBP4;MAT2A;PES1;USP1;RPL13;RPS2;DUT;NPM1;RRM1;CBX5;RRM2;RPA1;NPM3;EIF2S2;LSM2;LSM6;EIF3K;RPA3;POLE3;UBA1;RPS21;MAD2L1
GeneSigDB	16872506-SuppTable1	118/1548	1.429796039650357e-50	6.116667457624227e-48	0	0	4.8092990650396565	551.9715393724983	RPL5;EIF4A1;RPL30;RPL32;RPL34;NUCKS1;RPL9;RPL7;RPS15;FBL;PSMD7;RPS16;RPS19;ARHGDIA;RPS13;RPL21;RPS8;RPL23;RPS5;SARS;SND1;TUFM;EBNA1BP2;DKC1;UQCRC1;RPL27;SNRPE;RPL26;RPL28;PPID;SNRPB;SET;UQCRB;NDUFB11;PSMD13;RPN1;NOP2;AK2;ATP5J;ATP5H;OAZ1;ATP5B;PCBP1;BTF3;IVNS1ABP;API5;CBX3;EIF2S2;LSM5;LSM2;UQCRQ;ARPC3;OSTC;UBA2;UBA1;RSL24D1;YWHAE;HSP90AB1;COX4I1;RPLP0;CLTA;COX7C;TRMT112;PTBP1;HINT1;RPLP2;UQCRFS1;CCT3;SSR4;GPX4;HSBP1;DYNLT3;ATPIF1;NDUFC2;NDUFC1;PSMA6;DAD1;RPL37A;MCM5;SLC25A5;SF3B4;NDUFB8;AHCY;PCNA;RPL10;MRPS36;HDAC1;RPL11;ATP5A1;TYMS;TMEM165;PSMB6;PSMB4;RPS15A;MAT2A;PES1;RPS3;RPL13;RPS2;RBBP7;RPS27A;CCT4;POLR2L;NOP56;RANBP1;DUT;NPM1;RRM1;SSB;GCA;NDUFA3;RPA1;HSPE1;HNRNPAB;EIF3M;EIF3K;EIF3I;TARDBP
GeneSigDB	15474998-tableS1c	138/2241	2.5621722414440846e-49	9.134144040748162e-47	0	0	3.885151542025093	434.69334328314767	RPL32;PITPNB;NUCKS1;BZW1;RPL7;PSMD7;RPS19;ARHGDIA;PSMD3;RUVBL1;RCC1;RPS5;RPL22;RPS6;SND1;HAT1;UQCRC1;NHP2;SUCLG1;FKBP4;KPNB1;ASF1B;SNRPB;VCP;SET;NDUFB10;PSMD14;RPN1;NOP2;CDCA7;AK2;TACSTD2;ATP5J;PMF1;MRPL20;PCBP1;G3BP1;RRS1;BRIX1;BTF3;IVNS1ABP;CBX5;NOP16;API5;HSPA4;RCC2;NONO;LSM1;TBCB;LSM3;SMARCA4;LSM2;UQCRQ;ARPC3;OSTC;ANP32E;UBA2;CALM3;UBA1;LSM14A;RSL24D1;NOP10;YWHAE;HSP90AB1;CDCA7L;HP1BP3;OLA1;COX7C;LMNB2;HINT1;NUP62;TMED2;SKP1A;CCT3;RFC5;NUDC;HSP90AA1;GLRX3;HSBP1;BUD31;ACTL6A;ATPIF1;NDUFC1;KIF22;BAZ1B;DYNLL2;RAD23B;DDOST;PSMA6;PSMA1;DAD1;RPL37A;MCM3;MCM5;SLC25A5;MCM2;SF3B5;PRIM2;NDUFB8;AHCY;PCNA;NDUFB6;SSNA1;ATP5A1;UQCR10;TYMS;HSD17B10;PSMB7;PSMB4;RPS15A;RBBP4;MAT2A;POLD1;USP1;RPS3;CCT8;RBBP7;CCT7;ABCF2;CCT4;SF3A3;RRM1;TAF15;RRM2;TXNRD3;NDUFA5;RPA2;HSPE1;PSMC5;EIF3M;RAD51;MYBBP1A;RPA3;NDUFAB1;POLE3;TCEA1;RPL22L1;MAD2L1
GeneSigDB	18535662-TableS2d	82/679	5.13129571019591e-49	1.5679773605870077e-46	0	0	7.61929540101188	847.1994472345293	RBM28;MCM7;OLA1;HMGB3;NUCKS1;PRPF19;RPL6;PTBP1;HINT1;RCC1;CCT3;RFC5;DDX18;PARP1;LIG1;GPX4;RPS5;KIF22;SMC1A;ILF2;TUFM;EEF1G;EBNA1BP2;DKC1;NCL;HAT1;NHP2;MCM3;MCM5;UQCRC2;MCM6;FKBP4;SLC25A5;PPID;ASF1B;SNRPB;MCM2;PRIM2;SET;AHCY;PCNA;DDX27;MEAF6;ATP5A1;NOP2;MAK16;CDCA7;AK2;MRPL12;PMF1;ADH5;ATP5B;RBBP4;MAT2A;PES1;USP1;CCT8;RBBP7;CCT7;ABCF2;LYAR;CCT4;SMARCE1;NPM1;NOP58;UBE2I;CBX5;RRM2;NOP16;RCC2;RPA1;RPA2;NPM3;BYSL;NUDT21;UCK2;RAD51;NASP;NDUFAB1;POLE3;ANP32E;MAD2L1
GeneSigDB	18535662-TableS2b	64/500	1.8692485911295125e-39	4.9979034205325354e-37	0	0	8.075709779179812	720.1536977126898	HSP90AB1;HNRNPR;HMGB1;YBX1;ATP5G3;COX7C;RPL6;GCSH;FBL;PSMD7;C1QBP;UQCRFS1;DENR;RPS13;DDX18;HSP90AA1;NDUFC2;RAD23B;UCHL5;PSMA5;EEF1G;PSMA4;PSMA1;NHP2;CCDC86;RPL27;SNRPF;FKBP4;PFDN4;SF3B4;KHDRBS1;NDUFB8;PCNA;PSMD11;NDUFB5;RPL11;AK2;ATP5B;G3BP1;SNRPB2;CCT4;SF3A3;MBD3;RANBP1;NPM1;SSB;UBE2I;IDH2;TBCB;HSPE1;HNRNPAB;LSM3;LSM2;POLE4;NUDT21;PSMC5;LSM6;NASP;PSMC4;EIF3I;NDUFAB1;TARDBP;RSL24D1;TOMM6
GeneSigDB	19643001-Additional-File2	44/238	4.209211080034751e-34	1.0003891666882588e-31	0	0	11.663971582323782	896.3834235446487	RPL5;RPL30;HSP90AB1;RPL32;RPL10;RPL31;NDUFB11;NDUFB5;RPL34;COX4I1;RPL11;ATP5A1;ATP5J;RPL9;OAZ1;COX7C;RPL7;ATP5B;RPS17;RPS16;RPS15A;RPS19;RPLP2;RPL13;UQCRFS1;RPS2;RPS11;RPL18;RPS27A;RPL19;GPX4;RPS8;RPL23;NDUFA3;RPS6;IDH2;NDUFC2;HSPE1;UQCRQ;NDUFAB1;UQCRC1;RPL27;UQCRC2;RPL28
GeneSigDB	19061838-TableS7	68/830	9.638138764714793e-30	2.0615978817724947e-27	0	0	5.168940747215994	345.34636347038963	RPL5;HSP90AB1;KDM1A;OLA1;BCCIP;HMGB3;HNRNPR;EEF1B2;FBL;RPS16;C1QBP;BSG;RUVBL1;RCC1;CCT3;EIF5B;DDX18;PARP1;LIG1;RPL23;RPL22;KIF22;ILF2;DDOST;KARS;MSH2;DKC1;CANX;RPL37A;NHP2;MCM3;MCM6;RPL28;KPNB1;SNRPB;MCM2;AHCY;DDX27;UQCRB;RPL11;MRPL12;POLD1;RRS1;RPS3;RPL18;CCT7;ABCF2;CCT4;NOP56;GINS2;NPM1;RRM1;SSB;RRM2;NOP16;TAF12;CBX3;NONO;NPM3;SMARCA4;BYSL;LSM2;EIF3M;MYBBP1A;UQCRQ;TCEA1;RPS21;MAD2L1
GeneSigDB	19636063-TableS6	58/583	1.0459610413866633e-29	2.0339187886600665e-27	0	0	6.276682664992884	418.84323243507964	YWHAE;MCM7;CLTA;HMGB3;ATP5G3;LMNB2;PTBP1;RFC5;RFC3;PARP1;LIG1;HSBP1;ACTL6A;NDUFC1;KIF22;PSMA6;PSMA3;PSMA4;MSH2;HAT1;MCM3;MCM5;MCM6;PFDN4;MCM2;SLBP;KHDRBS1;PCNA;PSMD14;HDAC1;AK2;ATP5J;TYMS;RBBP4;PSMB3;USP1;RANBP1;DUT;RRM1;UBE2I;CBX5;RRM2;TAF12;CBX3;RPA1;LSM3;SMARCA4;NUDT21;LSM6;NASP;RPA3;NDUFAB1;ANP32E;TCEA1;UBA2;CALM3;LSM14A;MAD2L1
GeneSigDB	12456497-Table4	27/81	8.803594827765435e-29	1.5692407780491885e-26	0	0	21.030494216614088	1358.5658791924855	RPL32;RPL31;RPL12;RPLP0;RPL11;RPL9;RPL7;EEF1B2;RPS16;RPS15A;RPS19;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL21;RPS8;RPL23;RPS5;RPS6;RPL37A;RPL27;EIF3F;RPL28;RPS21
GeneSigDB	15171711-Table1	44/333	1.0775183390684103e-27	1.7729320978979464e-25	0	0	8.33641212190108	517.6506523641749	EIF4A1;PSMD11;HSP90AB1;MCM7;HNRNPR;HMGB1;YBX1;ATP5G3;PSMD8;PSMB6;EEF1B2;PSMB3;C1QBP;RPS3;TMED2;CCT7;CCT4;CCT3;RFC5;NOP56;RANBP1;DUT;NPM1;RRM1;PARP1;KIF22;ILF2;UCK2;PSMA4;RAD51;PSMC4;DKC1;PSME3;RPA3;NCL;HAT1;SNRPE;SNRPF;FKBP4;SLC25A5;KPNB1;MAD2L1;SNRPB;MCM2
GeneSigDB	19061838-TableS16	24/85	9.860828058932762e-24	1.5065936584326555e-21	0	0	17.81406568936723	943.6729115184137	RPL5;EIF4A1;DDX18;NPM1;PCNA;RPL32;RPL10;RPS5;RPL22;TYMS;HSPE1;RPL9;CCND2;RPS16;RPS19;MSH2;MAT2A;DKC1;NCL;RPL27;RPS13;PPID;SNRPB;RPL19
GeneSigDB	18387200-Genes	69/1213	5.942944763793286e-21	8.4746392331692245e-19	0	0	3.58888071132656	167.1416474611078	MCM7;RPL34;HNRNPR;HMGB1;RPL9;LMNB2;RPL7;GCSH;C1QBP;RUVBL1;RCC1;RPS13;BCAS2;HELLS;EIF5B;DDX18;NUDC;HSP90AA1;RFC3;RPL21;PARP1;LIG1;DYNLT3;ACTL6A;CD3EAP;NDUFC2;UCHL5;PSMA6;DKC1;NCL;NHP2;MCM3;CCDC86;TFAM;SUCLG1;MCM5;RPL26;FKBP4;ASF1B;MCM2;PCNA;PSMD11;MAK16;CDCA7;TYMS;TMEM165;MAT2A;POLD1;RRS1;RPL13;SURF6;BRIX1;CCT7;ABCF2;RANBP1;GINS2;DUT;NOP58;RRM1;CBX5;RRM2;NOP16;HSPE1;NPM3;HNRNPAB;UCK2;MYBBP1A;POLE3;SRPRB
GeneSigDB	14737219-CSRgenes	47/591	5.1598593258480564e-20	6.89808693624312e-18	0	0	5.0174275542175755	222.82793421085003	PRIM2;PCNA;MCM7;PSMD14;RPN1;CDCA7;BCCIP;HNRNPR;UQCR10;HMGB1;MRPL12;TYMS;LMNB2;RUVBL1;USP1;LYAR;MCTS1;HELLS;RANBP1;GINS2;DUT;RFC3;RRM1;RRM2;NOP16;GLRX3;ACTL6A;KIF22;MAGOHB;ILF2;HNRNPAB;LSM3;UCK2;EBNA1BP2;DKC1;POLE3;ANP32E;NHP2;MCM3;SNRPE;MCM5;MCM6;SLC25A5;ASF1B;MAD2L1;SNRPB;MCM2
GeneSigDB	15260889-TableS2a	38/375	6.986421053574869e-20	8.790561549174498e-18	0	0	6.393270241850684	281.9926596646677	SET;AHCY;PCNA;MCM7;NDUFB5;SSNA1;CDCA7;HMGB1;MRPL12;TYMS;LMNB2;ATP5B;PCBP1;POLD1;RUVBL1;USP1;LYAR;DUT;RFC3;RRM1;RRM2;RPS5;ACTL6A;RAD23B;LSM2;PSMA4;RAD51;PSMC4;RPA3;HAT1;POLE3;UQCRC1;ANP32E;MCM3;TFAM;MCM5;SF1;MAD2L1
GeneSigDB	19505326-SuppTable3	86/1902	1.0370538214027431e-19	1.232365624433593e-17	0	0	2.8527168811180004	124.70005117181545	YWHAE;EIF4A1;RPL32;MCM7;RPL34;CDCA7L;RPLP0;HP1BP3;BCCIP;HMGB3;HMGB1;YBX1;ATP5G3;PSMD7;RPS16;CCND2;RPS19;C1QBP;PSMD3;RPS11;RFC5;HELLS;HSP90AA1;RFC3;SSR4;LIG1;RPL23;RPL22;CD3EAP;NDUFC2;NDUFC1;SMC1A;TUFM;PSMA4;PSMA1;DKC1;CANX;HAT1;UQCRC1;TFAM;SUCLG1;MCM5;RPL26;MCM6;PFDN4;RPL28;MCM2;SLBP;VCP;NDUFB8;PCNA;PSMD11;RPL10;NDUFB6;PSMD13;RPL12;POMP;CDCA7;AK2;ATP5J;PSMB6;PSMB3;RPL13;RPS27A;CCT7;LYAR;POLR2L;RANBP1;GINS2;DUT;NPM1;RRM1;UBE2I;RRM2;IDH2;RPA1;EIF2S2;LSM3;SMARCA4;PSMC4;UQCRQ;ARPC3;ANP32E;TCEA1;CALM3;LSM14A
GeneSigDB	18310505-TableS7	69/1294	2.0248543351153182e-19	2.2795596962166664e-17	0	0	3.3642289821013267	144.80859054170196	MCM7;RPL31;HMGB3;LMNB2;FBL;PTBP1;NUP62;RUVBL1;RCC1;DENR;RFC5;HELLS;RFC3;LIG1;ACTL6A;ILF2;DDOST;PSMA5;PSMA4;MSH2;DKC1;MCM3;MCM5;MCM6;PFDN4;KPNB1;ASF1B;MCM2;SF3B4;KHDRBS1;SET;RAB5C;AHCY;PCNA;PSMD13;HDAC1;RPN1;TYMS;OAZ1;PSMB7;PSMB4;RBBP4;POLD1;USP1;CCT8;RBBP7;MCTS1;SF3A3;RRM1;RRM2;CBX3;HSPA4;NONO;RPA1;RPA2;NPM3;LSM5;SMARCA4;LSM2;RAD51;NASP;PSMC4;POLE3;ANP32E;SRPRB;CALM3;TARDBP;RPS21;MAD2L1
GeneSigDB	20460173-ImmPortCD40LandAnti-IgMvsControl	77/1612	6.506575514224014e-19	6.958782512462585e-17	0	0	3.0136750397257166	126.20157056496424	RPL30;COX4I1;UBE2D1;ATP5G3;FBL;HINT1;PSMD7;CCND2;SNRPD2;BSG;RUVBL1;FAM53B;RFC5;RFC3;SSR4;PARP1;LIG1;GPX4;RPS5;RPS6;BAZ1B;SMC1A;SND1;DDOST;TUFM;PSMA3;MSH2;MCM3;MCM5;UQCRC2;MCM6;PFDN4;SF1;MCM2;SLBP;PRIM2;KHDRBS1;SET;AHCY;PCNA;UQCRB;NDUFB5;HDAC1;ATP5A1;ATP5H;TYMS;OAZ1;HSD17B10;ADH5;RPS15A;RBBP4;MAT2A;PES1;POLD1;RPL13;SNRPB2;CCT8;POLR2L;BTF3;RRM2;CBX3;NONO;RPA1;RPA2;TBCB;NPM3;LSM3;SMARCA4;NUDT21;NASP;EIF3K;UQCRQ;RPA3;POLE3;EIF3F;LSM14A;MAD2L1
GeneSigDB	16651414-Supp2	79/1733	3.1629905697593304e-18	3.221731823197718e-16	0	0	2.87606874168352	115.8912293799063	RPL5;RPL30;RPL31;RPL34;COX4I1;HMGB3;ATP5G3;PRPF19;COX7C;EEF1B2;HINT1;SNRPD2;C1QBP;PSMD3;NUP62;RUVBL1;RAB2A;PARP1;GPX4;GLRX3;RPL23;RPS5;RPL22;RPS6;SARS;PSMA6;PSMA3;PSMA4;HNRNPUL1;PSME3;RPL37A;NHP2;MCM3;RPL27;SUCLG1;UQCRC2;MCM6;FKBP4;KPNB1;MCM2;SF3B5;NDUFB8;PCNA;DDX27;NDUFB10;UQCRB;NDUFB6;NDUFB11;RPL11;POMP;NOP2;ATP5J;TYMS;PSMB6;PSMB3;RPS3;RPL13;RPL18;RPS27A;CCT7;ABCF1;MCTS1;BTF3;SMARCE1;RRM2;NOP16;LSM1;LSM5;SMARCA4;POLE4;UQCRQ;RPA3;EIF3I;NDUFAB1;TCEA1;RPL22L1;RPS21;TOMM5;NOP10
GeneSigDB	15308739-Table1	17/55	6.484811536897741e-18	6.305005398829214e-16	0	0	19.501003728133064	771.7925685172273	CCT3;SF3A3;EIF4A1;RANBP1;PSMD13;ILF2;PSMD8;PSMA5;PSMA6;PSMB4;PSMC5;PSMA4;ARHGDIA;PSME3;PSMD3;CCT7;KPNB1
GeneSigDB	11108479-SuppTable1	19/83	3.7656268131850226e-17	3.5020329362620722e-15	0	0	14.442628558397628	546.1917925855389	HSP90AA1;NPM1;HSP90AB1;UBE2I;RPS8;CBX3;HMGB1;TYMS;HSPE1;EEF1B2;FBL;RPS19;RBBP4;PSMC4;G3BP1;RPS3;SNRPE;SNRPB;RPL19
GeneSigDB	18931459-Table2	16/55	1.8506332943760308e-16	1.649376923612638e-14	0	0	18.353885861772298	664.8848148869969	RPL32;RPL21;GPX4;RPL10;RPS8;RPL23;RPL12;RPL11;OAZ1;RPS15;RPS16;RPS15A;EIF3K;RPL37A;RPS3;RPLP2
GeneSigDB	15670303-Table1	20/109	5.532258248079623e-16	4.7334001570569263e-14	0	0	11.576418834833445	406.688454173048	NPM1;AHCY;RPL10;RPL31;RPS8;PSMD13;API5;ATP5J;EIF2S2;LSM3;RPL7;EEF1B2;EBNA1BP2;PSMB4;HAT1;CANX;MCM3;SNRPE;MCM5;RPS11
GeneSigDB	15474998-tableS1b	50/850	8.588609054735088e-16	7.065782603107059e-14	0	0	3.71126368528484	128.7471690151334	HSP90AB1;CDCA7L;CLTA;RPL7;RPS19;TMED2;RFC5;HSP90AA1;RPS5;ATPIF1;RPS6;KIF22;DAD1;HAT1;RPL37A;MCM3;MCM5;ASF1B;MCM2;PRIM2;AHCY;PCNA;RPL12;CDCA7;TMEM165;RPS15A;RBBP4;POLD1;G3BP1;RPS3;BRIX1;RBBP7;CCT7;BTF3;IVNS1ABP;RRM1;CBX5;RRM2;NONO;H13;ARPC3;RPA3;NDUFAB1;ANP32E;TCEA1;RPL22L1;UBA1;NOP10;GSTM5;MAD2L1
GeneSigDB	18667080-TableS2	48/791	1.0556559161638854e-15	8.363140758053893e-14	0	0	3.8285602619373313	132.02642319031324	SF3B5;PCNA;PSMD14;NDUFB5;UQCR10;PRPF19;TYMS;PSMB6;FBL;ATP5B;PSMB4;RPS16;C1QBP;RPS11;MCTS1;BTF3;CCT3;RAB2A;GINS2;EIF5B;HSP90AA1;RRM1;RRM2;HSPA4;BUD31;RPA2;TBCB;LSM3;PSMA5;PSMA6;NUDT21;PSMA3;KARS;PSMA1;MSH2;NASP;ARPC3;EIF3I;RPL37A;UQCRC1;NHP2;SRPRB;LUC7L3;UQCRC2;KPNB1;GSTM5;MAD2L1;MCM2
GeneSigDB	18160665-TableS5	126/4109	2.8647578447446887e-15	2.1884703678246028e-13	0	0	1.9346621596203764	64.78466310158214	RPL5;KDM1A;UBE2D1;NUCKS1;RPL9;BZW1;EEF1B2;FBL;RPS16;CCND2;PSMD3;RCC1;FAM53B;DENR;GOLGA7;RAB2A;DDX18;RPL21;LIG1;RPS5;RPL22;RPS6;ILF2;TUFM;MSH2;PSME3;NCL;UQCRC1;NHP2;CCDC86;TFAM;RPL27;UQCRC2;KPNB1;SF1;SET;RAB5C;UQCRB;PSMD14;NOP2;AK2;ATP5J;ADH5;ATP5B;BTF3;CBX5;CBX3;EIF2S2;LSM2;DRAP1;UCK2;LSM6;NASP;UBA2;UBA1;RPS21;GSTM5;YWHAE;MCM7;RPLP0;HP1BP3;CLTA;HMGB1;COX7C;PTBP1;HINT1;C1QBP;BCAS2;CCT3;HELLS;HSP90AA1;RFC3;SSR4;PARP1;GPX4;GLRX3;HSBP1;BUD31;ACTL6A;NDUFC2;BAZ1B;SMC1A;RAD23B;DDOST;DAD1;CANX;RPL37A;LUC7L3;MCM5;SLC25A5;THOP1;MCM2;SF3B4;PCNA;RPL10;HDAC1;RPL11;TMEM165;PSMB7;PSMB4;RPS15A;RBBP4;MAT2A;PES1;USP1;EIF4H;RPL13;RPS2;RPS27A;NOP56;DUT;NPM1;RRM1;TAF15;RRM2;GCA;RPA1;RPA2;NPM3;EIF3M;RAD51;RPA3;POLE3;TCEA1;RPL22L1;MAD2L1
GeneSigDB	15260889-SuppTable2	38/517	3.328454965579967e-15	2.4550224728881204e-13	0	0	4.6372849916711925	154.58977607645969	SET;AHCY;PCNA;MCM7;NDUFB5;SSNA1;CDCA7;HMGB1;MRPL12;TYMS;LMNB2;ATP5B;PCBP1;POLD1;RUVBL1;USP1;LYAR;DUT;RFC3;RRM1;RRM2;RPS5;ACTL6A;RAD23B;LSM2;PSMA4;RAD51;PSMC4;RPA3;HAT1;POLE3;UQCRC1;ANP32E;MCM3;TFAM;MCM5;SF1;MAD2L1
GeneSigDB	17150101-TableS1h	29/298	6.067442692473664e-15	4.3260866397337214e-13	0	0	6.139775157199416	200.9906921556349	SLBP;CDCA7;HMGB1;POLD1;USP1;IVNS1ABP;RFC5;HELLS;RANBP1;GINS2;RFC3;DUT;RRM1;CBX5;RRM2;PARP1;RPA1;LSM5;LSM3;NUDT21;RAD51;MSH2;NASP;RPA3;ANP32E;MCM3;MCM6;ASF1B;MCM2
