Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gene_Perturbations_from_GEO_down	Trim28 knockout mouse GSE32224 sample 2034	87/318	2.450170430911476e-84	6.027419260042233e-81	0	0	17.260877328730434	3323.0811954919554	RPL5;RPL32;MCM7;RPL34;OLA1;ATP5G3;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;CCND2;SNRPD2;RPS19;C1QBP;UQCRFS1;RPS11;RPS13;HSP90AA1;LIG1;GLRX3;RPS8;RPS5;RPL22;NDUFC2;UCHL5;PSMA5;EEF1G;PSMA6;PSMA1;NCL;RPL37A;NHP2;MCM3;RPL27;SNRPE;MCM5;RPL26;SNRPF;MCM6;SLC25A5;RPL28;PPID;MCM2;SLBP;NDUFB8;PCNA;RPL10;NDUFB10;UQCRB;NDUFB6;RPL12;POMP;ATP5J;UQCR10;MRPL12;MRPL20;RPS15A;PSMB3;PCBP1;POLD1;USP1;RPS3;RPL18;RPL19;POLR2L;MCTS1;BTF3;RANBP1;DUT;NPM1;NOP58;NDUFA5;ALYREF;HSPE1;HNRNPAB;UCK2;EIF3M;EIF3K;UQCRQ;EIF3I;RPL22L1;RPS21;TOMM5;NOP10
Gene_Perturbations_from_GEO_down	Gimap4 OE mouse GSE46600 sample 251	96/434	8.52438791614448e-84	1.0484997136857713e-80	0	0	13.955719664481242	2669.3693457677336	YWHAE;EIF4A1;HSP90AB1;MCM7;COX4I1;BCCIP;CLTA;HMGB3;HNRNPR;HMGB1;PRPF19;FBL;HINT1;SNRPD2;C1QBP;BSG;UQCRFS1;CCT3;NUDC;HSP90AA1;LIG1;GPX4;ACTL6A;NDUFC2;PSMA5;EEF1G;PSMA6;PSMA3;NCL;UQCRC1;NHP2;MCM3;RPL27;SNRPE;MCM5;UQCRC2;SNRPF;MCM6;SRSF6;SLC25A5;PPID;SNRPB;MCM2;SLBP;SET;AHCY;PCNA;UQCRB;PSMD14;NDUFB6;NDUFB5;SSNA1;ATP5A1;RPN1;SRSF1;ATP5J;ATP5H;MRPL12;OAZ1;PSMB6;PSMB7;ATP5B;PSMB4;PSMB3;PCBP1;RRS1;EIF4H;CCT8;RBBP7;CCT7;LYAR;CCT4;POLR2L;BTF3;NOP56;RANBP1;DUT;NPM1;RRM2;NDUFA5;RPA1;RPA2;HSPE1;EIF2S2;LSM5;HNRNPAB;MYBBP1A;EIF3K;PSMC4;EIF3I;ANP32E;UBA2;TOMM5;GSTM5;TOMM6;MAD2L1
Gene_Perturbations_from_GEO_down	Gata3 OE mouse GSE12999 sample 2531	103/594	7.790463529307099e-79	6.388180094031821e-76	0	0	10.940105577329552	1967.5924507414402	RPL5;EIF4A1;RPL32;RPL34;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;SNRPD2;RPS19;ARHGDIA;BSG;RPL38;RPS11;GOLGA7;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;HNRNPUL1;NCL;NHP2;RPL27;SNRPE;RPL26;UQCRC2;RPL28;PPID;SNRPB;VCP;SET;UQCRB;PSMD14;NDUFB11;ATP5J;ATP5H;OAZ1;ATP5B;PCBP1;BTF3;NONO;EIF2S2;ARPC3;UBA2;RPS21;YWHAE;HSP90AB1;COX4I1;RPLP0;ATP5G3;HINT1;C1QBP;RPLP2;SKP1A;HSP90AA1;GPX4;GLRX3;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;RPL37A;SLC25A5;AHCY;PCNA;RPL10;NDUFB6;HDAC1;RPL12;RPL11;ATP5A1;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;RANBP1;NPM1;RPL23A;HSPE1;HNRNPAB;EIF3K;EIF3I;RPL22L1;EIF3F;TOMM6
Gene_Perturbations_from_GEO_down	HHLA1 KD human GSE42430 sample 1667	80/287	5.378653573285985e-78	3.3078719475708807e-75	0	0	17.586475999956033	3128.9717262378695	RPL5;RPL30;HSP90AB1;MCM7;RPL31;RPLP0;HMGB3;NUCKS1;RPL9;COX7C;RPL6;RPS15;EEF1B2;TRMT112;FBL;PTBP1;RPS17;SNRPD2;C1QBP;NUP62;UQCRFS1;HSP90AA1;RPL21;PARP1;HSBP1;RPS8;RPL23;RPS5;RPS6;ILF2;PSMA5;EEF1G;PSMA6;EBNA1BP2;PSMA4;DKC1;NCL;NHP2;MCM3;RPL27;MCM5;RPL26;SNRPF;MCM6;SRSF6;SLC25A5;SNRPB;KHDRBS1;SET;RPL12;ATP5A1;SRSF1;CDCA7;ATP5J;ATP5H;PSMB6;ATP5B;MAT2A;PCBP1;RPS3;CCT8;RPS2;RPL18;RPS27A;RPL19;BTF3;SF3A3;GINS2;RRM1;RCC2;NPM3;HSPE1;HNRNPAB;LSM3;EIF3M;NASP;UQCRQ;ARPC3;RPA3;TOMM6
Gene_Perturbations_from_GEO_down	MYC KD human GSE22139 sample 712	80/317	3.8198525006072225e-74	1.8793674302987535e-71	0	0	15.922140731821392	2691.655167384973	EIF4A1;RBM28;HSP90AB1;RPL32;MCM7;RPL34;CDCA7L;RPLP0;YBX1;ATP5G3;COX7C;RPS15;EEF1B2;TRMT112;FBL;RPS17;RPS16;CCND2;SNRPD2;RPS19;C1QBP;RUVBL1;RPS13;CCT3;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;EBNA1BP2;KARS;DKC1;NCL;NHP2;CCDC86;RPL27;SNRPF;SNRPB;SF3B5;AHCY;RPL12;RPL11;SRSF1;MAK16;ATP5B;MAT2A;RRS1;RPS3;EIF4H;RPL13;RPS2;RPL18;CCT7;LYAR;RPL19;NOP56;RANBP1;NPM1;DUT;NOP58;SSB;NOP16;RCC2;RPL23A;HSPE1;HNRNPAB;BYSL;UCK2;EIF3I;NDUFAB1;POLE3;RPL22L1;RPS21;RSL24D1;TOMM5;NOP10;TOMM6
Gene_Perturbations_from_GEO_down	Cd53 OE mouse GSE46600 sample 250	85/431	3.528344896224747e-69	1.4466214074521458e-66	0	0	12.44263578941205	1961.177675642349	YWHAE;EIF4A1;HSP90AB1;MCM7;COX4I1;CLTA;HMGB3;YBX1;PRPF19;FBL;RPS17;HINT1;SNRPD2;C1QBP;ARHGDIA;BSG;CCT3;NUDC;HSP90AA1;LIG1;GPX4;PSMA5;PSMA6;KARS;NCL;UQCRC1;NHP2;MCM3;MCM5;MCM6;SRSF6;SLC25A5;RPL28;PPID;SNRPB;MCM2;SF3B4;SLBP;VCP;SET;RAB5C;AHCY;PCNA;NDUFB10;PSMD14;NDUFB5;HDAC1;SSNA1;ATP5A1;ATP5J;ATP5H;MRPL12;OAZ1;PSMB7;ATP5B;PCBP1;RRS1;USP1;EIF4H;CCT8;RBBP7;CCT7;LYAR;POLR2L;NOP56;RANBP1;DUT;NPM1;RRM1;RRM2;NDUFA5;NONO;RPA1;HSPE1;HNRNPAB;PSMC5;MYBBP1A;PSMC4;EIF3I;ANP32E;UBA2;TOMM5;GSTM5;TOMM6;MAD2L1
Gene_Perturbations_from_GEO_down	Aire KO mouse GSE2515 sample 60	73/278	7.994100041291567e-69	2.8093551573681794e-66	0	0	16.567187890066496	2597.729554922193	YWHAE;HSP90AB1;MCM7;RPL34;COX4I1;RPLP0;YBX1;ATP5G3;RPL9;COX7C;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;SNRPD2;RCC1;RPLP2;RPS11;RPS13;HSP90AA1;RPL21;RPL23;RPS5;BUD31;RPL22;EEF1G;RPL37A;RPL27;SNRPE;UQCRC2;RPL26;MCM6;RPL28;SNRPB;MCM2;VCP;SET;PCNA;RPL10;NDUFB10;UQCRB;HDAC1;RPL11;ATP5A1;CDCA7;ATP5H;PSMB6;RPS15A;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;RRM2;CBX3;NDUFA3;RPL23A;HSPE1;HNRNPAB;EIF3K;EIF3I;ANP32E;RPL22L1;EIF3F;RPS21;TOMM6
Gene_Perturbations_from_GEO_down	FOXM1 KD human GSE55204 sample 1369	80/378	1.619503949499913e-67	4.979974644712231e-65	0	0	13.352694740707356	2053.5253628729547	RPL5;EIF4A1;HSP90AB1;RPLP0;OLA1;HMGB3;NUCKS1;HMGB1;YBX1;ATP5G3;RPL9;COX7C;RPL6;RPS15;EEF1B2;FBL;RPS17;RPS16;SNRPD2;C1QBP;TMED2;UQCRFS1;DENR;RPS13;BCAS2;CCT3;HSP90AA1;RPL21;RPS5;RPL22;RPS6;ILF2;TUFM;EEF1G;PSMA4;KARS;NCL;CANX;HAT1;NHP2;RPL27;SUCLG1;SNRPE;MCM6;PFDN4;SLC25A5;KPNB1;SNRPB;SRSF9;SET;AHCY;PCNA;RPL10;UQCRB;ATP5A1;UQCR10;TYMS;OAZ1;ATP5B;PSMB4;RPS3;EIF4H;RPL13;CCT8;RBBP7;RPL19;CCT4;POLR2L;SMARCE1;DUT;NPM1;RRM2;NONO;IDH2;RPA1;HNRNPAB;NDUFAB1;EIF3F;RPS21;TOMM6
Gene_Perturbations_from_GEO_down	SOX4 RNAi Knock down human GSE4225 sample 64	76/349	5.173064007265394e-65	1.4139708286525407e-62	0	0	13.739119430911211	2033.7271893386728	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;MCM7;COX4I1;RPLP0;HMGB1;YBX1;ATP5G3;COX7C;RPL6;FBL;PTBP1;HINT1;SNRPD2;C1QBP;BSG;RPLP2;RPS13;CCT3;HSP90AA1;SSR4;GPX4;RPS8;RPL23;RPS5;RPS6;NDUFC2;TUFM;PSMA5;PSMA3;CANX;UQCRC1;NHP2;SNRPF;SLC25A5;SNRPB;SRSF9;SF3B5;SET;AHCY;RPL10;UQCRB;NDUFB11;RPL11;ATP5A1;ATP5J;UQCR10;ATP5H;HSD17B10;PSMB6;PSMB7;ATP5B;PSMB4;PSMB3;RBBP7;RPL18;CCT7;CCT4;POLR2L;BTF3;NPM1;RRM1;CBX3;NONO;NDUFA3;HSPE1;HNRNPAB;UQCRQ;RPA3;EIF3I;EIF3F;RPS21;TOMM6
Gene_Perturbations_from_GEO_down	Neurog3 OE mouse GSE3653 sample 1658	71/298	1.3854874587462467e-63	3.408299148515767e-61	0	0	15.031863315902017	2175.663927039255	YWHAE;EIF4A1;RPL32;MCM7;COX4I1;RPLP0;HMGB1;ATP5G3;PSMD8;RPS15;FBL;HINT1;SNRPD2;RPS19;BSG;RPLP2;RPL38;SKP1A;RFC5;NUDC;HSP90AA1;GPX4;RPS5;SARS;NDUFC1;PSMA4;KARS;MSH2;NCL;CANX;HAT1;RPL37A;NHP2;SNRPE;SNRPF;FKBP4;SLC25A5;PPID;VCP;SET;AHCY;PCNA;RPL10;RPL12;RPL11;ATP5A1;SRSF1;ATP5H;MRPL12;PSMB6;ATP5B;PSMB7;PSMB3;RPL13;CCT8;RPS2;CCT7;RPL19;BTF3;RANBP1;RRM2;RCC2;NDUFA3;RPA1;TBCB;LSM5;PSMC5;NASP;EIF3K;RPL22L1;NOP10
Gene_Perturbations_from_GEO_down	CTNNB1 OE mouse GSE20325 sample 379	75/355	4.5005807168283027e-63	1.0064935057634203e-60	0	0	13.329186475318789	1913.5200749365601	YWHAE;HSP90AB1;MCM7;HMGB1;ATP5G3;BZW1;FBL;PTBP1;CCND2;RPS19;C1QBP;ARHGDIA;PSMD3;RPLP2;RPS13;CCT3;NUDC;HSP90AA1;LIG1;RPS8;KARS;DKC1;NCL;CANX;NHP2;MCM5;SNRPF;MCM6;SLC25A5;RPL28;PPID;KPNB1;SRSF9;MCM2;VCP;SET;PCNA;PSMD14;RPN1;SRSF1;ATP5J;MRPL12;RBBP4;PCBP1;G3BP1;RRS1;USP1;CCT8;CCT7;LYAR;RPL19;POLR2L;IVNS1ABP;NOP56;RANBP1;NPM1;RRM2;RCC2;ALYREF;RPA1;TBCB;RPL23A;HSPE1;EIF2S2;LSM5;SMARCA4;LSM2;MYBBP1A;PSMC4;TARDBP;RPS21;LSM14A;NOP10;TOMM6;MAD2L1
Gene_Perturbations_from_GEO_down	AMER1 OE human GSE34715 sample 352	68/271	1.6968439839435015e-62	3.4785301670841794e-60	0	0	15.831073137229795	2251.677369471586	RPL32;RPL31;RPL34;COX4I1;YBX1;RPL9;PSMD8;RPS15;TRMT112;FBL;RPS17;SNRPD2;RPS19;C1QBP;BSG;RPLP2;RPS11;RPL21;SSR4;GPX4;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA6;KARS;DAD1;UQCRC1;NHP2;RPL26;SNRPF;RPL28;NDUFB10;NDUFB11;RPL12;RPL11;ATP5H;UQCR10;OAZ1;HSD17B10;ATP5B;RPS15A;PSMB3;RPL13;RPS2;RPL18;CCT7;RPL19;CCT4;POLR2L;BTF3;RANBP1;NPM1;NAA10;NDUFA3;RPL23A;NPM3;LSM3;EIF3K;UQCRQ;RPA3;EIF3I;NDUFAB1;RPS21;TOMM5;NOP10;TOMM6
Gene_Perturbations_from_GEO_down	DOT1L INHIBITION - EPZ004777 human GSE29828 sample 1239	75/362	2.1313927238515007e-62	4.033250846672839e-60	0	0	13.071439775519808	1856.190199974994	RPL30;HSP90AB1;MCM7;RPLP0;HMGB1;YBX1;ATP5G3;PSMD8;EEF1B2;FBL;SNRPD2;C1QBP;UQCRFS1;CCT3;HSP90AA1;RPS8;NDUFC1;ILF2;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;NCL;HAT1;NHP2;MCM3;SNRPE;MCM6;SLC25A5;SNRPB;SRSF9;MCM2;SLBP;AHCY;PCNA;UQCRB;PSMD14;RPL11;POMP;AK2;ATP5J;TYMS;OAZ1;PSMB6;ATP5B;PSMB4;RPS15A;PSMB3;PCBP1;EIF4H;CCT8;CCT7;RPL19;CCT4;BTF3;NPM1;SSB;HSPA4;HSPE1;EIF2S2;LSM6;UQCRQ;ARPC3;OSTC;EIF3I;NDUFAB1;POLE3;UBA2;RPL22L1;RSL24D1;TOMM5;NOP10;TOMM6;MAD2L1
Gene_Perturbations_from_GEO_down	MYC Silencing human GSE22139 sample 1007	65/249	6.602672156183113e-61	1.1601838217293185e-58	0	0	16.469664145541156	2282.204921939015	RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;COX7C;RPL6;RPS15;EEF1B2;TRMT112;FBL;RPS17;RPS16;SNRPD2;RPS19;RUVBL1;RPLP2;RPL38;RPS13;NUDC;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;PSMA6;KARS;PSMA1;RPL37A;RPL27;RPL26;SNRPF;SLC25A5;RPL28;NDUFB5;RPL12;RPL11;POMP;ATP5J;ATP5H;PSMB7;RPS15A;PSMB3;RPS3;RPL13;CCT8;RPS2;RPL18;CCT7;RPL19;BTF3;NPM1;NOP58;RRM2;RPL23A;PSMC5;EIF3K;UQCRQ;EIF3I;RPL22L1;RPS21;TOMM5
Gene_Perturbations_from_GEO_down	COMMD3-BMI1 KD human GSE7578 sample 129	65/249	6.602672156183113e-61	1.0828382336140306e-58	0	0	16.469664145541156	2282.204921939015	YWHAE;RPL30;HSP90AB1;RPL31;RPL34;RPLP0;ATP5G3;COX7C;BZW1;RPL6;RPL7;EEF1B2;TRMT112;HINT1;RPS16;SNRPD2;RPS19;C1QBP;RPLP2;UQCRFS1;RPS11;RPS13;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA4;KARS;RPL27;RPL26;SLC25A5;RPL28;PCNA;UQCRB;NDUFB5;RPL12;RPL11;ATP5A1;ATP5J;ATP5H;UQCR10;OAZ1;PSMB6;ATP5B;PSMB4;PSMB3;PCBP1;RPS3;RPL13;RPS2;RPL18;RPL19;CCT4;NONO;RPL23A;HSPE1;PSMC5;EIF3K;UQCRQ;NDUFAB1;RPS21;RSL24D1
Gene_Perturbations_from_GEO_down	CTNNB1 Inactivation mouse GSE8818 sample 655	72/357	6.289999978422221e-59	9.670874966824167e-57	0	0	12.724332635262305	1705.2331076875134	YWHAE;EIF4A1;HSP90AB1;RPL32;MCM7;RPLP0;BCCIP;HMGB3;HNRNPR;NUCKS1;RPL6;RPL7;GCSH;EEF1B2;FBL;CCND2;SNRPD2;RPS19;RPLP2;RPL38;RPS13;HSP90AA1;RPL21;LIG1;RPS8;RPS5;RPL22;EEF1G;HNRNPUL1;RPL37A;UQCRC1;RPL27;SNRPE;MCM5;RPL26;MCM6;SLC25A5;VCP;AHCY;PCNA;NDUFB6;NDUFB5;RPL12;RPL11;SRSF1;HSD17B10;ADH5;ATP5B;RPS15A;MAT2A;RRS1;RPL13;RBBP7;RPL18;RPS27A;CCT4;BTF3;IVNS1ABP;NPM1;RRM2;CBX3;NONO;RPA1;HSPE1;LSM5;LSM3;EIF3I;ANP32E;UBA2;RPL22L1;EIF3F;RPS21
Gene_Perturbations_from_GEO_down	Neurog3 OE mouse GSE3653 sample 1664	69/327	7.850120376599856e-58	1.1359585956726848e-55	0	0	13.312881660058462	1750.502908650318	MCM7;RPLP0;BCCIP;YBX1;RPL6;RPL7;GCSH;EEF1B2;FBL;HINT1;SNRPD2;C1QBP;RPS13;HSP90AA1;RPL21;LIG1;RPL22;ATPIF1;RPS6;KIF22;EEF1G;PSMA3;KARS;DKC1;NCL;HAT1;NHP2;RPL27;SNRPE;MCM5;RPL26;UQCRC2;MCM6;SLC25A5;PPID;SRSF9;SET;AHCY;PCNA;RPL10;MRPL12;ADH5;PSMB7;RPS15A;PCBP1;POLD1;RPS2;RBBP7;RPL18;RPS27A;CCT7;LYAR;RPL19;CCT4;IVNS1ABP;NOP56;RANBP1;NPM1;RRM1;RRM2;RPA1;HSPE1;EIF2S2;LSM3;EIF3I;UBA2;RPL22L1;NOP10;MAD2L1
Gene_Perturbations_from_GEO_down	GSK3A KD human GSE35200 sample 211	66/300	1.582110987407119e-56	2.1622183494563958e-54	0	0	13.8801261829653	1783.4019647045102	RPL30;HSP90AB1;RPL32;MCM7;PITPNB;HNRNPR;NUCKS1;HMGB1;YBX1;ATP5G3;RPL7;RPS15;FBL;PTBP1;RPS17;RPS16;CCND2;C1QBP;RPS13;BCAS2;DDX18;EIF5B;HSP90AA1;NDUFC1;SMC1A;ILF2;TUFM;PSMA6;EBNA1BP2;KARS;MSH2;DKC1;NCL;HAT1;UQCRC1;NHP2;RPL27;SNRPE;SNRPF;MCM6;SNRPB;PCNA;PSMD14;RPL11;SRSF1;AK2;PSMB6;ATP5B;RRS1;CCT8;RPS27A;RPL19;CCT4;NOP56;NPM1;SSB;NOP16;RPA1;NPM3;EIF2S2;HSPE1;HNRNPAB;EIF3K;NDUFAB1;UBA2;RSL24D1
Gene_Perturbations_from_GEO_down	FOXP1 KD human GSE51382 sample 2764	67/317	3.6717584006835045e-56	4.753960876674431e-54	0	0	13.334792862900414	1702.1075607579496	EIF4A1;HSP90AB1;MCM7;YBX1;ATP5G3;COX7C;RPL6;PTBP1;C1QBP;PSMD3;RCC1;UQCRFS1;RPS13;CCT3;DDX18;HSP90AA1;SSR4;PARP1;RPS8;NDUFC1;TUFM;PSMA6;EBNA1BP2;PSMA1;NCL;UQCRC1;NHP2;MCM3;SNRPE;MCM5;SNRPF;KPNB1;SNRPB;SRSF9;MCM2;SF3B5;AHCY;PCNA;NDUFB10;MRPS36;NDUFB5;ATP5J;ATP5H;UQCR10;OAZ1;PSMB6;PCBP1;EIF4H;RPS2;POLR2L;DUT;SSB;CBX3;ALYREF;NDUFA3;NPM3;LSM5;HSPE1;LSM6;UQCRQ;ARPC3;OSTC;NDUFAB1;POLE3;RPL22L1;RPS21;TOMM6
Gene_Perturbations_from_GEO_down	BRAF Drug human GSE50791 sample 2541	65/301	4.3253363531613924e-55	5.320163714388513e-53	0	0	13.62440655229152	1705.471742667807	EIF4A1;HSP90AB1;YBX1;RPL6;PSMD8;RPS15;FBL;PTBP1;RPS19;C1QBP;RPS11;CCT3;DDX18;NUDC;HSP90AA1;RPL21;RPS8;PSMA5;EBNA1BP2;DKC1;NCL;NHP2;MCM3;CCDC86;TFAM;RPL27;SNRPF;SRSF6;FKBP4;SLC25A5;KPNB1;SNRPB;SET;AHCY;RPN1;POMP;SRSF1;AK2;PSMB6;PSMB7;MAT2A;PSMB3;RRS1;BRIX1;CCT8;RPS27A;CCT7;LYAR;RPL19;SF3A3;NOP56;RANBP1;NOP16;RCC2;NPM3;HSPE1;HNRNPAB;POLE4;EIF3I;POLE3;SRPRB;RSL24D1;TOMM5;NOP10;TOMM6
Gene_Perturbations_from_GEO_down	NFKB1 Inactivation  (IKK Inhibition) human GSE20667 sample 2576	70/376	1.072131699152854e-54	1.2559257047219148e-52	0	0	11.745754748640847	1459.6443096688013	YWHAE;HSP90AB1;PITPNB;HMGB1;YBX1;ATP5G3;BZW1;PSMD8;TRMT112;HINT1;SNRPD2;C1QBP;BCAS2;CCT3;HSP90AA1;SSR4;GPX4;HSBP1;NDUFC2;PSMA5;PSMA6;PSMA3;PSMA4;KARS;PSMA1;DAD1;NHP2;SNRPE;SNRPF;SNRPB;SRSF9;NDUFB8;SET;PSMD11;PSMD14;POMP;RPN1;SRSF1;ATP5J;UQCR10;ATP5H;TYMS;OAZ1;HSD17B10;PSMB6;PSMB7;PSMB3;CCT7;NOP58;RRM2;ALYREF;NDUFA3;TBCB;HSPE1;EIF2S2;LSM5;HNRNPAB;PSMC5;LSM6;UQCRQ;ARPC3;RPA3;OSTC;NDUFAB1;ANP32E;RSL24D1;TOMM5;NOP10;TOMM6;MAD2L1
Gene_Perturbations_from_GEO_down	PIR KD human GSE17551 sample 2756	68/359	1.2815208147150974e-53	1.4329732746359722e-51	0	0	11.950475822254246	1455.436050812052	RPL5;HSP90AB1;MCM7;PITPNB;COX4I1;RPLP0;NUCKS1;HMGB1;ATP5G3;RPL6;RPL7;EEF1B2;FBL;C1QBP;RUVBL1;UQCRFS1;HSP90AA1;RFC3;PARP1;RPS8;RPL22;ILF2;KARS;NCL;HAT1;MCM3;RPL27;MCM5;RPL26;MCM6;SLC25A5;SNRPB;SLBP;PCNA;NDUFB5;RPL11;ATP5A1;ATP5J;ATP5H;TYMS;PSMB7;ATP5B;PSMB4;USP1;RPS3;EIF4H;SNRPB2;RPS2;RBBP7;RPL18;CCT7;CCT4;BTF3;DUT;NPM1;RRM1;RRM2;CBX3;RCC2;HSPE1;LSM5;PSMC5;RPA3;ANP32E;UBA2;RPL22L1;TOMM5;MAD2L1
Gene_Perturbations_from_GEO_down	UPF1 KD human GSE1703 sample 1039	56/208	3.4876087970773786e-53	3.7302250612218916e-51	0	0	16.986168405726765	2051.721803203355	RPL5;RPL30;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;FBL;RPS17;RPL38;RPS11;HSP90AA1;RPS8;RPL23;RPS6;NDUFC1;EEF1G;PSMA6;PSMA3;PSMA4;NCL;RPL27;MCM6;RPL28;VCP;SET;PCNA;UQCRB;RPL12;RPL11;PSMB6;RPS15A;PCBP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;RPL19;BTF3;NPM1;DUT;UBE2I;SSB;CBX3;RPL23A;HSPE1;PSMC5;EIF3M;UBA1;RPS21
Gene_Perturbations_from_GEO_down	OGT small molecule inhibition human GSE44624 sample 1838	65/325	8.46366096144598e-53	8.67525248548213e-51	0	0	12.618296529968454	1512.9492506108606	EIF4A1;HSP90AB1;MCM7;RPL31;LMNB2;FBL;PTBP1;SNRPD2;NUP62;RPLP2;UQCRFS1;RPS11;NUDC;HSP90AA1;PARP1;RPS6;KIF22;PSMA5;EBNA1BP2;PSMA4;DKC1;NCL;MCM3;CCDC86;RPL27;SNRPF;MCM6;SLC25A5;KPNB1;SNRPB;SRSF9;MCM2;SF3B4;SLBP;PCNA;ATP5A1;SRSF1;ATP5J;ATP5H;TYMS;OAZ1;PSMB6;ATP5B;RPS15A;PCBP1;SURF6;BRIX1;CCT8;RPS27A;ABCF1;NOP56;RANBP1;GINS2;NOP58;RRM1;LSM1;RPA2;HNRNPAB;LSM2;UQCRQ;EIF3I;POLE3;TOMM5;NOP10;TOMM6
Gene_Perturbations_from_GEO_down	TP63 DEPLETION human GSE5993 sample 90	69/385	1.0323966175952135e-52	1.0158782717136898e-50	0	0	11.307304682699005	1353.513112817902	YWHAE;RPL5;RPL30;HSP90AB1;PITPNB;COX4I1;RPLP0;HMGB1;YBX1;ATP5G3;RPL6;PSMD8;EEF1B2;TRMT112;FBL;HINT1;RPS16;CCND2;SNRPD2;PSMD3;UQCRFS1;CCT3;RPL21;GPX4;RPL22;RPS6;ILF2;EEF1G;EBNA1BP2;PSMA1;DAD1;NCL;UQCRC1;NHP2;RPL27;SNRPE;SNRPF;SF3B5;VCP;SET;AHCY;NDUFB10;PSMD14;NDUFB5;HDAC1;ATP5J;UQCR10;ATP5H;OAZ1;HSD17B10;PSMB6;PSMB7;ATP5B;PSMB3;EIF4H;RBBP7;CCT7;CCT4;NPM1;RRM1;RRM2;HSPE1;NUDT21;PSMC5;UQCRQ;NDUFAB1;RPL22L1;TOMM5;TOMM6
Gene_Perturbations_from_GEO_down	ARHGDIB KD human GSE8087 sample 661	69/397	9.102719297330885e-52	8.612572873628453e-50	0	0	10.96552217339828	1288.732332138	EIF4A1;HSP90AB1;RPL34;COX4I1;RPLP0;OLA1;YBX1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;TRMT112;FBL;HINT1;SNRPD2;RPS19;C1QBP;RPLP2;GOLGA7;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPS6;SARS;DDOST;TUFM;PSMA5;PSMA6;PSMA3;PSMA4;KARS;HNRNPUL1;DAD1;NCL;CANX;UQCRC1;SNRPF;SLC25A5;RPL28;SNRPB;UQCRB;NDUFB6;NDUFB5;RPL12;POMP;ATP5A1;OAZ1;PSMB6;PSMB7;ATP5B;RPS15A;RPS3;CCT8;RPL18;RPS27A;CCT7;RPL19;MCTS1;DUT;NPM1;HNRNPAB;DRAP1;EIF3K;UQCRQ;NDUFAB1;RPS21
