Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gene_Perturbations_from_GEO_up	Cdx2 KO mouse GSE12999 sample 773	103/594	7.790463529307099e-79	1.916454028209546e-75	0	0	10.940105577329552	1967.5924507414402	RPL5;EIF4A1;RPL32;RPL34;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;SNRPD2;ARHGDIA;BSG;RPL38;RPS11;GOLGA7;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;HNRNPUL1;NCL;NHP2;RPL27;SNRPE;RPL26;UQCRC2;RPL28;PPID;SNRPB;VCP;SET;UQCRB;PSMD14;NDUFB11;ATP5J;ATP5H;OAZ1;ATP5B;PCBP1;BTF3;NONO;EIF2S2;ARPC3;UBA2;RPS21;YWHAE;HSP90AB1;COX4I1;RPLP0;HMGB1;ATP5G3;HINT1;C1QBP;RPLP2;SKP1A;HSP90AA1;GPX4;GLRX3;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;RPL37A;SLC25A5;AHCY;PCNA;RPL10;NDUFB6;HDAC1;RPL12;RPL11;ATP5A1;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;RANBP1;NPM1;RPL23A;HSPE1;HNRNPAB;EIF3K;EIF3I;RPL22L1;EIF3F;TOMM6
Gene_Perturbations_from_GEO_up	RELA KD human GSE1676 sample 1787	91/434	6.555870654357756e-77	8.06372090486004e-74	0	0	13.22885926528951	2320.5891787724704	EIF4A1;HSP90AB1;RPL32;COX4I1;CLTA;HMGB1;YBX1;ATP5G3;PSMD8;RPS15;PTBP1;PSMD7;C1QBP;BSG;PSMD3;RUVBL1;TMED2;UQCRFS1;CCT3;NUDC;HSP90AA1;SSR4;PARP1;GPX4;HSBP1;DYNLT3;RPS6;NDUFC2;ILF2;DDOST;TUFM;PSMA3;PSMA4;KARS;DKC1;DAD1;UQCRC1;SUCLG1;SNRPE;UQCRC2;SNRPF;FKBP4;SLC25A5;SF1;SNRPB;SRSF9;MCM2;VCP;NDUFB8;AHCY;PCNA;PSMD11;PSMD14;NDUFB6;NDUFB11;ATP5A1;SRSF1;AK2;UQCR10;OAZ1;HSD17B10;PSMB7;ATP5B;PSMB3;PCBP1;EIF4H;RPL13;CCT8;CCT7;CCT4;MBD3;NOP56;RANBP1;GINS2;UBE2I;CBX3;TBCB;HSPE1;EIF2S2;HNRNPAB;LSM3;PSMC5;EIF3K;PSMC4;UQCRQ;RPA3;EIF3I;NDUFAB1;POLE3;SRPRB;UBA1
Gene_Perturbations_from_GEO_up	TP53 KD human GSE1676 sample 1784	85/394	1.0718516283921132e-72	8.789183352815329e-70	0	0	13.61110666303704	2255.588211044605	RPL5;EIF4A1;HSP90AB1;RPL32;RPL34;COX4I1;RPLP0;CLTA;HMGB1;YBX1;ATP5G3;PRPF19;RPL9;PSMD8;RPS15;PSMD7;RPS16;CCND2;SNRPD2;C1QBP;RUVBL1;UQCRFS1;RPS11;CCT3;HSP90AA1;RPL21;PARP1;GPX4;HSBP1;RPS8;RPL23;RPS6;ILF2;RAD23B;DDOST;TUFM;PSMA3;KARS;DAD1;NCL;UQCRC1;MCM3;SUCLG1;SNRPE;SNRPF;MCM6;SF1;SNRPB;SRSF9;MCM2;VCP;SET;AHCY;PSMD14;NDUFB6;NDUFB11;RPL12;ATP5A1;SRSF1;AK2;ATP5J;HSD17B10;PSMB7;ATP5B;RPS15A;RBBP4;PSMB3;PCBP1;G3BP1;EIF4H;RPL13;CCT8;CCT7;CCT4;NOP56;RANBP1;GINS2;HSPE1;EIF2S2;LSM3;EIF3K;UQCRQ;EIF3I;NDUFAB1;UBA2
Gene_Perturbations_from_GEO_up	Mycn OE mouse GSE6077 sample 40	72/252	8.236217818514663e-71	5.065273958386518e-68	0	0	18.026137899954936	2908.968010214281	HSP90AB1;MCM7;RPL34;RPLP0;HMGB1;ATP5G3;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;CCND2;SNRPD2;C1QBP;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;HSP90AA1;RPL21;RPS8;RPS5;RPL22;EEF1G;PSMA4;NCL;RPL37A;NHP2;RPL27;SNRPE;UQCRC2;RPL26;RPL28;SNRPB;NDUFB8;SET;AHCY;PCNA;RPL10;RPL12;RPL11;ATP5A1;MRPL12;ATP5B;RPS15A;RPS3;RPL13;RPS2;RBBP7;RPL18;RPS27A;RPL19;POLR2L;NOP56;RANBP1;NPM1;NOP58;RCC2;ALYREF;IDH2;RPL23A;HSPE1;NUDT21;MYBBP1A;EIF3I;RPL22L1;EIF3F;RPS21;NOP10
Gene_Perturbations_from_GEO_up	Myc knock-in mouse GSE39443 sample 1847	79/347	2.529179347915952e-69	1.2443562391746482e-66	0	0	14.363766943335849	2268.763833535871	EIF4A1;HSP90AB1;RPL32;RPL31;RPL34;YBX1;ATP5G3;PRPF19;RPL9;RPS15;EEF1B2;HINT1;RPS16;CCND2;SNRPD2;RPS19;C1QBP;NUP62;RPLP2;RPL38;RPS11;RPS13;CCT3;NUDC;SSR4;RPS8;RPL23;RPS5;RPS6;TUFM;PSMA5;EEF1G;PSMA4;PSME3;HAT1;NHP2;CCDC86;RPL27;RPL26;SNRPF;FKBP4;SLC25A5;RPL28;PPID;SNRPB;SRSF9;SF3B5;NDUFB8;RPL12;POMP;MAK16;CDCA7;UQCR10;MRPL12;PSMB6;ATP5B;PSMB4;PSMB3;G3BP1;RPS3;EIF4H;CCT8;RPS2;RPL18;RPS27A;CCT4;POLR2L;BTF3;RANBP1;NPM1;NOP58;NAA10;ALYREF;HSPE1;NPM3;HNRNPAB;EIF3I;NDUFAB1;RPS21
Gene_Perturbations_from_GEO_up	Jak2 activemutant mouse GSE44961 sample 1949	74/305	5.3695764279038097e-67	2.201526335440562e-64	0	0	15.307441692092882	2335.800064745942	EIF4A1;HSP90AB1;BCCIP;ATP5G3;PRPF19;RPL9;BZW1;FBL;RPS17;SNRPD2;RPS19;C1QBP;NUP62;CCT3;DDX18;NUDC;RPS8;ATPIF1;TUFM;PSMA5;EEF1G;PSMA3;KARS;HAT1;UQCRC1;CCDC86;SUCLG1;MCM5;UQCRC2;MCM6;FKBP4;SLC25A5;RPL28;PPID;SNRPB;VCP;NDUFB8;DDX27;RPL10;PSMD14;NDUFB6;PSMD13;ATP5A1;POMP;CDCA7;UQCR10;MRPL12;OAZ1;PSMB6;MRPL20;ATP5B;PSMB4;PSMB3;PCBP1;RPS3;BRIX1;CCT8;RPS2;LYAR;CCT4;SF3A3;NOP56;RANBP1;NPM1;NOP58;NAA10;ALYREF;RPA1;NPM3;HSPE1;HNRNPAB;PSMC5;EIF3I;NOP10
Gene_Perturbations_from_GEO_up	Il1rn KO mouse GSE7657 sample 1691	79/391	5.987436887596292e-65	2.104156391926697e-62	0	0	12.747383962500102	1885.062331833347	YWHAE;HSP90AB1;MCM7;COX4I1;HMGB3;HMGB1;ATP5G3;RPL7;EEF1B2;FBL;HINT1;SNRPD2;C1QBP;ARHGDIA;BSG;FAM53B;RPS11;SKP1A;RPS13;RFC5;HSP90AA1;LIG1;RPL22;KIF22;PSMA5;EEF1G;PSMA3;HNRNPUL1;HAT1;UQCRC1;NHP2;SUCLG1;SNRPE;MCM5;SLC25A5;RPL28;PPID;SNRPB;SRSF9;MCM2;SLBP;VCP;SET;AHCY;NDUFB10;PSMD14;RPL11;RPN1;SRSF1;ATP5J;ATP5H;OAZ1;PSMB7;ATP5B;PSMB4;RPS15A;PCBP1;G3BP1;USP1;RBBP7;RPS27A;CCT7;RANBP1;NPM1;RRM1;RRM2;API5;CBX3;NDUFA3;HSPE1;LSM5;HNRNPAB;LSM3;EIF3I;ANP32E;UBA2;RPL22L1;RPS21;GSTM5
Gene_Perturbations_from_GEO_up	PTHLH siRNA human GSE4292 sample 465	87/521	2.281070154392766e-64	7.0142907247577545e-62	0	0	10.535429924253894	1543.8703426429818	YWHAE;RPL5;EIF4A1;HSP90AB1;RPL34;RPLP0;OLA1;HMGB1;YBX1;RPL9;COX7C;BZW1;RPL6;RPL7;EEF1B2;TRMT112;FBL;HINT1;RPS19;C1QBP;BSG;UQCRFS1;CCT3;RPL21;GPX4;RPS8;RPS5;RPS6;SARS;NDUFC2;NDUFC1;PSMA5;EEF1G;PSMA6;KARS;DAD1;NCL;CANX;UQCRC1;NHP2;RPL27;SNRPE;SNRPF;SLC25A5;RPL28;KPNB1;SNRPB;AHCY;UQCRB;PSMD14;HDAC1;RPL12;POMP;ATP5A1;SRSF1;ATP5J;UQCR10;TYMS;PSMB6;ATP5B;RPS15A;PCBP1;USP1;RPL13;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;DUT;NPM1;NONO;TBCB;EIF2S2;HNRNPAB;DRAP1;EIF3M;EIF3K;UQCRQ;ARPC3;EIF3I;NDUFAB1;TCEA1;UBA1;RSL24D1;NOP10
Gene_Perturbations_from_GEO_up	Bhlha15 KO mouse GSE3644 sample 785	82/464	1.5038155141027523e-62	4.1104290718808553e-60	0	0	11.149787882084194	1587.1976173871485	YWHAE;RPL5;EIF4A1;HSP90AB1;RPL34;COX4I1;RPLP0;HP1BP3;HMGB1;ATP5G3;RPL9;RPL6;RPL7;RPS15;GCSH;EEF1B2;RPS17;C1QBP;ARHGDIA;TMED2;RPLP2;RPL38;RPS11;GOLGA7;RAB2A;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPL22;NDUFC2;RAD23B;DDOST;EEF1G;PSMA3;DAD1;NCL;CANX;RPL37A;UQCRC1;RPL27;SUCLG1;RPL26;SRSF6;SLC25A5;RPL28;VCP;AHCY;RPL10;UQCRB;NDUFB11;RPL12;RPL11;ATP5A1;ATP5J;ATP5H;OAZ1;ATP5B;RPS15A;MAT2A;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;RPL19;IVNS1ABP;NPM1;NONO;NDUFA3;RPL23A;HSPE1;EIF3K;RPL22L1;EIF3F;RPS21;NOP10;GSTM5;TOMM6
Gene_Perturbations_from_GEO_up	AMER1 OE human GSE34715 sample 61	68/273	2.938717601077031e-62	7.229245298649495e-60	0	0	15.715094579447891	2226.550783542901	RPL32;RPL31;RPL34;COX4I1;YBX1;RPL9;PSMD8;RPS15;TRMT112;FBL;RPS17;SNRPD2;RPS19;C1QBP;BSG;RPLP2;RPS11;RPL21;SSR4;GPX4;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA6;KARS;DAD1;UQCRC1;NHP2;RPL26;SNRPF;RPL28;NDUFB10;NDUFB11;RPL12;RPL11;ATP5H;UQCR10;OAZ1;HSD17B10;ATP5B;RPS15A;PSMB3;RPL13;RPS2;RPL18;CCT7;RPL19;CCT4;POLR2L;BTF3;RANBP1;NPM1;NAA10;NDUFA3;RPL23A;NPM3;LSM3;EIF3K;UQCRQ;RPA3;EIF3I;NDUFAB1;RPS21;TOMM5;NOP10;TOMM6
