Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Genes_Associated_with_NIH_Grants	R01GM037666	19/49	4.510259488552746e-22	1.4827929094566008e-17	0	0	24.464044292795982	1202.420433653714	PSMD11;PSMD14;PSMD13;ACTL6A;UCHL5;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;RUVBL1;PSMD3
Genes_Associated_with_NIH_Grants	R01AI046246	17/42	2.912752006309196e-20	4.787981747971057e-16	0	0	25.537028691602828	1148.722036686697	PSMD11;PSMD13;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	Z01BC010487	17/42	2.912752006309196e-20	3.1919878319807047e-16	0	0	25.537028691602828	1148.722036686697	PSMD11;PSMD13;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	R01AI047720	17/43	4.749036499168487e-20	3.9032330986665785e-16	0	0	24.943144303426013	1109.814278893301	PSMD11;PSMD13;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	R01CA067358	17/47	2.9195061692438483e-19	1.9196336964012147e-15	0	0	22.82032351164508	973.9189728780832	PSMD11;PSMD13;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	R29AI038715	17/49	6.7273692366631885e-19	3.686149850408983e-15	0	0	21.888881735659567	915.8950031675653	PSMD11;PSMD13;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	ZIABC010487	17/50	1.0048611372112759e-18	4.719402106708273e-15	0	0	21.45110410094637	888.9698414329051	PSMD11;PSMD13;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
Genes_Associated_with_NIH_Grants	R01CA106995	11/21	4.084666238223457e-15	1.6785935905979295e-11	0	0	33.047919483250716	1094.9283464498287	RPS15;RPL5;RPS17;RPS16;RPS19;DKC1;RPL11;RPS6;RUVBL1;RPL26;RPL7
Genes_Associated_with_NIH_Grants	R01GM052948	13/42	5.2646361086992375e-14	1.923113074551068e-10	0	0	19.528316058284517	597.0817643989625	RFC5;PRIM2;RFC3;PCNA;MCM7;RPA1;RAD23B;ORC4;POLD1;MCM3;MCM5;MCM6;MCM2
Genes_Associated_with_NIH_Grants	R21DK075443	9/14	1.052547062164292e-13	3.460353721571327e-10	0	0	40.55881027489861	1211.9943167116814	RPS15;RPL5;RPS17;RPS16;RPS19;RPL11;RPS6;RPL26;RPL7
Genes_Associated_with_NIH_Grants	R01DK046181	13/47	2.7032888934718815e-13	8.079393241980143e-10	0	0	17.45083562655212	505.0121241568554	VCP;HSP90AA1;PSMD11;PSMD14;PSMD13;HSPA4;RPN1;RAD23B;PSMD8;PSMC5;PSMD7;PSMB3;PSMC4
Genes_Associated_with_NIH_Grants	R01GM021769	8/13	4.381063142968069e-12	1.200265265735152e-08	0	0	38.82552778451832	1015.4323589143806	RPL5;RPS15A;RPL10;RPS8;RPS6;RPS3;RPS13;RPL19
Genes_Associated_with_NIH_Grants	ZIAHG200366	12/48	8.541297511111798e-12	2.1600284382716266e-08	0	0	15.772870662460567	401.9890881117243	RPL5;NPM1;PARP1;HNRNPUL1;C1QBP;ALYREF;NCL;RPLP0;SRSF1;LUC7L3;SRSF6;LYAR
Genes_Associated_with_NIH_Grants	R01AI033605	8/14	1.0082331616673427e-11	2.3676195302125398e-08	0	0	36.05227579990987	912.8521520993497	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMA4;PSMA1
Genes_Associated_with_NIH_Grants	R37CA058316	11/41	2.7595136699757398e-11	6.048118094274827e-08	0	0	16.926983149957685	411.55220007368456	RPS15;RPL5;PARP1;RPL12;RPL23;RPL11;RPS6;RPS3;UBE2D1;HMGB1;RPL26
Genes_Associated_with_NIH_Grants	R01CA058316	11/41	2.7595136699757398e-11	5.670110713382652e-08	0	0	16.926983149957685	411.55220007368456	RPS15;RPL5;PARP1;RPL12;RPL23;RPL11;RPS6;RPS3;UBE2D1;HMGB1;RPL26
Genes_Associated_with_NIH_Grants	R01ES008353	10/34	8.131208905152083e-11	1.5724801409751758e-07	0	0	18.5563184264242	431.1138692449135	YWHAE;EEF1G;HSP90AA1;RAD51;RPS19;HSPA4;RPA3;BCCIP;RPA1;RPA2
Genes_Associated_with_NIH_Grants	R01GM080703	9/25	9.214554568576123e-11	1.6829871999806035e-07	0	0	22.71293375394322	524.8425638754795	PSMD8;UCK2;PSMD7;RPA3;RPA1;UBE2D1;RPLP2;RPA2;RPL9
Genes_Associated_with_NIH_Grants	Z01ES021175	8/18	1.390209994056293e-10	2.4055023033997214e-07	0	0	28.040658955485448	636.4219031012371	PSMD8;PSMA6;PSMB4;PSMD11;PSMD7;PSMD14;PSMD13;PSMD3
Genes_Associated_with_NIH_Grants	ZIAES021175	8/18	1.390209994056293e-10	2.2852271882297353e-07	0	0	28.040658955485448	636.4219031012371	PSMD8;PSMA6;PSMB4;PSMD11;PSMD7;PSMD14;PSMD13;PSMD3
Genes_Associated_with_NIH_Grants	R01GM034559	8/21	6.202710268528118e-10	9.71049060895859e-07	0	0	24.03485053327325	509.5596116766621	ORC4;PCNA;LIG1;MCM7;RPA3;RPA1;RPA2;MCM2
Genes_Associated_with_NIH_Grants	R01GM083985	5/6	5.741036561945111e-09	8.579196273204885e-06	0	0	52.576235541535226	997.6669851321687	MCM7;MCM3;MCM5;MCM6;MCM2
Genes_Associated_with_NIH_Grants	P20RR015569	9/40	1.0008302743525496e-08	1.4305780912875837e-05	0	0	14.195583596214512	261.4805320611705	YWHAE;EEF1G;HSP90AA1;RAD51;RPS19;HSPA4;RPA3;RPA1;RPA2
Genes_Associated_with_NIH_Grants	R01GM079176	6/14	4.080671164035706e-08	5.589839382868245e-05	0	0	27.0392068499324	460.05640202098124	RPL5;RPL23;RPS5;RPS6;RPL23A;RPL26
Genes_Associated_with_NIH_Grants	R01AI079110	9/47	4.524748467401715e-08	5.9502252245719504e-05	0	0	12.081347741459158	204.3091063842411	IVNS1ABP;HSP90AB1;PARP1;HNRNPUL1;HNRNPR;YBX1;ILF2;HNRNPAB;KPNB1
Genes_Associated_with_NIH_Grants	R01AI089539	9/47	4.524748467401715e-08	5.721370408242261e-05	0	0	12.081347741459158	204.3091063842411	IVNS1ABP;HSP90AB1;PARP1;HNRNPUL1;HNRNPR;YBX1;ILF2;HNRNPAB;KPNB1
Genes_Associated_with_NIH_Grants	RC1DK086956	7/23	4.637483959330157e-08	5.6467378758125266e-05	0	0	19.201755589082428	324.25061424908904	MBD3;KDM1A;RBBP4;HDAC1;NONO;RBBP7;SMARCA4
Genes_Associated_with_NIH_Grants	R01DK029829	5/8	5.2201190662667405e-08	6.129165515092335e-05	0	0	39.43217665615143	661.2050683236715	PSMA5;PSMB6;PSMA6;PSMB4;PSMA1
Genes_Associated_with_NIH_Grants	F32GM067397	9/48	5.4920199083615366e-08	6.226056776113581e-05	0	0	11.829652996845427	197.76085920045455	YWHAE;SSB;HDAC1;C1QBP;G3BP1;BCCIP;MCM6;LSM2;MCM2
