Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HumanCyc_2015	superpathway of purine nucleotide salvage	6/39	3.175211467838781e-05	0.003969014334798477	0	0	9.70638194612958	100.53434827274752	ATP5B;RRM1;RRM2;ATP5A1;AK2;ATP5H
HumanCyc_2015	purine nucleotides de novo biosynthesis	6/39	3.175211467838781e-05	0.0019845071673992385	0	0	9.70638194612958	100.53434827274752	ATP5B;RRM1;RRM2;ATP5A1;AK2;ATP5H
HumanCyc_2015	pyrimidine deoxyribonucleotides de novo biosynthesis	4/13	3.954786845691231e-05	0.0016478278523713464	0	0	19.41276389225916	196.80657626979374	DUT;RRM1;RRM2;TYMS
HumanCyc_2015	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	4/19	0.00019886496855205715	0.006214530267251786	0	0	13.282417399966796	113.20450956066657	DUT;RRM1;RRM2;TYMS
HumanCyc_2015	adenosine ribonucleotides de novo biosynthesis	4/21	0.00029948804641607486	0.007487201160401874	0	0	12.017425266636625	97.502611422619	ATP5B;ATP5A1;AK2;ATP5H
HumanCyc_2015	pyrimidine deoxyribonucleotides biosynthesis from CTP	3/13	0.0010025715454706787	0.02088690719730581	0	0	14.559572919194373	100.53657414623166	RRM1;RRM2;TYMS
HumanCyc_2015	cysteine biosynthesis	2/5	0.0024264097918535394	0.043328746283098914	0	0	25.236593059936908	151.95817201388263	AHCY;MAT2A
HumanCyc_2015	adenosine deoxyribonucleotides de novo biosynthesis	2/9	0.008376026623286738	0.13087541598885527	0	0	14.020329477742727	67.05056609742121	RRM1;RRM2
HumanCyc_2015	guanosine deoxyribonucleotides de novo biosynthesis	2/9	0.008376026623286738	0.11633370310120468	0	0	14.020329477742727	67.05056609742121	RRM1;RRM2
HumanCyc_2015	guanosine nucleotides de novo biosynthesis	2/13	0.017405903116529068	0.2175737889566134	0	0	9.70638194612958	39.320027864368186	RRM1;RRM2
HumanCyc_2015	superpathway of methionine degradation	2/16	0.02595651826896012	0.2949604348745468	0	0	7.886435331230284	28.79599775402482	AHCY;MAT2A
HumanCyc_2015	pyrimidine deoxyribonucleosides salvage	1/5	0.07678443177463125	0.7998378309857421	0	0	12.618296529968454	32.38805515009513	TYMS
HumanCyc_2015	glutathione redox reactions I	1/6	0.0914210313838074	0.8790483786904557	0	0	10.515247108307047	25.155412453460716	GPX4
HumanCyc_2015	selenocysteine biosynthesis	1/6	0.0914210313838074	0.8162592087839945	0	0	10.515247108307047	25.155412453460716	SARS
HumanCyc_2015	BMP Signalling Pathway	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	UBE2D1
HumanCyc_2015	tRNA charging	2/38	0.1214654515227743	0.9489488400216742	0	0	3.320604349991698	7.000250394299668	KARS;SARS
HumanCyc_2015	superpathway of pyrimidine deoxyribonucleoside salvage	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	TYMS
HumanCyc_2015	fatty acid &beta;-oxidation	1/16	0.2256469557111145	1.0	0	0	3.943217665615142	5.8705979652933165	HSD17B10
HumanCyc_2015	glutathione-mediated detoxification	1/20	0.2736269274435734	1.0	0	0	3.1545741324921135	4.088295517532074	GSTM5
