Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
InterPro_Domains_2019	LSM domain, eukaryotic/archaea-type	9/20	8.122217834199987e-12	8.698895300428187e-09	0	0	28.391167192429023	725.0087091508624	LSM6;SNRPD2;LSM1;SNRPE;SNRPF;LSM5;LSM3;LSM2;SNRPB
InterPro_Domains_2019	MCM N-terminal domain	5/6	5.741036561945111e-09	3.0743250789216066e-06	0	0	52.576235541535226	997.6669851321687	MCM7;MCM3;MCM5;MCM6;MCM2
InterPro_Domains_2019	Proteasome alpha-subunit, N-terminal domain	5/8	5.2201190662667405e-08	1.8635825066572267e-05	0	0	39.43217665615143	661.2050683236715	PSMA5;PSMA6;PSMA3;PSMA4;PSMA1
InterPro_Domains_2019	MCM OB domain	5/8	5.2201190662667405e-08	1.3976868799929197e-05	0	0	39.43217665615143	661.2050683236715	MCM7;MCM3;MCM5;MCM6;MCM2
InterPro_Domains_2019	RNA recognition motif domain	17/223	1.0838085995133558e-07	2.321518020157608e-05	0	0	4.809664596624748	77.13554586812316	SF3B4;RBM28;SSB;TAF15;ALYREF;NONO;SRSF1;HNRNPR;HNRNPAB;PTBP1;NCL;G3BP1;EIF4H;SNRPB2;TARDBP;SRSF6;SRSF9
InterPro_Domains_2019	MCM domain	5/9	1.1592836996103857e-07	2.0693214038045385e-05	0	0	35.050823694356815	559.7719360991159	MCM7;MCM3;MCM5;MCM6;MCM2
InterPro_Domains_2019	Proteasome component (PCI) domain	6/24	1.5999888839935048e-06	0.0002447982992510062	0	0	15.772870662460567	210.4970642941125	PSMD8;EIF3M;PSMD11;EIF3K;PSMD13;PSMD3
InterPro_Domains_2019	AAA+ ATPase domain	12/135	1.6581655132863797e-06	0.00022198690809121412	0	0	5.60813179109709	74.64310510570462	RFC5;ORC4;VCP;RFC3;PSMC5;RAD51;MCM7;PSMC4;RUVBL1;MCM3;ABCF2;ABCF1
InterPro_Domains_2019	Transcription factor CBF/NF-Y/archaeal histone domain	3/7	0.00013168215549205306	0.015670176503554314	0	0	27.0392068499324	241.5985430915206	POLE4;DRAP1;POLE3
InterPro_Domains_2019	JAB1/MPN/MOV34 metalloenzyme domain	3/12	0.000780334291791132	0.08357380265083023	0	0	15.772870662460567	112.86732099172049	PSMD7;PSMD14;EIF3F
InterPro_Domains_2019	MPN domain	3/17	0.0022743803592252887	0.2214419422482076	0	0	11.133791055854518	67.76078270458179	PSMD7;PSMD14;EIF3F
InterPro_Domains_2019	Proteasomal ATPase OB C-terminal domain	2/5	0.0024264097918535394	0.2165570739229284	0	0	25.236593059936908	151.95817201388263	PSMC5;PSMC4
InterPro_Domains_2019	PUA domain	2/5	0.0024264097918535394	0.19989883746731849	0	0	25.236593059936908	151.95817201388263	MCTS1;DKC1
InterPro_Domains_2019	Peptidase M16, C-terminal	2/7	0.004989504775346893	0.3816971153140373	0	0	18.026137899954936	95.54607692764526	UQCRC1;UQCRC2
InterPro_Domains_2019	Peptidase M16, N-terminal	2/7	0.004989504775346893	0.35625064095976816	0	0	18.026137899954936	95.54607692764526	UQCRC1;UQCRC2
InterPro_Domains_2019	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	2/8	0.006583273888665925	0.4406678959225754	0	0	15.772870662460567	79.23064835825892	KARS;RPA1
InterPro_Domains_2019	ATPase, AAA-type, core	4/48	0.0069652466884918786	0.4388105413749884	0	0	5.257623554153524	26.113681672307738	RFC5;VCP;PSMC5;PSMC4
InterPro_Domains_2019	KOW	2/9	0.008376026623286738	0.4983735840855609	0	0	14.020329477742727	67.05056609742121	RPL27;RPL26
InterPro_Domains_2019	Glutaredoxin	2/9	0.008376026623286738	0.4721433954494788	0	0	14.020329477742727	67.05056609742121	TXNRD3;GLRX3
InterPro_Domains_2019	Heat shock protein Hsp90, N-terminal	2/9	0.008376026623286738	0.4485362256770048	0	0	14.020329477742727	67.05056609742121	HSP90AA1;HSP90AB1
InterPro_Domains_2019	THIF-type NAD/FAD binding fold	2/10	0.010361095303926166	0.5284158605002345	0	0	12.618296529968454	57.661795879142275	UBA2;UBA1
InterPro_Domains_2019	Chromo domain subgroup	2/10	0.010361095303926166	0.5043969577502238	0	0	12.618296529968454	57.661795879142275	CBX5;CBX3
InterPro_Domains_2019	High mobility group box domain	4/55	0.011202166871884916	0.5216313356429889	0	0	4.5884714654430745	20.609798904227684	SMARCE1;HMGB3;TFAM;HMGB1
InterPro_Domains_2019	Ribosomal protein L7Ae/L30e/S12e/Gadd45	2/11	0.012531972455833349	0.5592392708415632	0	0	11.471178663607686	50.237706954990514	RPL30;NHP2
InterPro_Domains_2019	K Homology domain	3/36	0.019145585912515164	0.8201969004921495	0	0	5.257623554153524	20.79749258978333	KHDRBS1;PCBP1;SF1
InterPro_Domains_2019	K Homology domain, type 1	3/37	0.020595942121096673	0.8483943850651745	0	0	5.115525620257482	19.861852879205536	KHDRBS1;PCBP1;SF1
InterPro_Domains_2019	RNA helicase, DEAD-box type, Q motif	3/37	0.020595942121096673	0.8169723708035014	0	0	5.115525620257482	19.861852879205536	EIF4A1;DDX18;DDX27
InterPro_Domains_2019	Translation elongation factor EFTu-like, domain 2	2/15	0.02294883629513588	0.8777929882889473	0	0	8.412197686645637	31.75173964126585	EIF5B;TUFM
InterPro_Domains_2019	Helicase, C-terminal	5/108	0.028803230737450933	1.0	0	0	2.920901974529735	10.361221286797663	EIF4A1;DDX18;HELLS;DDX27;SMARCA4
InterPro_Domains_2019	Aminoacyl-tRNA synthetase, class II	2/17	0.029114143729149805	1.0	0	0	7.422527370569679	26.24999951071361	KARS;SARS
InterPro_Domains_2019	Helicase superfamily 1/2, ATP-binding domain	5/110	0.030841424064840032	1.0	0	0	2.8677946659019216	9.976760984945106	EIF4A1;DDX18;HELLS;DDX27;SMARCA4
InterPro_Domains_2019	Transcription factor, GTP-binding domain	2/20	0.03943258379361895	1.0	0	0	6.309148264984227	20.39850349915553	EIF5B;TUFM
InterPro_Domains_2019	Glutathione S-transferase, C-terminal	2/24	0.05497252770098663	1.0	0	0	5.257623554153524	15.251954336935961	EEF1G;GSTM5
InterPro_Domains_2019	BRCT domain	2/26	0.06341977728743703	1.0	0	0	4.85319097306479	13.385001318062404	PARP1;PES1
InterPro_Domains_2019	Chromo domain	2/26	0.06341977728743703	1.0	0	0	4.85319097306479	13.385001318062404	CBX5;CBX3
InterPro_Domains_2019	Ubiquitin domain	3/58	0.06434312010338812	1.0	0	0	3.2633525508539107	8.953090169768107	TBCB;RPS27A;RAD23B
InterPro_Domains_2019	Glutathione S-transferase, N-terminal	2/27	0.06779695454836354	1.0	0	0	4.673443159247576	12.577347836010599	EEF1G;GSTM5
InterPro_Domains_2019	Histidine kinase/HSP90-like ATPase	2/28	0.072270796330502	1.0	0	0	4.506534474988734	11.840176453008961	HSP90AA1;HSP90AB1
InterPro_Domains_2019	2-5-oligoadenylate synthetase, N-terminal	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	ILF2
InterPro_Domains_2019	Isopropylmalate dehydrogenase-like domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	IDH2
InterPro_Domains_2019	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	TXNRD3
InterPro_Domains_2019	Lamin tail domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	LMNB2
InterPro_Domains_2019	Aminoacyl-tRNA synthetase, class II (D/K/N)	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	KARS
InterPro_Domains_2019	Brix domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	BRIX1
InterPro_Domains_2019	PTBP1, RNA recognition motif 2-like	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	PTBP1
InterPro_Domains_2019	HIT-like domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	HINT1
InterPro_Domains_2019	DDT domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	BAZ1B
InterPro_Domains_2019	DNA mismatch repair protein MutS, C-terminal	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	MSH2
InterPro_Domains_2019	DNA mismatch repair protein MutS, core	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	MSH2
InterPro_Domains_2019	Phosphopantetheine binding ACP domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	NDUFAB1
InterPro_Domains_2019	DZF domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	ILF2
InterPro_Domains_2019	WHIM2 domain	1/5	0.07678443177463125	1.0	0	0	12.618296529968454	32.38805515009513	BAZ1B
InterPro_Domains_2019	DEAD/DEAH box helicase domain	3/67	0.09025935266514358	1.0	0	0	2.8249917604406987	6.7942974429108345	EIF4A1;DDX18;DDX27
InterPro_Domains_2019	SNF2-related, N-terminal domain	2/32	0.09105155952069358	1.0	0	0	3.943217665615142	9.449248204953683	HELLS;SMARCA4
InterPro_Domains_2019	Zinc finger, TFIIS-type	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	TCEA1
InterPro_Domains_2019	Rad51/DMC1/RadA	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	RAD51
InterPro_Domains_2019	RecF/RecN/SMC, N-terminal	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	SMC1A
InterPro_Domains_2019	BRK domain	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	SMARCA4
InterPro_Domains_2019	SMCs flexible hinge	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	SMC1A
InterPro_Domains_2019	SWIRM domain	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	KDM1A
InterPro_Domains_2019	Nascent polypeptide-associated complex NAC domain	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	BTF3
InterPro_Domains_2019	OBG-type guanine nucleotide-binding (G) domain	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	OLA1
InterPro_Domains_2019	Cold-shock (CSD) domain	1/6	0.0914210313838074	1.0	0	0	10.515247108307047	25.155412453460716	YBX1
InterPro_Domains_2019	Glutathione S-transferase, C-terminal-like	2/33	0.09594869278089514	1.0	0	0	3.823726221202562	8.962591265013762	EEF1G;GSTM5
InterPro_Domains_2019	Chromo/chromo shadow domain	2/33	0.09594869278089514	1.0	0	0	3.823726221202562	8.962591265013762	CBX5;CBX3
InterPro_Domains_2019	14-3-3 domain	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	YWHAE
InterPro_Domains_2019	La-type HTH domain	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	SSB
InterPro_Domains_2019	Translation elongation factor EFTu/EF1A, C-terminal	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	TUFM
InterPro_Domains_2019	DNA recombination and repair protein Rad51-like, C-terminal	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	RAD51
InterPro_Domains_2019	DNA recombination and repair protein RecA-like, ATP-binding domain	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	RAD51
InterPro_Domains_2019	Vps4 oligomerisation, C-terminal	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	VCP
InterPro_Domains_2019	W2 domain	1/7	0.10582630556130854	1.0	0	0	9.013068949977468	20.24295768965723	BZW1
InterPro_Domains_2019	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	SARS
InterPro_Domains_2019	Matrin/U1-C, C2H2-type zinc finger	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	SF3A3
InterPro_Domains_2019	Methyl-CpG binding protein 2/3, C-terminal domain	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	MBD3
InterPro_Domains_2019	Methyl-CpG-binding domain protein 2/3, p55-binding region	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	MBD3
InterPro_Domains_2019	TRASH domain	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	RSL24D1
InterPro_Domains_2019	Transcription elongation factor S-II, central domain	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	TCEA1
InterPro_Domains_2019	Cold shock domain	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	YBX1
InterPro_Domains_2019	Cold-shock protein, DNA-binding	1/8	0.12000389833556176	1.0	0	0	7.886435331230284	16.72106506780814	YBX1
InterPro_Domains_2019	Ubiquitin-conjugating enzyme E2	2/40	0.1320911138273899	1.0	0	0	3.1545741324921135	6.3856887641796565	UBE2I;UBE2D1
InterPro_Domains_2019	SAM-dependent methyltransferase RsmB/NOP2-type	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	NOP2
InterPro_Domains_2019	Nuclear transport factor 2	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	G3BP1
InterPro_Domains_2019	Nuclear transport factor 2, eukaryote	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	G3BP1
InterPro_Domains_2019	U box domain	1/9	0.13395739671846146	1.0	0	0	7.010164738871364	14.092067749878078	PRPF19
InterPro_Domains_2019	Bromodomain	2/41	0.13748117686458758	1.0	0	0	3.077633299992306	6.106850093950393	BAZ1B;SMARCA4
InterPro_Domains_2019	Amine oxidase	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	KDM1A
InterPro_Domains_2019	Biotin/lipoyl attachment	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	GCSH
InterPro_Domains_2019	CAP Gly-rich domain	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	TBCB
InterPro_Domains_2019	Heat shock chaperonin-binding	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	RAD23B
InterPro_Domains_2019	Methyl-CpG DNA binding	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	MBD3
InterPro_Domains_2019	Transcription elongation factor, TFIIS/CRSP70, N-terminal, sub-type	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	TCEA1
InterPro_Domains_2019	Histone deacetylase domain	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	HDAC1
InterPro_Domains_2019	Ran binding domain	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	RANBP1
InterPro_Domains_2019	FAD/NAD(P)-binding domain	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	TXNRD3
InterPro_Domains_2019	ABC transporter-like	2/49	0.18208408759465888	1.0	0	0	2.575162557136419	4.386240079450797	ABCF2;ABCF1
InterPro_Domains_2019	Transcription factor IIS, N-terminal	1/13	0.187600236285976	1.0	0	0	4.85319097306479	8.121533525312682	TCEA1
InterPro_Domains_2019	Linker histone H1/H5, domain H15	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	HP1BP3
InterPro_Domains_2019	Alcohol dehydrogenase, C-terminal	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	ADH5
InterPro_Domains_2019	Alcohol dehydrogenase, N-terminal	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	ADH5
InterPro_Domains_2019	CS domain	1/16	0.2256469557111145	1.0	0	0	3.943217665615142	5.8705979652933165	NUDC
InterPro_Domains_2019	FKBP-type peptidyl-prolyl cis-trans isomerase domain	1/17	0.2379302604460247	1.0	0	0	3.71126368528484	5.3285495327015004	FKBP4
InterPro_Domains_2019	Thyroglobulin type-1	1/17	0.2379302604460247	1.0	0	0	3.71126368528484	5.3285495327015004	TACSTD2
InterPro_Domains_2019	Cyclin, C-terminal domain	1/17	0.2379302604460247	1.0	0	0	3.71126368528484	5.3285495327015004	CCND2
