Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Jensen_COMPARTMENTS	Macromolecular complex	239/4527	7.828373446563541e-90	1.7872176578504568e-86	0	0	3.330873504155578	683.4116501674051	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;GCSH;RPS17;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;DENR;RPL38;RPS11;GOLGA7;RPS13;RPL21;RPL23;RPL22;CD3EAP;SND1;KARS;PSME3;UQCRC1;CCDC86;RPL27;RPL26;UQCRC2;RPL28;ASF1B;SF1;SLBP;SET;MEAF6;RPN1;ATP5J;ATP5H;MRPL12;MRPL20;ATP5B;PCBP1;RRS1;SURF6;MAGOHB;SMARCA4;ANP32E;RPS21;RPLP0;CLTA;PRPF19;COX7C;TRMT112;HINT1;RPLP2;CCT3;HELLS;SSR4;PARP1;ACTL6A;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;PCNA;RPL10;MRPS36;RPL12;RPL11;ATP5A1;UQCR10;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;MBD3;GINS2;NPM1;RPA1;RPA2;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;NDUFAB1;TCEA1;RPL22L1;TOMM5;TOMM6;MAD2L1;KDM1A;BCCIP;UBE2D1;NUCKS1;EEF1B2;FBL;CCND2;RUVBL1;RPS8;RPS5;RPS6;ILF2;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;FKBP4;SNRPB;KHDRBS1;VCP;PSMD11;NDUFB10;UQCRB;PSMD14;NDUFB11;PSMD13;PMF1;ORC4;G3BP1;IVNS1ABP;UBE2I;CBX5;API5;POLR3GL;CBX3;ALYREF;NONO;LSM1;EIF2S2;LSM5;LSM3;LSM2;LSM6;NASP;UQCRQ;ARPC3;OSTC;SRPRB;UBA2;LSM14A;RSL24D1;NOP10;YWHAE;RBM28;MCM7;COX4I1;HP1BP3;YBX1;ATP5G3;NUP62;UQCRFS1;BCAS2;RFC5;HSP90AA1;RFC3;BUD31;DYNLT3;NDUFC2;NDUFC1;SMC1A;RAD23B;DDOST;DAD1;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;NDUFB8;NDUFB6;NDUFB5;HDAC1;SRSF1;MAK16;RBBP4;MAT2A;POLD1;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;SMARCE1;NOP56;NOP58;RRM1;SSB;RRM2;NDUFA5;NAA10;TAF12;NDUFA3;RPL23A;HNRNPAB;POLE4;EIF3M;RAD51;EIF3K;EIF3I;POLE3;EIF3F
Jensen_COMPARTMENTS	Intracellular ribonucleoprotein complex	106/737	1.497749061719916e-72	1.7096805539532842e-69	0	0	9.074215957779217	1500.7134657123245	RPL5;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS16;SNRPD2;RPS19;DENR;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;SND1;EBNA1BP2;HNRNPUL1;DKC1;NCL;NHP2;CCDC86;RPL27;SNRPE;RPL26;SNRPF;RPL28;SF1;SNRPB;SLBP;MRPL12;MRPL20;PCBP1;G3BP1;RRS1;SURF6;IVNS1ABP;API5;ALYREF;LSM1;MAGOHB;LSM5;LSM3;LSM2;LSM6;RPS21;LSM14A;RSL24D1;NOP10;RBM28;RPLP0;YBX1;PRPF19;NUP62;RPLP2;BCAS2;BUD31;PSMA6;PSMA4;PSMA1;CANX;RPL37A;LUC7L3;SF3B4;SF3B5;RPL10;MRPS36;RPL12;RPL11;SRSF1;MAK16;RPS15A;PES1;RPS3;EIF4H;RPL13;SNRPB2;RPS2;RPL18;RPS27A;RPL19;ABCF1;SF3A3;NOP56;NPM1;NOP58;SSB;NAA10;RPL23A;HNRNPAB;EIF3M;EIF3K;EIF3I;RPL22L1;EIF3F
Jensen_COMPARTMENTS	Ribonucleoprotein complex	106/738	1.7300331654427912e-72	1.3165552389019643e-69	0	0	9.061920272199568	1497.3734561262631	RPL5;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS16;SNRPD2;RPS19;DENR;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;SND1;EBNA1BP2;HNRNPUL1;DKC1;NCL;NHP2;CCDC86;RPL27;SNRPE;RPL26;SNRPF;RPL28;SF1;SNRPB;SLBP;MRPL12;MRPL20;PCBP1;G3BP1;RRS1;SURF6;IVNS1ABP;API5;ALYREF;LSM1;MAGOHB;LSM5;LSM3;LSM2;LSM6;RPS21;LSM14A;RSL24D1;NOP10;RBM28;RPLP0;YBX1;PRPF19;NUP62;RPLP2;BCAS2;BUD31;PSMA6;PSMA4;PSMA1;CANX;RPL37A;LUC7L3;SF3B4;SF3B5;RPL10;MRPS36;RPL12;RPL11;SRSF1;MAK16;RPS15A;PES1;RPS3;EIF4H;RPL13;SNRPB2;RPS2;RPL18;RPS27A;RPL19;ABCF1;SF3A3;NOP56;NPM1;NOP58;SSB;NAA10;RPL23A;HNRNPAB;EIF3M;EIF3K;EIF3I;RPL22L1;EIF3F
Jensen_COMPARTMENTS	Nucleoplasm	156/2930	7.45093163557661e-49	4.252619231005351e-46	0	0	3.3591369601963805	372.25394978390096	KDM1A;UBE2D1;HNRNPR;PSMD8;RPS15;FBL;RPS17;PSMD7;RPS16;CCND2;SNRPD2;RPS19;PSMD3;RUVBL1;RCC1;RPS11;RPS13;LIG1;RPS8;RPS5;RPS6;CD3EAP;ILF2;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;NHP2;SNRPE;UQCRC2;SNRPF;SRSF6;FKBP4;PPID;KPNB1;ASF1B;SF1;SNRPB;SRSF9;SLBP;KHDRBS1;VCP;SET;PSMD11;MEAF6;PSMD14;PSMD13;CDCA7;ATP5H;PMF1;ORC4;PCBP1;SURF6;IVNS1ABP;UBE2I;CBX5;API5;POLR3GL;ALYREF;NONO;TBCB;LSM5;LSM3;SMARCA4;LSM2;LSM6;NASP;UBA2;CALM3;RPS21;NOP10;HSP90AB1;MCM7;HMGB1;YBX1;PRPF19;TRMT112;PTBP1;HINT1;BCAS2;RFC5;NUDC;HSP90AA1;RFC3;PARP1;HSBP1;ACTL6A;BAZ1B;SMC1A;RAD23B;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;MCM3;LUC7L3;MCM5;MCM6;MCM2;SF3B4;SF3B5;PCNA;NDUFB6;NDUFB5;HDAC1;RPL11;POMP;SRSF1;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;PSMB3;PES1;POLD1;USP1;RPS3;SNRPB2;CCT8;RPS2;RBBP7;RPS27A;CCT4;ABCF1;POLR2L;SF3A3;MBD3;SMARCE1;NOP56;GINS2;DUT;NPM1;NOP58;RRM1;TAF15;RRM2;TAF12;RPA1;RPA2;HNRNPAB;BYSL;POLE4;NUDT21;PSMC5;RAD51;MYBBP1A;PSMC4;RPA3;POLE3;TCEA1;TARDBP
Jensen_COMPARTMENTS	Cytosolic ribosome	42/107	6.674628064127596e-48	3.04763517408066e-45	0	0	24.764881040125005	2690.104296253918	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;SURF6;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS13;RPL19;RPL21;NAA10;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
Jensen_COMPARTMENTS	Cytosolic part	52/205	7.153945449004387e-48	2.722076243346169e-45	0	0	16.00369315995999	1737.303643395806	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;CCT3;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;UCHL5;RPL37A;RPL27;RPL26;RPL28;RPL10;PSMD14;RPL12;RPL11;RPS15A;RPS3;SURF6;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;RRM1;RRM2;NAA10;RPL23A;PSMC5;PSMC4;RPL22L1;RPS21;RSL24D1
Jensen_COMPARTMENTS	Ribosome	49/220	4.1480354604766485e-42	1.3528521366097416e-39	0	0	14.052193862919413	1338.9764881742756	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;CANX;RPL37A;RPL27;RPL26;RPL28;SF1;RPL10;MRPS36;RPL12;RPL11;MRPL12;MRPL20;RPS15A;RPS3;SURF6;RPL13;RPS2;RPL18;RPS27A;RPL19;ABCF1;NAA10;RPL23A;RPL22L1;RPS21;RSL24D1
Jensen_COMPARTMENTS	Ribosomal subunit	43/161	1.1407344317363856e-40	3.25537088456771e-38	0	0	16.85052021082744	1549.7715192257276	RPL5;RPL30;RPL32;RPL10;RPL31;MRPS36;RPL34;RPL12;RPLP0;RPL11;MRPL12;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;SURF6;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
Jensen_COMPARTMENTS	Cytosolic large ribosomal subunit	27/58	1.3855238709336422e-33	3.514612219268339e-31	0	0	29.370172957685195	2222.1246637354875	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPLP2;RPL13;RPL38;RPL18;RPL19;RPL21;RPL23;RPL22;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RSL24D1
Jensen_COMPARTMENTS	Protein complex	154/3800	3.339010588325417e-33	7.622961173146927e-31	0	0	2.556865349493608	191.2014538379213	EIF4A1;KDM1A;BCCIP;UBE2D1;PSMD8;GCSH;EEF1B2;PSMD7;CCND2;SNRPD2;PSMD3;RUVBL1;GOLGA7;CD3EAP;KARS;MSH2;PSME3;HAT1;UQCRC1;SNRPE;UQCRC2;SNRPF;FKBP4;ASF1B;SNRPB;KHDRBS1;VCP;SET;PSMD11;MEAF6;NDUFB10;UQCRB;PSMD14;NDUFB11;PSMD13;RPN1;ATP5J;ATP5H;PMF1;ATP5B;ORC4;IVNS1ABP;UBE2I;CBX5;POLR3GL;ALYREF;NONO;MAGOHB;EIF2S2;LSM5;LSM3;SMARCA4;LSM2;NASP;UQCRQ;ARPC3;OSTC;ANP32E;SRPRB;UBA2;YWHAE;MCM7;COX4I1;HP1BP3;CLTA;YBX1;ATP5G3;PRPF19;COX7C;TRMT112;HINT1;NUP62;UQCRFS1;BCAS2;CCT3;RFC5;HSP90AA1;RFC3;SSR4;PARP1;DYNLT3;ACTL6A;NDUFC2;NDUFC1;KIF22;SMC1A;DYNLL2;RAD23B;UCHL5;DDOST;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;DAD1;CANX;MCM3;MCM5;MCM6;PFDN4;SLC25A5;MCM2;NDUFB8;PCNA;NDUFB6;MRPS36;NDUFB5;HDAC1;ATP5A1;UQCR10;PSMB6;PSMB7;PSMB4;RBBP4;MAT2A;PSMB3;PES1;POLD1;EIF4H;CCT8;RBBP7;CCT7;ABCF2;CCT4;POLR2L;MBD3;SMARCE1;GINS2;RRM1;RRM2;NDUFA5;NAA10;TAF12;NDUFA3;RPA1;RPA2;HNRNPAB;POLE4;NUDT21;PSMC5;EIF3M;MYBBP1A;EIF3K;PSMC4;RPA3;EIF3I;NDUFAB1;POLE3;TCEA1;EIF3F;TOMM5;TOMM6;MAD2L1
