Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Jensen_DISEASES	Diamond-Blackfan anemia	5/15	2.55483106144092e-06	0.0046267990522695064	0	0	21.030494216614088	270.8207036227433	RPL5;RPS17;RPS19;RPL11;RPL26
Jensen_DISEASES	relapsing-remitting multiple sclerosis	4/17	0.00012520497836341615	0.11337310790807333	0	0	14.845054741139359	133.39110538953784	PTBP1;RRM1;RRM2;SRSF1
Jensen_DISEASES	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	3/9	0.00030866439376415794	0.18633040570229667	0	0	21.030494216614088	169.99486804686342	VCP;NDUFB6;TARDBP
Jensen_DISEASES	Dyskeratosis congenita	3/12	0.000780334291791132	0.35329635060843495	0	0	15.772870662460567	112.86732099172049	DKC1;NHP2;NOP10
Jensen_DISEASES	Bowen-Conradi syndrome	3/15	0.001557956069070415	0.5642916882173044	0	0	12.618296529968454	81.56947039663629	RPS19;DKC1;NDUFAB1
Jensen_DISEASES	Epidemic typhus	2/5	0.0024264097918535394	0.7323713555077932	0	0	25.236593059936908	151.95817201388263	RPA3;SARS
Jensen_DISEASES	Spinal muscular atrophy	3/19	0.003165952491289155	0.8190771373892369	0	0	9.961813049975095	57.33323583143786	KHDRBS1;SRSF1;HNRNPR
Jensen_DISEASES	Endometrial stromal nodule	2/7	0.004989504775346893	1.0	0	0	18.026137899954936	95.54607692764526	YWHAE;NDUFB11
Jensen_DISEASES	Alpha thalassemia	2/7	0.004989504775346893	1.0	0	0	18.026137899954936	95.54607692764526	CBX5;SMARCA4
Jensen_DISEASES	Spondylolysis	2/8	0.006583273888665925	1.0	0	0	15.772870662460567	79.23064835825892	RPL32;RPL34
Jensen_DISEASES	Bone cancer	2/10	0.010361095303926166	1.0	0	0	12.618296529968454	57.661795879142275	IDH2;TARDBP
Jensen_DISEASES	Endometrial stromal sarcoma	2/11	0.012531972455833349	1.0	0	0	11.471178663607686	50.237706954990514	MEAF6;NDUFB11
Jensen_DISEASES	Spondylosis	2/11	0.012531972455833349	1.0	0	0	11.471178663607686	50.237706954990514	NDUFB8;RPL34
Jensen_DISEASES	Cysticercosis	2/11	0.012531972455833349	1.0	0	0	11.471178663607686	50.237706954990514	TXNRD3;TACSTD2
Jensen_DISEASES	Vaccinia	3/32	0.01392944927803414	1.0	0	0	5.9148264984227135	25.27848990692045	AHCY;LIG1;SRSF1
Jensen_DISEASES	Hypermethioninemia	2/12	0.014882307434907488	1.0	0	0	10.515247108307047	44.243766477907435	AHCY;MAT2A
Jensen_DISEASES	Lateral sclerosis	2/12	0.014882307434907488	1.0	0	0	10.515247108307047	44.243766477907435	RCC1;TARDBP
Jensen_DISEASES	Cholera	3/33	0.015146064825484688	1.0	0	0	5.735589331803843	24.032202628389694	RAD51;PARP1;NONO
