Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEA_2013	MAP3K14	39/145	4.601435477231483e-37	2.181080416207723e-34	0	0	16.969433264440333	1419.8202653767896	RPL5;RPL30;HSP90AB1;RPL32;RPL10;RPLP0;RPL11;ATP5A1;YBX1;RPL9;RPL6;RPL7;FBL;RPS17;RPS16;RPS15A;C1QBP;RUVBL1;RPS3;RPLP2;RPL13;RPS2;RPS11;RPL18;RPS13;HSP90AA1;NPM1;SSB;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;BYSL;MYBBP1A;NCL;RPL27;CALM3
KEA_2013	MAP3K1	26/139	1.213517366570844e-20	2.8760361587729005e-18	0	0	11.801284524430931	541.1854158223798	YWHAE;RPL30;HSP90AB1;RPL10;NOP2;RPL7;RPS16;RPLP2;RPL13;CCT8;RPS11;RPL18;RPS27A;RPS13;CCT4;CCT3;HSP90AA1;UBE2I;SSR4;RPS8;RPS6;NCL;RPL37A;CALM3;SNRPF;SLC25A5
KEA_2013	TBK1	15/59	1.5302017230596868e-14	2.417718722434305e-12	0	0	16.04020745334973	510.2516986055614	CCT3;HSP90AA1;HSP90AB1;RPS8;RPS5;NONO;RPL11;ATP5A1;RPL7;RUVBL1;RPL13;CALM3;CCT8;CCT7;CCT4
KEA_2013	CSNK2A1	35/521	6.171694538820557e-13	7.313458028502359e-11	0	0	4.238391348837773	119.1565779044293	RPL5;SLBP;HSP90AB1;KDM1A;HDAC1;RPLP0;CDCA7;TYMS;EEF1B2;G3BP1;RPLP2;ABCF1;EIF5B;NPM1;HSP90AA1;SSB;CBX5;LIG1;RPS5;RPA2;BAZ1B;EIF2S2;SMARCA4;PSMA3;PSMA4;DKC1;NCL;CANX;MCM3;UBA2;RPL22L1;UBA1;TARDBP;FKBP4;MCM2
KEA_2013	PLK1	14/92	1.966859046171916e-10	1.864582375770977e-08	0	0	9.600877794541217	214.57398349575485	NUDC;NPM1;MCM7;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMA4;PSMA1;PSMB3;MCM3;MCM2
KEA_2013	MAP3K3	19/193	2.6844638043303504e-10	2.120726405420977e-08	0	0	6.211078602834212	136.88204786610314	CCT3;YWHAE;NUDC;VCP;HSP90AA1;HSP90AB1;HSPA4;RPL23;ATP5A1;RPS16;C1QBP;RUVBL1;CALM3;CCT8;RPS27A;CCT7;PFDN4;SLC25A5;CCT4
KEA_2013	CSNK2A2	20/267	1.0826242001502309e-08	7.330912441017277e-07	0	0	4.725953756542492	86.68010177383711	NOP56;SLBP;HSP90AA1;HSP90AB1;SSB;LIG1;CBX3;HDAC1;RPLP0;BAZ1B;TYMS;EIF2S2;EEF1B2;PSMA3;DKC1;NCL;CANX;RPLP2;UBA1;MCM2
KEA_2013	RIPK3	11/95	3.188297392950078e-07	1.889066205322921e-05	0	0	7.305329569981737	109.27756579904738	YWHAE;HSP90AA1;HSP90AB1;C1QBP;RPL23;NONO;RUVBL1;CALM3;SLC25A5;RPS27A;CCT7
KEA_2013	PRKDC	16/227	7.406054768178315e-07	3.900522177907246e-05	0	0	4.446976750649676	62.77262451511599	KHDRBS1;VCP;HSP90AA1;PCNA;HSP90AB1;PARP1;RPS6;RPA1;RPA2;HMGB1;EIF2S2;SMC1A;ILF2;RPS17;NASP;CANX
KEA_2013	CDK2	27/606	1.4989416885651918e-06	7.104983603799009e-05	0	0	2.811006652715745	37.69771095306063	SLBP;KHDRBS1;PCNA;MCM7;RPL12;RPL11;NUCKS1;LMNB2;PCBP1;POLD1;RPS3;EIF5B;DUT;NUDC;NPM1;RRM2;LIG1;API5;RPA2;KIF22;PSMA5;HNRNPUL1;NCL;MCM3;TFAM;SF1;MCM2
KEA_2013	ATR	8/63	6.6216586865036635e-06	0.00028533329249115784	0	0	8.011616844424415	95.53985008282669	GINS2;VCP;NPM1;MSH2;MCM3;RPA2;SMC1A;MCM2
KEA_2013	ATM	11/177	0.0001261538620504257	0.0049830775509918145	0	0	3.920939599707712	35.20222814684958	VCP;HINT1;HSP90AA1;RAD51;NASP;C1QBP;RPS6;CANX;MCM3;RPA2;SMC1A
KEA_2013	TRIM24	8/95	0.00013409893244055603	0.004889453382832582	0	0	5.312966959986718	47.37536897162938	RFC5;PSMD11;CBX5;CBX3;RPA2;EIF3F;HSPE1;LSM3
KEA_2013	CDC7	4/18	0.0001589752975452882	0.005382449359747614	0	0	14.020329477742727	122.63248130619357	MCM7;MCM3;MCM5;MCM2
KEA_2013	PNCK	2/2	0.00025043431064987584	0.007913724216536076	0	0	63.09148264984227	523.1743788494039	HSP90AA1;HSP90AB1
KEA_2013	CDK6	4/25	0.00060217238552948	0.017839356921310844	0	0	10.094637223974763	74.85139986318741	NPM1;PCNA;CCND2;MCM2
