Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2013	HSA03010 RIBOSOME	30/98	1.36823496319635e-30	2.7364699263927003e-28	0	0	19.313719178523144	1328.0891887332843	RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL9;RPL6;RPL7;RPS16;RPS15A;RPS3;RPL13;RPL38;RPS2;RPS11;RPL18;RPS13;RPL19;RPL21;RPS8;RPS5;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21
KEGG_2013	HSA00190 OXIDATIVE PHOSPHORYLATION	22/128	7.981191841233097e-17	7.981191841233095e-15	0	0	10.843848580441643	401.94740447314985	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;ATP5A1;ATP5J;NDUFC2;NDUFC1;ATP5H;ATP5G3;COX7C;ATP5B;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
KEGG_2013	HSA03050 PROTEASOME	11/22	8.054926763810743e-15	5.369951175873828e-13	0	0	31.54574132492113	1023.7379328182687	PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMD11;PSMA4;PSMA1;PSMD13;PSMB3
KEGG_2013	HSA00240 PYRIMIDINE METABOLISM	12/89	1.6294022120375605e-08	8.147011060187801e-07	0	0	8.506716761776486	152.54642218110152	RFC5;POLE4;PRIM2;DUT;RRM1;UCK2;RRM2;POLR3GL;POLD1;POLE3;TYMS;POLR2L
KEGG_2013	HSA04110 CELL CYCLE	11/115	2.1937387979118537e-06	8.774955191647416e-05	0	0	6.034837470854479	78.63334841158286	YWHAE;CCND2;PCNA;MCM7;HDAC1;MCM3;MCM5;MCM6;SMC1A;MCM2;MAD2L1
KEGG_2013	HSA03030 DNA POLYMERASE	5/25	3.9682571691357974e-05	0.0013227523897119322	0	0	12.618296529968454	127.88136866722549	RFC5;POLE4;PRIM2;POLD1;POLE3
KEGG_2013	HSA00230 PURINE METABOLISM	10/145	0.00010850365089303892	0.0031001043112296837	0	0	4.351136734471881	39.72033824329859	RFC5;POLE4;PRIM2;RRM1;RRM2;POLR3GL;POLD1;POLE3;AK2;POLR2L
KEGG_2013	HSA00480 GLUTATHIONE METABOLISM	3/39	0.023672960443129717	0.5918240110782428	0	0	4.85319097306479	18.167540848077746	GPX4;IDH2;GSTM5
KEGG_2013	HSA00510 N GLYCAN BIOSYNTHESIS	3/42	0.0287288338229524	0.6384185293989422	0	0	4.506534474988734	15.997539421955153	DAD1;RPN1;DDOST
KEGG_2013	HSA05030 AMYOTROPHIC LATERAL SCLEROSIS	2/19	0.03585745237899185	0.717149047579837	0	0	6.641208699983398	22.103296409493502	SSR4;KARS
KEGG_2013	HSA03020 RNA POLYMERASE	2/23	0.05091129106145748	0.9256598374810452	0	0	5.48621588259498	16.336143473907686	POLR3GL;POLR2L
KEGG_2013	HSA00300 LYSINE BIOSYNTHESIS	1/4	0.061912804905107165	1.0	0	0	15.772870662460567	43.88057186601439	KARS
KEGG_2013	HSA00020 CITRATE CYCLE	2/29	0.07683716118036331	1.0	0	0	4.351136734471881	11.165307892177287	IDH2;SUCLG1
KEGG_2013	HSA05040 HUNTINGTONS DISEASE	2/31	0.08623142318910418	1.0	0	0	4.070418235473695	9.975457940709145	CLTA;CALM3
KEGG_2013	HSA00970 AMINOACYL TRNA BIOSYNTHESIS	2/38	0.1214654515227743	1.0	0	0	3.320604349991698	7.000250394299668	KARS;SARS
KEGG_2013	HSA04120 UBIQUITIN MEDIATED PROTEOLYSIS	2/40	0.1320911138273899	1.0	0	0	3.1545741324921135	6.3856887641796565	UBE2D1;UBA1
KEGG_2013	HSA04612 ANTIGEN PROCESSING AND PRESENTATION	3/83	0.14486239629029288	1.0	0	0	2.280415035536468	4.405695666998894	HSP90AA1;HSP90AB1;CANX
KEGG_2013	HSA00062 FATTY ACID ELONGATION IN MITOCHONDRIA	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	HSD17B10
KEGG_2013	HSA00680 METHANE METABOLISM	1/10	0.14769033146960184	1.0	0	0	6.309148264984227	12.067113893917599	ADH5
KEGG_2013	HSA00071 FATTY ACID METABOLISM	2/47	0.17072325964221782	1.0	0	0	2.68474394254648	4.745852468250408	HSD17B10;ADH5
