Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	43/153	9.911033038059322e-42	3.0525981757222714e-39	0	0	17.73159316302757	1674.1270443070673	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;MRPL12;RPL9;RPL6;RPL7;RPS15;MRPL20;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
KEGG_2019_Human	Proteasome	19/45	6.175969227891709e-23	9.510992610953231e-21	0	0	26.63862600771118	1362.26713615841	PSMD11;PSMD14;PSMD13;POMP;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
KEGG_2019_Human	DNA replication	16/36	5.960745613436412e-20	6.1196988297947174e-18	0	0	28.040658955485448	1241.262005852164	RFC5;PRIM2;RFC3;PCNA;MCM7;LIG1;RPA1;RPA2;POLE4;POLD1;RPA3;POLE3;MCM3;MCM5;MCM6;MCM2
KEGG_2019_Human	Spliceosome	21/134	2.8431493513106827e-15	2.189225000509226e-13	0	0	9.887471161542448	331.16961469142416	SF3B4;SF3A3;SF3B5;ALYREF;BUD31;SRSF1;LSM5;MAGOHB;PRPF19;LSM3;LSM2;LSM6;SNRPD2;PCBP1;SNRPE;SNRPB2;SNRPF;SRSF6;BCAS2;SNRPB;SRSF9
KEGG_2019_Human	Huntington disease	23/193	5.791034030104269e-14	3.5672769625442307e-12	0	0	7.518674098167733	229.1682875592699	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;HDAC1;COX4I1;NDUFA3;CLTA;NDUFC2;NDUFC1;UQCR10;COX7C;UQCRQ;NDUFAB1;UQCRC1;TFAM;UQCRFS1;UQCRC2;SLC25A5;POLR2L
KEGG_2019_Human	Parkinson disease	20/142	1.0779572292305838e-13	5.533513776716998e-12	0	0	8.886124316879194	265.3266842605529	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;NDUFC2;NDUFC1;UQCR10;COX7C;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UBA1;UQCRC2;SLC25A5
KEGG_2019_Human	Thermogenesis	23/231	2.6525907772140056e-12	1.1671399419741626e-10	0	0	6.28183593483278	167.44537914705262	SMARCE1;NDUFB8;KDM1A;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;ACTL6A;RPS6;NDUFC2;NDUFC1;UQCR10;COX7C;SMARCA4;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
KEGG_2019_Human	Alzheimer disease	20/171	3.754948025583573e-12	1.4456549898496759e-10	0	0	7.37912077775933	194.12951590899655	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;NDUFC2;NDUFC1;UQCR10;COX7C;HSD17B10;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;CALM3;UQCRC2
KEGG_2019_Human	Oxidative phosphorylation	18/133	3.7735650858399935e-12	1.2913978293763535e-10	0	0	8.538696899978651	224.59335237474392	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;NDUFC2;NDUFC1;UQCR10;COX7C;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	18/149	2.6552468502433838e-11	8.178160298749621e-10	0	0	7.621789850316516	185.60505203783543	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;NDUFC2;NDUFC1;UQCR10;COX7C;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
KEGG_2019_Human	Mismatch repair	9/23	3.789977158653279e-11	1.061193604422918e-09	0	0	24.687971471677407	592.4144404756275	RFC5;RFC3;PCNA;LIG1;MSH2;RPA3;POLD1;RPA1;RPA2
KEGG_2019_Human	Nucleotide excision repair	11/47	1.3978325553864844e-10	3.587770225491977e-09	0	0	14.766091684005639	335.0563242428945	RFC5;POLE4;RFC3;PCNA;LIG1;POLD1;RPA3;POLE3;RPA1;RPA2;RAD23B
KEGG_2019_Human	Cell cycle	12/124	6.668371846890666e-07	1.5798911760325578e-05	0	0	6.105627353210544	86.82641653654753	YWHAE;ORC4;CCND2;PCNA;MCM7;HDAC1;MCM3;MCM5;MCM6;SMC1A;MCM2;MAD2L1
KEGG_2019_Human	Base excision repair	7/33	7.053201337049611e-07	1.5517042941509148e-05	0	0	13.383041774208968	189.5656215044112	POLE4;PCNA;LIG1;PARP1;POLD1;POLE3;HMGB1
KEGG_2019_Human	Cardiac muscle contraction	8/78	3.263671961316858e-05	0.0006701406427237281	0	0	6.4709212974197206	66.84508637040568	UQCRB;UQCRQ;COX4I1;UQCRC1;UQCRFS1;UQCRC2;UQCR10;COX7C
KEGG_2019_Human	Retrograde endocannabinoid signaling	10/148	0.00012857305717573278	0.002475031350632856	0	0	4.262938016881234	38.19171829164096	NDUFB8;NDUFB10;NDUFB6;NDUFA5;NDUFB11;NDUFB5;NDUFA3;NDUFAB1;NDUFC2;NDUFC1
