Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Ribosome	43/170	1.5011558585547387e-39	4.5485022514208576e-37	0	0	15.958433846724805	1426.5975429394007	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;MRPL12;RPL9;RPL6;RPL7;RPS15;MRPL20;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL22L1;RPL26;RPL28;RPS21;RSL24D1
KEGG_2019_Mouse	Proteasome	19/46	1.037315818739623e-22	1.571533465390529e-20	0	0	26.059525442326155	1319.1393178434055	PSMD11;PSMD14;PSMD13;POMP;PSMD8;PSMB6;PSMA5;PSMB7;PSMA6;PSMB4;PSMC5;PSMA3;PSMD7;PSMA4;PSMA1;PSMB3;PSMC4;PSME3;PSMD3
KEGG_2019_Mouse	DNA replication	16/35	3.359060107525533e-20	3.3926507086007887e-18	0	0	28.841820639927892	1293.2684100568727	RFC5;PRIM2;RFC3;PCNA;MCM7;LIG1;RPA1;RPA2;POLE4;POLD1;RPA3;POLE3;MCM3;MCM5;MCM6;MCM2
KEGG_2019_Mouse	Huntington disease	28/192	4.1663176395627317e-19	3.155985611968769e-17	0	0	9.200841219768666	389.3987766414589	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;HDAC1;COX4I1;ATP5A1;ATP5J;CLTA;ATP5H;ATP5G3;UQCR10;COX7C;ATP5B;UQCRFS1;POLR2L;NDUFA5;NDUFA3;NDUFC2;NDUFC1;UQCRQ;NDUFAB1;UQCRC1;TFAM;UQCRC2;SLC25A5
KEGG_2019_Mouse	Parkinson disease	25/144	4.5665621639378475e-19	2.7673366713463352e-17	0	0	10.953382404486506	462.5652395153344	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;ATP5G3;UQCR10;COX7C;ATP5B;UQCRFS1;NDUFA5;NDUFA3;NDUFC2;NDUFC1;UQCRQ;NDUFAB1;UQCRC1;UBA1;UQCRC2;SLC25A5
KEGG_2019_Mouse	Oxidative phosphorylation	23/134	1.6066684001299327e-17	8.113675420656162e-16	0	0	10.829135081689346	418.7603130276737	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB11;NDUFB5;COX4I1;NDUFA3;ATP5A1;ATP5J;NDUFC2;NDUFC1;ATP5H;ATP5G3;UQCR10;COX7C;ATP5B;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
KEGG_2019_Mouse	Alzheimer disease	25/175	5.812678383999738e-17	2.516059357645601e-15	0	0	9.013068949977468	336.9437144726078	NDUFB8;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;ATP5G3;UQCR10;COX7C;HSD17B10;ATP5B;UQCRFS1;NDUFA5;NDUFA3;NDUFC2;NDUFC1;UQCRQ;NDUFAB1;UQCRC1;CALM3;UQCRC2
KEGG_2019_Mouse	Thermogenesis	28/231	6.127415505354995e-17	2.320758622653205e-15	0	0	7.647452442405124	285.48837422035734	NDUFB8;KDM1A;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;COX4I1;ATP5A1;ATP5J;ATP5H;UQCR10;ATP5G3;COX7C;ATP5B;UQCRFS1;SMARCE1;NDUFA5;NDUFA3;ACTL6A;RPS6;NDUFC2;NDUFC1;SMARCA4;UQCRQ;NDUFAB1;UQCRC1;UQCRC2
KEGG_2019_Mouse	Spliceosome	21/132	2.0774417131037837e-15	6.994053767449404e-14	0	0	10.037281330656725	339.33678581412636	SF3B4;SF3A3;SF3B5;ALYREF;BUD31;SRSF1;LSM5;MAGOHB;PRPF19;LSM3;LSM2;LSM6;SNRPD2;PCBP1;SNRPE;SNRPB2;SNRPF;SRSF6;BCAS2;SNRPB;SRSF9
KEGG_2019_Mouse	Mismatch repair	9/22	2.3393130214293568e-11	7.088118454930951e-10	0	0	25.81015199311729	631.7958372678081	RFC5;RFC3;PCNA;LIG1;MSH2;RPA3;POLD1;RPA1;RPA2
