Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Kinase_Perturbations_from_GEO_down	TGFBR2 knockout 293 GSE46211	45/300	9.666765119945965e-31	2.7550280591846e-28	0	0	9.463722397476339	654.0515219879519	KHDRBS1;RBM28;DDX27;NDUFB10;MCM7;HDAC1;RPL12;HP1BP3;OAZ1;FBL;RPS17;RPS19;PES1;RPLP2;RPL13;RPL38;RPS2;RPL18;DDX18;DUT;NOP58;RPL21;NOP16;NDUFA5;RPS8;RPS5;RPS6;RPA1;NDUFC1;KIF22;MAGOHB;UCHL5;UCK2;EBNA1BP2;KARS;RPL37A;UBA2;LUC7L3;RPL27;RPL26;FKBP4;RPL28;RSL24D1;NOP10;SNRPB
Kinase_Perturbations_from_GEO_down	AURKA druginhibition 196 GSE57810	40/300	2.213215554981686e-25	3.153832165848903e-23	0	0	8.412197686645637	477.5619841392847	RPL5;SF3B5;AHCY;MCM7;PITPNB;HP1BP3;OLA1;NUCKS1;FBL;HINT1;PCBP1;POLD1;RUVBL1;UQCRFS1;SNRPB2;CCT7;CCT4;RFC5;NOP56;HELLS;RANBP1;NUDC;PARP1;LIG1;ACTL6A;IDH2;RPA2;KIF22;ILF2;PSMA5;LSM6;DKC1;HAT1;MCM3;SUCLG1;MCM5;MCM6;NOP10;MAD2L1;MCM2
Kinase_Perturbations_from_GEO_down	FGFR3 druginhibition 36 GDS5023	32/300	1.5190798000162775e-17	1.4431258100154637e-15	0	0	6.72975814931651	260.615549604826	AHCY;NDUFB10;MCM7;NOP2;CDCA7;YBX1;PRPF19;TYMS;LMNB2;FBL;MAT2A;PSMB3;POLD1;RBBP7;CCT7;SF3A3;MBD3;RANBP1;NAA10;ALYREF;RPA2;BAZ1B;NPM3;ILF2;HNRNPAB;BYSL;UCK2;EIF3K;PSMC4;NHP2;MCM3;FKBP4
Kinase_Perturbations_from_GEO_down	CDK8 knockdown 63 GSE19199	32/300	1.5190798000162775e-17	1.0823443575115978e-15	0	0	6.72975814931651	260.615549604826	AHCY;PSMD11;PSMD14;HDAC1;ATP5A1;SRSF1;YBX1;BZW1;LMNB2;ATP5B;C1QBP;EIF4H;CCT4;ABCF1;RFC5;RRM1;TAF15;PARP1;ALYREF;RPA1;NDUFC2;ILF2;HNRNPAB;RAD51;NASP;HAT1;MCM3;MCM5;MCM6;FKBP4;SLC25A5;MCM2
Kinase_Perturbations_from_GEO_down	PDK1 knockout 80 GSE26290	30/300	9.631800014477984e-16	5.490126008252449e-14	0	0	6.309148264984227	218.14694865722592	YWHAE;HSP90AB1;RPL10;NDUFB11;RPL11;BZW1;RPL6;RPS15;ATP5B;PCBP1;G3BP1;EIF4H;RPLP2;RPL13;UQCRFS1;RPL38;RPS2;RPL18;RPS13;RPL19;IVNS1ABP;GPX4;RPS5;PSMC5;KARS;MYBBP1A;POLE3;UQCRC1;RPL28;KPNB1
Kinase_Perturbations_from_GEO_down	SYK knockdown 191 GSE54065	29/300	7.23057120418659e-15	3.4345213219886303e-13	0	0	6.098843322818087	198.58113403929258	SF3B5;VCP;PSMD14;MCM7;HMGB1;MRPL12;LMNB2;PTBP1;HINT1;RPS16;ARHGDIA;BSG;RRS1;CCT3;NOP56;DDX18;NPM1;DUT;SSB;LSM1;RPA2;HSPE1;ILF2;UCHL5;LSM2;PSMA5;EIF3I;MCM3;KPNB1
Kinase_Perturbations_from_GEO_down	AKT1 activemutant 216 GSE9484	29/300	7.23057120418659e-15	2.943875418847397e-13	0	0	6.098843322818087	198.58113403929258	NDUFB8;SET;NDUFB10;UQCRB;NDUFB6;MRPS36;NDUFB11;NDUFB5;COX4I1;ATP5A1;HP1BP3;ATP5J;ATP5H;OAZ1;SNRPD2;GPX4;NDUFA5;POLR3GL;NDUFA3;ACTL6A;TBCB;NDUFC1;DYNLL2;PSMA4;HNRNPUL1;UQCRC1;SLC25A5;NOP10;GSTM5
Kinase_Perturbations_from_GEO_down	SYK knockdown 190 GSE54065	28/300	5.2116911875341395e-14	1.8566649855590376e-12	0	0	5.888538380651946	180.10263576263688	SLBP;VCP;PCNA;MCM7;HNRNPR;HMGB1;PTBP1;HINT1;CCND2;C1QBP;G3BP1;NUP62;UQCRFS1;HSP90AA1;IDH2;RPA1;KIF22;ILF2;HNRNPAB;PSMA3;RAD51;MSH2;ANP32E;MCM3;SNRPE;MCM5;SRSF6;ASF1B
Kinase_Perturbations_from_GEO_down	KIT activemutant 55 GSE17743	27/300	3.602818691910934e-13	1.1408925857717955e-11	0	0	5.678233438485805	162.6921181694746	SLBP;NDUFB10;OLA1;AK2;ATP5H;YBX1;ATP5G3;MRPL12;BZW1;RPS16;SNRPD2;RPL38;RPS2;CCT3;DDX18;SSB;HSBP1;CBX3;RCC2;NDUFC2;HSPE1;RAD23B;BYSL;HAT1;RPL37A;NOP10;SRSF9
Kinase_Perturbations_from_GEO_down	GSK3A knockdown 201 GDS4305	26/300	2.38586808058008e-12	6.799724029653229e-11	0	0	5.467928496319663	146.3297392535969	RBM28;AHCY;DDX27;COX4I1;NOP2;FBL;RUVBL1;CCT4;ABCF1;NUDC;NPM1;HSPA4;CD3EAP;RPL23A;TUFM;PSMA6;EBNA1BP2;KARS;MYBBP1A;EIF3K;DKC1;PSME3;NHP2;CCDC86;SRPRB;SLC25A5
