Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
L1000_Kinase_and_GPCR_Perturbations_down	NEK7 knockdown 96h HEPG2	36/300	2.418536070509495e-21	8.813145440936599e-18	0	0	7.570977917981073	359.4028355227124	RPL5;KHDRBS1;RPL30;RPL32;RPL34;PITPNB;RPL12;RPLP0;RPL11;UQCR10;HMGB1;RPL9;PMF1;RPL6;RPL7;RPS15;RPS16;RPS15A;RPS19;PES1;RPLP2;RPS27A;RPS13;RPL19;CCT4;NUDC;RPL21;BUD31;RPL22;RPS6;RPL23A;EIF2S2;RAD23B;EEF1G;PSMA4;RPL27
L1000_Kinase_and_GPCR_Perturbations_down	DYRK3 knockdown 96h A549	33/300	1.8019428444357496e-18	3.2831398625619358e-15	0	0	6.94006309148265	283.554781428169	RPL5;RPL30;RPL32;MCM7;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;RPS16;RPS15A;RPS19;POLD1;RPS3;RPL13;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPS6;EEF1G;NUDT21;RAD51;HAT1;RPL27;ASF1B
L1000_Kinase_and_GPCR_Perturbations_down	EIF2AK3 knockdown 96h HEPG2	31/300	1.233205515126562e-16	1.4979336323737304e-13	0	0	6.5194532071503675	238.8189448073589	RPL5;RPL30;RPL32;RPL34;RPL12;RPLP0;UQCR10;RPL9;RPL6;RPL7;RPS15;MRPL20;RPS16;RPS15A;RPS19;PES1;CCT8;RPS2;RPS27A;RPS13;RPL19;SSB;RPL21;API5;BUD31;RPL22;RPS6;RPL23A;EIF2S2;EEF1G;RPL27
L1000_Kinase_and_GPCR_Perturbations_down	SCNN1A knockdown 96h HA1E	30/300	9.631800014477984e-16	8.77456981318944e-13	0	0	6.309148264984227	218.14694865722592	RPL30;RPL10;HNRNPR;HMGB1;RPL9;RPL6;RPL7;RPS15;MRPL20;PSMB4;RPS15A;RCC1;RPL13;CCT8;RPL18;RPS27A;RPS13;RANBP1;NPM1;CBX5;GLRX3;TXNRD3;TAF12;RPL22;RPS6;RPA1;EEF1G;RPL27;LSM14A;KPNB1
L1000_Kinase_and_GPCR_Perturbations_down	RXRA knockdown 96h HT29	29/300	7.23057120418659e-15	5.269640293611185e-12	0	0	6.098843322818087	198.58113403929258	RPL30;RPL32;MCM7;RPL12;RPLP0;HNRNPR;HMGB1;RPL9;LMNB2;RPS15;POLD1;G3BP1;RPS13;RPL19;NPM1;RPL21;PARP1;LIG1;RPL22;RPS6;RPA1;RPL23A;EEF1G;RAD51;RPA3;MCM3;TFAM;RPL27;MCM5
L1000_Kinase_and_GPCR_Perturbations_down	PRKACB knockdown 96h A375	28/300	5.2116911875341395e-14	3.165233781229068e-11	0	0	5.888538380651946	180.10263576263688	PITPNB;RPL12;RPLP0;HMGB1;RPL9;BZW1;RPL6;ADH5;RPS15A;PES1;RUVBL1;G3BP1;CCT8;RPS2;RPS13;RANBP1;RFC3;PARP1;RPA1;RPL23A;BAZ1B;UCHL5;EEF1G;UCK2;DKC1;PSME3;HAT1;RPL27
L1000_Kinase_and_GPCR_Perturbations_down	BRAF knockdown 96h HT29	27/300	3.602818691910934e-13	1.8755244733319203e-10	0	0	5.678233438485805	162.6921181694746	PCNA;MCM7;PSMD13;RPLP0;MRPL12;RPL9;MRPL20;PES1;RUVBL1;G3BP1;BRIX1;BTF3;RANBP1;NPM1;RPL21;GLRX3;RPL23A;DRAP1;EBNA1BP2;RAD51;DKC1;RPA3;NDUFAB1;RPL27;MCM5;PFDN4;ASF1B
L1000_Kinase_and_GPCR_Perturbations_down	GSK3A knockdown 96h HT29	27/300	3.602818691910934e-13	1.6410839141654303e-10	0	0	5.678233438485805	162.6921181694746	RPL30;RPL32;KDM1A;MCM7;RPL34;RPL12;SRSF1;RPL9;TMEM165;RPS15A;RPS19;MAT2A;RUVBL1;RPL13;RPL18;DUT;PARP1;API5;RPL23;RPS6;RPA1;RPL23A;EEF1G;NASP;RPL27;MCM5;ASF1B
L1000_Kinase_and_GPCR_Perturbations_down	DYRK3 knockdown 96h HT29	26/300	2.38586808058008e-12	9.660114761815348e-10	0	0	5.467928496319663	146.3297392535969	RPL5;RPL30;RPL32;RPL12;RPL9;RPL6;RPL7;EEF1B2;RPS16;RPS3;RPL18;RPS13;RPL19;POLR2L;RANBP1;GINS2;CBX5;RPL21;LIG1;RPS8;RPS6;EEF1G;NASP;RPL27;MCM5;EIF3F
L1000_Kinase_and_GPCR_Perturbations_down	CSNK1G2 knockdown 96h A549	25/300	1.511595863418992e-11	5.508255326298806e-09	0	0	5.257623554153524	130.99511076237124	SLBP;SET;RPL32;MEAF6;RPN1;RPS15;RPS19;RPL13;RPL18;CCT7;RPL19;CCT4;POLR2L;CCT3;RAB2A;RRM1;BUD31;RPA1;CD3EAP;TBCB;NPM3;LSM3;PSMA3;RPL27;MCM5
