Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
L1000_Kinase_and_GPCR_Perturbations_up	PAK1 knockdown 96h HCC515	24/300	9.149839995554756e-11	3.334201694380152e-07	0	0	5.047318611987381	116.66725365614936	SF3B5;RBM28;RPL32;RPS8;RPL34;RPL12;ATPIF1;RPL11;ATP5A1;RPS6;POMP;HNRNPR;RPL23A;HSD17B10;RPL6;RPS15;RPS16;RPL13;MCM6;RPL18;SLC25A5;RPS13;PPID;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	PAK3 knockdown 96h HEPG2	24/300	9.149839995554756e-11	1.6671008471900765e-07	0	0	5.047318611987381	116.66725365614936	RPL30;PSMD11;RPL32;RPL21;RPS8;RPS5;BUD31;RPLP0;ATP5A1;OLA1;RPL23A;UQCR10;RPL9;OAZ1;EEF1G;FBL;RPS16;RPS15A;RPS19;RPL37A;RPLP2;RPL27;RPS21;RPS13
L1000_Kinase_and_GPCR_Perturbations_up	MAP2K5 knockdown 96h PC3	24/300	9.149839995554756e-11	1.1114005647933841e-07	0	0	5.047318611987381	116.66725365614936	RPL30;UBE2I;RPL32;RPL21;RPL34;RPS5;BUD31;RPLP0;RPL23A;HMGB1;RPL9;RPL6;RPS15;EEF1B2;EEF1G;ATP5B;RPS16;RPS15A;RPS19;RPS3;RPL27;RPS27A;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	GPR133 knockdown 96h A549	22/300	2.9061056896465205e-09	2.6474622832679798e-06	0	0	4.6267087276550996	90.94467757434805	MCTS1;RPL5;RPL30;PCNA;UBE2I;RPL21;UQCRB;RPS8;RPL22;RPS6;LSM1;RPL9;COX7C;RPL6;RPL7;PSMA5;RPS17;EIF3M;RPS15A;RPL13;SUCLG1;RSL24D1
L1000_Kinase_and_GPCR_Perturbations_up	IRAK2 knockdown 96h HCC515	21/300	1.5197954897623032e-08	1.1076269529387663e-05	0	0	4.41640378548896	79.50456451134853	SF3B5;RBM28;RPL32;RPL21;RPS8;RPL34;RPL12;ATPIF1;ATP5A1;RPS6;RPL23A;HSD17B10;RPL6;RPS15;RPS16;RRS1;RPL13;UQCRC2;RPL18;SLC25A5;RPS13
L1000_Kinase_and_GPCR_Perturbations_up	DAPK1 knockdown 96h HEPG2	21/300	1.5197954897623032e-08	9.230224607823053e-06	0	0	4.41640378548896	79.50456451134853	RPL30;CBX5;CBX3;RPLP0;ATP5A1;AK2;RPL23A;UQCR10;BAZ1B;HSPE1;RPL9;EEF1G;FBL;RPS15A;RPS19;G3BP1;RPL37A;RPL27;SNRPE;RPL28;RPS13
L1000_Kinase_and_GPCR_Perturbations_up	CD97 knockdown 96h HCC515	20/300	7.542960622436683e-08	3.926649786879896e-05	0	0	4.206098843322819	68.98029856364214	RPL5;RPL30;RPL21;RPL34;RPLP0;RPS6;RPL23A;RPL9;RPL6;RPS15;EEF1G;RPS16;RPS15A;RPL27;RPS2;EIF3F;RPL18;RPS27A;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	CHRM1 knockdown 96h HCC515	20/300	7.542960622436683e-08	3.4358185635199085e-05	0	0	4.206098843322819	68.98029856364214	MCTS1;RPL30;RPL32;RPL21;RPL31;RPLP0;RPS6;RPL23A;LMNB2;RPL7;TUFM;EEF1G;HINT1;PSMB4;RAD51;RPL13;UQCRC2;CCT8;FKBP4;PPID
L1000_Kinase_and_GPCR_Perturbations_up	ERBB2 knockdown 96h HCC515	20/300	7.542960622436683e-08	3.0540609453510305e-05	0	0	4.206098843322819	68.98029856364214	SF3B5;RBM28;RPL32;RPL21;RPL10;RPS8;RPS5;RPLP0;ATPIF1;RPL11;RPL23A;RPL6;RPS16;RPS19;RPL13;UQCRC2;RPL18;RPS27A;SLC25A5;ABCF2
L1000_Kinase_and_GPCR_Perturbations_up	PIM3 knockdown 96h HEPG2	20/300	7.542960622436683e-08	2.748654850815927e-05	0	0	4.206098843322819	68.98029856364214	KHDRBS1;NPM1;RAB5C;RPS8;RPL22;OLA1;HMGB3;HSPE1;NUDT21;ORC4;LSM6;PSME3;RCC1;TMED2;RPL27;SNRPF;RBBP7;SRSF6;KPNB1;MAD2L1
L1000_Kinase_and_GPCR_Perturbations_up	CHEK2 knockdown 96h MCF7	20/300	7.542960622436683e-08	2.4987771371053878e-05	0	0	4.206098843322819	68.98029856364214	BTF3;RPL30;RPL32;RPL21;RPL34;RPLP0;RPL11;RPL23A;RPL9;RPL6;RPL7;RPS15;EEF1G;RPS17;LSM6;RPS3;RPL27;RPL28;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	STK38L knockdown 96h PC3	20/300	7.542960622436683e-08	2.2905457090132724e-05	0	0	4.206098843322819	68.98029856364214	RPL30;RPL32;RPL21;RPL34;RPL12;BUD31;RPLP0;RPL23A;HMGB1;RPL9;RPS15;EEF1B2;RPS16;RPS15A;RPS19;RPS3;RPL27;RPS27A;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	GPR125 knockdown 96h A549	19/300	3.545625768406102e-07	9.938661769286028e-05	0	0	3.9957939011566777	59.34705335807839	HSP90AB1;DDX27;RPL32;RPL10;NONO;RPLP0;RPS6;RPA1;RPL23A;RPL7;RPS15;EEF1G;RPS19;MYBBP1A;RPL13;CCT8;TARDBP;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	GPRC6A knockdown 96h HA1E	19/300	3.545625768406102e-07	9.228757357194167e-05	0	0	3.9957939011566777	59.34705335807839	RFC3;RPL32;RPL21;TAF12;RPL34;RPLP0;RPL23A;RPL7;SMARCA4;RPS15;EEF1G;ORC4;RPS19;RUVBL1;RRS1;RPL27;RPS27A;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	MELK knockdown 96h HCC515	19/300	3.545625768406102e-07	8.613506866714557e-05	0	0	3.9957939011566777	59.34705335807839	RPL32;RPL21;RPL10;RPS8;RPL23A;RPL9;RPL7;RPS15;EEF1G;RPS16;RPLP2;RPL13;RPL27;RPS2;EIF3F;RPL18;RPS27A;RPS13;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	TAAR1 knockdown 96h HCC515	19/300	3.545625768406102e-07	8.075162687544897e-05	0	0	3.9957939011566777	59.34705335807839	SF3B5;RBM28;RPL32;RPS8;RPL34;RPL12;ATPIF1;RPS6;UBE2D1;RPL23A;HSD17B10;RPL6;RPS16;C1QBP;RPS3;PFDN4;RPS13;PPID;RPL19
L1000_Kinase_and_GPCR_Perturbations_up	NR1H4 knockdown 96h HEPG2	19/300	3.545625768406102e-07	7.600153117689315e-05	0	0	3.9957939011566777	59.34705335807839	RPL30;PSMD11;RPL21;NOP16;BUD31;ATP5A1;NOP2;AK2;RPL23A;RPL9;EEF1G;FBL;RPS15A;RPS19;RPA3;RPL37A;RPLP2;RPL27;RPL28
