Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-PI-103-10	34/144	2.6581052070802955e-30	8.803910256370646e-26	0	0	14.896600070101647	1014.4575597908592	PCNA;MCM7;MAK16;TYMS;CCND2;PSMB3;C1QBP;RUVBL1;RRS1;USP1;ABCF2;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM2;LIG1;NOP16;LSM5;SMC1A;HSPE1;HNRNPAB;UCHL5;LSM6;RAD51;DKC1;ANP32E;MCM3;MCM5;MCM6;SNRPB;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-foretinib-10	37/183	2.9173300595397887e-30	4.831244445100867e-26	0	0	12.7562014100774	867.5095090017091	PCNA;MCM7;MRPL12;TYMS;LMNB2;C1QBP;POLD1;RUVBL1;RRS1;BRIX1;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM1;RRM2;NOP16;HNRNPAB;UCHL5;BYSL;LSM6;RAD51;DKC1;PSME3;POLE3;NHP2;ANP32E;MCM3;CCDC86;MCM5;SNRPF;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-radicicol-10	38/212	5.260643686975962e-29	5.807925985211028e-25	0	0	11.308850663650972	736.3725800658798	AHCY;MCM7;SRSF1;AK2;HMGB3;MRPL12;TYMS;LMNB2;FBL;CCND2;C1QBP;ARHGDIA;RUVBL1;RRS1;RCC1;RPS2;NOP56;RANBP1;GINS2;NPM1;RFC3;DUT;RRM2;LIG1;NOP16;RPL22;CD3EAP;NPM3;LSM6;RAD51;MSH2;DKC1;NHP2;MCM3;SNRPE;MCM6;MAD2L1;MCM2
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-torin-2-1.11	32/145	1.4432514807691087e-27	1.1950483073638412e-23	0	0	13.923637550310021	860.5211648151013	PCNA;MCM7;SRSF1;MAK16;HMGB1;TYMS;CCND2;G3BP1;USP1;RFC5;NOP56;HELLS;GINS2;RANBP1;RFC3;RRM1;RRM2;LIG1;NOP16;HNRNPAB;RAD51;MSH2;NASP;PSME3;ANP32E;MCM3;TFAM;MCM5;MCM6;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-ZSTK-474-10	28/99	1.5725149561946533e-27	1.0416653572824623e-23	0	0	17.84405569894529	1101.2837498808628	PCNA;MCM7;PRPF19;TYMS;C1QBP;USP1;ABCF2;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM2;LIG1;NOP16;UCHL5;UCK2;DKC1;HAT1;ANP32E;MCM3;SNRPE;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-XMD16-144-10	37/223	5.304829520898021e-27	2.9283543093610554e-23	0	0	10.46809353383033	633.3320098369329	MCM7;MAK16;MRPL12;TYMS;ADH5;FBL;C1QBP;ARHGDIA;POLD1;RUVBL1;RRS1;BRIX1;SF3A3;NOP56;DDX18;RANBP1;GINS2;NPM1;RFC3;DUT;RRM2;NOP16;CD3EAP;NPM3;BYSL;UCK2;LSM6;DKC1;ANP32E;NHP2;MCM3;CCDC86;SRPRB;SNRPE;MCM5;MCM6;MCM2
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-GSK-2126458-3.33	31/145	2.778984246914925e-26	1.3148962463152746e-22	0	0	13.488523876862832	793.7338997094472	PCNA;MCM7;MAK16;TYMS;CCND2;C1QBP;RUVBL1;RRS1;ABCF2;NOP56;GINS2;RANBP1;HSP90AA1;RFC3;RRM2;LIG1;NOP16;PARP1;CD3EAP;HSPE1;HNRNPAB;UCHL5;UCK2;DKC1;MCM3;TFAM;SNRPE;MCM5;MCM6;ASF1B;MCM2
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-TG-101348-10	35/205	5.034292758022793e-26	2.0842601304809118e-22	0	0	10.771716549973073	627.4626076275479	MCM7;TYMS;LMNB2;FBL;C1QBP;ARHGDIA;RUVBL1;RRS1;BRIX1;RFC5;NOP56;RANBP1;GINS2;NPM1;RFC3;DUT;RRM1;RRM2;NOP16;NPM3;HNRNPAB;RAD51;DKC1;POLE3;NHP2;MCM3;TFAM;SNRPE;MCM5;SNRPF;MCM6;ASF1B;MAD2L1;SNRPB;MCM2
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-WH-4-025-10	34/197	1.815834060451123e-25	6.682471101800182e-22	0	0	10.88888533042963	620.3189170230182	PCNA;MCM7;TYMS;LMNB2;C1QBP;POLD1;RUVBL1;RRS1;RFC5;NOP56;HELLS;RANBP1;GINS2;RFC3;DUT;RRM1;RRM2;LIG1;NOP16;NPM3;UCHL5;BYSL;UCK2;RAD51;POLE3;ANP32E;MCM3;CCDC86;MCM5;MCM6;ASF1B;MAD2L1;SNRPB;MCM2
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-AZD-8330-0.37	31/163	1.2232017272203952e-24	4.051366440726671e-21	0	0	11.99899363279209	660.6714341775523	PCNA;MCM7;TYMS;LMNB2;C1QBP;RRS1;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM1;RRM2;LIG1;NOP16;CD3EAP;HNRNPAB;BYSL;UCK2;RAD51;DKC1;NHP2;ANP32E;MCM3;CCDC86;SRPRB;MCM5;MCM6;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 PC3 24H-GSK-2126458-3.33	31/164	1.4873027709767847e-24	4.478268643411099e-21	0	0	11.925829037470185	654.3115400352626	PCNA;MCM7;TYMS;LMNB2;CCND2;C1QBP;RUVBL1;G3BP1;RRS1;NOP56;HELLS;GINS2;RANBP1;RFC3;RRM2;LIG1;PARP1;ILF2;HNRNPAB;UCHL5;RAD51;MSH2;HAT1;POLE3;MCM3;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-GSK-2126458-10	30/155	4.114261311673351e-24	1.1355704075327753e-20	0	0	12.211254706421087	657.5465504220448	PCNA;MAK16;TYMS;CCND2;C1QBP;RUVBL1;G3BP1;RRS1;NOP56;GINS2;RANBP1;HSP90AA1;RFC3;RRM2;NOP16;PARP1;LSM5;SMC1A;HSPE1;HNRNPAB;EBNA1BP2;DKC1;NDUFAB1;MCM3;TFAM;MCM5;SNRPF;MCM6;SNRPB;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-withaferin-a-0.04	31/173	8.125810555972736e-24	2.070269010956716e-20	0	0	11.305410185809887	601.0747065824257	HSP90AB1;PCNA;MCM7;TACSTD2;TYMS;LMNB2;C1QBP;RRS1;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM1;RRM2;NOP16;CD3EAP;NPM3;HNRNPAB;BYSL;UCK2;RAD51;DKC1;ANP32E;MCM3;CCDC86;MCM5;MCM6;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-TG-101348-10	33/205	9.7074338123213e-24	2.2965708235563846e-20	0	0	10.156189889974609	538.167872224691	PCNA;MCM7;TACSTD2;HMGB1;TYMS;FBL;CCND2;NUP62;RFC5;NOP56;HELLS;RANBP1;GINS2;NPM1;RFC3;RRM1;RRM2;LIG1;NOP16;CD3EAP;NPM3;RAD51;RPL37A;ANP32E;MCM3;TFAM;SNRPE;MCM5;MCM6;ASF1B;MAD2L1;SNRPB;MCM2
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-trametinib-1.11	31/176	1.3983608658290782e-23	3.087674015808327e-20	0	0	11.112704330369947	584.7966906894263	PCNA;MCM7;NOP2;MRPL12;TYMS;LMNB2;ARHGDIA;C1QBP;RRS1;NOP56;GINS2;RANBP1;RFC3;RRM1;RRM2;LIG1;NOP16;CD3EAP;NPM3;BYSL;UCK2;RAD51;DKC1;NHP2;MCM3;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-OSI-027-10	29/152	3.721978659644177e-23	7.704728449129675e-20	0	0	12.03719076871991	621.6631453232268	PCNA;MCM7;MAK16;TYMS;LMNB2;CCND2;C1QBP;USP1;RFC5;NOP56;GINS2;RANBP1;RFC3;RRM1;RRM2;HSPA4;CD3EAP;RPA2;SMC1A;UCHL5;HAT1;ANP32E;MCM3;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-NVP-BEZ235-0.37	29/154	5.500736429358413e-23	1.0717052428045882e-19	0	0	11.88086361587939	608.9486171579695	PCNA;MCM7;HMGB1;TYMS;LMNB2;CCND2;RUVBL1;USP1;RFC5;NOP56;HELLS;GINS2;RANBP1;RFC3;RRM1;RRM2;LIG1;RPA2;RAD51;MSH2;NASP;ANP32E;MCM3;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 HT29 24H-crizotinib-10	29/155	6.67213592684125e-23	1.2277100779606055e-19	0	0	11.804212882873713	602.7410179860783	MCM7;MRPL12;TYMS;LMNB2;POLD1;RFC5;HELLS;GINS2;RANBP1;RFC3;DUT;RRM1;RRM2;LIG1;NOP16;LSM6;RAD51;RPA3;HAT1;POLE3;ANP32E;MCM3;TFAM;MCM5;SNRPF;MCM6;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-GDC-0980-10	28/141	6.744169363312903e-23	1.175650702538351e-19	0	0	12.528805065216904	639.6052560790457	PCNA;MAK16;MRPL12;TYMS;LMNB2;C1QBP;RUVBL1;RRS1;ABCF2;RFC5;NOP56;GINS2;RANBP1;RFC3;DUT;RRM2;NOP16;SMC1A;NPM3;ILF2;HNRNPAB;UCHL5;DKC1;MCM3;MCM5;MCM6;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 24H-NVP-BEZ235-1.11	27/129	9.211140969646231e-23	1.525411000278264e-19	0	0	13.205194042990243	670.018913817574	PCNA;MCM7;MAK16;HMGB1;TYMS;CCND2;RFC5;NOP56;HELLS;GINS2;RANBP1;RFC3;RRM2;LIG1;RPA2;ILF2;MSH2;NASP;HAT1;ANP32E;MCM3;MCM5;MCM6;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 HT29 24H-JW-7-24-1-10	29/158	1.1802937280685282e-22	1.8615480270170343e-19	0	0	11.580082258515356	584.691192258111	YWHAE;PCNA;MCM7;TACSTD2;TYMS;LMNB2;CCND2;C1QBP;POLD1;NUP62;RFC5;GINS2;RANBP1;RFC3;DUT;RRM1;RRM2;LIG1;RPA1;LSM3;LSM6;MSH2;HAT1;MCM3;MCM5;MCM6;ASF1B;MCM2;MAD2L1
LINCS_L1000_Chem_Pert_down	LJP006 PC3 24H-GSK-2126458-0.37	26/120	2.267040644662839e-22	3.4130296905399043e-19	0	0	13.66982124079916	681.2819744413632	PCNA;MCM7;TYMS;LMNB2;C1QBP;RRS1;NOP56;GINS2;RANBP1;RFC3;RRM2;LIG1;NOP16;PARP1;IDH2;HNRNPAB;UCHL5;RAD51;RPA3;HAT1;POLE3;MCM3;MCM5;MCM6;PPID;MCM2
LINCS_L1000_Chem_Pert_down	LJP007 HT29 24H-PD-0325901-0.12	29/162	2.475906945505834e-22	3.565413649656467e-19	0	0	11.294154301514974	561.8871725497369	EIF4A1;HSP90AB1;MCM7;NOP2;TYMS;LMNB2;ARHGDIA;C1QBP;RRS1;NOP56;GINS2;RANBP1;HSP90AA1;RFC3;RRM2;NOP16;CD3EAP;UCHL5;BYSL;UCK2;RAD51;DKC1;POLE3;MCM3;CCDC86;MCM5;MCM6;MCM2;MAD2L1
