Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Ligand_Perturbations_up	BTC-MCF10A	22/161	1.1701318099724722e-14	1.1233265375735733e-12	0	0	8.621196386934969	276.56000463578914	RFC5;GINS2;HSP90AA1;RFC3;DUT;RRM2;SMC1A;TYMS;UCHL5;MRPL20;LSM6;RAD51;MSH2;PSME3;C1QBP;RPA3;RUVBL1;MCM3;SNRPB;ASF1B;MCM2;MAD2L1
LINCS_L1000_Ligand_Perturbations_up	EPR-MCF10A	11/170	8.806330035093275e-05	0.004227038416844772	0	0	4.082390053813324	38.11913211317509	GINS2;RFC3;LIG1;NOP16;DKC1;RRS1;MCM3;SMC1A;TYMS;ASF1B;MAD2L1
LINCS_L1000_Ligand_Perturbations_up	HGF-BT20	10/160	0.00024309540206650395	0.0077790528661281265	0	0	3.943217665615142	32.815680562202864	NOP56;NPM1;CCND2;PCNA;RRM2;C1QBP;SMC1A;TYMS;TARDBP;RAD23B
LINCS_L1000_Ligand_Perturbations_up	TGFA-MCF10A	9/160	0.0010503184805022163	0.02520764353205319	0	0	3.548895899053628	24.340676898404503	RFC5;HSP90AA1;RFC3;RRM2;RPA3;ANP32E;ASF1B;MCM2;MAD2L1
LINCS_L1000_Ligand_Perturbations_up	BTC-MCF7	7/155	0.01194387138453172	0.22932233058300897	0	0	2.8492927648315862	12.6153491031134	YWHAE;EIF4A1;RANBP1;HSP90AA1;RPL10;RRS1;SMARCA4
LINCS_L1000_Ligand_Perturbations_up	FGF1-MCF7	6/145	0.02821406357531626	0.4514250172050602	0	0	2.6106820406831286	9.314743088020533	EIF4A1;NOP16;RRS1;SRSF6;SMC1A;BZW1
LINCS_L1000_Ligand_Perturbations_up	KGF-MCF7	6/149	0.031642986713230715	0.4339609606385926	0	0	2.540596616772172	8.773286669368938	EIF4A1;HSP90AA1;CCND2;PSMB3;SRSF6;SMC1A
LINCS_L1000_Ligand_Perturbations_up	TGFA-MCF7	6/158	0.040320608805628884	0.4838473056675466	0	0	2.395879087968694	7.692910328603754	CCND2;RPL37A;RRS1;RPS11;SRSF6;BZW1
LINCS_L1000_Ligand_Perturbations_up	EGF-HS578T	6/159	0.04136890906601713	0.4412683633708494	0	0	2.3808106660317843	7.583419246539429	GINS2;PCNA;RRM2;RPA3;RRS1;BZW1
LINCS_L1000_Ligand_Perturbations_up	EGF-MCF10A	6/160	0.04243427991781845	0.407369087211057	0	0	2.3659305993690847	7.475864561752314	HSP90AA1;RFC3;RRM2;MCM3;ASF1B;MAD2L1
LINCS_L1000_Ligand_Perturbations_up	IL4-HS578T	5/149	0.08876487921623255	0.7746753095234841	0	0	2.1171638473101435	5.127271635378191	CCND2;G3BP1;RPL37A;CCDC86;RPS11
LINCS_L1000_Ligand_Perturbations_up	HBEGF-HS578T	5/154	0.09867560219636748	0.7894048175709397	0	0	2.048424761358515	4.743982864160201	PCNA;RRM2;RPL31;TACSTD2;TYMS
LINCS_L1000_Ligand_Perturbations_up	BNGF-BT20	5/155	0.10072220642909666	0.7437947551687137	0	0	2.0352091177368474	4.671596586796139	YWHAE;EIF4A1;PCNA;C1QBP;G3BP1
LINCS_L1000_Ligand_Perturbations_up	EPG-MDAMB231	5/162	0.11563369323437706	0.7929167536071569	0	0	1.9472679830198232	4.2008955509717465	YWHAE;CCND2;RAB5C;RBBP4;MAT2A
LINCS_L1000_Ligand_Perturbations_up	IL17-BT20	4/132	0.1579302577196247	1.0	0	0	1.911863110601281	3.5285379031481967	YWHAE;RPL37A;RPL38;SNRPE
LINCS_L1000_Ligand_Perturbations_up	EPG-MCF7	4/146	0.20186764035419832	1.0	0	0	1.7285337712285551	2.765901287100057	EIF5B;RPL37A;LUC7L3;RPL38
LINCS_L1000_Ligand_Perturbations_up	EGF-MCF7	4/146	0.20186764035419832	1.0	0	0	1.7285337712285551	2.765901287100057	RRS1;CCDC86;SMC1A;BZW1
LINCS_L1000_Ligand_Perturbations_up	HGF-MDAMB231	4/151	0.21837035397136031	1.0	0	0	1.6712975536382062	2.5429841623072718	CCND2;ARHGDIA;SMC1A;ADH5
LINCS_L1000_Ligand_Perturbations_up	BFGF-HS578T	4/155	0.2318255379078173	1.0	0	0	1.6281672941894783	2.380006401921434	GINS2;RRM2;TACSTD2;TYMS
LINCS_L1000_Ligand_Perturbations_up	EGF-MDAMB231	4/156	0.23522121029516324	1.0	0	0	1.61773032435493	2.3412260571014265	RPL37A;RPL38;SNRPE;SMC1A
LINCS_L1000_Ligand_Perturbations_up	GAS6-HS578T	4/159	0.24547850792475864	1.0	0	0	1.587207110687856	2.2293052075066	UBE2I;IDH2;TACSTD2;RAD23B
LINCS_L1000_Ligand_Perturbations_up	BTC-MDAMB231	4/160	0.2489197462774683	1.0	0	0	1.5772870662460567	2.193414414156332	IVNS1ABP;RRS1;YBX1;FKBP4
