Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ligand_Perturbations_from_GEO_down	estradiol human endometrial cancer cells GSE56946 ligand:226	71/387	4.9268193564333536e-55	1.2858998520291055e-52	0	0	11.574923173485274	1447.4150492262147	RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;CLTA;ATP5G3;RPL9;COX7C;RPL6;RPL7;TRMT112;FBL;HINT1;C1QBP;RPLP2;RPS13;WLS;CCT3;GPX4;HSBP1;RPS5;ILF2;SND1;DDOST;EEF1G;PSMA6;NCL;NHP2;MCM3;RPL27;UQCRC2;MCM6;SLC25A5;RPL28;VCP;RPL10;PSMD14;PSMD13;HDAC1;RPL11;POMP;ATP5A1;RPN1;ATP5J;MRPL12;TYMS;MRPL20;ATP5B;PSMB4;RPS15A;MAT2A;PCBP1;RPS27A;CCT7;BTF3;GINS2;RPA1;RPA2;TBCB;HSPE1;SMARCA4;ARPC3;EIF3I;NDUFAB1;POLE3;RPL22L1;RPS21
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GDS1275 ligand:272	73/431	4.956367523003379e-54	6.46805961751941e-52	0	0	10.686028383847995	1311.5916032634598	YWHAE;HSP90AB1;MCM7;RPLP0;CLTA;EEF1B2;HINT1;SNRPD2;NUP62;UQCRFS1;RPS11;CCT3;HSP90AA1;LIG1;RPS8;RPL22;ACTL6A;NDUFC2;SMC1A;RAD23B;HAT1;RPL37A;UQCRC1;SNRPE;MCM5;UQCRC2;MCM6;PPID;ASF1B;SNRPB;MCM2;SLBP;PCNA;UQCRB;MRPS36;HDAC1;SRSF1;CDCA7;ATP5J;ATP5H;ADH5;PSMB7;PSMB4;MAT2A;PCBP1;G3BP1;RPL13;CCT8;RBBP7;CCT7;MCTS1;NOP56;RANBP1;DUT;NPM1;RRM1;RRM2;RPA1;HSPE1;HNRNPAB;NUDT21;ARPC3;RPA3;OSTC;EIF3I;ANP32E;UBA2;UBA1;EIF3F;TARDBP;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GSE2889 ligand:154	73/437	1.3877007354829656e-53	1.2072996398701803e-51	0	0	10.539309458669305	1282.7326269553735	EIF4A1;HSP90AB1;MCM7;COX4I1;RPLP0;CLTA;HMGB1;BZW1;FBL;HINT1;SNRPD2;UQCRFS1;SKP1A;RPS13;HSP90AA1;RPL21;RPS8;BUD31;RPL22;ACTL6A;NDUFC2;NDUFC1;PSMA6;PSMA3;HAT1;TFAM;RPL27;SNRPE;UQCRC2;PPID;MCM2;SLBP;PCNA;NDUFB11;NDUFB5;HDAC1;RPL12;POMP;SRSF1;CDCA7;ATP5J;ATP5H;PSMB6;MRPL20;RPS15A;MAT2A;PCBP1;USP1;EIF4H;RPL13;RBBP7;RPL18;RPS27A;MCTS1;DUT;RRM1;RRM2;NDUFA3;RPA1;HSPE1;LSM3;NUDT21;ARPC3;RPA3;OSTC;EIF3I;ANP32E;UBA2;EIF3F;RPS21;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GDS1275 ligand:273	71/433	1.7496435355931174e-51	1.1416424069745092e-49	0	0	10.34525466082864	1209.0750270697993	YWHAE;EIF4A1;HSP90AB1;MCM7;RPL34;COX4I1;CLTA;HMGB1;EEF1B2;FBL;HINT1;RPS11;SKP1A;CCT3;HELLS;HSP90AA1;RPL21;RPS8;RPL22;ACTL6A;NDUFC2;KIF22;HAT1;TFAM;RPL27;SNRPE;UQCRC2;MCM6;SRSF6;PPID;ASF1B;SNRPB;MCM2;SLBP;PCNA;NDUFB6;MRPS36;HDAC1;RPL12;SRSF1;CDCA7;ATP5J;ATP5H;PSMB7;ATP5B;PSMB4;RPS15A;PCBP1;G3BP1;CCT8;RBBP7;RPS27A;IVNS1ABP;DUT;NPM1;RRM1;RRM2;API5;HNRNPAB;NUDT21;PSMC4;ARPC3;RPA3;OSTC;ANP32E;TCEA1;UBA2;EIF3F;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_down	fibroblast growth factor 2 (FGF2) human embryonic fibroblast GDS2422 ligand:9	59/265	9.434161588212663e-51	4.92463234904701e-49	0	0	14.046782929587526	1618.0138428313164	RPL5;EIF4A1;RPL30;RPL31;RPL34;COX4I1;CDCA7L;RPLP0;NUCKS1;ATP5G3;COX7C;RPL6;RPS17;HINT1;RPS16;SNRPD2;RPS19;RPLP2;RPL38;RPS13;HSBP1;RPS8;RPL23;RPS6;ILF2;EEF1G;DAD1;RPL37A;MCM3;RPL27;SNRPE;RPL26;SNRPF;SLC25A5;SF3B5;NDUFB8;RPL12;RPL11;ATP5J;ATP5H;UQCR10;PSMB6;PSMB7;RPS15A;PSMB3;RPS3;RPS27A;RPL19;POLR2L;SF3A3;NPM1;TAF15;NONO;RPL23A;HSPE1;LSM3;UQCRQ;RPS21;NOP10
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GDS1275 ligand:271	70/475	1.793380639312955e-47	7.801205781011356e-46	0	0	9.297692179976755	1000.7793834930684	YWHAE;HSP90AB1;RPL34;COX4I1;CLTA;UBE2D1;RPL7;EEF1B2;HINT1;RPS19;UQCRFS1;RPS11;RPS13;CCT3;HELLS;HSP90AA1;RPL21;GPX4;RPL22;ACTL6A;NDUFC2;NDUFC1;PSMA6;PSMA3;PSMA4;HAT1;UQCRC1;RPL27;SUCLG1;SNRPE;UQCRC2;PPID;SF3B4;SLBP;UQCRB;PSMD14;NDUFB6;MRPS36;NDUFB11;NDUFB5;HDAC1;SRSF1;CDCA7;ATP5J;ADH5;PSMB6;RPS15A;PCBP1;CCT8;RBBP7;RPL18;RPS27A;MCTS1;DUT;NPM1;NDUFA3;HSPE1;NUDT21;EIF3K;PSMC4;ARPC3;RPA3;OSTC;EIF3I;TCEA1;UBA2;RPL22L1;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_down	TGF-beta human HMEC-TR mammary epithelial cell line GDS4071 ligand:245	58/303	7.281586969488985e-46	2.714991712909464e-44	0	0	12.076917470926904	1255.197092386264	EIF4A1;HSP90AB1;RPL32;MCM7;RPL34;RPLP0;HNRNPR;COX7C;EEF1B2;TRMT112;FBL;C1QBP;RUVBL1;UQCRFS1;RPS13;CCT3;HSP90AA1;RPL21;RPS6;EEF1G;EBNA1BP2;KARS;DKC1;NCL;NHP2;MCM3;MCM6;PPID;SNRPB;MCM2;SLBP;SET;PCNA;SRSF1;CDCA7;AK2;ATP5B;MAT2A;RRS1;CCT8;RPS2;CCT7;LYAR;CCT4;NOP56;NPM1;DUT;NOP58;RRM1;RRM2;HSPE1;HNRNPAB;NDUFAB1;POLE3;RPL22L1;TOMM5;TOMM6;MAD2L1
Ligand_Perturbations_from_GEO_down	interleukin-10 human PBMC GSE59184 ligand:142	51/276	1.7442125810284585e-39	5.690493545605347e-38	0	0	11.658208750514332	1040.4311905572638	RPL5;EIF4A1;RPL30;RPL32;RPL34;RPLP0;YBX1;RPL9;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;SNRPD2;RPS19;RPS11;RPS13;RPL21;GPX4;RPS8;RPS5;RPL22;RPS6;EEF1G;PSMA6;PSMA4;KARS;PSMA1;NCL;NHP2;RPL27;RPL26;SLC25A5;SET;RPL12;RPL11;RPS3;RPL13;RPS2;RPL18;RPL19;BTF3;NPM1;RCC2;RPL23A;PSMC5;NDUFAB1;UBA2;RPS21;TOMM6
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GSE2889 ligand:155	51/293	3.978628100504663e-38	1.1538021491463522e-36	0	0	10.98179390833432	945.7224018013428	RPL34;COX4I1;RPLP0;ATP5G3;HINT1;SNRPD2;NUP62;UQCRFS1;RPL38;RPS11;SKP1A;CCT3;RPL21;RPS8;BUD31;RPL22;HAT1;RPL37A;TFAM;RPL27;SNRPE;UQCRC2;RPL28;ASF1B;SLBP;PCNA;MRPS36;NDUFB11;HDAC1;RPL12;RPL11;CDCA7;ATP5H;PSMB6;PSMB7;RPS3;CCT8;RPL18;RPS27A;RPL19;DUT;RRM2;HSPE1;LSM3;ARPC3;RPA3;OSTC;EIF3I;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_down	Anti-Mullerian hormone rat ovary GDS3199 ligand:249	47/243	2.323870729363167e-37	6.065302603637867e-36	0	0	12.202879360257562	1029.342334565088	SF3B5;RPL10;NDUFB10;NDUFB11;RPL34;RPL12;COX4I1;RPLP0;RPL11;ATP5J;ATP5H;YBX1;OAZ1;COX7C;HSD17B10;RPL6;RPS15;TRMT112;PTBP1;RPS17;RPS16;SNRPD2;RPS19;BSG;RPS3;UQCRFS1;RPS2;RPS11;RPL18;RPS27A;BCAS2;CCT4;BTF3;RPL21;SSR4;RPL23;RPS6;PSMA4;PSMA1;NCL;RPL27;UBA1;RPL26;SLC25A5;RPL28;NOP10;TOMM6
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse thymus GSE2889 ligand:156	47/247	5.15279232911556e-37	1.2226170889992374e-35	0	0	12.005261880739218	1003.1129783626893	SF3B4;SLBP;PCNA;HSP90AB1;MRPS36;NDUFB11;HDAC1;RPL34;RPL12;COX4I1;RPLP0;RPL11;CDCA7;ATP5G3;RPL6;PSMB6;PSMB7;HINT1;SNRPD2;RPS3;RPL13;UQCRFS1;CCT8;RPS11;RPL18;RPS27A;RPL19;HSP90AA1;RRM2;RPS8;RPS5;BUD31;RPL22;HSPE1;ARPC3;RPA3;OSTC;EIF3I;HAT1;RPL37A;RPL27;SNRPE;TOMM5;NOP10;ASF1B;MAD2L1;SNRPB
Ligand_Perturbations_from_GEO_down	estradiol human endometrial cancer cells GSE56946 ligand:220	54/369	2.7471117989054467e-36	5.974968162619346e-35	0	0	9.232899899976918	756.0130483307362	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPLP0;CLTA;HMGB3;RPL9;RPL6;RPS19;C1QBP;WLS;RPL21;PARP1;RPS5;RPS6;NDUFC1;SND1;DDOST;EEF1G;PSMA6;DKC1;NCL;RPL37A;RPL26;SNRPF;MCM6;PCNA;RPL10;NDUFB10;PSMD14;HDAC1;RPL12;RPL11;POMP;ATP5A1;ATP5J;MRPL20;PCBP1;EIF4H;CCT7;RPL19;BTF3;NDUFA3;RPA1;LSM1;RPL23A;EIF3M;OSTC;EIF3I;RPL22L1;TOMM5;NOP10
Ligand_Perturbations_from_GEO_down	neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:19	44/221	1.4313781953224754e-35	2.8737669921474314e-34	0	0	12.561200165579455	1007.808208194673	AHCY;HSP90AB1;NDUFB5;RPL34;SSNA1;RPLP0;ATP5A1;POMP;CDCA7;OLA1;YBX1;COX7C;RPL7;TMEM165;RPS17;SNRPD2;PCBP1;USP1;RPL13;CCT8;RPS2;RBBP7;RPS11;RPS27A;RPS13;RPL19;CCT4;RPL21;GLRX3;RPL23A;NPM3;HSPE1;UCHL5;PSMA6;PSMA3;EIF3M;PSMA4;UQCRQ;OSTC;ANP32E;UQCRC2;FKBP4;TOMM5;MAD2L1
Ligand_Perturbations_from_GEO_down	interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:216	38/182	1.287501704379235e-31	2.400271034592717e-30	0	0	13.172946926890145	936.957915834538	RPL32;RPL10;RPL34;COX4I1;RPLP0;RPL11;ATP5H;RPL9;RPL7;EEF1B2;RPS15;RPS17;RPS15A;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;BTF3;RPS8;RPL23;RPS5;RPL22;RPL23A;KARS;EIF3I;RPL37A;RPL27;SNRPE;RPL22L1;RPL26;EIF3F;RPL28;RPS21
Ligand_Perturbations_from_GEO_down	estradiol human endometrial cancer cells GSE56946 ligand:225	44/288	2.0468632856772216e-30	3.5615421170783644e-29	0	0	9.638976515948128	658.9324281486735	RPL5;EIF4A1;RPL30;HSP90AB1;RPL10;NDUFB10;RPLP0;RPL11;ATP5A1;ATP5J;CLTA;ATP5G3;MRPL12;RPL7;ATP5B;TRMT112;FBL;HINT1;RPS16;RPS15A;RPS19;PCBP1;RPS11;RPS27A;CCT7;RPS13;CCT3;GINS2;GPX4;RPS5;RPA1;RPL23A;HSPE1;SND1;DDOST;SMARCA4;EEF1G;EIF3I;NDUFAB1;NHP2;RPL22L1;SLC25A5;RPL28;RPS21
Ligand_Perturbations_from_GEO_down	estradiol human breast epithelial cells GSE23500 ligand:130	42/269	1.8901092259745327e-29	3.0832406748709564e-28	0	0	9.8507147631724	651.5098540621295	RPL5;AHCY;RPL32;PSMD14;RPL31;NDUFB5;RPL34;RPL12;RPL11;ATP5A1;ATP5J;HNRNPR;RPL9;OAZ1;COX7C;RPL6;RPS15;RPS17;HINT1;RPS16;BSG;RPS3;RPL38;SNRPB2;RPS2;RPL18;RPS27A;RPL19;BTF3;TAF15;RPL21;RPS5;RPL22;RPS6;NPM3;HSPE1;PSMA5;DRAP1;OSTC;NDUFAB1;EIF3F;KPNB1
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse uterus GSE1839 ligand:157	45/331	7.46067145120021e-29	1.1454324992725027e-27	0	0	8.57739190103596	555.5175507907295	RPL5;PCNA;HSP90AB1;RPL10;MCM7;RPL34;HNRNPR;RPL6;ADH5;RPL7;TMEM165;FBL;RPS17;HINT1;RPS15A;RPS19;PCBP1;ARHGDIA;G3BP1;RPS3;RPL13;RBBP7;RPL18;RPS11;RPS27A;RPL19;CCT3;NPM1;HSP90AA1;RPL21;CBX3;RPS5;RPS6;IDH2;RPL23A;HSPE1;EIF3K;NCL;RPL37A;UBA2;RPL22L1;MCM5;SRSF6;FKBP4;RPL28
Ligand_Perturbations_from_GEO_down	interleukin-15 human PBMC GSE59184 ligand:144	42/279	8.677659105924263e-29	1.2582605703590184e-27	0	0	9.497642549438623	613.6827261619286	RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPLP0;RPL11;HMGB1;YBX1;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;RPS16;RPS19;PCBP1;RPS3;RPLP2;RPL13;RPS2;RPS11;RPL18;RPS13;RPL19;RPL21;GPX4;RPS8;RPS5;RPL22;RPS6;RPL23A;EEF1G;RPL37A;UQCRC1;RPL27;RPL26;SLC25A5;RPL28;RPS21
Ligand_Perturbations_from_GEO_down	transforming growth factor-beta human Hepatocellular carcinoma Huh-7 cell line GDS4269 ligand:17	43/302	1.953765608243445e-28	2.6838569671133636e-27	0	0	8.983224350805358	573.1532856720999	RPL5;RPL30;RPL32;UQCRB;RPL12;RPLP0;RPL11;ATP5H;UQCR10;YBX1;COX7C;ADH5;PSMB6;EEF1B2;PSMB7;RPS17;SNRPD2;RPS19;RPL13;RPS11;RPS27A;RPS13;RPL19;MCTS1;BTF3;RPL22;ATPIF1;RPS6;SARS;NDUFC1;RPL23A;EIF2S2;PSMA5;EEF1G;PSMA1;RPA3;HAT1;ANP32E;RPL27;UQCRC2;MCM6;RPS21;RSL24D1
Ligand_Perturbations_from_GEO_down	calcium(2+) mouse blastocyst GDS3293 ligand:281	38/223	3.7186070696692416e-28	4.852782225918361e-27	0	0	10.751014980690613	679.0237147794394	YWHAE;HSP90AB1;RPL10;PSMD14;MCM7;RPLP0;TYMS;OAZ1;RPL7;GCSH;EEF1B2;FBL;RPS17;RPS15A;PCBP1;C1QBP;RPLP2;RPL13;RPS11;LYAR;RPL19;NPM1;RPL21;GLRX3;RCC2;RPS5;RPL23A;LSM5;EIF3K;PSMC4;RPL37A;RPL27;RPL22L1;SLC25A5;RPS21;TOMM5;NOP10;SNRPB
Ligand_Perturbations_from_GEO_down	interleukin-33 mouse CD8 T cells GSE72791 ligand:237	51/465	4.0275124986623063e-28	5.005622676908867e-27	0	0	6.9197110003052815	436.49006707864527	MCM7;CLTA;HMGB3;HMGB1;PRPF19;PSMD8;RPS15;EEF1B2;FBL;RPS19;ARHGDIA;TMED2;UQCRFS1;SKP1A;BUD31;KIF22;EEF1G;HNRNPUL1;DAD1;CANX;SNRPE;PPID;SNRPB;VCP;AHCY;NDUFB6;NDUFB5;HDAC1;TMEM165;MRPL20;PSMB4;RPS15A;RBBP4;RRS1;EIF4H;MCTS1;DUT;NPM1;RRM2;NDUFA3;RPA1;HSPE1;LSM5;ARPC3;RPA3;EIF3I;UBA2;RPL22L1;TOMM5;TOMM6;MAD2L1
Ligand_Perturbations_from_GEO_down	17beta-estradiol mouse uterus GDS1058 ligand:36	42/293	6.596325713259075e-28	7.825640959820994e-27	0	0	9.043830277451793	566.0159844181734	RPL5;PCNA;HSP90AB1;MCM7;RPLP0;TMEM165;FBL;RPS17;HINT1;RPS15A;SNRPD2;RPS19;PCBP1;ARHGDIA;USP1;RPS3;RPL13;RPS2;RPS11;RPS27A;CCT7;RANBP1;HSP90AA1;RPL21;CBX3;RPS5;ALYREF;RPS6;IDH2;RPA1;RPL23A;KIF22;NCL;ANP32E;MCM3;UBA2;RPL22L1;MCM5;FKBP4;NOP10;SNRPB;MCM2
Ligand_Perturbations_from_GEO_down	Interleukin-1 beta human epidermal keratinocytes GDS2611 ligand:56	46/371	1.0379914630309775e-27	1.1778946602221091e-26	0	0	7.822663616961575	486.04172502082423	RPL5;RPL30;RPL32;UQCRB;RPL31;NDUFB5;RPL12;RPL34;COX4I1;RPL11;RPLP0;UQCR10;ATP5H;PRPF19;HSD17B10;RPL7;EEF1B2;RPS17;HINT1;RPS16;SNRPD2;RPS19;PSMB3;RPS3;RPL13;RPLP2;RPS11;CCT4;BTF3;RPL21;SSR4;RPS8;RPL23;RPS5;DYNLT3;RPL22;RPS6;RPL23A;EEF1G;PSMC5;UQCRQ;RPL27;RPL26;RPL28;RPS21;TOMM6
Ligand_Perturbations_from_GEO_down	aldosterone mouse inner medullary collecting duct cell line mIMCD-3 GDS345 ligand:279	39/276	1.0120510521143403e-25	1.100605519174345e-24	0	0	8.915100809216842	513.0876615077249	RPL5;PCNA;UQCRB;PSMD14;MRPS36;ATP5A1;POMP;ADH5;RPL7;PSMB6;RPS15A;RPS19;RBBP4;BSG;USP1;RPS3;RPL13;RPS11;RPL18;CCT7;WLS;RANBP1;NPM1;HSP90AA1;HSBP1;RPS5;ALYREF;NONO;IDH2;RPA1;NDUFC1;RPL23A;EIF3M;ANP32E;MCM3;UBA2;SNRPE;NOP10;SNRPB
Ligand_Perturbations_from_GEO_down	neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:22	43/357	2.0333774410768581e-25	2.1228460484842397e-24	0	0	7.599254212726099	432.0550598592233	VCP;RAB5C;AHCY;HSP90AB1;MCM7;NDUFB11;NDUFB5;HDAC1;CDCA7;ADH5;TMEM165;FBL;HINT1;PSMB3;NUP62;TMED2;RPS2;RBBP7;RPS11;RPS27A;WLS;CCT4;BTF3;HSP90AA1;RRM2;ALYREF;RPS6;RPA1;BAZ1B;NPM3;PSMA5;POLE4;PSMA3;PSMA4;NCL;RPL37A;ANP32E;MCM3;UBA2;CALM3;MCM5;MAD2L1;MCM2
Ligand_Perturbations_from_GEO_down	interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:215	34/200	3.0551123728174237e-25	3.066862805020568e-24	0	0	10.725552050473187	605.4339344758247	RPL32;RPL10;RPL34;COX4I1;RPLP0;RPL11;ATP5H;RPL7;RPS15;EEF1B2;RPS15A;RPS19;RPLP2;RPL13;RPL38;RPS2;RPS11;RPS27A;RPS13;RPL19;BTF3;RPS5;RPL22;RPL23A;KARS;EIF3I;RPL37A;RPL27;RPL22L1;SNRPE;RPL26;EIF3F;RPL28;RPS21
Ligand_Perturbations_from_GEO_down	Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:60	37/249	3.102406768396285e-25	2.9989932094497417e-24	0	0	9.375039590538814	529.0564448568426	RPL10;NDUFB11;RPL34;RPLP0;RPL11;POMP;ATP5H;ATP5G3;RPL6;RPS15;EEF1B2;PSMB7;RPS17;RPS19;RPLP2;RPL13;RPL38;RPS11;RPL18;RPS27A;RPL19;RPL21;NDUFA5;RPS8;POLR3GL;HSPA4;RPL23;RPS5;BUD31;RPL22;RPL23A;PSMC4;RPL37A;SNRPE;RPL26;RPL28;RPS21
Ligand_Perturbations_from_GEO_down	17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:45	38/268	3.8953009988375433e-25	3.6309770024878526e-24	0	0	8.945807241395547	502.79781111858284	RPL5;EIF4A1;RPL30;AHCY;RPL32;RPL34;RPL12;RPLP0;UQCR10;RPL7;EEF1B2;RPS15A;SNRPD2;RPS19;RPS3;RPLP2;RPL13;RPL19;BTF3;CCT3;NOP56;RANBP1;NPM1;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;NONO;RPL22;TBCB;DKC1;UQCRQ;NCL;CALM3;RPS21;MCM2
Ligand_Perturbations_from_GEO_down	growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:10	45/404	3.9106254547863877e-25	3.519562909307749e-24	0	0	7.0275166317893625	394.9529703025505	NDUFB8;HSP90AB1;NDUFB10;NDUFB5;POMP;ATP5A1;AK2;ATP5J;HNRNPR;HSD17B10;RPL6;TMEM165;PSMB6;RPS17;RPS15A;SNRPD2;PSMB3;PCBP1;BSG;RPS3;RPL13;RPS2;RPS11;CCT7;SKP1A;RPL19;CCT4;ABCF1;POLR2L;HSP90AA1;RPL21;RPS5;RPS6;IDH2;NDUFC1;PSMA5;PSMA6;EIF3K;UQCRQ;NDUFAB1;RPL37A;UQCRC1;UBA2;RPL28;SNRPB
Ligand_Perturbations_from_GEO_down	nitric oxide human CD3+ T cells GDS4188 ligand:280	46/442	2.023966628709806e-24	1.760850966977531e-23	0	0	6.566081904734718	358.2256186454648	EIF4A1;NDUFB8;SET;HSP90AB1;PSMD14;RPL12;CDCA7L;ATP5A1;ATP5J;HNRNPR;YBX1;COX7C;RPL6;EEF1B2;ATP5B;PSMB4;MAT2A;PSMB3;C1QBP;EIF4H;UQCRFS1;CCT4;CCT3;HSP90AA1;NOP58;CBX3;RCC2;RPL22;LSM1;TBCB;PSMA5;PSMA6;PSMA4;KARS;DKC1;ARPC3;NCL;OSTC;NDUFAB1;ANP32E;NHP2;SNRPE;SRSF6;RSL24D1;TOMM6;SRSF9
