Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ligand_Perturbations_from_GEO_up	EPO mouse Erythroid progenitor cell GDS927 ligand:166	84/368	5.1503055407188705e-74	1.3442297461276251e-71	0	0	14.401316691811822	2430.254462794762	RPL5;HSP90AB1;MCM7;RPL34;RPLP0;HMGB3;YBX1;COX7C;RPL6;RPL7;FBL;RPS17;HINT1;PSMD7;SNRPD2;RPS19;ARHGDIA;PSMD3;NUP62;RPS11;CCT3;HSP90AA1;RPL21;GLRX3;RPS5;RPS6;PSMA5;PSMA6;PSMA3;PSMA4;NCL;NHP2;SNRPE;MCM5;UQCRC2;SRSF6;FKBP4;RPL28;SNRPB;SRSF9;MCM2;SF3B5;VCP;NDUFB8;SET;AHCY;RPL10;NDUFB5;SSNA1;POMP;ATP5A1;UQCR10;MRPL12;PSMB7;RPS15A;MAT2A;PSMB3;PCBP1;RPS3;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;ABCF1;POLR2L;BTF3;NOP56;RANBP1;NPM1;RRM1;NDUFA5;RPL23A;HSPE1;LSM3;EIF3M;UQCRQ;ARPC3;UBA2;RPL22L1;NOP10
Ligand_Perturbations_from_GEO_up	estradiol human endometrial cancer cells GSE56946 ligand:222	77/331	2.7960699789821242e-68	3.6488713225716724e-66	0	0	14.676870586217087	2282.9515764844537	RPL5;EIF4A1;HSP90AB1;MCM7;RPL31;RPLP0;YBX1;ATP5G3;RPL6;EEF1B2;FBL;HINT1;RPS16;SNRPD2;RPS19;C1QBP;RPLP2;UQCRFS1;RPL38;RPS13;CCT3;NUDC;HSP90AA1;RPL21;HSBP1;RPL23;RPS5;ATPIF1;RPS6;ILF2;SND1;DDOST;PSMA5;EEF1G;PSMA6;PSMA3;NCL;UQCRC1;NHP2;MCM3;RPL27;RPL26;SLC25A5;SRSF9;MCM2;SF3B5;AHCY;RPL10;NDUFB10;RPL11;POMP;ATP5A1;ATP5J;ATP5H;ATP5B;RPS15A;PSMB3;PCBP1;RPL18;RPS27A;CCT7;RPL19;CCT4;BTF3;RANBP1;NPM1;NOP58;NOP16;CBX3;ALYREF;NONO;TBCB;HSPE1;EIF3K;NDUFAB1;RPL22L1;TOMM5
Ligand_Perturbations_from_GEO_up	estradiol human endometrial cancer cells GSE56946 ligand:218	69/307	7.478619365716682e-60	6.506398848173513e-58	0	0	14.180170367554126	1930.531748028922	RPL5;EIF4A1;RPL32;MCM7;RPL31;RPL34;RPLP0;CLTA;HMGB1;RPL6;RPS15;FBL;RPS17;HINT1;PSMD7;RPS16;SNRPD2;RPS19;C1QBP;RPLP2;RPL38;RPS11;RPS13;CCT3;NUDC;HSP90AA1;RPL23;ATPIF1;NDUFC1;TUFM;PSMA5;EEF1G;PSMA6;EBNA1BP2;NCL;RPL37A;RPL27;SNRPE;NDUFB10;PSMD14;MRPS36;RPL12;POMP;ATP5H;UQCR10;MRPL12;MRPL20;RPS15A;RPS3;RPL13;RPS2;RPL18;CCT7;RPL19;CCT4;POLR2L;BTF3;NPM1;NOP58;SSB;NOP16;CBX3;HSPA4;RPL23A;NPM3;LSM5;NDUFAB1;RPL22L1;TOMM5
Ligand_Perturbations_from_GEO_up	17beta-estradiol mouse uterus GSE38800 ligand:120	68/383	1.2164028594356384e-51	7.937028657817541e-50	0	0	11.201620940441972	1313.2325796887658	HSP90AB1;COX4I1;RPLP0;YBX1;ATP5G3;FBL;HINT1;C1QBP;PSMD3;RPS11;NUDC;HSP90AA1;SSR4;GLRX3;NDUFC2;DDOST;TUFM;PSMA5;EEF1G;PSMA6;PSMA1;NCL;UQCRC1;NHP2;RPL27;SUCLG1;MCM5;UQCRC2;SNRPF;MCM6;SLC25A5;RPL28;NDUFB8;PCNA;NDUFB10;UQCRB;NDUFB6;NDUFB11;POMP;ATP5A1;RPN1;ATP5J;UQCR10;ATP5H;MRPL12;OAZ1;PSMB6;MRPL20;ATP5B;PSMB4;PSMB3;PCBP1;EIF4H;RPS2;RBBP7;CCT7;POLR2L;RANBP1;NPM1;NDUFA5;RCC2;ALYREF;TBCB;HSPE1;HNRNPAB;UQCRQ;OSTC;RPL22L1
Ligand_Perturbations_from_GEO_up	interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:215	66/400	6.15050982271981e-48	3.2105661274597398e-46	0	0	10.410094637223978	1131.6558779437973	EIF4A1;MCM7;HMGB1;ATP5G3;BZW1;PSMD8;GCSH;FBL;HINT1;CCND2;SNRPD2;C1QBP;BSG;NUP62;TMED2;GOLGA7;CCT3;HSP90AA1;RFC3;BUD31;NDUFC2;DDOST;PSMA5;PSMA3;PSMA4;CANX;NHP2;MCM5;MCM6;PFDN4;SNRPB;SRSF9;MCM2;SF3B5;VCP;SET;AHCY;PCNA;UQCRB;PSMD14;NDUFB11;POMP;RPN1;ATP5J;MRPL12;TMEM165;PSMB7;USP1;RBBP7;CCT7;LYAR;POLR2L;NOP56;RANBP1;NPM1;RRM2;RPA1;EIF2S2;HNRNPAB;LSM3;RAD51;ARPC3;OSTC;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_up	17beta-estradiol mouse uterus GSE38800 ligand:124	65/395	4.072403755167057e-47	1.7714956334976704e-45	0	0	10.382142714531009	1108.9920993896762	HSP90AB1;COX4I1;RPLP0;YBX1;ATP5G3;FBL;HINT1;C1QBP;PSMD3;NUDC;HSP90AA1;SSR4;LIG1;NDUFC2;DDOST;TUFM;PSMA5;EEF1G;PSMA6;PSMA1;NCL;UQCRC1;NHP2;RPL27;SUCLG1;MCM5;UQCRC2;SNRPF;MCM6;SLC25A5;NDUFB8;PCNA;NDUFB10;UQCRB;NDUFB6;NDUFB11;POMP;ATP5A1;RPN1;ATP5J;UQCR10;ATP5H;MRPL12;OAZ1;PSMB6;MRPL20;ATP5B;PSMB4;PSMB3;PCBP1;EIF4H;RPS2;RBBP7;CCT7;POLR2L;RANBP1;NPM1;NDUFA5;RCC2;ALYREF;TBCB;HSPE1;HNRNPAB;UQCRQ;RPL22L1
Ligand_Perturbations_from_GEO_up	interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:214	64/390	2.6857412391858065e-46	1.001397804896422e-44	0	0	10.353474075871553	1086.3999484513863	EIF4A1;MCM7;HMGB1;ATP5G3;BZW1;GCSH;FBL;HINT1;CCND2;SNRPD2;C1QBP;BSG;NUP62;TMED2;GOLGA7;CCT3;HSP90AA1;RFC3;BUD31;PSMA3;PSMA4;DAD1;NCL;NHP2;MCM5;MCM6;PFDN4;SNRPB;SRSF9;MCM2;VCP;SET;AHCY;PCNA;UQCRB;PSMD14;POMP;RPN1;ATP5J;MRPL12;TMEM165;PSMB7;MAT2A;RRS1;USP1;RBBP7;CCT7;LYAR;POLR2L;NOP56;RANBP1;NPM1;RRM2;HSPE1;MAGOHB;EIF2S2;HNRNPAB;LSM3;MYBBP1A;ARPC3;OSTC;TOMM5;NOP10;MAD2L1
Ligand_Perturbations_from_GEO_up	estradiol human MCF-7 cells GSE23610 ligand:131	62/359	3.20715835540894e-46	1.0463354134521666e-44	0	0	10.896022073231814	1141.396764017006	EIF4A1;HSP90AB1;MCM7;YBX1;PRPF19;RPL9;EEF1B2;FBL;C1QBP;RUVBL1;UQCRFS1;CCT3;HSP90AA1;DYNLT3;CD3EAP;ILF2;KARS;DKC1;NCL;HAT1;NHP2;MCM3;CCDC86;RPL27;MCM6;FKBP4;SLC25A5;KPNB1;SNRPB;MCM2;SLBP;SET;PCNA;RPL12;SRSF1;MAT2A;RRS1;USP1;RPS3;RPS2;CCT7;LYAR;NOP56;GINS2;DUT;NPM1;NOP58;SSB;NOP16;CBX3;ALYREF;HSPE1;HNRNPAB;UCK2;NDUFAB1;POLE3;UBA2;RPL22L1;RPS21;TOMM5;TOMM6;MAD2L1
Ligand_Perturbations_from_GEO_up	estradiol (E2) mouse uterine tissue GSE61921 ligand:289	64/392	3.741363459663903e-46	1.084995403302532e-44	0	0	10.300650228545676	1077.4424945221508	EIF4A1;HSP90AB1;RPLP0;YBX1;ATP5G3;EEF1B2;FBL;HINT1;C1QBP;PSMD3;HSP90AA1;SSR4;NDUFC2;DDOST;TUFM;PSMA5;EEF1G;PSMA1;NCL;UQCRC1;NHP2;MCM3;SUCLG1;MCM5;UQCRC2;SNRPF;MCM6;SLC25A5;RPL28;NDUFB8;PCNA;NDUFB6;NDUFB11;RPL11;POMP;ATP5A1;RPN1;ATP5J;UQCR10;ATP5H;MRPL12;OAZ1;PSMB6;MRPL20;ATP5B;PSMB4;PSMB3;PCBP1;EIF4H;CCT8;RPS2;RBBP7;CCT7;POLR2L;RANBP1;NDUFA5;RCC2;ALYREF;TBCB;HSPE1;HNRNPAB;UQCRQ;OSTC;RPL22L1
Ligand_Perturbations_from_GEO_up	estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:40	58/308	1.9516781153962812e-45	5.093879881184294e-44	0	0	11.88086361587939	1223.1068657859414	EIF4A1;HSP90AB1;YBX1;ATP5G3;PSMD8;RPS15;TRMT112;FBL;RPS17;SNRPD2;C1QBP;RUVBL1;CCT3;HSP90AA1;DYNLT3;ILF2;PSMA6;KARS;DKC1;CANX;HAT1;NHP2;SNRPF;FKBP4;SLC25A5;SNRPB;SF3B5;AHCY;NDUFB10;PSMD14;TYMS;PSMB6;ATP5B;PSMB7;PSMB3;RRS1;EIF4H;CCT8;CCT7;RPL19;CCT4;RANBP1;NPM1;NOP58;SSB;RRM2;HSPA4;ALYREF;NPM3;HSPE1;HNRNPAB;OSTC;EIF3I;RPL22L1;TOMM5;NOP10;TOMM6;MAD2L1
