Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MCF7_Perturbations_from_GEO_down	argyrin A GDS3367 mcf7:109	79/341	5.6942118172592215e-70	2.2833789387209477e-67	0	0	14.616501845564633	2330.477071405451	RPL5;RBM28;MCM7;COX4I1;HMGB1;YBX1;ATP5G3;BZW1;EEF1B2;FBL;C1QBP;UQCRFS1;RPS13;BCAS2;CCT3;EIF5B;HSP90AA1;NDUFC2;PSMA6;EBNA1BP2;PSMA4;KARS;PSMA1;DKC1;NCL;HAT1;RPL37A;UQCRC1;NHP2;MCM3;RPL27;SNRPE;SNRPF;MCM6;FKBP4;PFDN4;KPNB1;SNRPB;SF3B5;SLBP;PCNA;NDUFB11;POMP;ATP5A1;SRSF1;TYMS;OAZ1;HSD17B10;PSMB6;MRPL20;PSMB4;CCT8;CCT7;LYAR;POLR2L;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;RRM2;CBX3;HSPE1;LSM5;HNRNPAB;PSMC5;UQCRQ;ARPC3;RPA3;NDUFAB1;POLE3;UBA2;UBA1;RPS21;TOMM5;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_down	argyrin A GSE8565 mcf7:52	75/324	2.877314857638124e-66	5.769016289564438e-64	0	0	14.604509872648675	2204.021477676384	RPL5;RBM28;EIF4A1;RPL30;HSP90AB1;MCM7;HMGB1;YBX1;ATP5G3;BZW1;RPL6;EEF1B2;FBL;RPS17;C1QBP;UQCRFS1;RPS13;BCAS2;CCT3;EIF5B;HSP90AA1;RPL21;RPS5;TUFM;PSMA6;EBNA1BP2;PSMA4;KARS;PSMA1;DKC1;PSME3;NCL;RPL37A;NHP2;RPL27;SNRPE;SNRPF;FKBP4;PFDN4;SLC25A5;KPNB1;SNRPB;PCNA;POMP;SRSF1;TYMS;OAZ1;HSD17B10;PSMB6;PSMB4;CCT8;CCT7;LYAR;POLR2L;NOP56;DUT;NPM1;NOP58;RRM1;RRM2;HSPE1;LSM5;HNRNPAB;PSMC5;EIF3K;UQCRQ;ARPC3;NDUFAB1;POLE3;UBA2;UBA1;RPS21;TOMM5;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_down	heregulin GSE57547 mcf7:182	76/468	6.3499068329468745e-55	8.48770880003899e-53	0	0	10.245625387581224	1278.5899104873124	YWHAE;RPL5;HSP90AB1;MCM7;HP1BP3;OLA1;ATP5G3;RPL9;COX7C;RPL6;RPL7;PSMD8;EEF1B2;FBL;HINT1;SNRPD2;C1QBP;UQCRFS1;RPS13;BCAS2;CCT3;HSP90AA1;SSR4;HSBP1;RPS8;RPL23;RPS5;RPL22;ACTL6A;PSMA6;PSMA4;PSMA1;DAD1;HAT1;NHP2;RPL27;SNRPE;SNRPF;PFDN4;SRSF9;SF3B5;NDUFB8;NDUFB11;NDUFB5;RPL11;RPN1;SRSF1;ATP5J;UQCR10;ATP5H;OAZ1;PSMB6;PSMB7;PSMB4;RPS3;EIF4H;RBBP7;RPL18;RPS27A;CCT7;NOP58;RRM1;SSB;HSPE1;LSM3;EIF3M;EIF3K;UQCRQ;ARPC3;RPA3;OSTC;EIF3I;UBA2;RPL22L1;NOP10;TOMM6
MCF7_Perturbations_from_GEO_down	BYL-719 GSE64033 mcf7:157	64/300	7.282255184614014e-54	7.300460822575549e-52	0	0	13.45951629863302	1646.8277357470945	COX4I1;NUCKS1;YBX1;TRMT112;FBL;RPS17;HINT1;RPS19;C1QBP;UQCRFS1;NUDC;HSP90AA1;SSR4;GPX4;ILF2;PSMA5;PSMA6;PSMA3;EBNA1BP2;PSMA4;DAD1;MCM3;SNRPF;MCM6;FKBP4;SLC25A5;ASF1B;SNRPB;SRSF9;SF3B4;NDUFB8;PSMD14;RPN1;ATP5A1;POMP;SRSF1;AK2;ATP5J;ATP5H;TYMS;OAZ1;PSMB6;ATP5B;PSMB7;RPS15A;PSMB3;CCT8;RANBP1;GINS2;RRM1;RCC2;HSPE1;HNRNPAB;LSM3;LSM2;POLE4;PSMC5;UQCRQ;RPA3;NDUFAB1;POLE3;CALM3;TOMM5;TOMM6
MCF7_Perturbations_from_GEO_down	BYL-719 GSE64033 mcf7:158	63/298	9.645233399130626e-53	7.735477186102761e-51	0	0	13.338132238053904	1597.5153818875565	EIF4A1;COX4I1;NUCKS1;YBX1;TRMT112;FBL;SNRPD2;RPS19;C1QBP;RPLP2;UQCRFS1;NUDC;SSR4;GPX4;RPS6;ILF2;PSMA5;PSMA6;EBNA1BP2;PSMA4;DAD1;NHP2;SUCLG1;SNRPF;MCM6;FKBP4;SLC25A5;SNRPB;SF3B4;NDUFB8;NDUFB10;PSMD14;POMP;SRSF1;ATP5J;ATP5H;OAZ1;PSMB6;ATP5B;PSMB7;PSMB4;RPS15A;PSMB3;RPS3;RPS2;RANBP1;GINS2;RCC2;NDUFA3;NPM3;HSPE1;HNRNPAB;LSM3;LSM2;POLE4;PSMC5;UQCRQ;RPA3;NDUFAB1;POLE3;CALM3;TOMM5;TOMM6
MCF7_Perturbations_from_GEO_down	argyrin A GDS3367 mcf7:108	69/390	2.581659415591145e-52	1.7254090427534153e-50	0	0	11.162339238049018	1325.9295445576286	YWHAE;RBM28;EIF4A1;HSP90AB1;MCM7;COX4I1;NUCKS1;HMGB1;YBX1;ATP5G3;EEF1B2;TRMT112;C1QBP;UQCRFS1;BCAS2;CCT3;HSP90AA1;DYNLT3;ILF2;TUFM;PSMA6;EBNA1BP2;PSMA4;KARS;PSMA1;PSME3;NHP2;SNRPE;PFDN4;SLC25A5;KPNB1;SNRPB;SET;PCNA;NDUFB10;PSMD14;POMP;SRSF1;ATP5J;OAZ1;PSMB6;PSMB7;ATP5B;PSMB4;PSMB3;RRS1;EIF4H;CCT8;CCT7;LYAR;NOP56;NOP58;RRM1;RRM2;RCC2;ALYREF;HSPE1;LSM5;PSMC5;EIF3K;PSMC4;UQCRQ;RPA3;NDUFAB1;POLE3;UBA2;RPS21;TOMM5;MAD2L1
MCF7_Perturbations_from_GEO_down	epidermalgrowthfactor GSE57547 mcf7:174	74/495	9.594001189994978e-51	5.495992110268552e-49	0	0	9.431858012299653	1086.2737057582772	YWHAE;HSP90AB1;COX4I1;HMGB1;YBX1;ATP5G3;RPL9;COX7C;PSMD8;TRMT112;FBL;HINT1;SNRPD2;C1QBP;BSG;UQCRFS1;BCAS2;CCT3;HSP90AA1;SSR4;GPX4;HSBP1;RPS8;RPS5;NDUFC1;ILF2;TUFM;PSMA6;PSMA4;KARS;PSMA1;DAD1;NHP2;MCM3;SNRPF;SLC25A5;SRSF9;MCM2;SF3B5;NDUFB10;UQCRB;NDUFB11;NDUFB5;POMP;SRSF1;ATP5J;UQCR10;ATP5H;OAZ1;HSD17B10;PSMB6;ATP5B;PSMB4;PSMB3;PCBP1;EIF4H;SNRPB2;RBBP7;CCT7;CCT4;RRM1;NONO;NDUFA3;TBCB;HSPE1;PSMC5;EIF3K;UQCRQ;ARPC3;RPA3;EIF3I;NDUFAB1;NOP10;TOMM6
MCF7_Perturbations_from_GEO_down	BYL-719 GSE64033 mcf7:156	60/298	7.604238512920426e-49	3.811624554601364e-47	0	0	12.70298308386086	1407.464659443234	RPL31;YBX1;COX7C;TRMT112;FBL;RPS17;C1QBP;UQCRFS1;RPL38;CCT3;NUDC;HSP90AA1;SSR4;RPS6;ILF2;PSMA5;PSMA6;PSMA3;EBNA1BP2;PSMA4;DKC1;NHP2;MCM3;SNRPF;MCM6;SLC25A5;SNRPB;SF3B4;PSMD14;RPN1;POMP;SRSF1;AK2;ATP5H;OAZ1;PSMB6;ATP5B;PSMB7;RPS15A;PSMB3;BRIX1;CCT8;NOP56;RANBP1;GINS2;NOP16;NAA10;RCC2;LSM1;HSPE1;HNRNPAB;DRAP1;POLE4;PSMC5;UQCRQ;RPA3;NDUFAB1;POLE3;TOMM5;TOMM6
MCF7_Perturbations_from_GEO_down	BYL-719 GSE64033 mcf7:155	59/286	1.1266175749951634e-48	5.019707195256228e-47	0	0	13.015375791401027	1436.9608021802399	EIF4A1;RPL31;COX4I1;COX7C;RPS17;C1QBP;NUP62;RPLP2;UQCRFS1;RPL38;RPS13;CCT3;NUDC;HSP90AA1;SSR4;RPS8;ILF2;PSMA5;PSMA6;PSMA3;EBNA1BP2;PSMA4;DKC1;DAD1;NHP2;MCM3;SNRPF;MCM6;SLC25A5;SNRPB;SF3B4;SET;NDUFB10;PSMD14;POMP;SRSF1;AK2;OAZ1;PSMB6;ATP5B;PSMB7;MAT2A;BRIX1;RPL18;NOP56;RANBP1;GINS2;NOP16;LSM1;HSPE1;HNRNPAB;LSM2;PSMC5;UQCRQ;NDUFAB1;POLE3;TOMM5;NOP10;TOMM6
MCF7_Perturbations_from_GEO_down	Doxorubicin GSE13477 mcf7:8	57/280	1.170861944708982e-46	4.695156398283019e-45	0	0	12.843623253717892	1358.3566749505264	HSP90AB1;MCM7;RPLP0;NUCKS1;HMGB1;YBX1;ATP5G3;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;C1QBP;RUVBL1;CCT3;HSP90AA1;RPL21;GPX4;NDUFC2;PSMA4;NHP2;MCM3;SNRPE;MCM5;SNRPF;MCM6;SNRPB;SRSF9;MCM2;NDUFB10;PSMD14;RPL12;ATP5A1;SRSF1;OAZ1;ATP5B;RPS3;RPS2;RBBP7;RANBP1;NPM1;DUT;NOP58;RRM1;RRM2;CBX3;NONO;TBCB;RPA3;OSTC;NDUFAB1;ANP32E;RPL22L1;TOMM5;TOMM6;MAD2L1
