Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MCF7_Perturbations_from_GEO_up	4-hydroxytamoxifen 100 nM GSE26298 mcf7:29	70/323	1.4714573231960033e-59	5.900543866015974e-57	0	0	13.673076735259936	1852.2406664733476	RPL32;RPL31;RPL34;COX4I1;HMGB1;ATP5G3;RPL9;COX7C;RPL6;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;SNRPD2;C1QBP;RPLP2;UQCRFS1;RPS11;RPS13;RPL21;SSR4;GPX4;RPS8;RPS5;DYNLT3;RPL22;RPS6;NDUFC1;PSMA6;PSMA1;HAT1;NHP2;RPL27;SNRPE;RPL26;SNRPF;PFDN4;SF3B5;PCNA;NDUFB10;NDUFB11;RPL12;ATP5J;UQCR10;ATP5H;RPS15A;RPS3;RPS27A;RPL19;NPM1;NOP58;RRM2;NDUFA3;HSPE1;HNRNPAB;LSM3;UQCRQ;ARPC3;RPA3;OSTC;NDUFAB1;UBA2;RPL22L1;RPS21;TOMM5;NOP10;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_up	4-hydroxytamoxifen 500 nM GSE26298 mcf7:30	66/287	6.833215110458477e-58	1.3700596296469243e-55	0	0	14.508842699963727	1909.7719795595935	RPL32;RPL31;RPL34;ATP5G3;RPL9;COX7C;RPL6;RPS15;EEF1B2;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;RPS19;C1QBP;RPLP2;UQCRFS1;RPS11;RPS13;RPL21;SSR4;GPX4;HSBP1;RPL23;RPS5;RPL22;RPS6;NDUFC1;EEF1G;DAD1;NHP2;RPL27;RPL26;SNRPF;PFDN4;SF3B5;NDUFB10;UQCRB;NDUFB6;NDUFB11;RPL12;RPL11;ATP5J;ATP5H;UQCR10;RPS15A;RPS3;RPL13;RPL18;RPS27A;RPL19;NPM1;NDUFA3;RPL23A;HSPE1;UQCRQ;RPA3;OSTC;NDUFAB1;RPL22L1;RPS21;NOP10;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_up	v-Myb GSE2815 mcf7:76	76/452	4.3067971480404725e-56	5.756752187880766e-54	0	0	10.608302392451355	1352.3948763670612	RPL5;EIF4A1;RPL32;KDM1A;MCM7;PITPNB;COX4I1;RPLP0;OLA1;CLTA;HMGB3;HMGB1;YBX1;ATP5G3;RPL9;PSMD8;RPS15;PTBP1;HINT1;RPS16;SNRPD2;RPS19;BSG;TMED2;UQCRFS1;RPS11;SSR4;GPX4;RPS8;RPS5;RPS6;SARS;NDUFC1;KIF22;PSMA6;PSMA4;KARS;DAD1;CANX;NHP2;RPL27;RPL26;PFDN4;ASF1B;SNRPB;SRSF9;SF3B4;PCNA;SSNA1;RPL11;POMP;ATP5A1;SRSF1;ATP5H;TYMS;OAZ1;PSMB7;PSMB3;PCBP1;EIF4H;RPL13;CCT7;RPL19;BTF3;RRM2;CBX3;IDH2;HSPE1;EIF2S2;HNRNPAB;DRAP1;PSMC5;EIF3K;UQCRQ;NDUFAB1;CALM3
MCF7_Perturbations_from_GEO_up	4-hydroxytamoxifen 100 nM GSE26298 mcf7:31	70/387	8.666174048068365e-54	8.687839483188535e-52	0	0	11.411896086534776	1394.3073766526245	EIF4A1;COX4I1;OLA1;HMGB1;ATP5G3;RPL9;PSMD8;RPS15;EEF1B2;TRMT112;FBL;HINT1;SNRPD2;C1QBP;UQCRFS1;RPS13;CCT3;GPX4;RPS5;ILF2;RAD23B;EEF1G;KARS;PSMA1;DAD1;HAT1;NHP2;SNRPE;UQCRC2;SNRPF;SLC25A5;SNRPB;SF3B5;PCNA;PSMD14;HDAC1;RPL11;ATP5A1;SRSF1;ATP5J;ATP5H;HSD17B10;PSMB6;PSMB7;ATP5B;PSMB4;PSMB3;RPS3;CCT8;CCT7;CCT4;RANBP1;NPM1;NOP58;SSB;RRM2;RCC2;ALYREF;NDUFA3;TBCB;HSPE1;HNRNPAB;PSMC5;EIF3K;UQCRQ;ARPC3;EIF3I;NOP10;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_up	4-hydroxytamoxifen 100 nM GSE26298 mcf7:27	69/401	1.8484769154449536e-51	1.482478486186853e-49	0	0	10.856140406082584	1268.1869401391448	COX4I1;OLA1;HMGB1;YBX1;ATP5G3;COX7C;RPL6;EEF1B2;TRMT112;FBL;HINT1;SNRPD2;C1QBP;UQCRFS1;RPS13;CCT3;RPL21;GPX4;RPS8;RPS5;DYNLT3;RPL22;ILF2;PSMA4;KARS;PSMA1;DAD1;HAT1;NHP2;RPL27;SNRPE;RPL26;SNRPF;SLC25A5;SNRPB;SF3B5;SET;PCNA;NDUFB10;PSMD14;NDUFB11;POMP;ATP5J;UQCR10;ATP5H;OAZ1;PSMB6;ATP5B;PSMB4;PSMB3;RPS3;CCT7;RPL19;NPM1;NOP58;SSB;RRM2;CBX3;RCC2;ALYREF;NDUFA3;HSPE1;HNRNPAB;ARPC3;OSTC;NDUFAB1;NOP10;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_up	3MutC GSE2815 mcf7:77	68/387	2.5141683375438726e-51	1.6803025055918212e-49	0	0	11.085841912633784	1291.6103068791804	HSP90AB1;MCM7;OLA1;HMGB3;HMGB1;YBX1;ATP5G3;RPL9;COX7C;RPS15;HINT1;RPS16;SNRPD2;TMED2;RPS11;HSP90AA1;SSR4;RPS8;RPS5;RPL22;ATPIF1;RPS6;SARS;NDUFC1;RAD23B;PSMA6;NCL;CANX;RPL37A;NHP2;RPL27;SNRPE;RPL26;MCM6;FKBP4;PFDN4;SLC25A5;UQCRB;RPL11;POMP;ATP5A1;ATP5J;ATP5H;OAZ1;PSMB6;PSMB7;PSMB3;PCBP1;RRS1;RPS3;RPL13;RBBP7;RPS27A;RPL19;BTF3;NPM1;RRM2;CBX3;IDH2;HSPE1;HNRNPAB;LSM3;EIF3K;PSMC4;UQCRQ;ARPC3;NDUFAB1;RPS21
MCF7_Perturbations_from_GEO_up	HIF-1alpha and HIF-2alpha depletion GDS2760 mcf7:120	61/310	4.909823788435782e-49	2.812627627375355e-47	0	0	12.414775618194769	1380.9629229133475	RPL30;HSP90AB1;RPL32;MCM7;RPLP0;CLTA;ATP5G3;RPL9;PSMD8;RPS15;TRMT112;RPS16;SNRPD2;C1QBP;RUVBL1;TMED2;UQCRFS1;RPS11;RPS13;BCAS2;CCT3;PARP1;RPS5;ILF2;TUFM;EEF1G;PSMA6;PSMA4;KARS;RPL37A;NHP2;MCM3;RPL26;SLC25A5;SNRPB;RPL12;ATP5A1;OAZ1;HSD17B10;PSMB6;ATP5B;PSMB4;PSMB3;RPS3;RPS2;CCT7;RPL19;CCT4;NPM1;RRM2;HSPA4;RCC2;RPL23A;HSPE1;HNRNPAB;PSMC5;EIF3K;EIF3I;NDUFAB1;TOMM5;TOMM6
MCF7_Perturbations_from_GEO_up	4-hydroxytamoxifen 500 nM GSE26298 mcf7:32	64/365	3.568341336627719e-48	1.7886310949846435e-46	0	0	11.062616135862754	1208.612756509835	COX4I1;OLA1;HMGB1;ATP5G3;RPL9;PSMD8;RPS15;TRMT112;FBL;HINT1;RPS16;SNRPD2;RPS19;C1QBP;UQCRFS1;RPS13;CCT3;GPX4;RPS5;RPL22;ILF2;EEF1G;KARS;DAD1;NHP2;UQCRC2;SNRPF;SLC25A5;SNRPB;SF3B5;UQCRB;HDAC1;RPL12;RPL11;ATP5J;UQCR10;ATP5H;HSD17B10;PSMB6;ATP5B;PSMB4;PSMB3;RPS3;RPL13;SNRPB2;CCT8;RPL18;CCT7;CCT4;NPM1;NOP58;SSB;RCC2;TBCB;HSPE1;HNRNPAB;PSMC5;EIF3K;UQCRQ;ARPC3;EIF3I;NDUFAB1;NOP10;TOMM6
MCF7_Perturbations_from_GEO_up	17beta-estradiol GSE4668 mcf7:74	63/350	3.8376114559369014e-48	1.7098691042563302e-46	0	0	11.35646687697161	1239.890358064319	MCM7;HMGB3;HNRNPR;NUCKS1;HMGB1;YBX1;ATP5G3;TRMT112;FBL;PTBP1;HINT1;UQCRFS1;BCAS2;HSP90AA1;RFC3;GPX4;DYNLT3;NDUFC2;ILF2;PSMA4;NCL;MCM3;SNRPE;SNRPF;MCM6;FKBP4;SLC25A5;ASF1B;SNRPB;MCM2;PCNA;PSMD14;NDUFB6;POMP;ATP5A1;SRSF1;UQCR10;TYMS;OAZ1;ATP5B;PCBP1;USP1;RBBP7;CCT7;CCT4;RANBP1;GINS2;DUT;RRM1;RRM2;CBX3;HSPE1;HNRNPAB;LSM3;NASP;UQCRQ;RPA3;NDUFAB1;POLE3;ANP32E;NOP10;TOMM6;MAD2L1
MCF7_Perturbations_from_GEO_up	folic acid 100 nM GSE68651 mcf7:209	60/321	7.98505930019658e-47	3.202008779378829e-45	0	0	11.79280049529762	1251.7341568163165	COX4I1;RPLP0;TRMT112;PTBP1;HINT1;PSMD7;SNRPD2;ARHGDIA;RPLP2;UQCRFS1;RPS11;RPS13;DDX18;RPL21;GLRX3;RPS5;RPL22;ILF2;DDOST;EEF1G;PSMA6;PSMA3;PSMA4;DKC1;DAD1;NCL;NHP2;SNRPF;KPNB1;SF3B4;SF3B5;SET;NDUFB10;POMP;MRPL12;OAZ1;MRPL20;PSMB7;PSMB4;RPS15A;SNRPB2;CCT8;RPL18;BTF3;GINS2;NOP58;NOP16;NAA10;NDUFA3;HSPE1;HNRNPAB;LSM3;POLE4;EIF3K;UQCRQ;NDUFAB1;RPS21;TOMM5;NOP10;TOMM6
