Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MGI_Mammalian_Phenotype_Level_4	MP0010094 abnormal chromosome stability 	12/74	1.8621383720306768e-09	8.86377865086602e-07	0	0	10.231051240514963	205.65988930543043	NPM1;MCM7;LIG1;PARP1;MCM3;USP1;RPA1;HMGB1;MCM6;SMC1A;MCM2;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0002080 prenatal lethality 	50/1685	1.1741605367865374e-05	0.002794502077551959	0	0	1.8721508204700967	21.253352571835546	HSP90AB1;KDM1A;MCM7;PITPNB;YBX1;PRPF19;FBL;PSMD7;CCND2;RPS19;ARHGDIA;BSG;TMED2;WLS;PARP1;LIG1;GPX4;GLRX3;KIF22;ILF2;UCHL5;DKC1;DAD1;MCM3;CCDC86;TFAM;MCM6;FKBP4;KPNB1;MCM2;VCP;PCNA;HDAC1;PES1;POLD1;BTF3;MBD3;NPM1;UBE2I;RPA1;EIF2S2;SMARCA4;BYSL;DRAP1;NASP;PSMC4;ARPC3;TCEA1;TARDBP;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0000350 abnormal cell proliferation 	13/308	0.0013437980332797318	0.21321595461371745	0	0	2.6629521897660697	17.608119786430837	HELLS;NPM1;PARP1;LIG1;HDAC1;RPA1;YBX1;PRPF19;HINT1;RAD51;PSME3;G3BP1;MCM2
MGI_Mammalian_Phenotype_Level_4	MP0003077 abnormal cell cycle 	9/180	0.0023666337333374077	0.28162941426715155	0	0	3.1545741324921135	19.073459618899165	NPM1;KDM1A;MSH2;PARP1;HDAC1;RPS6;SMC1A;MCM2;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0001730 embryonic growth arrest 	10/221	0.00286851616766768	0.2730827391619631	0	0	2.8548182194498763	16.711992799174258	FBL;NPM1;RAD51;PARP1;KDM1A;NASP;PSMC4;DKC1;HDAC1;PES1
MGI_Mammalian_Phenotype_Level_4	MP0004957 abnormal blastocyst morpholog 	6/100	0.0051869511591204455	0.411498125290222	0	0	3.785488958990536	19.917763531889282	UBE2I;SSB;DKC1;ARPC3;DAD1;POLD1
MGI_Mammalian_Phenotype_Level_4	MP0003111 abnormal nucleus morphology 	6/100	0.0051869511591204455	0.35271267882019025	0	0	3.785488958990536	19.917763531889282	HELLS;PARP1;DKC1;KIF22;MCM2;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0000313 abnormal cell death 	17/535	0.005388090930349343	0.3205914103557858	0	0	2.0047760842005955	10.472076470418738	IVNS1ABP;HELLS;NPM1;HSP90AB1;PARP1;KDM1A;GPX4;HDAC1;SMC1A;HINT1;RAD51;MSH2;DKC1;DAD1;TFAM;RPL38;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0008058 abnormal DNA repair 	4/51	0.008621331323948942	0.455972634466633	0	0	4.948351580379786	23.522067224832448	PARP1;MSH2;DKC1;BAZ1B
MGI_Mammalian_Phenotype_Level_4	MP0008932 abnormal embryonic tissue 	5/104	0.024988207591972268	1.0	0	0	3.0332443581654935	11.190703899899152	UBE2I;DAD1;POLD1;TARDBP;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0010352 gastrointestinal tract polyps 	2/16	0.02595651826896012	1.0	0	0	7.886435331230284	28.79599775402482	MSH2;MCM2
MGI_Mammalian_Phenotype_Level_4	MP0003221 abnormal cardiomyocyte apopto 	3/42	0.0287288338229524	1.0	0	0	4.506534474988734	15.997539421955153	IVNS1ABP;HDAC1;TFAM
MGI_Mammalian_Phenotype_Level_4	MP0002085 abnormal embryonic tissue 	19/765	0.03643525331792335	1.0	0	0	1.5669780004535991	5.190173483468565	SSB;UBE2I;KDM1A;GPX4;YBX1;BAZ1B;SMARCA4;DRAP1;RAD51;ARPC3;DAD1;PES1;POLD1;MCM3;TFAM;TMED2;WLS;MAD2L1;MCM2
MGI_Mammalian_Phenotype_Level_4	MP0001697 abnormal embryo size 	13/471	0.03823145729385973	1.0	0	0	1.7413785020126318	5.684027670166513	HELLS;NPM1;LIG1;GPX4;GLRX3;YBX1;RAD51;NASP;DKC1;DAD1;TMED2;TCEA1;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0001919 abnormal reproductive system 	3/47	0.03831925953745452	1.0	0	0	4.027115913819721	13.135657356338651	ARHGDIA;EIF2S2;FKBP4
MGI_Mammalian_Phenotype_Level_4	MP0000358 abnormal cell content/ 	5/137	0.0672366863933417	1.0	0	0	2.3026088558336597	6.215976080373533	DKC1;ARPC3;RPS6;TFAM;YBX1
MGI_Mammalian_Phenotype_Level_4	MP0002084 abnormal developmental patter 	11/421	0.07316412178891447	1.0	0	0	1.6484710431075178	4.310834395250938	DRAP1;KDM1A;GPX4;DKC1;DAD1;NONO;G3BP1;TMED2;RBBP7;SMARCA4;WLS
MGI_Mammalian_Phenotype_Level_4	MP0001915 intracranial hemorrhage 	3/74	0.11293906704794962	1.0	0	0	2.557762810128741	5.578242395866381	GLRX3;G3BP1;YBX1
MGI_Mammalian_Phenotype_Level_4	MP0005389 reproductive system phenotype 	3/81	0.1375267104364502	1.0	0	0	2.336721579623788	4.635908687980981	ARHGDIA;FKBP4;EIF2S2
MGI_Mammalian_Phenotype_Level_4	MP0005384 cellular phenotype 	11/486	0.15147508564411538	1.0	0	0	1.4279965208812038	2.695106555315752	HELLS;VCP;LIG1;MSH2;DKC1;ARPC3;DAD1;RPS6;TFAM;YBX1;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0002160 abnormal reproductive system 	2/46	0.16508904464484392	1.0	0	0	2.74310794129749	4.941078826317037	ARHGDIA;FKBP4
MGI_Mammalian_Phenotype_Level_4	MP0008873 increased physiological sensi 	5/183	0.16604261668778522	1.0	0	0	1.7238110013618106	3.0951212641386787	IVNS1ABP;HINT1;MSH2;TFAM;ADH5
MGI_Mammalian_Phenotype_Level_4	MP0008057 abnormal DNA replication 	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	LIG1
MGI_Mammalian_Phenotype_Level_4	MP0003123 paternal imprinting 	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	HELLS
MGI_Mammalian_Phenotype_Level_4	MP0000537 abnormal urethra morphology 	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	FKBP4
MGI_Mammalian_Phenotype_Level_4	MP0005380 embryogenesis phenotype 	10/468	0.210682265372898	1.0	0	0	1.3481086036291083	2.099549909343664	LIG1;DKC1;DAD1;HDAC1;G3BP1;TMED2;KIF22;YBX1;PRPF19;UCHL5
MGI_Mammalian_Phenotype_Level_4	MP0001672 abnormal embryogenesis/ devel 	10/468	0.210682265372898	1.0	0	0	1.3481086036291083	2.099549909343664	LIG1;DKC1;DAD1;HDAC1;G3BP1;TMED2;KIF22;YBX1;PRPF19;UCHL5
MGI_Mammalian_Phenotype_Level_4	MP0001348 abnormal lacrimal gland 	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	RAD23B
MGI_Mammalian_Phenotype_Level_4	MP0006036 abnormal mitochondrial physio 	3/106	0.23661378183515105	1.0	0	0	1.785607999523838	2.573643377691272	GPX4;TFAM;TARDBP
MGI_Mammalian_Phenotype_Level_4	MP0008260 abnormal autophagy 	1/17	0.2379302604460247	1.0	0	0	3.71126368528484	5.3285495327015004	VCP
MGI_Mammalian_Phenotype_Level_4	MP0001177 atelectasis 	2/59	0.2401570937617512	1.0	0	0	2.138694327113297	3.050766213823958	HELLS;HMGB1
MGI_Mammalian_Phenotype_Level_4	MP0003943 abnormal hepatobiliary system 	2/61	0.2519136482013628	1.0	0	0	2.068573201634173	2.8518775736912363	CCND2;LIG1
MGI_Mammalian_Phenotype_Level_4	MP0009278 abnormal bone marrow 	1/19	0.26191720835230675	1.0	0	0	3.320604349991698	4.448702718958836	LIG1
MGI_Mammalian_Phenotype_Level_4	MP0000747 muscle weakness 	2/63	0.263684489016863	1.0	0	0	2.002904211106104	2.6698753350727533	VCP;MCM2
MGI_Mammalian_Phenotype_Level_4	MP0002019 abnormal tumor incidence 	12/622	0.28415814188734384	1.0	0	0	1.2171990221834523	1.5315094584470377	HINT1;NPM1;LIG1;MSH2;DKC1;POLD1;RPA1;MCM3;EIF2S2;SMARCA4;MAD2L1;MCM2
MGI_Mammalian_Phenotype_Level_4	MP0003315 abnormal perineum morphology 	1/21	0.2851514477875881	1.0	0	0	3.0043563166591563	3.769670554629064	FKBP4
MGI_Mammalian_Phenotype_Level_4	MP0003448 altered tumor morphology 	3/119	0.2921825555045635	1.0	0	0	1.5905415794077884	1.956964952914092	NPM1;MSH2;SF1
MGI_Mammalian_Phenotype_Level_4	MP0009053 abnormal anal canal 	1/22	0.2964936893879897	1.0	0	0	2.8677946659019216	3.4864621292052207	RAD23B
MGI_Mammalian_Phenotype_Level_4	MP0009379 abnormal foot pigmentation 	1/22	0.2964936893879897	1.0	0	0	2.8677946659019216	3.4864621292052207	RPS19
MGI_Mammalian_Phenotype_Level_4	MP0005621 abnormal cell physiology 	7/348	0.3151298232033877	1.0	0	0	1.2690815475542985	1.4654980447725747	VCP;LIG1;MSH2;DKC1;DAD1;RPS6;MAD2L1
MGI_Mammalian_Phenotype_Level_4	MP0005187 abnormal penis morphology 	1/24	0.3186427871501954	1.0	0	0	2.6288117770767614	3.0065315276756337	FKBP4
MGI_Mammalian_Phenotype_Level_4	MP0004084 abnormal cardiac muscle 	1/25	0.3294552566033664	1.0	0	0	2.5236593059936907	2.802056090992216	GLRX3
